phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,-4.0,25,1.963099,49.48,983.72896,0.7140300273895264,"[3, 3, 2, 0, 3, 1, 1, 0, 3, 1, 1, 1, 1, 4, 1]"
train,a2c_default_42,0,1,11.0,25,2.792475,33.16,990.1232799999999,0.8252177238464355,"[0, 0, 1, 3, 1, 2, 1, 0, 6, 0, 0, 4, 2, 2, 3]"
train,a2c_default_42,0,2,-10.0,25,3.528541,55.28,1002.5171199999999,0.7332701683044434,"[1, 1, 2, 2, 1, 4, 2, 1, 1, 2, 3, 1, 1, 2, 1]"
train,a2c_default_42,0,3,12.0,25,4.302256,44.24,1004.20024,0.7704310417175293,"[1, 2, 1, 1, 2, 0, 3, 1, 4, 5, 1, 1, 1, 2, 0]"
train,a2c_default_42,0,4,19.0,25,4.987459,48.48,1057.3926,0.6825380325317383,"[2, 2, 4, 1, 1, 0, 2, 0, 2, 1, 2, 4, 1, 1, 2]"
train,a2c_default_42,0,5,11.0,25,5.722002,43.88,994.80764,0.731287956237793,"[2, 4, 1, 2, 1, 0, 3, 1, 2, 0, 3, 0, 5, 0, 1]"
train,a2c_default_42,0,6,2.0,25,6.591903,44.36,1063.3942799999998,0.8671021461486816,"[1, 0, 2, 3, 0, 2, 2, 1, 2, 1, 5, 1, 1, 4, 0]"
train,a2c_default_42,0,7,-2.0,25,7.413056,48.6,1065.86944,0.8172502517700195,"[2, 1, 2, 1, 1, 0, 1, 3, 1, 1, 2, 2, 4, 3, 1]"
train,a2c_default_42,0,8,-8.0,25,8.143822,46.52,979.8974800000001,0.7270982265472412,"[1, 0, 2, 1, 0, 3, 3, 1, 4, 1, 0, 3, 1, 4, 1]"
train,a2c_default_42,0,9,0.0,25,8.836963,54.84,1052.47216,0.6887342929840088,"[2, 2, 3, 1, 0, 1, 2, 4, 2, 1, 0, 3, 1, 2, 1]"
train,a2c_default_42,0,10,21.0,25,9.565179,49.44,1077.8808,0.7254371643066406,"[0, 5, 1, 1, 0, 2, 3, 0, 2, 2, 2, 1, 1, 3, 2]"
train,a2c_default_42,0,11,-4.0,25,10.314217,65.48,1040.66068,0.7459228038787842,"[1, 6, 0, 4, 1, 4, 2, 2, 1, 0, 2, 0, 0, 1, 1]"
train,a2c_default_42,0,12,12.0,25,11.334585,53.2,1065.27032,1.0172650814056396,"[0, 1, 4, 1, 3, 3, 1, 0, 4, 2, 1, 1, 2, 1, 1]"
train,a2c_default_42,0,13,15.0,25,12.30279,49.52,981.3144400000002,0.9629931449890137,"[1, 0, 1, 2, 0, 1, 3, 2, 3, 0, 2, 0, 2, 3, 5]"
train,a2c_default_42,0,14,2.0,25,13.210981,60.76,1039.67432,0.9052057266235352,"[0, 0, 3, 4, 0, 2, 1, 2, 2, 1, 1, 1, 4, 2, 2]"
train,a2c_default_42,0,15,4.0,25,14.020271,54.6,989.7400799999999,0.8062937259674072,"[3, 1, 3, 1, 2, 5, 0, 1, 3, 2, 0, 1, 1, 2, 0]"
train,a2c_default_42,0,16,1.0,25,14.884841,54.8,1018.09492,0.8613076210021973,"[1, 1, 2, 4, 0, 2, 3, 0, 1, 2, 1, 2, 3, 0, 3]"
train,a2c_default_42,0,17,7.0,25,15.91772,48.0,1046.0422,1.0262410640716553,"[3, 1, 4, 1, 0, 2, 0, 1, 1, 3, 2, 0, 4, 2, 1]"
train,a2c_default_42,0,18,-1.0,25,16.672983,39.72,980.9903599999999,0.752495527267456,"[0, 0, 1, 2, 1, 5, 5, 0, 1, 2, 0, 2, 0, 4, 2]"
train,a2c_default_42,0,19,8.0,25,17.428795,53.48,1031.1559599999998,0.7517991065979004,"[2, 0, 1, 1, 1, 1, 1, 1, 6, 0, 1, 5, 2, 0, 3]"
train,a2c_default_42,0,20,38.0,25,18.177049,45.6,1016.2977200000001,0.74405837059021,"[0, 0, 1, 2, 0, 3, 1, 1, 2, 1, 5, 3, 2, 3, 1]"
train,a2c_default_42,0,21,50.0,25,18.977494,29.24,990.7306,0.7975692749023438,"[1, 1, 3, 1, 1, 0, 0, 2, 2, 1, 4, 1, 4, 1, 3]"
