phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,-46846.554,25,1.998073,49.48,983.72896,0.8751442432403564,"[3, 3, 2, 0, 3, 1, 1, 0, 3, 1, 1, 1, 1, 4, 1]"
train,a2c_default_42,0,1,-50887.376,25,2.730927,33.16,990.1232799999999,0.729149341583252,"[0, 0, 1, 3, 1, 2, 1, 0, 6, 0, 0, 4, 2, 2, 3]"
train,a2c_default_42,0,2,-59021.723,25,3.559554,55.28,1002.5171199999999,0.825721025466919,"[1, 1, 2, 2, 1, 4, 2, 1, 1, 2, 3, 1, 1, 2, 1]"
train,a2c_default_42,0,3,-39077.127,25,4.28637,44.24,1004.20024,0.7238359451293945,"[1, 2, 1, 1, 2, 0, 3, 1, 4, 5, 1, 1, 1, 2, 0]"
train,a2c_default_42,0,4,-51529.742,25,5.103818,51.08,1049.4945599999999,0.8144185543060303,"[2, 2, 4, 1, 2, 0, 2, 0, 1, 1, 2, 4, 1, 1, 2]"
train,a2c_default_42,0,5,-50964.806,25,5.970937,43.88,994.80764,0.8624942302703857,"[2, 4, 1, 2, 1, 0, 3, 1, 2, 0, 3, 0, 5, 0, 1]"
train,a2c_default_42,0,6,-49801.765,25,6.747291,44.36,1063.3942799999998,0.7717053890228271,"[1, 0, 2, 3, 0, 2, 2, 1, 2, 1, 5, 1, 1, 4, 0]"
train,a2c_default_42,0,7,-51837.475,25,7.552945,48.6,1065.86944,0.8024179935455322,"[2, 1, 2, 1, 1, 0, 1, 3, 1, 1, 2, 2, 4, 3, 1]"
train,a2c_default_42,0,8,-58839.6,25,8.261221,48.12,979.8974800000001,0.705047607421875,"[1, 0, 2, 1, 0, 3, 3, 1, 4, 1, 0, 3, 1, 4, 1]"
train,a2c_default_42,0,9,-51610.289,25,9.041408,55.88,1052.47216,0.7771577835083008,"[2, 2, 3, 1, 0, 1, 2, 4, 2, 1, 0, 3, 1, 2, 1]"
train,a2c_default_42,0,10,-50765.956,25,9.843686,55.0,983.1102400000001,0.7980144023895264,"[1, 5, 1, 1, 0, 2, 3, 0, 1, 2, 2, 0, 1, 4, 2]"
train,a2c_default_42,0,11,-40892.556,25,10.61305,60.16,984.98036,0.766284704208374,"[1, 6, 0, 4, 1, 5, 1, 2, 1, 0, 2, 0, 0, 1, 1]"
train,a2c_default_42,0,12,-42108.976,25,11.42587,54.4,1067.64104,0.8099918365478516,"[0, 1, 4, 1, 3, 3, 1, 0, 4, 2, 1, 1, 2, 1, 1]"
