phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,82.983333,25,3.253566,49.48,983.72896,0.6241672039031982,"[3, 3, 2, 0, 3, 1, 1, 0, 3, 1, 1, 1, 1, 4, 1]"
train,a2c_default_42,0,1,75.1,25,4.082092,33.16,990.1232799999999,0.8191874027252197,"[0, 0, 1, 3, 1, 2, 1, 0, 6, 0, 0, 4, 2, 2, 3]"
train,a2c_default_42,0,2,24.3,25,4.771135,55.28,1002.5171199999999,0.6860165596008301,"[1, 1, 2, 2, 1, 4, 2, 1, 1, 2, 3, 1, 1, 2, 1]"
train,a2c_default_42,0,3,116.883333,25,5.431302,44.24,1004.20024,0.6573302745819092,"[1, 2, 1, 1, 2, 0, 3, 1, 4, 5, 1, 1, 1, 2, 0]"
train,a2c_default_42,0,4,66.016667,25,6.085106,48.48,1057.3926,0.6506197452545166,"[2, 2, 4, 1, 1, 0, 2, 0, 2, 1, 2, 4, 1, 1, 2]"
train,a2c_default_42,0,5,77.714286,25,6.733003,47.4,1019.6701999999999,0.6450409889221191,"[2, 5, 1, 2, 1, 0, 3, 1, 2, 0, 2, 0, 5, 0, 1]"
train,a2c_default_42,0,6,66.87381,25,7.448221,60.36,1086.1085199999998,0.7125859260559082,"[1, 0, 2, 3, 0, 2, 2, 1, 2, 1, 5, 1, 1, 4, 0]"
train,a2c_default_42,0,7,83.6,25,8.133317,34.04,1002.3692000000001,0.6820712089538574,"[2, 1, 2, 1, 1, 0, 1, 3, 1, 1, 2, 2, 4, 3, 1]"
train,a2c_default_42,0,8,66.045238,25,8.803175,47.08,1004.8777600000001,0.6669576168060303,"[1, 0, 2, 1, 0, 3, 3, 1, 4, 1, 0, 3, 1, 4, 1]"
train,a2c_default_42,0,9,54.216667,25,9.453201,53.84,1107.28944,0.6472997665405273,"[2, 2, 3, 1, 0, 1, 2, 4, 2, 1, 0, 3, 1, 2, 1]"
train,a2c_default_42,0,10,48.233333,25,10.183598,59.4,1139.7889599999999,0.72633957862854,"[0, 5, 1, 1, 0, 1, 3, 1, 2, 1, 2, 1, 1, 4, 2]"
train,a2c_default_42,0,11,83.666667,25,10.724657,52.36,1014.3039200000001,0.5382816791534424,"[1, 7, 0, 4, 1, 4, 1, 2, 1, 0, 2, 0, 0, 1, 1]"
train,a2c_default_42,0,12,120.792857,25,11.356899,39.76,1028.3564399999998,0.6296257972717285,"[0, 1, 4, 1, 3, 3, 1, 0, 4, 2, 1, 1, 2, 1, 1]"
train,a2c_default_42,0,13,40.75,25,11.953646,46.24,1068.7594400000003,0.5940456390380859,"[1, 0, 1, 2, 0, 1, 3, 2, 3, 0, 2, 0, 2, 3, 5]"
train,a2c_default_42,0,14,61.119048,25,12.577042,54.84,1180.8183999999999,0.6204361915588379,"[1, 0, 3, 4, 0, 2, 1, 1, 2, 1, 1, 2, 4, 2, 1]"
train,a2c_default_42,0,15,62.22619,25,13.217335,62.36,1023.01924,0.6375453472137451,"[3, 1, 3, 1, 2, 5, 0, 1, 3, 2, 0, 1, 1, 2, 0]"
train,a2c_default_42,0,16,67.816667,25,13.853421,53.0,1030.0709200000001,0.6334919929504395,"[1, 1, 2, 4, 0, 2, 3, 0, 1, 2, 1, 2, 3, 0, 3]"
train,a2c_default_42,0,17,72.5,25,14.421146,29.68,995.1152000000001,0.5651078224182129,"[3, 1, 4, 1, 0, 2, 0, 1, 1, 3, 2, 0, 4, 2, 1]"
train,a2c_default_42,0,18,40.809524,25,15.055401,48.04,1010.722,0.6315326690673828,"[0, 0, 1, 2, 1, 5, 4, 0, 1, 2, 0, 2, 0, 4, 3]"
train,a2c_default_42,0,19,84.7,25,15.717654,29.92,1007.1218000000001,0.6595211029052734,"[2, 0, 1, 2, 2, 1, 1, 1, 5, 0, 0, 5, 2, 0, 3]"
train,a2c_default_42,0,20,76.7,25,16.438097,49.44,1036.0272400000001,0.7170732021331787,"[0, 0, 1, 2, 0, 3, 1, 1, 2, 1, 5, 3, 2, 3, 1]"
train,a2c_default_42,0,21,50.05,25,17.13938,29.16,1005.9918799999999,0.6980953216552734,"[1, 2, 3, 1, 0, 0, 0, 2, 2, 2, 3, 1, 4, 1, 3]"
train,a2c_default_42,0,22,59.040476,25,17.911387,57.68,973.4638,0.769080638885498,"[0, 1, 2, 3, 1, 1, 4, 3, 1, 1, 0, 3, 1, 1, 3]"
train,a2c_default_42,0,23,46.980952,25,18.636139,43.96,1004.60032,0.7216525077819824,"[1, 3, 3, 1, 2, 1, 2, 1, 0, 1, 2, 2, 0, 2, 4]"
train,a2c_default_42,0,24,102.283333,25,19.311415,47.0,1209.4785200000001,0.6725027561187744,"[3, 0, 1, 3, 1, 1, 1, 2, 0, 1, 5, 3, 1, 2, 1]"
train,a2c_default_42,0,25,92.583333,25,19.981461,41.16,1016.7891599999999,0.6648125648498535,"[1, 1, 0, 1, 2, 1, 0, 0, 6, 2, 1, 4, 2, 3, 1]"
train,a2c_default_42,0,26,57.485714,25,20.643117,46.12,1019.4032400000001,0.6589727401733398,"[1, 0, 2, 0, 0, 1, 1, 3, 2, 2, 2, 2, 4, 1, 4]"
train,a2c_default_42,0,27,64.7,25,21.296438,40.88,1016.8266,0.6504921913146973,"[3, 3, 3, 0, 0, 2, 1, 1, 0, 0, 1, 2, 4, 2, 3]"
train,a2c_default_42,0,28,42.3,25,21.994,40.88,991.7898799999999,0.6943981647491455,"[4, 1, 0, 1, 0, 0, 1, 5, 2, 3, 0, 2, 4, 2, 0]"
train,a2c_default_42,0,29,78.635714,25,22.684498,57.4,1083.4903199999999,0.6877326965332031,"[2, 1, 4, 2, 1, 2, 1, 0, 1, 0, 1, 4, 2, 2, 2]"
train,a2c_default_42,0,30,31.166667,25,23.321223,54.28,981.4730000000001,0.6334378719329834,"[2, 0, 0, 2, 3, 4, 2, 1, 3, 1, 0, 2, 0, 2, 3]"
train,a2c_default_42,0,31,77.152381,25,23.965957,38.28,1032.24492,0.6418585777282715,"[1, 2, 1, 1, 4, 2, 2, 0, 3, 2, 0, 1, 1, 4, 1]"
train,a2c_default_42,0,32,88.445238,25,24.641456,37.52,1155.4605199999999,0.6685304641723633,"[3, 1, 1, 0, 2, 3, 0, 2, 2, 4, 2, 0, 4, 0, 1]"
train,a2c_default_42,0,33,59.138095,25,25.325034,58.6,1106.73064,0.680396556854248,"[2, 1, 4, 4, 0, 2, 2, 3, 1, 2, 2, 1, 0, 1, 0]"
train,a2c_default_42,0,34,57.809524,25,26.09168,49.24,1020.10104,0.763749361038208,"[0, 2, 1, 2, 0, 2, 1, 3, 1, 1, 3, 1, 2, 3, 3]"
train,a2c_default_42,0,35,97.735714,25,26.716046,32.88,1022.57784,0.6211874485015869,"[2, 3, 1, 2, 3, 4, 0, 0, 1, 0, 1, 1, 3, 3, 1]"
train,a2c_default_42,0,36,98.033333,25,27.392749,49.76,1035.42336,0.6740193367004395,"[1, 4, 1, 2, 1, 1, 2, 2, 2, 1, 2, 1, 3, 1, 1]"
train,a2c_default_42,0,37,37.678571,25,28.086952,49.68,978.88664,0.6914756298065186,"[2, 1, 0, 1, 1, 2, 5, 2, 0, 4, 1, 3, 3, 0, 0]"
train,a2c_default_42,0,38,55.304762,25,28.750749,59.32,987.8242799999998,0.6609983444213867,"[2, 0, 6, 0, 1, 0, 4, 3, 1, 1, 1, 3, 1, 0, 2]"
train,a2c_default_42,0,39,56.133333,25,29.472625,44.0,1031.5642,0.7188048362731934,"[4, 1, 2, 0, 0, 3, 1, 1, 4, 2, 1, 2, 2, 1, 1]"
train,a2c_default_42,0,40,42.0,25,30.152914,35.2,1011.6926800000001,0.6774709224700928,"[2, 0, 0, 2, 1, 1, 1, 5, 1, 5, 3, 0, 1, 1, 2]"
train,a2c_default_42,0,41,55.690476,25,30.773434,46.72,985.2804,0.6176421642303467,"[3, 2, 1, 1, 1, 1, 4, 0, 3, 4, 0, 1, 1, 0, 3]"
train,a2c_default_42,0,42,77.72381,25,31.422144,54.64,1047.55784,0.6459522247314453,"[1, 3, 3, 1, 3, 1, 1, 1, 2, 3, 1, 0, 1, 3, 1]"
train,a2c_default_42,0,43,50.104762,25,32.044934,54.4,1003.58816,0.6201550960540771,"[2, 4, 3, 1, 3, 3, 0, 0, 0, 2, 1, 0, 4, 2, 0]"
train,a2c_default_42,0,44,47.292857,25,32.727108,56.52,1036.26492,0.6785542964935303,"[0, 0, 3, 1, 3, 3, 2, 2, 1, 1, 2, 1, 1, 3, 2]"
train,a2c_default_42,0,45,86.25,25,33.388006,58.32,1062.7844,0.658071756362915,"[1, 4, 3, 1, 2, 1, 2, 1, 1, 1, 2, 3, 1, 1, 1]"
train,a2c_default_42,0,46,69.833333,25,34.01503,52.88,1042.16136,0.6243188381195068,"[2, 3, 5, 3, 2, 1, 2, 0, 0, 1, 0, 4, 1, 1, 0]"
train,a2c_default_42,0,47,53.004762,25,34.73949,57.08,1053.74192,0.7217326164245605,"[2, 1, 1, 5, 3, 0, 2, 2, 1, 0, 1, 1, 2, 2, 2]"
train,a2c_default_42,0,48,66.307143,25,35.375706,54.16,1027.3362800000002,0.6333887577056885,"[1, 1, 1, 1, 2, 1, 2, 2, 3, 2, 2, 3, 1, 0, 3]"
train,a2c_default_42,0,49,73.409524,25,36.008811,58.04,1179.2519200000002,0.6302046775817871,"[1, 2, 3, 3, 0, 3, 0, 0, 5, 2, 2, 1, 2, 0, 1]"
train,a2c_default_42,0,50,66.083333,25,36.672508,58.28,1043.00824,0.6607241630554199,"[1, 3, 1, 1, 0, 4, 1, 2, 2, 3, 1, 2, 1, 0, 3]"
train,a2c_default_42,0,51,88.15,25,37.346843,56.48,1139.8625200000001,0.6714677810668945,"[3, 2, 2, 3, 2, 1, 2, 0, 0, 1, 2, 2, 2, 1, 2]"
train,a2c_default_42,0,52,88.32381,25,38.019946,51.44,1080.0128000000002,0.6702775955200195,"[1, 3, 2, 0, 2, 1, 3, 1, 1, 3, 2, 1, 1, 3, 1]"
train,a2c_default_42,0,53,53.988095,25,38.703602,45.64,1043.3544000000002,0.6806559562683105,"[2, 2, 2, 1, 1, 1, 2, 1, 0, 1, 2, 0, 4, 4, 2]"
train,a2c_default_42,0,54,59.961905,25,39.367003,51.36,1001.1801599999999,0.6604182720184326,"[1, 1, 1, 2, 0, 0, 4, 1, 0, 3, 0, 4, 4, 4, 0]"
train,a2c_default_42,0,55,72.671429,25,40.061396,65.52,1173.67728,0.6912643909454346,"[5, 0, 2, 1, 2, 4, 1, 1, 1, 1, 5, 0, 1, 1, 0]"
train,a2c_default_42,0,56,52.9,25,40.696957,47.6,1017.94364,0.6325914859771729,"[0, 1, 2, 1, 0, 1, 3, 2, 2, 1, 1, 2, 1, 2, 6]"
train,a2c_default_42,0,57,84.616667,25,41.343068,48.68,980.72968,0.6434829235076904,"[0, 1, 3, 1, 2, 2, 0, 2, 2, 2, 5, 0, 2, 3, 0]"
train,a2c_default_42,0,58,27.138095,25,42.049499,58.12,1035.7746399999999,0.7036318778991699,"[1, 1, 6, 1, 1, 1, 0, 3, 0, 2, 0, 1, 1, 4, 3]"
train,a2c_default_42,0,59,66.033333,25,42.673042,64.72,1027.95356,0.6208095550537109,"[2, 2, 2, 1, 1, 0, 1, 2, 2, 0, 3, 2, 5, 2, 0]"
train,a2c_default_42,0,60,55.192857,25,43.237812,42.64,1054.22324,0.5621597766876221,"[1, 4, 2, 1, 1, 1, 0, 2, 0, 3, 2, 1, 2, 2, 3]"
train,a2c_default_42,0,61,73.2,25,43.865627,52.0,1049.47632,0.6251928806304932,"[0, 1, 0, 3, 4, 2, 1, 2, 3, 2, 1, 2, 3, 1, 0]"
train,a2c_default_42,0,62,98.433333,25,44.515292,45.04,1002.023,0.6467671394348145,"[2, 5, 0, 2, 1, 2, 1, 0, 6, 1, 2, 0, 1, 1, 1]"
train,a2c_default_42,0,63,75.883333,25,45.130147,43.12,1035.58336,0.6120641231536865,"[1, 1, 4, 1, 2, 1, 0, 3, 2, 1, 3, 1, 2, 3, 0]"
train,a2c_default_42,0,64,86.866667,25,45.722891,38.68,979.29092,0.5857653617858887,"[1, 2, 0, 4, 1, 3, 1, 4, 1, 0, 2, 1, 2, 2, 1]"
train,a2c_default_42,0,65,55.919048,25,46.363462,51.2,1023.7292400000001,0.6378657817840576,"[1, 3, 1, 4, 2, 0, 1, 3, 1, 0, 3, 0, 0, 3, 3]"
train,a2c_default_42,0,66,61.042857,25,47.002657,53.2,1045.10512,0.6364912986755371,"[3, 1, 0, 1, 2, 3, 3, 1, 2, 1, 2, 0, 2, 2, 2]"
train,a2c_default_42,0,67,59.847619,25,47.628269,58.6,1015.502,0.6224420070648193,"[0, 1, 2, 3, 4, 3, 1, 1, 2, 2, 3, 0, 2, 1, 0]"
train,a2c_default_42,0,68,40.261905,25,48.277629,45.48,1118.21732,0.6465449333190918,"[2, 1, 0, 0, 3, 1, 0, 2, 3, 1, 2, 3, 2, 3, 2]"
train,a2c_default_42,0,69,53.833333,25,48.945145,52.84,1027.2986799999999,0.6646265983581543,"[1, 3, 2, 1, 3, 0, 2, 1, 1, 3, 1, 2, 1, 2, 2]"
train,a2c_default_42,0,70,50.783333,25,49.546771,44.6,1176.98908,0.5989639759063721,"[2, 0, 1, 2, 0, 2, 0, 1, 2, 2, 1, 4, 3, 3, 2]"
train,a2c_default_42,0,71,88.252381,25,50.254712,51.8,1032.7293600000003,0.7045583724975586,"[2, 0, 1, 3, 2, 1, 2, 0, 3, 1, 2, 4, 1, 2, 1]"
train,a2c_default_42,0,72,66.071429,25,50.909337,44.52,1013.59144,0.6518142223358154,"[2, 1, 1, 2, 2, 4, 0, 5, 0, 0, 2, 3, 1, 2, 0]"
train,a2c_default_42,0,73,84.107143,25,51.522715,47.84,986.7006800000001,0.6101346015930176,"[0, 4, 0, 1, 5, 2, 1, 1, 0, 4, 0, 1, 2, 4, 0]"
train,a2c_default_42,0,74,32.9,25,52.103642,45.32,1018.5434800000002,0.5781769752502441,"[2, 1, 0, 1, 1, 4, 0, 2, 3, 3, 1, 0, 3, 0, 4]"
train,a2c_default_42,0,75,81.671429,25,52.792479,53.2,1073.4903199999999,0.6853489875793457,"[0, 0, 4, 4, 3, 0, 1, 1, 2, 4, 0, 0, 3, 1, 2]"
train,a2c_default_42,0,76,69.016667,25,53.492016,47.88,1056.2699599999999,0.6966323852539062,"[0, 1, 2, 0, 4, 3, 1, 5, 2, 0, 4, 2, 1, 0, 0]"
train,a2c_default_42,0,77,61.75,25,54.252532,42.12,979.3330799999999,0.7570548057556152,"[3, 2, 0, 0, 2, 0, 2, 3, 1, 2, 1, 3, 0, 3, 3]"
train,a2c_default_42,0,78,63.366667,25,54.897807,47.56,993.89452,0.6423983573913574,"[4, 3, 1, 1, 2, 2, 0, 0, 3, 0, 2, 0, 4, 2, 1]"
train,a2c_default_42,0,79,38.385714,25,55.554097,63.6,1053.85188,0.6534438133239746,"[6, 2, 2, 1, 0, 2, 2, 1, 1, 0, 3, 0, 1, 1, 3]"
train,a2c_default_42,0,80,69.711905,25,56.220197,38.96,1003.5205599999999,0.663158655166626,"[2, 1, 2, 3, 4, 1, 4, 2, 1, 1, 2, 1, 1, 0, 0]"
train,a2c_default_42,0,81,31.309524,25,56.895908,54.36,1022.8767200000001,0.6728911399841309,"[2, 2, 3, 0, 0, 0, 4, 2, 1, 1, 2, 1, 3, 3, 1]"
train,a2c_default_42,0,82,93.952381,25,57.527155,58.44,1126.53252,0.6280007362365723,"[2, 0, 4, 3, 3, 1, 0, 1, 3, 1, 1, 3, 0, 2, 1]"
train,a2c_default_42,0,83,85.664286,25,58.273607,53.52,1125.83672,0.7435986995697021,"[1, 3, 1, 0, 3, 1, 1, 2, 2, 4, 3, 1, 1, 2, 0]"
train,a2c_default_42,0,84,41.666667,25,58.971566,46.52,1002.8760800000001,0.6950666904449463,"[0, 3, 3, 1, 0, 1, 3, 3, 0, 2, 3, 1, 3, 1, 1]"
train,a2c_default_42,0,85,68.497619,25,59.701743,51.88,1073.9404,0.7272100448608398,"[0, 5, 3, 1, 2, 0, 2, 1, 1, 3, 1, 2, 2, 0, 2]"
train,a2c_default_42,0,86,68.342857,25,60.338328,47.08,1033.5984799999999,0.6336095333099365,"[1, 3, 1, 2, 2, 2, 0, 0, 1, 1, 0, 4, 3, 3, 2]"
train,a2c_default_42,0,87,85.309524,25,60.992323,46.04,1109.6389199999999,0.6506779193878174,"[4, 2, 4, 3, 3, 0, 0, 1, 0, 5, 0, 1, 0, 1, 1]"
train,a2c_default_42,0,88,90.366667,25,61.64472,50.48,1040.71968,0.649583101272583,"[3, 4, 3, 0, 1, 2, 1, 1, 1, 0, 0, 4, 1, 1, 3]"
train,a2c_default_42,0,89,84.916667,25,62.290018,59.4,1055.7673600000003,0.6421515941619873,"[3, 1, 2, 1, 3, 1, 1, 0, 3, 5, 1, 0, 2, 0, 2]"
train,a2c_default_42,0,90,55.92619,25,62.936142,43.28,1003.3832800000001,0.6431598663330078,"[0, 0, 1, 2, 2, 2, 5, 2, 2, 0, 4, 0, 3, 2, 0]"
train,a2c_default_42,0,91,48.319048,25,63.568034,52.4,1047.75776,0.629016637802124,"[3, 1, 1, 1, 1, 2, 1, 2, 3, 2, 1, 0, 2, 1, 4]"
train,a2c_default_42,0,92,85.616667,25,64.210766,36.0,1067.68356,0.6400485038757324,"[1, 0, 2, 4, 1, 1, 0, 2, 3, 0, 2, 1, 4, 2, 2]"
train,a2c_default_42,0,93,62.630952,25,64.827667,53.52,1079.7872,0.614142894744873,"[2, 5, 0, 1, 1, 2, 2, 2, 1, 4, 0, 1, 2, 1, 1]"
train,a2c_default_42,0,94,58.62619,25,65.466716,55.84,1020.6232800000001,0.6362085342407227,"[1, 2, 1, 3, 3, 3, 0, 0, 2, 2, 2, 2, 0, 3, 1]"
train,a2c_default_42,0,95,84.866667,25,66.18879,40.72,1025.06988,0.7193408012390137,"[1, 2, 2, 2, 2, 4, 0, 1, 2, 1, 0, 1, 2, 1, 4]"
train,a2c_default_42,0,96,98.897619,25,66.782927,53.2,1070.92028,0.5873622894287109,"[1, 3, 1, 3, 2, 2, 0, 1, 3, 2, 1, 1, 0, 4, 1]"
train,a2c_default_42,0,97,98.297619,25,67.427493,44.8,1043.6193600000001,0.6417768001556396,"[1, 0, 1, 1, 3, 2, 1, 1, 5, 4, 1, 2, 0, 3, 0]"
train,a2c_default_42,0,98,60.783333,25,68.051392,58.36,1036.4702399999999,0.6211888790130615,"[1, 2, 1, 1, 5, 2, 1, 2, 1, 1, 1, 1, 5, 1, 0]"
train,a2c_default_42,0,99,40.933333,25,68.650019,61.16,1046.26992,0.5957973003387451,"[2, 3, 1, 2, 2, 0, 1, 2, 3, 2, 0, 1, 1, 1, 4]"
train,a2c_default_42,0,100,133.995238,25,69.338952,43.64,1020.60712,0.6856403350830078,"[3, 2, 4, 1, 2, 2, 0, 1, 3, 2, 0, 2, 1, 1, 1]"
train,a2c_default_42,0,101,96.133333,25,70.027716,52.24,1024.95236,0.6858518123626709,"[1, 3, 3, 2, 5, 1, 1, 1, 1, 0, 0, 4, 1, 1, 1]"
train,a2c_default_42,0,102,54.45,25,70.660113,46.24,1045.0472799999998,0.6296243667602539,"[0, 2, 1, 0, 2, 1, 4, 1, 4, 0, 1, 3, 3, 1, 2]"
train,a2c_default_42,0,103,111.180952,25,71.329753,48.08,1065.23292,0.6669578552246094,"[2, 2, 1, 0, 2, 1, 2, 1, 5, 3, 1, 1, 2, 1, 1]"
train,a2c_default_42,0,104,52.566667,25,71.972824,54.6,973.28428,0.640437126159668,"[1, 2, 4, 0, 0, 2, 1, 2, 3, 2, 0, 1, 2, 4, 1]"
train,a2c_default_42,0,105,83.166667,25,72.62851,54.24,1047.2756800000002,0.6528871059417725,"[1, 1, 0, 4, 2, 2, 1, 0, 4, 2, 0, 3, 2, 2, 1]"
train,a2c_default_42,0,106,65.607143,25,73.300025,47.44,983.8206000000001,0.6669950485229492,"[1, 0, 1, 2, 2, 1, 1, 3, 1, 2, 3, 2, 2, 3, 1]"
train,a2c_default_42,0,107,77.585714,25,73.963353,55.04,1057.1580800000002,0.6601810455322266,"[2, 2, 3, 1, 1, 0, 2, 0, 1, 3, 2, 0, 2, 3, 3]"
train,a2c_default_42,0,108,104.109524,25,74.740609,36.08,1021.0164399999999,0.774376392364502,"[1, 3, 2, 0, 1, 1, 1, 4, 2, 4, 0, 1, 1, 2, 2]"
train,a2c_default_42,0,109,85.395238,25,75.358943,42.16,1048.08704,0.6156868934631348,"[2, 1, 2, 3, 4, 2, 0, 0, 3, 2, 2, 1, 0, 0, 3]"
train,a2c_default_42,0,110,78.916667,25,75.992749,46.84,1036.03384,0.6309194564819336,"[1, 4, 0, 1, 0, 4, 1, 1, 1, 3, 2, 2, 0, 3, 2]"
train,a2c_default_42,0,111,55.478571,25,76.666797,46.24,1031.91912,0.6712381839752197,"[3, 3, 1, 1, 1, 0, 1, 0, 3, 1, 3, 0, 0, 4, 4]"
train,a2c_default_42,0,112,67.266667,25,77.349655,54.76,1086.606,0.679905891418457,"[1, 1, 3, 1, 3, 0, 1, 2, 1, 2, 4, 0, 2, 2, 2]"
train,a2c_default_42,0,113,74.783333,25,78.028458,49.44,1012.5410400000001,0.6760995388031006,"[1, 1, 2, 0, 0, 3, 3, 1, 2, 3, 3, 1, 2, 1, 2]"
train,a2c_default_42,0,114,64.069048,25,78.693432,56.72,1102.00692,0.6616628170013428,"[2, 0, 2, 2, 1, 4, 2, 1, 1, 4, 0, 2, 1, 1, 2]"
train,a2c_default_42,0,115,71.75,25,79.415707,45.48,984.8969199999998,0.7192251682281494,"[1, 3, 2, 2, 1, 2, 2, 4, 2, 2, 0, 0, 2, 1, 1]"
train,a2c_default_42,0,116,77.028571,25,80.114971,52.0,1014.1455599999999,0.6963455677032471,"[3, 0, 0, 6, 3, 1, 2, 2, 1, 0, 3, 0, 1, 0, 3]"
train,a2c_default_42,0,117,91.659524,25,80.773959,48.56,1088.45424,0.6560895442962646,"[2, 3, 2, 1, 1, 0, 0, 2, 4, 1, 3, 0, 2, 2, 2]"
train,a2c_default_42,0,118,53.521429,25,81.447624,52.12,1126.1941199999999,0.6707963943481445,"[1, 0, 3, 1, 0, 1, 3, 0, 1, 5, 1, 2, 2, 3, 2]"
train,a2c_default_42,0,119,126.72619,25,82.115404,46.8,1032.5118400000001,0.6648333072662354,"[1, 4, 1, 2, 0, 2, 1, 2, 2, 4, 3, 0, 1, 1, 1]"
train,a2c_default_42,0,120,63.657143,25,82.937642,52.0,1019.9319599999998,0.8194351196289062,"[0, 3, 1, 2, 0, 0, 3, 1, 3, 2, 2, 2, 3, 2, 1]"
train,a2c_default_42,0,121,80.821429,25,83.622371,60.56,979.4615200000001,0.6816284656524658,"[2, 2, 1, 4, 0, 0, 1, 4, 3, 0, 2, 1, 1, 3, 1]"
train,a2c_default_42,0,122,72.683333,25,84.294475,50.96,1034.65204,0.6685512065887451,"[1, 3, 4, 0, 4, 1, 1, 1, 1, 1, 1, 3, 2, 1, 1]"
train,a2c_default_42,0,123,73.55,25,84.991488,47.88,1058.42716,0.6941397190093994,"[1, 1, 1, 1, 0, 2, 3, 1, 2, 2, 2, 3, 6, 0, 0]"
train,a2c_default_42,0,124,100.95,25,85.618559,49.4,1049.6575599999999,0.6241428852081299,"[4, 4, 2, 1, 1, 1, 1, 0, 3, 1, 3, 2, 0, 0, 2]"
train,a2c_default_42,0,125,43.42619,25,86.291678,56.0,1054.32952,0.6702532768249512,"[0, 1, 2, 0, 3, 3, 2, 1, 0, 2, 3, 2, 2, 1, 3]"
train,a2c_default_42,0,126,75.088095,25,86.916114,46.56,1049.1976399999999,0.6212692260742188,"[1, 2, 4, 3, 0, 1, 5, 1, 0, 0, 3, 2, 0, 1, 2]"
train,a2c_default_42,0,127,97.0,25,87.58687,39.96,1021.51152,0.6678671836853027,"[2, 1, 1, 1, 2, 1, 0, 1, 3, 4, 1, 1, 2, 2, 3]"
train,a2c_default_42,0,128,60.935714,25,88.207561,59.08,977.41764,0.6117086410522461,"[2, 1, 2, 3, 1, 0, 1, 1, 0, 1, 1, 1, 2, 4, 5]"
train,a2c_default_42,0,129,59.690476,25,88.822856,43.72,985.37512,0.6126382350921631,"[3, 4, 0, 0, 1, 1, 3, 3, 2, 1, 0, 2, 1, 2, 2]"
train,a2c_default_42,0,130,74.12619,25,89.489073,35.12,977.1547999999999,0.6635816097259521,"[1, 1, 0, 1, 1, 1, 0, 5, 2, 3, 2, 1, 2, 2, 3]"
train,a2c_default_42,0,131,87.880952,25,90.180206,49.96,994.55268,0.68825364112854,"[2, 1, 1, 1, 3, 4, 1, 0, 5, 2, 2, 0, 1, 2, 0]"
train,a2c_default_42,0,132,90.530952,25,90.844279,46.04,1135.33476,0.661210298538208,"[3, 1, 2, 4, 2, 2, 0, 2, 1, 1, 0, 3, 4, 0, 0]"
