phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,-6.0,25,3.140439,9.4,119900.89124000001,0.14497613906860352,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,a2c_default_42,0,1,-12.0,25,3.470347,9.12,362513.69456,0.32161569595336914,"[1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 2, 0, 1, 4]"
train,a2c_default_42,0,2,-5.0,25,3.64287,8.04,5.00744,0.1689620018005371,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,a2c_default_42,0,3,-8.0,25,3.780803,10.32,14.377159999999998,0.1347801685333252,"[2, 2, 2, 0, 2, 4, 3, 0, 1, 2, 1, 1, 3, 0, 2]"
train,a2c_default_42,0,4,-8.0,25,3.932337,9.4,1006.5750800000001,0.14658308029174805,"[1, 3, 2, 1, 0, 1, 3, 1, 0, 2, 2, 1, 1, 4, 3]"
train,a2c_default_42,0,5,-12.0,25,4.081859,10.6,473965.9435999998,0.14600872993469238,"[2, 2, 4, 2, 1, 1, 1, 2, 1, 1, 3, 1, 2, 0, 2]"
train,a2c_default_42,0,6,-9.0,25,4.236959,6.96,1160.0294,0.15163373947143555,"[1, 0, 2, 2, 2, 1, 3, 0, 2, 1, 3, 0, 1, 3, 4]"
train,a2c_default_42,0,7,-3.0,25,4.3578,8.36,8312.17604,0.11738204956054688,"[3, 2, 2, 2, 1, 3, 1, 1, 1, 1, 1, 2, 1, 1, 3]"
train,a2c_default_42,0,8,-5.0,25,4.517843,8.28,0.014240000000000001,0.1398630142211914,"[1, 3, 5, 3, 3, 0, 0, 0, 3, 2, 0, 3, 1, 1, 0]"
train,a2c_default_42,0,9,-7.0,25,4.715783,10.28,360101.7617600001,0.19292330741882324,"[4, 2, 0, 1, 2, 2, 5, 2, 1, 1, 3, 2, 0, 0, 0]"
train,a2c_default_42,0,10,-4.0,25,4.922458,6.56,362922.94244,0.20167016983032227,"[2, 3, 3, 0, 2, 0, 0, 0, 0, 4, 3, 0, 1, 4, 3]"
train,a2c_default_42,0,11,-9.0,25,5.101013,9.0,0.89936,0.17330217361450195,"[0, 3, 1, 4, 0, 5, 0, 2, 1, 1, 0, 1, 3, 3, 1]"
train,a2c_default_42,0,12,-3.0,25,5.295342,6.48,145.4404,0.19109821319580078,"[1, 4, 2, 1, 2, 2, 1, 1, 1, 4, 0, 3, 3, 0, 0]"
train,a2c_default_42,0,13,-15.0,25,5.456289,9.88,64474.39656,0.15749192237854004,"[2, 1, 1, 2, 2, 2, 1, 4, 0, 1, 2, 3, 0, 3, 1]"
train,a2c_default_42,0,14,-11.0,25,5.615263,10.04,5268.34572,0.15399837493896484,"[2, 0, 1, 1, 0, 1, 4, 3, 1, 2, 1, 3, 2, 2, 2]"
train,a2c_default_42,0,15,-17.0,25,5.793612,8.16,339245.04843999987,0.17487621307373047,"[0, 1, 0, 0, 1, 1, 1, 6, 3, 1, 1, 3, 3, 2, 2]"
train,a2c_default_42,0,16,-6.0,25,6.012164,8.72,65946.77044000001,0.21346139907836914,"[1, 0, 2, 1, 1, 3, 0, 4, 3, 2, 2, 1, 1, 2, 2]"
train,a2c_default_42,0,17,-2.0,25,6.375962,7.84,2576.13348,0.35633230209350586,"[2, 1, 2, 1, 3, 1, 1, 1, 5, 1, 2, 1, 0, 2, 2]"
train,a2c_default_42,0,18,-9.0,25,6.580875,11.76,8.1436,0.19511103630065918,"[1, 2, 1, 1, 5, 4, 1, 2, 2, 2, 0, 4, 0, 0, 0]"
train,a2c_default_42,0,19,-10.0,25,6.754801,10.04,246183.43295999998,0.1699376106262207,"[0, 1, 1, 2, 2, 2, 3, 1, 5, 2, 2, 0, 0, 3, 1]"
train,a2c_default_42,0,20,-8.0,25,6.920504,6.84,388277.31088,0.1626589298248291,"[0, 3, 2, 1, 1, 2, 4, 1, 0, 5, 1, 1, 1, 2, 1]"
train,a2c_default_42,0,21,-7.0,25,7.210566,7.16,32242.352880000002,0.28560853004455566,"[0, 2, 3, 0, 2, 1, 3, 0, 0, 4, 1, 3, 3, 0, 3]"
train,a2c_default_42,0,22,0.0,25,7.478087,7.36,3.0866000000000007,0.2595527172088623,"[2, 1, 4, 2, 0, 3, 0, 1, 2, 3, 1, 2, 2, 2, 0]"
train,a2c_default_42,0,23,-2.0,25,7.692386,7.4,359823.56860000006,0.20965242385864258,"[1, 2, 1, 2, 4, 1, 3, 1, 1, 2, 2, 1, 1, 1, 2]"
train,a2c_default_42,0,24,-7.0,25,7.850741,9.24,0.29131999999999997,0.15503835678100586,"[1, 1, 0, 3, 1, 3, 1, 4, 1, 5, 1, 2, 1, 0, 1]"
train,a2c_default_42,0,25,-7.0,25,8.060723,9.12,359980.1553200001,0.2036604881286621,"[5, 2, 4, 1, 5, 0, 0, 0, 1, 2, 2, 0, 3, 0, 0]"
train,a2c_default_42,0,26,-5.0,25,8.210441,10.32,0.02336,0.14580106735229492,"[1, 4, 3, 2, 3, 2, 0, 2, 0, 1, 0, 2, 2, 2, 1]"
train,a2c_default_42,0,27,-7.0,25,8.3704,7.12,3.3972799999999994,0.15632414817810059,"[1, 2, 2, 0, 1, 1, 2, 1, 1, 2, 2, 3, 4, 1, 2]"
train,a2c_default_42,0,28,-4.0,25,8.494432,8.84,399425.7852,0.11969637870788574,"[1, 1, 2, 3, 0, 0, 6, 2, 1, 3, 1, 1, 1, 3, 0]"
train,a2c_default_42,0,29,-2.0,25,8.631609,6.6,33879.19776,0.13231706619262695,"[0, 4, 1, 1, 3, 1, 1, 0, 3, 2, 2, 1, 3, 2, 1]"
train,a2c_default_42,0,30,-7.0,25,8.757689,6.6,66006.22272,0.12178993225097656,"[0, 1, 1, 2, 1, 0, 1, 2, 4, 3, 1, 2, 0, 2, 5]"
train,a2c_default_42,0,31,-10.0,25,8.869459,7.6,1104400.24572,0.10879850387573242,"[0, 3, 2, 1, 1, 0, 0, 1, 4, 1, 4, 1, 3, 0, 4]"
train,a2c_default_42,0,32,-7.0,25,8.979519,7.4,2.35244,0.10347938537597656,"[2, 1, 2, 0, 1, 2, 0, 4, 2, 3, 2, 2, 1, 1, 2]"
train,a2c_default_42,0,33,-1.0,25,9.109608,8.32,249.8876,0.1273031234741211,"[1, 3, 1, 2, 3, 1, 0, 0, 3, 2, 2, 2, 1, 1, 3]"
train,a2c_default_42,0,34,-10.0,25,9.234135,8.64,1111770.37948,0.12107348442077637,"[1, 1, 1, 2, 3, 1, 2, 1, 0, 2, 1, 0, 4, 3, 3]"
train,a2c_default_42,0,35,-13.0,25,9.357049,8.08,68685.45236000001,0.12027263641357422,"[1, 1, 3, 1, 0, 4, 2, 2, 0, 5, 1, 0, 3, 0, 2]"
train,a2c_default_42,0,36,-11.0,25,9.692058,7.6,0.21924,0.3318607807159424,"[1, 2, 1, 2, 1, 2, 2, 3, 0, 1, 2, 1, 2, 3, 2]"
train,a2c_default_42,0,37,-5.0,25,9.929314,10.36,759.8888,0.22783136367797852,"[3, 1, 1, 2, 0, 3, 1, 3, 2, 1, 1, 0, 5, 2, 0]"
train,a2c_default_42,0,38,-5.0,25,10.086515,8.92,68746.05064000002,0.1540839672088623,"[2, 1, 3, 0, 2, 1, 1, 1, 1, 1, 3, 1, 3, 2, 3]"
train,a2c_default_42,0,39,-3.0,25,10.230634,7.04,4880.8960400000005,0.13974332809448242,"[2, 5, 1, 0, 2, 2, 1, 1, 2, 2, 0, 0, 2, 3, 2]"
train,a2c_default_42,0,40,-11.0,25,10.36694,9.48,498846.19107999996,0.13313913345336914,"[2, 3, 0, 1, 4, 3, 2, 0, 2, 2, 1, 1, 0, 2, 2]"
train,a2c_default_42,0,41,-9.0,25,10.517008,8.8,471415.09684000013,0.14667510986328125,"[4, 1, 3, 1, 1, 1, 1, 2, 0, 0, 0, 2, 3, 1, 5]"
train,a2c_default_42,0,42,-6.0,25,10.709637,7.96,36.727999999999994,0.18992257118225098,"[1, 2, 4, 3, 0, 1, 2, 3, 1, 2, 4, 1, 0, 1, 0]"
train,a2c_default_42,0,43,-9.0,25,10.853704,7.24,0.17855999999999997,0.14077210426330566,"[2, 1, 3, 0, 0, 2, 2, 2, 0, 1, 1, 2, 1, 3, 5]"
train,a2c_default_42,0,44,-4.0,25,10.989475,8.24,485749.5596800001,0.13158583641052246,"[1, 2, 3, 0, 1, 3, 2, 1, 2, 1, 3, 1, 1, 2, 2]"
train,a2c_default_42,0,45,-10.0,25,11.137953,8.6,0.24316000000000002,0.145341157913208,"[1, 0, 0, 3, 2, 1, 3, 0, 2, 0, 1, 4, 2, 2, 4]"
train,a2c_default_42,0,46,-5.0,25,11.267542,8.4,359702.67872,0.12570929527282715,"[2, 2, 2, 5, 0, 0, 3, 1, 1, 1, 1, 1, 0, 3, 3]"
train,a2c_default_42,0,47,-8.0,25,11.392251,8.68,1906.3193600000002,0.11988162994384766,"[1, 3, 0, 2, 2, 0, 2, 4, 1, 1, 2, 1, 5, 1, 0]"
train,a2c_default_42,0,48,-6.0,25,11.512305,8.4,120013.67111999998,0.11750388145446777,"[2, 2, 1, 3, 2, 2, 2, 0, 0, 4, 0, 1, 3, 2, 1]"
train,a2c_default_42,0,49,-7.0,25,11.613727,9.32,9.361199999999998,0.0986480712890625,"[3, 2, 0, 2, 0, 2, 3, 2, 2, 2, 2, 0, 0, 3, 2]"
train,a2c_default_42,0,50,-3.0,25,11.71028,8.28,22.921799999999998,0.09403324127197266,"[2, 2, 2, 1, 2, 4, 0, 0, 1, 2, 1, 3, 2, 2, 1]"
train,a2c_default_42,0,51,2.0,25,11.80885,6.56,78.02843999999999,0.09513521194458008,"[2, 2, 3, 1, 3, 1, 1, 0, 2, 2, 1, 2, 3, 2, 0]"
train,a2c_default_42,0,52,-8.0,25,11.919498,8.56,1519.43252,0.10815048217773438,"[3, 0, 1, 2, 1, 2, 2, 2, 2, 3, 0, 3, 1, 2, 1]"
train,a2c_default_42,0,53,-7.0,25,12.024959,8.4,4.65388,0.10265898704528809,"[2, 0, 2, 0, 1, 4, 0, 4, 2, 0, 1, 1, 6, 2, 0]"
train,a2c_default_42,0,54,-14.0,25,12.136303,8.84,361.63035999999994,0.10886502265930176,"[1, 1, 2, 3, 3, 2, 2, 0, 1, 1, 1, 2, 0, 4, 2]"
train,a2c_default_42,0,55,-8.0,25,12.256124,7.72,120013.95012,0.11700201034545898,"[3, 2, 1, 0, 0, 3, 1, 3, 3, 0, 3, 0, 1, 3, 2]"
train,a2c_default_42,0,56,-3.0,25,12.348524,9.32,1.7838399999999999,0.08950018882751465,"[2, 1, 2, 0, 0, 3, 4, 1, 1, 0, 4, 1, 2, 1, 3]"
train,a2c_default_42,0,57,-2.0,25,12.454033,7.68,54.41736000000001,0.10305070877075195,"[2, 4, 0, 0, 1, 1, 1, 1, 2, 1, 5, 2, 4, 0, 1]"
train,a2c_default_42,0,58,-2.0,25,12.598153,8.0,1.05904,0.14147686958312988,"[0, 0, 3, 2, 3, 2, 2, 0, 1, 1, 4, 3, 1, 0, 3]"
train,a2c_default_42,0,59,1.0,25,12.734755,8.56,1208.3696400000001,0.13386082649230957,"[1, 0, 3, 4, 1, 0, 1, 2, 1, 2, 1, 1, 3, 4, 1]"
train,a2c_default_42,0,60,-6.0,25,12.856378,7.32,0.6516,0.11815881729125977,"[2, 3, 1, 3, 1, 0, 0, 0, 1, 2, 1, 1, 2, 5, 3]"
train,a2c_default_42,0,61,-3.0,25,12.981766,7.88,1.9302,0.12073636054992676,"[0, 3, 4, 1, 2, 2, 2, 2, 2, 1, 0, 3, 2, 0, 1]"
train,a2c_default_42,0,62,-7.0,25,13.11826,9.08,696885.5915200001,0.13376903533935547,"[0, 1, 1, 3, 5, 2, 3, 1, 0, 0, 2, 3, 3, 0, 1]"
train,a2c_default_42,0,63,-6.0,25,13.241844,7.44,3302.59368,0.12042808532714844,"[1, 2, 0, 3, 0, 1, 2, 3, 6, 0, 2, 1, 2, 0, 2]"
train,a2c_default_42,0,64,2.0,25,13.426869,6.12,71504.5458,0.17268705368041992,"[2, 3, 4, 0, 1, 2, 2, 1, 3, 0, 3, 1, 1, 0, 2]"
train,a2c_default_42,0,65,0.0,25,13.748849,6.12,67853.29075999999,0.31797146797180176,"[0, 4, 2, 2, 1, 0, 0, 1, 4, 5, 1, 1, 1, 1, 2]"
train,a2c_default_42,0,66,-13.0,25,13.957426,8.28,56660.43252000001,0.20342206954956055,"[1, 0, 2, 1, 2, 2, 6, 2, 1, 1, 1, 1, 1, 3, 1]"
train,a2c_default_42,0,67,-4.0,25,14.123808,7.08,120016.1634,0.16182971000671387,"[2, 1, 2, 3, 0, 1, 3, 1, 1, 1, 3, 3, 2, 2, 0]"
train,a2c_default_42,0,68,-3.0,25,14.268206,7.64,1.8388799999999998,0.13920831680297852,"[5, 3, 2, 1, 0, 3, 1, 0, 1, 2, 1, 1, 1, 4, 0]"
train,a2c_default_42,0,69,-2.0,25,14.375954,6.72,4933.512600000001,0.10483694076538086,"[0, 4, 1, 0, 1, 2, 5, 2, 1, 3, 0, 3, 2, 1, 0]"
train,a2c_default_42,0,70,-12.0,25,14.478141,7.68,0.9915999999999999,0.09942460060119629,"[1, 1, 1, 3, 0, 2, 4, 1, 1, 1, 1, 2, 3, 2, 2]"
train,a2c_default_42,0,71,-3.0,25,14.624411,8.52,361715.96304000006,0.14331912994384766,"[4, 2, 1, 0, 2, 1, 1, 2, 0, 1, 2, 1, 5, 1, 2]"
train,a2c_default_42,0,72,-2.0,25,14.774958,6.88,71992.94728,0.1452953815460205,"[2, 3, 2, 2, 0, 1, 2, 1, 2, 1, 0, 2, 2, 3, 2]"
train,a2c_default_42,0,73,5.0,25,14.898299,6.96,168276.12743999998,0.11976814270019531,"[0, 3, 3, 1, 2, 2, 0, 1, 3, 2, 1, 2, 3, 2, 0]"
train,a2c_default_42,0,74,-9.0,25,15.036566,8.68,115891.1906,0.13324809074401855,"[1, 2, 3, 1, 3, 2, 0, 2, 1, 1, 2, 2, 2, 2, 1]"
train,a2c_default_42,0,75,9.0,25,15.183676,6.32,359886.86836,0.14371609687805176,"[4, 2, 4, 1, 1, 0, 0, 1, 3, 2, 1, 1, 1, 1, 3]"
train,a2c_default_42,0,76,-11.0,25,15.297688,9.0,298466.84712000005,0.1110999584197998,"[0, 3, 2, 0, 1, 2, 1, 3, 2, 2, 1, 1, 1, 3, 3]"
train,a2c_default_42,0,77,-5.0,25,15.431777,7.0,57159.196919999995,0.13107752799987793,"[3, 0, 6, 0, 2, 1, 0, 0, 2, 0, 2, 2, 1, 2, 4]"
train,a2c_default_42,0,78,-1.0,25,15.560384,8.0,5.124999999999999,0.1256697177886963,"[3, 2, 1, 2, 2, 3, 1, 1, 3, 2, 2, 1, 0, 0, 2]"
train,a2c_default_42,0,79,5.0,25,15.668264,7.36,114773.8214,0.10438013076782227,"[1, 2, 4, 1, 3, 2, 0, 0, 3, 1, 2, 2, 3, 1, 0]"
train,a2c_default_42,0,80,-1.0,25,15.783001,7.84,1258.83568,0.11191916465759277,"[3, 5, 1, 2, 3, 0, 0, 0, 1, 2, 3, 1, 2, 1, 1]"
train,a2c_default_42,0,81,-3.0,25,15.898197,6.84,11.22296,0.11236381530761719,"[1, 6, 1, 2, 1, 2, 2, 0, 1, 1, 1, 0, 3, 2, 2]"
train,a2c_default_42,0,82,3.0,25,15.993468,7.04,72122.75012,0.09261083602905273,"[2, 1, 3, 4, 1, 0, 0, 2, 2, 2, 0, 0, 6, 2, 0]"
train,a2c_default_42,0,83,0.0,25,16.086802,7.28,455775.09408,0.09033799171447754,"[2, 3, 0, 1, 0, 3, 3, 1, 3, 0, 2, 2, 2, 1, 2]"
train,a2c_default_42,0,84,1.0,25,16.192245,6.84,0.41104000000000007,0.09992408752441406,"[2, 4, 4, 2, 1, 0, 1, 0, 2, 2, 0, 2, 3, 1, 1]"
train,a2c_default_42,0,85,1.0,25,16.302104,6.92,168355.14116,0.1072835922241211,"[0, 2, 5, 1, 1, 2, 2, 1, 2, 1, 1, 1, 4, 0, 2]"
train,a2c_default_42,0,86,7.0,25,16.412209,5.96,1009640.4915200002,0.10684561729431152,"[2, 3, 2, 3, 1, 1, 3, 3, 2, 2, 1, 0, 2, 0, 0]"
train,a2c_default_42,0,87,-4.0,25,16.511621,7.88,352945.9418399999,0.09679961204528809,"[2, 3, 3, 1, 2, 2, 2, 0, 2, 2, 2, 1, 0, 2, 1]"
train,a2c_default_42,0,88,17.0,25,16.610427,5.56,33895.97804,0.09628939628601074,"[1, 5, 3, 0, 1, 1, 1, 0, 5, 1, 1, 2, 2, 1, 1]"
train,a2c_default_42,0,89,11.0,25,16.714877,6.52,359707.16128,0.10154414176940918,"[1, 5, 1, 2, 5, 0, 1, 0, 2, 0, 2, 1, 3, 1, 1]"
train,a2c_default_42,0,90,6.0,25,16.844436,5.28,40.642959999999995,0.12671327590942383,"[3, 3, 3, 1, 1, 1, 1, 1, 2, 1, 1, 0, 4, 2, 1]"
train,a2c_default_42,0,91,-4.0,25,16.959701,7.44,65957.39692000001,0.11215400695800781,"[1, 0, 4, 3, 1, 3, 0, 3, 4, 3, 0, 1, 2, 0, 0]"
train,a2c_default_42,0,92,-6.0,25,17.077957,8.04,625.4135200000001,0.11500906944274902,"[1, 1, 2, 2, 2, 1, 2, 2, 0, 2, 0, 1, 5, 2, 2]"
train,a2c_default_42,0,93,-5.0,25,17.180181,7.0,427568.39048,0.09931349754333496,"[4, 5, 1, 0, 0, 0, 1, 0, 3, 0, 2, 1, 6, 1, 1]"
train,a2c_default_42,0,94,13.0,25,17.308458,5.0,4.89712,0.12561321258544922,"[3, 6, 2, 1, 1, 0, 0, 0, 2, 0, 3, 3, 2, 0, 2]"
train,a2c_default_42,0,95,-6.0,25,17.41935,6.84,427552.11987999995,0.1078178882598877,"[0, 5, 3, 1, 0, 1, 2, 1, 2, 0, 4, 1, 4, 0, 1]"
train,a2c_default_42,0,96,10.0,25,17.543003,6.56,381.61884,0.11616396903991699,"[1, 3, 3, 0, 1, 1, 0, 0, 5, 2, 4, 1, 3, 1, 0]"
train,a2c_default_42,0,97,-4.0,25,17.64178,7.84,70533.42416,0.09573197364807129,"[4, 4, 1, 2, 1, 2, 0, 0, 2, 1, 3, 0, 2, 3, 0]"
train,a2c_default_42,0,98,11.0,25,17.754861,5.84,45.00528,0.11054730415344238,"[2, 4, 3, 0, 2, 0, 0, 1, 6, 0, 1, 1, 5, 0, 0]"
train,a2c_default_42,0,99,-2.0,25,17.854858,7.44,354293.57767999993,0.09744763374328613,"[2, 3, 3, 2, 2, 2, 0, 4, 0, 1, 0, 1, 1, 4, 0]"
train,a2c_default_42,0,100,5.0,25,17.939624,6.64,337240.16664000007,0.08210229873657227,"[0, 7, 2, 1, 2, 1, 0, 0, 2, 1, 1, 3, 3, 2, 0]"
train,a2c_default_42,0,101,14.0,25,18.042162,6.92,271351.53148,0.09981393814086914,"[1, 6, 4, 0, 3, 1, 1, 0, 4, 2, 0, 1, 2, 0, 0]"
train,a2c_default_42,0,102,0.0,25,18.151348,7.52,124.53735999999999,0.10677790641784668,"[1, 3, 4, 1, 0, 1, 1, 3, 2, 3, 2, 1, 1, 1, 1]"
train,a2c_default_42,0,103,-5.0,25,18.262834,8.16,16622.66388,0.10884690284729004,"[1, 3, 0, 4, 1, 1, 0, 3, 4, 2, 1, 0, 3, 1, 1]"
train,a2c_default_42,0,104,-4.0,25,18.354377,7.32,374002.13099999994,0.08909940719604492,"[0, 3, 4, 1, 0, 0, 0, 1, 2, 2, 1, 2, 5, 2, 2]"
train,a2c_default_42,0,105,6.0,25,18.450227,6.8,12.462359999999999,0.09332919120788574,"[2, 3, 4, 3, 1, 0, 1, 0, 1, 2, 2, 3, 2, 0, 1]"
train,a2c_default_42,0,106,8.0,25,18.558116,6.6,478661.47908,0.10534334182739258,"[1, 5, 2, 2, 1, 0, 1, 0, 2, 2, 1, 5, 2, 1, 0]"
train,a2c_default_42,0,107,0.0,25,18.670965,7.32,120051.32284,0.10938692092895508,"[1, 3, 2, 1, 0, 0, 2, 2, 3, 1, 1, 3, 1, 5, 0]"
train,a2c_default_42,0,108,5.0,25,18.779942,6.52,12.04416,0.10630059242248535,"[0, 3, 5, 0, 1, 1, 1, 0, 3, 3, 2, 3, 1, 1, 1]"
train,a2c_default_42,0,109,4.0,25,18.889209,5.56,595081.4700799999,0.10649347305297852,"[2, 5, 3, 1, 0, 0, 1, 2, 4, 0, 1, 2, 1, 1, 2]"
train,a2c_default_42,0,110,14.0,25,18.987995,5.64,33885.17652,0.09576535224914551,"[2, 6, 2, 1, 1, 1, 0, 0, 6, 0, 0, 4, 1, 1, 0]"
train,a2c_default_42,0,111,-7.0,25,19.088141,7.12,678583.97512,0.09730100631713867,"[1, 1, 4, 1, 3, 1, 0, 2, 4, 0, 1, 2, 2, 3, 0]"
train,a2c_default_42,0,112,-6.0,25,19.189864,7.28,237082.83596,0.09853124618530273,"[0, 4, 2, 2, 1, 1, 0, 3, 5, 1, 2, 0, 2, 1, 1]"
