phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,-2750.504,25,2.129577,9.4,119900.89124000001,0.11692118644714355,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,a2c_default_42,0,1,-3898.11,25,2.408838,11.56,359682.03624,0.27121639251708984,"[1, 1, 1, 1, 1, 3, 3, 2, 2, 1, 3, 1, 0, 1, 4]"
train,a2c_default_42,0,2,-3500.111,25,2.561903,10.16,1545.6148799999999,0.14848828315734863,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,a2c_default_42,0,3,-3002.376,25,2.721725,12.4,114728.83216,0.15552496910095215,"[2, 2, 2, 0, 2, 4, 3, 1, 1, 2, 1, 0, 3, 0, 2]"
train,a2c_default_42,0,4,-3000.579,25,2.841426,8.96,65947.85584,0.11599326133728027,"[1, 3, 1, 2, 0, 2, 3, 1, 0, 1, 1, 2, 0, 4, 4]"
train,a2c_default_42,0,5,-3077.75,25,2.958861,9.04,14.98752,0.1146078109741211,"[2, 2, 4, 2, 1, 1, 1, 3, 1, 1, 3, 2, 1, 0, 1]"
train,a2c_default_42,0,6,-4251.847,25,3.080839,7.6,1057.0427200000001,0.1194002628326416,"[1, 0, 2, 2, 2, 0, 5, 0, 3, 1, 3, 0, 1, 3, 2]"
train,a2c_default_42,0,7,-3250.253,25,3.216058,8.88,32236.734160000004,0.1322643756866455,"[4, 2, 2, 2, 1, 4, 0, 1, 1, 1, 1, 2, 1, 0, 3]"
train,a2c_default_42,0,8,-3013.72,25,3.332429,6.36,35.904160000000005,0.11367058753967285,"[2, 3, 5, 2, 1, 0, 0, 0, 3, 2, 0, 4, 1, 2, 0]"
train,a2c_default_42,0,9,-2750.225,25,3.454793,10.8,7.5837200000000005,0.11899495124816895,"[3, 2, 0, 1, 2, 3, 5, 2, 2, 0, 3, 2, 0, 0, 0]"
train,a2c_default_42,0,10,-3222.274,25,3.587312,6.8,356867.01664,0.12993073463439941,"[2, 3, 4, 1, 0, 0, 0, 1, 1, 3, 2, 0, 1, 5, 2]"
train,a2c_default_42,0,11,-2759.259,25,3.678517,9.24,0.37443999999999994,0.08754920959472656,"[1, 3, 0, 4, 0, 5, 1, 2, 1, 1, 0, 1, 3, 2, 1]"
train,a2c_default_42,0,12,-3499.584,25,3.797083,6.44,175.53691999999998,0.1148836612701416,"[1, 4, 2, 1, 2, 3, 0, 1, 1, 4, 0, 3, 3, 0, 0]"
train,a2c_default_42,0,13,-4196.368,25,3.911492,10.16,360108.02268000005,0.11174154281616211,"[3, 1, 1, 2, 2, 2, 1, 4, 0, 1, 1, 3, 0, 3, 1]"
train,a2c_default_42,0,14,-3253.826,25,4.02387,8.08,32.50136,0.10944867134094238,"[3, 0, 1, 1, 0, 1, 4, 3, 2, 2, 1, 2, 2, 1, 2]"
train,a2c_default_42,0,15,-2759.881,25,4.141655,6.4,10.390080000000001,0.11254572868347168,"[0, 1, 0, 2, 0, 1, 1, 7, 3, 3, 2, 1, 2, 2, 0]"
train,a2c_default_42,0,16,-3045.044,25,4.258851,9.48,241035.26211999997,0.11442303657531738,"[1, 0, 3, 1, 1, 3, 0, 4, 2, 2, 1, 2, 1, 2, 2]"
train,a2c_default_42,0,17,-3001.89,25,4.376932,8.04,1079535.9962,0.11544370651245117,"[2, 1, 2, 1, 3, 0, 1, 2, 6, 1, 1, 1, 0, 2, 2]"
train,a2c_default_42,0,18,-3250.451,25,4.474329,10.4,188724.33892,0.09377288818359375,"[1, 2, 1, 1, 5, 3, 1, 2, 3, 2, 0, 4, 0, 0, 0]"
train,a2c_default_42,0,19,-3250.256,25,4.586397,8.4,67758.4154,0.10875105857849121,"[0, 0, 1, 2, 2, 2, 3, 1, 6, 2, 2, 0, 0, 3, 1]"
train,a2c_default_42,0,20,-2640.492,25,4.684701,8.76,30.68908,0.09557008743286133,"[1, 4, 1, 1, 1, 1, 3, 1, 0, 4, 1, 2, 0, 3, 2]"
train,a2c_default_42,0,21,-4021.77,25,4.787238,8.36,441.42100000000005,0.09977960586547852,"[0, 3, 3, 1, 1, 1, 4, 0, 0, 3, 1, 2, 3, 0, 3]"
train,a2c_default_42,0,22,-2501.435,25,4.9066,8.8,1286.5154,0.11641287803649902,"[1, 1, 3, 2, 0, 3, 0, 1, 2, 3, 1, 3, 2, 2, 1]"
train,a2c_default_42,0,23,-3502.703,25,5.010261,10.48,79381.19896000001,0.10110807418823242,"[1, 2, 0, 1, 6, 0, 4, 0, 1, 3, 2, 1, 1, 1, 2]"
train,a2c_default_42,0,24,-3250.349,25,5.110835,10.0,762284.41584,0.09805679321289062,"[1, 1, 0, 4, 2, 4, 0, 3, 2, 3, 1, 1, 2, 0, 1]"
train,a2c_default_42,0,25,-2502.98,25,5.21326,6.6,1079107.5502799999,0.09985494613647461,"[5, 4, 2, 1, 4, 0, 1, 0, 2, 2, 1, 0, 3, 0, 0]"
train,a2c_default_42,0,26,-2809.957,25,5.322958,9.6,287499.31983999995,0.1067347526550293,"[1, 2, 3, 2, 2, 2, 1, 2, 0, 1, 0, 3, 2, 2, 2]"
train,a2c_default_42,0,27,-2260.532,25,5.426834,7.0,1410.4894,0.10115528106689453,"[2, 2, 1, 1, 0, 1, 1, 1, 3, 2, 3, 4, 3, 1, 0]"
train,a2c_default_42,0,28,-3808.004,25,5.529194,8.64,1798632.25032,0.09927797317504883,"[0, 1, 3, 4, 0, 0, 4, 2, 2, 2, 1, 2, 2, 2, 0]"
train,a2c_default_42,0,29,-2022.74,25,5.633934,8.48,356850.65352000005,0.10074305534362793,"[0, 3, 1, 1, 3, 2, 3, 0, 3, 2, 3, 1, 0, 2, 1]"
train,a2c_default_42,0,30,-3353.89,25,5.747343,6.12,67891.32612000001,0.1106114387512207,"[0, 2, 2, 2, 0, 2, 1, 2, 2, 4, 2, 2, 1, 0, 3]"
train,a2c_default_42,0,31,-3840.434,25,5.872877,6.44,719867.32644,0.12300658226013184,"[1, 2, 1, 2, 1, 0, 0, 2, 3, 3, 3, 2, 1, 1, 3]"
train,a2c_default_42,0,32,-2224.956,25,5.975747,6.08,56476.047880000006,0.09298896789550781,"[2, 2, 1, 0, 0, 2, 1, 3, 4, 2, 1, 2, 3, 1, 1]"
train,a2c_default_42,0,33,-3011.791,25,6.104643,8.88,478887.48872,0.12443923950195312,"[1, 3, 2, 1, 3, 0, 0, 0, 2, 2, 1, 3, 2, 1, 4]"
train,a2c_default_42,0,34,-3311.612,25,6.216449,8.84,4859.7794,0.10839438438415527,"[0, 0, 2, 2, 3, 3, 2, 0, 0, 1, 2, 0, 4, 3, 3]"
train,a2c_default_42,0,35,-3013.659,25,6.322401,8.32,36345.569840000004,0.10340094566345215,"[1, 1, 2, 1, 0, 3, 1, 2, 2, 5, 1, 1, 3, 0, 2]"
train,a2c_default_42,0,36,-3750.271,25,6.437419,8.16,362982.77804000006,0.1119534969329834,"[1, 2, 1, 2, 1, 1, 1, 4, 0, 2, 2, 1, 2, 3, 2]"
train,a2c_default_42,0,37,-2756.861,25,6.56346,9.24,2802.77864,0.12335443496704102,"[2, 0, 3, 3, 0, 2, 1, 3, 4, 1, 1, 0, 2, 2, 1]"
train,a2c_default_42,0,38,-3537.736,25,6.658244,10.08,363854.0518799999,0.09189248085021973,"[2, 1, 4, 0, 3, 1, 2, 1, 0, 0, 3, 1, 2, 2, 3]"
train,a2c_default_42,0,39,-3546.841,25,6.773689,7.16,1063705.4280399997,0.11289811134338379,"[2, 4, 0, 0, 3, 2, 2, 1, 2, 2, 1, 0, 2, 2, 2]"
train,a2c_default_42,0,40,-2553.257,25,6.87212,7.88,753.4817600000002,0.0955345630645752,"[1, 3, 0, 1, 4, 2, 3, 1, 3, 1, 1, 0, 1, 2, 2]"
train,a2c_default_42,0,41,-3501.06,25,6.984982,9.76,2706.94452,0.10922837257385254,"[3, 1, 3, 1, 1, 2, 1, 2, 1, 0, 1, 2, 2, 1, 4]"
train,a2c_default_42,0,42,-2279.3,25,7.089126,6.48,124832.64312000001,0.10079526901245117,"[1, 4, 0, 3, 0, 1, 1, 4, 2, 2, 4, 0, 2, 1, 0]"
train,a2c_default_42,0,43,-3791.123,25,7.198461,8.24,3.2944,0.10660076141357422,"[2, 1, 1, 1, 0, 1, 3, 2, 2, 1, 0, 3, 1, 3, 4]"
train,a2c_default_42,0,44,-2257.097,25,7.325195,8.24,0.44416000000000005,0.12421774864196777,"[1, 2, 3, 1, 1, 2, 3, 1, 1, 1, 3, 2, 1, 1, 2]"
train,a2c_default_42,0,45,-3560.59,25,7.441765,7.56,2.6607600000000002,0.11297607421875,"[2, 0, 0, 1, 2, 1, 2, 0, 4, 0, 1, 3, 2, 3, 4]"
train,a2c_default_42,0,46,-3500.695,25,7.548396,8.52,97.509,0.10394406318664551,"[2, 2, 2, 4, 0, 0, 3, 1, 1, 1, 2, 1, 1, 2, 3]"
train,a2c_default_42,0,47,-3090.764,25,7.651195,8.68,65950.5744,0.10021471977233887,"[1, 3, 1, 2, 2, 0, 1, 3, 1, 1, 1, 1, 4, 3, 1]"
train,a2c_default_42,0,48,-3080.003,25,7.754799,7.28,9074.313320000001,0.10088896751403809,"[3, 2, 0, 3, 2, 2, 2, 1, 1, 3, 0, 1, 2, 2, 1]"
train,a2c_default_42,0,49,-3115.177,25,7.856481,8.76,67277.4654,0.09911274909973145,"[2, 3, 0, 3, 2, 1, 4, 2, 1, 3, 3, 0, 0, 0, 1]"
train,a2c_default_42,0,50,-3794.451,25,7.968246,7.88,356716.02028000006,0.10905647277832031,"[2, 1, 3, 1, 2, 3, 1, 2, 1, 2, 2, 1, 3, 1, 0]"
train,a2c_default_42,0,51,-2561.089,25,8.058425,7.72,572.30328,0.08690977096557617,"[4, 1, 2, 2, 2, 1, 2, 0, 1, 3, 1, 2, 2, 2, 0]"
train,a2c_default_42,0,52,-2251.653,25,8.18414,9.28,153893.99696000002,0.12272524833679199,"[3, 0, 2, 3, 0, 2, 2, 2, 2, 4, 0, 3, 1, 0, 1]"
train,a2c_default_42,0,53,-3754.387,25,8.296924,8.56,2.56224,0.10999226570129395,"[3, 0, 1, 0, 1, 3, 0, 4, 2, 1, 2, 1, 3, 3, 1]"
train,a2c_default_42,0,54,-3272.162,25,8.402161,8.92,357838.12172000005,0.10248088836669922,"[2, 2, 2, 3, 3, 0, 2, 0, 1, 2, 1, 3, 0, 2, 2]"
train,a2c_default_42,0,55,-2282.9,25,8.501865,8.12,1.3332399999999998,0.09705162048339844,"[3, 2, 1, 1, 0, 4, 1, 2, 3, 0, 2, 1, 2, 1, 2]"
train,a2c_default_42,0,56,-2257.841,25,8.61396,6.76,65947.2488,0.10952305793762207,"[3, 1, 3, 0, 0, 4, 3, 1, 1, 0, 3, 1, 1, 1, 3]"
