phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,a2c_default_42,0,0,7.17381,25,1.534233,9.4,119900.89124000001,0.10383176803588867,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,a2c_default_42,0,1,-7.328571,25,1.69635,10.72,359682.50500000006,0.15793228149414062,"[1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 2, 0, 1, 4]"
train,a2c_default_42,0,2,0.545238,25,1.797847,9.68,498.59836,0.09853458404541016,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,a2c_default_42,0,3,2.352381,25,1.892597,10.32,14.377159999999998,0.09217691421508789,"[2, 2, 2, 0, 2, 4, 3, 0, 1, 2, 1, 1, 3, 0, 2]"
train,a2c_default_42,0,4,-5.6,25,2.00538,9.12,425823.54595999996,0.11028480529785156,"[1, 3, 1, 1, 1, 1, 2, 1, 0, 2, 2, 2, 0, 5, 3]"
train,a2c_default_42,0,5,1.902381,25,2.104506,10.68,354258.38656,0.09657025337219238,"[4, 2, 3, 2, 1, 1, 1, 2, 2, 1, 3, 1, 1, 0, 1]"
train,a2c_default_42,0,6,-1.65,25,2.203567,8.72,344354.64908,0.09635567665100098,"[1, 0, 2, 3, 2, 0, 3, 0, 3, 1, 3, 0, 1, 3, 3]"
train,a2c_default_42,0,7,-3.502381,25,2.303442,9.68,0.8382,0.0971076488494873,"[4, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 0, 3]"
train,a2c_default_42,0,8,15.595238,25,2.401054,8.2,380.21344000000005,0.09505224227905273,"[1, 3, 5, 3, 3, 0, 0, 0, 3, 2, 0, 3, 1, 1, 0]"
train,a2c_default_42,0,9,-4.12381,25,2.489035,12.08,169448.51816,0.08551144599914551,"[3, 2, 0, 1, 2, 3, 5, 2, 1, 1, 3, 2, 0, 0, 0]"
train,a2c_default_42,0,10,4.4,25,2.588395,7.16,359844.40772,0.09695172309875488,"[2, 3, 3, 0, 2, 0, 0, 1, 0, 3, 3, 0, 1, 5, 2]"
train,a2c_default_42,0,11,3.004762,25,2.680592,9.88,16.29868,0.08959269523620605,"[0, 3, 1, 4, 0, 5, 0, 2, 1, 1, 0, 1, 3, 3, 1]"
train,a2c_default_42,0,12,4.235714,25,2.774655,7.52,2945.8376000000003,0.09155106544494629,"[1, 4, 2, 1, 2, 2, 1, 1, 1, 4, 0, 3, 3, 0, 0]"
train,a2c_default_42,0,13,-3.133333,25,2.860505,9.04,0.04048,0.08323264122009277,"[2, 2, 1, 2, 2, 2, 1, 4, 0, 1, 1, 3, 0, 3, 1]"
train,a2c_default_42,0,14,-5.407143,25,2.978724,7.76,485206.0476800001,0.11570239067077637,"[2, 0, 1, 1, 0, 1, 3, 3, 1, 2, 1, 3, 2, 3, 2]"
train,a2c_default_42,0,15,-8.383333,25,3.090272,8.64,37.67155999999999,0.10885882377624512,"[0, 1, 0, 1, 1, 1, 1, 6, 3, 1, 2, 2, 1, 3, 2]"
train,a2c_default_42,0,16,-4.319048,25,3.196795,10.6,719749.36576,0.10411524772644043,"[1, 0, 4, 1, 1, 3, 0, 4, 2, 2, 1, 3, 1, 1, 1]"
train,a2c_default_42,0,17,-0.883333,25,3.30717,6.32,359846.13623999996,0.10787630081176758,"[2, 1, 2, 1, 3, 2, 1, 0, 4, 1, 2, 1, 0, 2, 3]"
train,a2c_default_42,0,18,-3.290476,25,3.413673,11.76,8.20824,0.10398364067077637,"[0, 2, 1, 1, 5, 4, 1, 3, 2, 2, 0, 4, 0, 0, 0]"
train,a2c_default_42,0,19,2.802381,25,3.52164,9.32,386597.94508000003,0.10433173179626465,"[0, 2, 0, 2, 2, 2, 3, 2, 4, 1, 3, 0, 0, 3, 1]"
train,a2c_default_42,0,20,0.309524,25,3.616519,8.6,23788.383600000005,0.09240484237670898,"[1, 2, 1, 2, 1, 1, 3, 1, 0, 5, 1, 1, 1, 3, 2]"
train,a2c_default_42,0,21,0.342857,25,3.718648,7.2,2826.6795999999995,0.09961676597595215,"[0, 2, 3, 0, 2, 0, 3, 0, 0, 5, 0, 3, 3, 1, 3]"
train,a2c_default_42,0,22,14.17619,25,3.808956,7.2,8.92312,0.08768653869628906,"[4, 0, 3, 2, 1, 3, 0, 1, 2, 3, 1, 1, 2, 2, 0]"
train,a2c_default_42,0,23,2.0,25,3.904788,7.64,0.4725200000000001,0.09337377548217773,"[1, 1, 0, 2, 5, 1, 3, 1, 1, 3, 2, 1, 1, 1, 2]"
train,a2c_default_42,0,24,-4.116667,25,4.0112,8.64,290.84520000000003,0.10378170013427734,"[1, 1, 0, 3, 1, 4, 1, 4, 1, 4, 1, 2, 1, 0, 1]"
train,a2c_default_42,0,25,4.338095,25,4.116085,8.92,2.2741599999999997,0.10225868225097656,"[5, 3, 3, 1, 4, 0, 1, 0, 1, 1, 2, 1, 3, 0, 0]"
train,a2c_default_42,0,26,5.714286,25,4.214445,11.08,19.26376,0.09565496444702148,"[1, 3, 4, 2, 3, 2, 1, 2, 0, 1, 0, 1, 2, 2, 1]"
train,a2c_default_42,0,27,-6.833333,25,4.321978,6.96,35.189679999999996,0.10498166084289551,"[0, 2, 2, 0, 1, 0, 2, 1, 1, 2, 2, 3, 5, 1, 3]"
train,a2c_default_42,0,28,-0.345238,25,4.413343,11.72,241607.46680000002,0.08877348899841309,"[1, 2, 2, 4, 0, 0, 5, 2, 1, 3, 1, 1, 1, 2, 0]"
train,a2c_default_42,0,29,5.969048,25,4.509768,8.48,122933.63103999998,0.09386897087097168,"[0, 2, 1, 1, 3, 1, 3, 0, 3, 2, 2, 1, 2, 3, 1]"
train,a2c_default_42,0,30,6.961905,25,4.605115,6.96,0.15388,0.09287786483764648,"[0, 1, 3, 1, 1, 1, 1, 2, 2, 4, 1, 2, 1, 1, 4]"
train,a2c_default_42,0,31,-7.1,25,4.71414,7.44,34501.882880000005,0.10656547546386719,"[0, 2, 1, 1, 1, 0, 0, 1, 4, 2, 4, 1, 3, 0, 5]"
train,a2c_default_42,0,32,1.242857,25,4.812221,7.4,39.85248,0.09121155738830566,"[2, 1, 2, 0, 1, 2, 0, 4, 2, 3, 2, 2, 0, 1, 3]"
train,a2c_default_42,0,33,7.533333,25,4.916923,7.12,4872.037520000001,0.10208773612976074,"[1, 3, 1, 1, 3, 0, 0, 0, 2, 2, 1, 3, 2, 2, 4]"
train,a2c_default_42,0,34,10.211905,25,5.004457,7.76,25.23944,0.08484339714050293,"[1, 1, 2, 2, 3, 1, 3, 0, 0, 2, 2, 0, 3, 3, 2]"
train,a2c_default_42,0,35,5.65,25,5.107828,8.04,71357.68892,0.10082769393920898,"[1, 1, 3, 1, 0, 4, 2, 2, 0, 5, 1, 0, 3, 0, 2]"
train,a2c_default_42,0,36,3.345238,25,5.210549,7.84,2.49104,0.10024237632751465,"[1, 1, 0, 3, 1, 1, 1, 4, 1, 2, 2, 1, 2, 3, 2]"
train,a2c_default_42,0,37,-4.680952,25,5.308352,10.2,0.03803999999999999,0.09518265724182129,"[3, 1, 2, 2, 0, 2, 1, 3, 2, 1, 1, 0, 3, 3, 1]"
train,a2c_default_42,0,38,-2.597619,25,5.41309,9.6,479045.64576000004,0.1021420955657959,"[2, 2, 3, 0, 1, 1, 1, 1, 1, 1, 3, 1, 3, 3, 2]"
train,a2c_default_42,0,39,7.464286,25,5.516055,8.24,1.62492,0.10012984275817871,"[1, 4, 1, 0, 2, 2, 1, 1, 2, 3, 0, 0, 2, 3, 3]"
train,a2c_default_42,0,40,6.95,25,5.6148,9.28,0.026719999999999997,0.09531712532043457,"[2, 2, 0, 2, 4, 3, 2, 1, 2, 1, 1, 1, 0, 2, 2]"
train,a2c_default_42,0,41,-1.614286,25,5.729703,8.88,8.29612,0.11226940155029297,"[5, 1, 3, 2, 1, 1, 1, 2, 1, 0, 1, 2, 1, 1, 3]"
train,a2c_default_42,0,42,6.27619,25,5.824293,8.56,356831.74023999996,0.09195566177368164,"[1, 2, 3, 3, 1, 0, 1, 3, 0, 3, 4, 2, 1, 1, 0]"
train,a2c_default_42,0,43,-9.919048,25,5.915635,8.52,0.51096,0.08887338638305664,"[2, 1, 3, 1, 0, 1, 3, 2, 1, 0, 0, 3, 2, 3, 3]"
train,a2c_default_42,0,44,6.302381,25,6.016356,8.6,79.88899999999998,0.09817051887512207,"[1, 2, 3, 0, 1, 2, 3, 1, 2, 1, 3, 1, 1, 2, 2]"
train,a2c_default_42,0,45,-0.783333,25,6.10485,6.64,1.1814399999999998,0.08603811264038086,"[2, 1, 1, 2, 2, 2, 2, 0, 2, 0, 0, 4, 1, 2, 4]"
train,a2c_default_42,0,46,-1.619048,25,6.226149,7.56,2.5804400000000003,0.11880183219909668,"[2, 1, 1, 3, 0, 0, 3, 1, 1, 1, 1, 2, 2, 2, 5]"
train,a2c_default_42,0,47,-2.0,25,6.322675,8.32,1.0634,0.09412240982055664,"[1, 1, 2, 2, 1, 0, 1, 4, 1, 1, 2, 2, 3, 4, 0]"
train,a2c_default_42,0,48,9.397619,25,6.42124,9.12,598175.7892,0.09591388702392578,"[2, 3, 0, 3, 2, 2, 2, 1, 1, 3, 0, 1, 2, 2, 1]"
train,a2c_default_42,0,49,1.269048,25,6.51323,9.24,359885.73136,0.08947634696960449,"[2, 4, 0, 2, 2, 2, 2, 2, 1, 3, 3, 0, 0, 1, 1]"
train,a2c_default_42,0,50,8.009524,25,6.615816,7.72,356897.22824,0.10010719299316406,"[2, 2, 2, 1, 2, 3, 0, 0, 1, 2, 1, 3, 3, 2, 1]"
train,a2c_default_42,0,51,5.059524,25,6.709559,6.48,2.51964,0.09113121032714844,"[2, 0, 2, 1, 3, 1, 2, 0, 1, 3, 1, 3, 2, 3, 1]"
train,a2c_default_42,0,52,-11.757143,25,6.839064,9.48,1427.46012,0.12707090377807617,"[1, 0, 1, 2, 0, 2, 4, 3, 2, 4, 0, 2, 3, 1, 0]"
train,a2c_default_42,0,53,3.354762,25,6.933431,8.96,1519.2698400000002,0.09107112884521484,"[2, 0, 1, 0, 1, 3, 0, 5, 1, 2, 2, 0, 5, 3, 0]"
train,a2c_default_42,0,54,-0.516667,25,7.039138,8.24,27.7202,0.10311460494995117,"[2, 1, 2, 3, 3, 0, 2, 0, 2, 1, 1, 3, 0, 3, 2]"
train,a2c_default_42,0,55,4.330952,25,7.157214,10.04,123219.57367999999,0.11545729637145996,"[4, 1, 1, 1, 0, 3, 1, 2, 3, 0, 4, 0, 1, 2, 2]"
train,a2c_default_42,0,56,-3.240476,25,7.26734,9.44,559.9270799999999,0.1068563461303711,"[2, 1, 3, 0, 0, 4, 3, 1, 1, 0, 4, 1, 1, 1, 3]"
train,a2c_default_42,0,57,15.033333,25,7.38351,5.8,6.17236,0.11326217651367188,"[1, 4, 0, 0, 2, 2, 1, 0, 2, 3, 4, 2, 3, 0, 1]"
train,a2c_default_42,0,58,4.111905,25,7.481332,9.64,359702.6923599999,0.0949094295501709,"[1, 0, 1, 3, 2, 2, 3, 0, 0, 2, 4, 2, 1, 0, 4]"
train,a2c_default_42,0,59,4.985714,25,7.589726,8.68,38.67592,0.1057136058807373,"[3, 0, 4, 2, 2, 1, 1, 3, 1, 2, 1, 2, 1, 1, 1]"
train,a2c_default_42,0,60,2.219048,25,7.698363,9.2,359844.38287999993,0.10610198974609375,"[2, 2, 2, 1, 2, 1, 0, 1, 2, 2, 1, 2, 1, 3, 3]"
train,a2c_default_42,0,61,4.009524,25,7.799228,9.76,27.297080000000005,0.09837102890014648,"[1, 3, 2, 2, 1, 3, 1, 1, 3, 3, 0, 3, 0, 1, 1]"
train,a2c_default_42,0,62,-1.695238,25,7.907314,8.52,21.038719999999998,0.10540080070495605,"[0, 0, 0, 4, 5, 3, 3, 1, 0, 0, 3, 3, 2, 0, 1]"
train,a2c_default_42,0,63,4.983333,25,8.004399,9.28,3064.7528399999997,0.09459447860717773,"[0, 1, 0, 3, 1, 2, 2, 2, 5, 0, 3, 1, 1, 1, 3]"
train,a2c_default_42,0,64,10.95,25,8.120978,6.84,7.564640000000001,0.11013364791870117,"[2, 3, 2, 0, 2, 2, 2, 2, 1, 0, 4, 1, 1, 1, 2]"
train,a2c_default_42,0,65,9.052381,25,8.217012,7.4,6561.338159999998,0.09256839752197266,"[1, 3, 2, 0, 1, 0, 1, 0, 4, 4, 1, 2, 2, 1, 3]"
train,a2c_default_42,0,66,2.857143,25,8.308232,9.12,3.6888399999999995,0.08870840072631836,"[1, 0, 2, 2, 2, 1, 4, 3, 1, 1, 3, 1, 1, 2, 1]"
train,a2c_default_42,0,67,2.221429,25,8.411224,7.4,3.40544,0.10045146942138672,"[2, 0, 1, 2, 0, 1, 3, 2, 3, 2, 3, 3, 2, 1, 0]"
train,a2c_default_42,0,68,14.483333,25,8.523803,5.32,2.54076,0.11007523536682129,"[4, 2, 1, 1, 1, 3, 1, 0, 1, 1, 2, 1, 1, 5, 1]"
train,a2c_default_42,0,69,3.242857,25,8.618178,9.52,112930.81452000001,0.09188270568847656,"[1, 2, 0, 0, 1, 2, 4, 3, 1, 3, 2, 3, 1, 2, 0]"
train,a2c_default_42,0,70,4.709524,25,8.725799,8.88,145.6902,0.1052091121673584,"[2, 2, 1, 1, 0, 3, 4, 1, 2, 1, 1, 2, 4, 0, 1]"
train,a2c_default_42,0,71,4.47381,25,8.818183,10.68,714462.51616,0.08977913856506348,"[4, 2, 4, 0, 1, 3, 1, 1, 0, 1, 1, 1, 2, 2, 2]"
train,a2c_default_42,0,72,6.695238,25,8.913141,8.48,337235.76288000005,0.09229278564453125,"[3, 2, 2, 1, 1, 1, 3, 0, 2, 1, 0, 3, 2, 1, 3]"
train,a2c_default_42,0,73,-3.766667,25,9.003435,11.16,722077.43244,0.08707427978515625,"[0, 3, 2, 2, 2, 1, 0, 1, 2, 1, 2, 2, 3, 3, 1]"
train,a2c_default_42,0,74,-1.290476,25,9.114475,8.76,263.25695999999994,0.10845661163330078,"[2, 1, 2, 1, 3, 2, 0, 2, 2, 1, 2, 3, 0, 3, 1]"
train,a2c_default_42,0,75,17.295238,25,9.218883,4.96,36.96943999999999,0.10188889503479004,"[4, 1, 2, 1, 1, 1, 0, 2, 2, 3, 3, 1, 0, 1, 3]"
train,a2c_default_42,0,76,-7.32381,25,9.30707,9.48,359874.85063999996,0.08563518524169922,"[0, 2, 3, 2, 1, 3, 1, 3, 1, 1, 1, 1, 1, 2, 3]"
train,a2c_default_42,0,77,5.659524,25,9.395846,8.36,0.34996000000000005,0.0862574577331543,"[4, 0, 2, 0, 3, 2, 0, 0, 2, 0, 2, 2, 1, 4, 3]"
train,a2c_default_42,0,78,10.72619,25,9.491402,8.24,1418341.2717200003,0.0931081771850586,"[5, 2, 1, 1, 3, 2, 2, 0, 3, 1, 1, 2, 1, 0, 1]"
train,a2c_default_42,0,79,4.019048,25,9.591488,8.44,132662.11299999998,0.09739828109741211,"[2, 2, 1, 1, 3, 5, 0, 0, 3, 1, 1, 3, 1, 2, 0]"
train,a2c_default_42,0,80,8.57619,25,9.686782,6.24,146.39884,0.09270262718200684,"[3, 3, 0, 2, 2, 0, 0, 1, 1, 3, 2, 1, 2, 2, 3]"
train,a2c_default_42,0,81,-1.980952,25,9.8127,8.44,119943.93324000003,0.12339138984680176,"[1, 2, 0, 2, 1, 1, 3, 1, 2, 3, 1, 0, 4, 2, 2]"
train,a2c_default_42,0,82,4.47619,25,9.919686,7.0,0.06392,0.10424280166625977,"[3, 2, 0, 3, 0, 1, 0, 1, 2, 2, 2, 1, 5, 2, 1]"
train,a2c_default_42,0,83,17.745238,25,10.006592,7.76,901.96348,0.08419370651245117,"[2, 3, 0, 1, 0, 3, 3, 2, 2, 1, 1, 2, 2, 1, 2]"
train,a2c_default_42,0,84,11.011905,25,10.101949,6.24,112968.86984000001,0.09275245666503906,"[5, 0, 2, 0, 2, 1, 1, 1, 3, 1, 2, 3, 2, 1, 1]"
train,a2c_default_42,0,85,5.952381,25,10.213345,7.16,168650.02088000003,0.10848712921142578,"[1, 1, 2, 2, 1, 2, 3, 1, 2, 1, 4, 1, 2, 0, 2]"
train,a2c_default_42,0,86,-2.845238,25,10.325983,8.04,3.54584,0.10986447334289551,"[2, 1, 1, 1, 3, 2, 4, 3, 2, 1, 0, 1, 3, 1, 0]"
train,a2c_default_42,0,87,3.083333,25,10.429718,8.04,0.36396,0.10115814208984375,"[3, 3, 1, 1, 2, 4, 2, 0, 1, 2, 1, 3, 0, 1, 1]"
train,a2c_default_42,0,88,7.438095,25,10.527158,7.2,122724.06688,0.0949850082397461,"[1, 3, 3, 0, 0, 1, 2, 0, 1, 2, 0, 2, 2, 4, 4]"
train,a2c_default_42,0,89,12.885714,25,10.615463,8.76,2.3368800000000003,0.08575582504272461,"[1, 4, 3, 2, 5, 1, 2, 0, 1, 1, 1, 1, 1, 1, 1]"
train,a2c_default_42,0,90,-6.466667,25,10.707571,8.44,122.412,0.08961153030395508,"[3, 3, 0, 3, 2, 1, 1, 2, 1, 2, 1, 0, 2, 3, 1]"
train,a2c_default_42,0,91,-2.083333,25,10.817374,6.88,622.82384,0.10726380348205566,"[1, 0, 1, 2, 0, 3, 3, 4, 3, 3, 0, 2, 2, 1, 0]"
train,a2c_default_42,0,92,0.488095,25,10.924717,8.48,119018.29419999997,0.10484600067138672,"[0, 0, 2, 1, 3, 3, 1, 2, 1, 2, 0, 1, 4, 2, 3]"
train,a2c_default_42,0,93,14.592857,25,11.022359,6.2,4854.7901600000005,0.09507060050964355,"[6, 5, 0, 1, 0, 2, 0, 1, 1, 0, 1, 2, 4, 1, 1]"
train,a2c_default_42,0,94,-0.87381,25,11.129928,7.24,482419.3196,0.10491347312927246,"[1, 0, 0, 2, 1, 4, 2, 2, 2, 1, 4, 3, 0, 1, 2]"
