phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_default_42,0,0,28.0,25,2.543542,50.08,1009.6137599999998,1.0580697059631348,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_default_42,0,1,77.0,25,3.422146,35.48,986.2838399999999,0.8738481998443604,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,2,39.0,25,4.437836,43.84,1067.6452399999998,1.0123908519744873,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_default_42,0,3,19.0,25,5.240715,53.36,1024.13208,0.8000655174255371,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,4,56.0,25,6.509019,45.0,1011.81808,1.2643532752990723,"[1, 0, 1, 3, 1, 2, 1, 3, 3, 3, 2, 2, 1, 1, 1]"
train,maskable_ppo_default_42,0,5,19.0,25,8.686968,47.0,1011.7132799999999,2.1737864017486572,"[4, 2, 4, 1, 3, 0, 2, 0, 3, 1, 2, 2, 0, 0, 1]"
train,maskable_ppo_default_42,0,6,35.0,25,10.232373,58.36,1047.1648400000001,1.542100429534912,"[4, 2, 3, 2, 1, 3, 2, 0, 3, 2, 2, 0, 0, 0, 1]"
train,maskable_ppo_default_42,0,7,57.0,25,11.32958,59.2,1102.198,1.0940074920654297,"[2, 3, 2, 0, 2, 2, 0, 1, 4, 1, 4, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,8,34.0,25,12.49173,48.16,1086.001,1.1587193012237549,"[4, 2, 1, 2, 1, 3, 2, 1, 4, 2, 3, 0, 0, 0, 0]"
train,maskable_ppo_default_42,0,9,19.0,25,13.625607,57.72,1038.18008,1.1301469802856445,"[6, 0, 4, 0, 5, 0, 0, 1, 2, 2, 2, 1, 2, 0, 0]"
train,maskable_ppo_default_42,0,10,60.0,25,15.007049,53.68,1010.97216,1.3653523921966553,"[1, 1, 6, 2, 1, 2, 1, 1, 2, 1, 0, 4, 1, 1, 1]"
train,maskable_ppo_default_42,0,11,30.0,25,15.888888,56.96,1120.84712,0.8783128261566162,"[6, 3, 5, 1, 1, 1, 0, 0, 2, 1, 1, 0, 1, 1, 2]"
