phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_default_42,0,0,-25240.344,25,3.894048,50.08,1009.6137599999998,1.0345821380615234,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_default_42,0,1,-24657.096,25,4.887287,35.48,986.2838399999999,0.9810347557067871,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,2,-26691.131,25,5.914049,43.84,1067.6452399999998,1.0226151943206787,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_default_42,0,3,-25603.302,25,6.962463,53.36,1024.13208,1.044611930847168,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,4,-25295.452,25,7.950884,45.0,1011.81808,0.9844894409179688,"[1, 0, 1, 3, 1, 2, 1, 3, 3, 3, 2, 2, 1, 1, 1]"
train,maskable_ppo_default_42,0,5,-25292.832,25,9.264883,47.0,1011.7132799999999,1.3102388381958008,"[4, 2, 4, 1, 3, 0, 2, 0, 3, 1, 2, 2, 0, 0, 1]"
train,maskable_ppo_default_42,0,6,-26179.121,25,10.325979,58.36,1047.1648400000001,1.0572242736816406,"[4, 2, 3, 2, 1, 3, 2, 0, 3, 2, 2, 0, 0, 0, 1]"
train,maskable_ppo_default_42,0,7,-25540.745,25,11.35692,57.56,1021.6298000000002,1.0271387100219727,"[1, 2, 3, 0, 3, 2, 0, 1, 3, 1, 4, 2, 1, 1, 1]"
train,maskable_ppo_default_42,0,8,-27150.025,25,12.458962,48.16,1086.001,1.0979194641113281,"[4, 2, 1, 2, 1, 3, 2, 1, 4, 2, 3, 0, 0, 0, 0]"
train,maskable_ppo_default_42,0,9,-26638.708,25,13.511399,59.32,1065.5483199999999,1.0486207008361816,"[6, 1, 4, 0, 5, 0, 0, 1, 2, 2, 2, 0, 2, 0, 0]"
train,maskable_ppo_default_42,0,10,-25436.723,25,14.733615,54.48,1017.46892,1.2182505130767822,"[1, 3, 5, 3, 1, 3, 0, 0, 2, 1, 1, 4, 0, 1, 0]"
train,maskable_ppo_default_42,0,11,-26164.187,25,15.720015,46.48,1046.5674800000002,0.9825155735015869,"[5, 5, 4, 2, 1, 0, 1, 0, 1, 1, 2, 0, 1, 1, 1]"
train,maskable_ppo_default_42,0,12,-25884.922,25,16.766798,48.4,1035.39688,1.043029546737671,"[2, 5, 2, 2, 2, 1, 0, 0, 4, 1, 3, 1, 1, 1, 0]"
train,maskable_ppo_default_42,0,13,-25850.09,25,17.807426,45.48,1034.0035999999998,1.0364317893981934,"[3, 6, 5, 1, 0, 0, 1, 1, 5, 1, 0, 0, 1, 1, 0]"
train,maskable_ppo_default_42,0,14,-24262.927,25,18.819473,43.12,970.5170799999999,1.0081617832183838,"[6, 0, 3, 3, 3, 0, 0, 0, 1, 4, 2, 1, 0, 2, 0]"
train,maskable_ppo_default_42,0,15,-29039.906,25,20.113992,60.16,1161.59624,1.2904706001281738,"[3, 2, 2, 1, 2, 1, 0, 0, 10, 1, 1, 1, 0, 0, 1]"
train,maskable_ppo_default_42,0,16,-26790.106,25,21.258148,50.28,1071.60424,1.1401715278625488,"[5, 2, 3, 1, 2, 2, 1, 0, 3, 1, 2, 2, 1, 0, 0]"
train,maskable_ppo_default_42,0,17,-27878.832,25,22.485991,40.2,1115.15328,1.2238545417785645,"[2, 4, 2, 2, 1, 3, 2, 0, 1, 3, 2, 0, 1, 2, 0]"
train,maskable_ppo_default_42,0,18,-25820.098,25,23.644881,49.28,1032.80392,1.1548445224761963,"[3, 3, 2, 4, 0, 1, 1, 0, 2, 0, 2, 3, 4, 0, 0]"
train,maskable_ppo_default_42,0,19,-26925.449,25,24.779908,55.36,1077.01796,1.1308529376983643,"[3, 4, 3, 2, 1, 1, 0, 0, 3, 2, 1, 3, 0, 1, 1]"
train,maskable_ppo_default_42,0,20,-25943.97,25,26.50681,48.76,1037.7588,1.7229905128479004,"[2, 4, 1, 3, 2, 0, 0, 2, 3, 1, 3, 1, 3, 0, 0]"
train,maskable_ppo_default_42,0,21,-25479.297,25,27.679075,47.2,1019.17188,1.1681244373321533,"[4, 3, 3, 1, 5, 0, 2, 2, 0, 1, 3, 0, 0, 1, 0]"
train,maskable_ppo_default_42,0,22,-25610.303,25,28.871862,55.96,1024.4121200000002,1.188173770904541,"[4, 3, 1, 2, 2, 0, 0, 0, 5, 4, 2, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,23,-27023.081,25,30.020098,39.2,1080.9232399999999,1.1441841125488281,"[1, 3, 2, 2, 2, 4, 1, 1, 2, 0, 2, 5, 0, 0, 0]"
train,maskable_ppo_default_42,0,24,-26009.102,25,31.228936,55.64,1040.36408,1.2046945095062256,"[3, 3, 4, 1, 2, 1, 0, 1, 1, 0, 1, 4, 2, 1, 1]"
train,maskable_ppo_default_42,0,25,-25683.278,25,32.548336,52.0,1027.3311199999998,1.3133149147033691,"[1, 2, 4, 3, 1, 4, 1, 0, 1, 2, 1, 2, 1, 2, 0]"
train,maskable_ppo_default_42,0,26,-26222.217,25,33.651992,50.2,1048.8886800000002,1.0993735790252686,"[2, 6, 1, 2, 1, 3, 0, 1, 0, 4, 2, 2, 0, 0, 1]"
train,maskable_ppo_default_42,0,27,-25585.12,25,34.821314,43.52,1023.4047999999999,1.1651923656463623,"[4, 2, 4, 2, 2, 1, 2, 1, 3, 0, 2, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,28,-27032.375,25,36.039937,54.36,1081.2949999999998,1.2144980430603027,"[6, 1, 3, 1, 3, 0, 1, 0, 3, 3, 0, 2, 1, 0, 1]"
train,maskable_ppo_default_42,0,29,-25765.547,25,37.157913,44.52,1030.62188,1.113569736480713,"[1, 3, 5, 1, 0, 2, 1, 1, 2, 1, 4, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,30,-25833.402,25,38.52471,55.12,1033.33608,1.3627665042877197,"[1, 5, 1, 2, 3, 1, 0, 1, 3, 1, 4, 1, 1, 1, 0]"
