phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_multi_balanced_42,0,0,-98.20172,25,2.008855,50.08,1009.6137599999998,0.8652205467224121,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_multi_balanced_42,0,1,-46.28548,25,2.657039,35.48,986.2838399999999,0.6446411609649658,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,2,-94.455655,25,3.376386,43.84,1067.6452399999998,0.716726541519165,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_multi_balanced_42,0,3,-109.01651,25,4.114788,53.36,1024.13208,0.7355420589447021,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,4,-68.45046,25,4.839692,44.4,1011.6036800000002,0.7218337059020996,"[1, 0, 1, 2, 2, 3, 2, 2, 3, 3, 1, 2, 1, 1, 1]"
train,maskable_ppo_multi_balanced_42,0,5,-91.65587,25,5.654857,47.12,1157.2469600000002,0.8124995231628418,"[4, 2, 3, 0, 3, 1, 1, 0, 4, 2, 2, 3, 0, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,6,-127.260315,25,6.507976,66.24,1026.0825200000002,0.8496909141540527,"[4, 3, 6, 1, 0, 2, 1, 0, 2, 2, 3, 0, 0, 0, 1]"
train,maskable_ppo_multi_balanced_42,0,7,-90.072135,25,7.413307,53.64,1064.57708,0.9019718170166016,"[2, 1, 1, 6, 2, 1, 1, 0, 2, 3, 3, 1, 1, 0, 1]"
train,maskable_ppo_multi_balanced_42,0,8,-102.11732,25,8.253129,48.32,1032.9385599999998,0.836409330368042,"[5, 2, 1, 0, 1, 1, 2, 2, 3, 4, 2, 1, 0, 0, 1]"
train,maskable_ppo_multi_balanced_42,0,9,-76.61689,25,9.053643,43.76,1076.93512,0.7978873252868652,"[6, 0, 4, 0, 5, 1, 0, 1, 2, 1, 2, 1, 2, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,10,-70.9175,25,9.807394,45.28,991.34,0.7498161792755127,"[2, 2, 6, 2, 2, 1, 2, 1, 3, 1, 1, 2, 0, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,11,-92.193085,25,10.593123,48.96,1049.54468,0.7826352119445801,"[6, 2, 3, 1, 1, 2, 2, 0, 1, 3, 2, 0, 0, 0, 2]"
train,maskable_ppo_multi_balanced_42,0,12,-95.642405,25,11.406742,49.48,1037.13924,0.8107948303222656,"[2, 6, 4, 0, 2, 0, 0, 0, 5, 0, 2, 2, 2, 0, 0]"
train,maskable_ppo_multi_balanced_42,0,13,-66.780995,25,12.212301,43.28,1054.24796,0.8013722896575928,"[1, 4, 4, 1, 1, 0, 2, 1, 4, 2, 1, 0, 1, 3, 0]"
train,maskable_ppo_multi_balanced_42,0,14,-157.28256,25,13.074291,52.2,1322.2604800000001,0.8588221073150635,"[5, 2, 3, 2, 2, 0, 1, 0, 1, 3, 4, 0, 0, 2, 0]"
train,maskable_ppo_multi_balanced_42,0,15,-69.54305,25,13.758426,52.28,1060.3444,0.6815776824951172,"[2, 2, 3, 2, 2, 1, 0, 1, 6, 1, 0, 1, 1, 1, 2]"
train,maskable_ppo_multi_balanced_42,0,16,-75.878935,25,15.384544,52.4,1015.03148,1.6234941482543945,"[6, 2, 3, 1, 1, 2, 2, 1, 3, 0, 1, 0, 2, 0, 1]"
