phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_multi_cost_lean_42,0,0,2.759656,25,1.693876,50.08,1009.6137599999998,0.6673309803009033,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_multi_cost_lean_42,0,1,52.342904,25,2.272391,35.48,986.2838399999999,0.5749883651733398,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_multi_cost_lean_42,0,2,12.308869,25,2.948499,43.84,1067.6452399999998,0.673607349395752,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_multi_cost_lean_42,0,3,-6.603302,25,3.764993,53.36,1024.13208,0.8140695095062256,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_multi_cost_lean_42,0,4,32.709908,25,4.48912,44.4,1011.6036800000002,0.7207622528076172,"[1, 0, 1, 2, 2, 3, 2, 2, 3, 3, 1, 2, 1, 1, 1]"
train,maskable_ppo_multi_cost_lean_42,0,5,24.068826,25,5.292053,47.12,1157.2469600000002,0.8003625869750977,"[4, 2, 3, 0, 3, 1, 1, 0, 4, 2, 2, 3, 0, 0, 0]"
train,maskable_ppo_multi_cost_lean_42,0,6,-24.652063,25,5.939355,66.24,1026.0825200000002,0.6447339057922363,"[4, 3, 6, 1, 0, 2, 1, 0, 2, 2, 3, 0, 0, 0, 1]"
train,maskable_ppo_multi_cost_lean_42,0,7,16.385573,25,6.628668,53.64,1064.57708,0.6865565776824951,"[2, 1, 1, 6, 2, 1, 1, 0, 2, 3, 3, 1, 1, 0, 1]"
train,maskable_ppo_multi_cost_lean_42,0,8,1.176536,25,7.430266,48.32,1032.9385599999998,0.7989857196807861,"[5, 2, 1, 0, 1, 1, 2, 2, 3, 4, 2, 1, 0, 0, 1]"
train,maskable_ppo_multi_cost_lean_42,0,9,31.076622,25,8.302072,43.76,1076.93512,0.865093469619751,"[6, 0, 4, 0, 5, 1, 0, 1, 2, 1, 2, 1, 2, 0, 0]"
