phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_multi_lat_lean_42,0,0,-476.80688,25,2.562657,50.08,1009.6137599999998,0.8167293071746826,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_multi_lat_lean_42,0,1,-416.14192,25,3.422464,35.48,986.2838399999999,0.8561298847198486,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,2,-494.82262,25,4.385616,43.84,1067.6452399999998,0.9603571891784668,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_multi_lat_lean_42,0,3,-493.06604,25,5.412015,53.36,1024.13208,1.0219635963439941,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,4,-447.80184,25,6.130521,44.4,1011.6036800000002,0.7157955169677734,"[1, 0, 1, 2, 2, 3, 2, 2, 3, 3, 1, 2, 1, 1, 1]"
train,maskable_ppo_multi_lat_lean_42,0,5,-525.62348,25,7.018375,47.12,1157.2469600000002,0.8851876258850098,"[4, 2, 3, 0, 3, 1, 1, 0, 4, 2, 2, 3, 0, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,6,-512.04126,25,7.926774,66.24,1026.0825200000002,0.9055864810943604,"[4, 3, 6, 1, 0, 2, 1, 0, 2, 2, 3, 0, 0, 0, 1]"
train,maskable_ppo_multi_lat_lean_42,0,7,-489.28854,25,8.810952,53.64,1064.57708,0.8793656826019287,"[2, 1, 1, 6, 2, 1, 1, 0, 2, 3, 3, 1, 1, 0, 1]"
train,maskable_ppo_multi_lat_lean_42,0,8,-489.46928,25,9.963368,48.32,1032.9385599999998,1.1489601135253906,"[5, 2, 1, 0, 1, 1, 2, 2, 3, 4, 2, 1, 0, 0, 1]"
train,maskable_ppo_multi_lat_lean_42,0,9,-480.46756,25,11.000415,43.76,1076.93512,1.032778263092041,"[6, 0, 4, 0, 5, 1, 0, 1, 2, 1, 2, 1, 2, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,10,-442.67,25,11.926813,45.28,991.34,0.9221944808959961,"[2, 2, 6, 2, 2, 1, 2, 1, 3, 1, 1, 2, 0, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,11,-485.77234,25,12.801826,48.96,1049.54468,0.8719356060028076,"[6, 2, 3, 1, 1, 2, 2, 0, 1, 3, 2, 0, 0, 0, 2]"
train,maskable_ppo_multi_lat_lean_42,0,12,-484.56962,25,13.667194,49.48,1037.13924,0.8616929054260254,"[2, 6, 4, 0, 2, 0, 0, 0, 5, 0, 2, 2, 2, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,13,-462.12398,25,14.50852,43.28,1054.24796,0.8377299308776855,"[1, 4, 4, 1, 1, 0, 2, 1, 4, 2, 1, 0, 1, 3, 0]"
train,maskable_ppo_multi_lat_lean_42,0,14,-653.13024,25,15.309433,52.2,1322.2604800000001,0.797107458114624,"[5, 2, 3, 2, 2, 0, 1, 0, 1, 3, 4, 0, 0, 2, 0]"
train,maskable_ppo_multi_lat_lean_42,0,15,-467.1722,25,16.187768,52.28,1060.3444,0.8755786418914795,"[2, 2, 3, 2, 2, 1, 0, 1, 6, 1, 0, 1, 1, 1, 2]"
train,maskable_ppo_multi_lat_lean_42,0,16,-456.51574,25,17.101465,52.4,1015.03148,0.9106283187866211,"[6, 2, 3, 1, 1, 2, 2, 1, 3, 0, 1, 0, 2, 0, 1]"
train,maskable_ppo_multi_lat_lean_42,0,17,-500.46254,25,18.234755,55.84,1026.92508,1.1297502517700195,"[2, 3, 1, 2, 1, 1, 0, 0, 3, 2, 4, 0, 3, 3, 0]"
train,maskable_ppo_multi_lat_lean_42,0,18,-434.1789,25,19.080642,41.48,1026.3578,0.8430709838867188,"[3, 1, 3, 6, 0, 3, 1, 0, 2, 0, 2, 1, 3, 0, 0]"
train,maskable_ppo_multi_lat_lean_42,0,19,-434.19598,25,20.102498,44.68,990.3919600000002,1.0186753273010254,"[3, 5, 3, 3, 1, 2, 0, 0, 1, 1, 1, 5, 0, 0, 0]"
