phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_default_42,0,0,135.028571,25,3.1252,50.08,1009.6137599999998,1.563180923461914,"[2, 3, 2, 0, 4, 2, 1, 1, 1, 3, 2, 3, 0, 0, 1]"
train,maskable_ppo_default_42,0,1,163.7,25,4.147774,35.48,986.2838399999999,1.0171935558319092,"[3, 4, 0, 3, 0, 1, 3, 1, 4, 3, 1, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,2,151.247619,25,5.489245,43.84,1067.6452399999998,1.3356294631958008,"[3, 4, 2, 1, 1, 0, 2, 1, 2, 3, 1, 0, 3, 1, 1]"
train,maskable_ppo_default_42,0,3,127.216667,25,6.553712,53.36,1024.13208,1.0604164600372314,"[1, 1, 5, 2, 2, 2, 0, 0, 1, 4, 3, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,4,174.969048,25,7.633131,45.0,1011.6036800000002,1.0752122402191162,"[1, 1, 2, 2, 2, 3, 2, 1, 3, 3, 1, 1, 1, 1, 1]"
train,maskable_ppo_default_42,0,5,187.519048,25,8.96442,47.12,1157.2469600000002,1.3273179531097412,"[4, 2, 3, 0, 3, 1, 1, 0, 4, 2, 2, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,6,104.166667,25,10.02578,66.24,1026.0825200000002,1.0574140548706055,"[4, 3, 6, 1, 0, 2, 1, 0, 2, 2, 3, 0, 0, 0, 1]"
train,maskable_ppo_default_42,0,7,143.2,25,11.32337,55.16,1027.7916,1.2937085628509521,"[2, 2, 1, 6, 2, 1, 1, 0, 2, 3, 3, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,8,134.904762,25,12.481423,48.08,1033.3911600000001,1.154172420501709,"[5, 2, 1, 0, 1, 1, 2, 2, 2, 4, 3, 1, 0, 0, 1]"
train,maskable_ppo_default_42,0,9,133.05,25,13.63415,47.4,1058.52148,1.1484737396240234,"[5, 2, 3, 0, 5, 0, 1, 1, 2, 2, 2, 0, 2, 0, 0]"
train,maskable_ppo_default_42,0,10,146.302381,25,15.07559,45.2,991.34,1.437180995941162,"[1, 3, 7, 1, 2, 1, 2, 1, 3, 1, 1, 2, 0, 0, 0]"
train,maskable_ppo_default_42,0,11,166.183333,25,16.291325,47.12,1049.9350800000002,1.2100610733032227,"[7, 2, 2, 1, 1, 2, 2, 0, 1, 3, 2, 0, 0, 0, 2]"
train,maskable_ppo_default_42,0,12,176.909524,25,17.569783,41.92,1004.7993600000002,1.274395227432251,"[2, 4, 4, 1, 1, 1, 1, 1, 3, 1, 3, 2, 1, 0, 0]"
train,maskable_ppo_default_42,0,13,179.716667,25,18.713706,40.6,1012.43644,1.1400744915008545,"[1, 3, 5, 2, 2, 0, 1, 1, 3, 2, 1, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,14,140.728571,25,19.807876,39.44,972.30164,1.0903630256652832,"[5, 1, 1, 3, 3, 2, 0, 0, 1, 2, 4, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,15,141.95,25,21.124796,52.44,1007.0462,1.3131134510040283,"[2, 2, 2, 2, 1, 1, 0, 0, 7, 3, 2, 1, 1, 0, 1]"
train,maskable_ppo_default_42,0,16,134.483333,25,22.196188,44.2,1127.63816,1.0666916370391846,"[5, 2, 3, 0, 3, 1, 1, 0, 7, 0, 2, 0, 0, 1, 0]"
train,maskable_ppo_default_42,0,17,158.959524,25,23.496484,47.56,993.54468,1.2963573932647705,"[3, 2, 3, 3, 0, 0, 0, 1, 4, 3, 3, 0, 1, 2, 0]"
train,maskable_ppo_default_42,0,18,146.254762,25,24.504422,47.48,1127.0738000000001,1.0040528774261475,"[4, 2, 1, 4, 0, 1, 2, 0, 1, 2, 2, 4, 2, 0, 0]"
train,maskable_ppo_default_42,0,19,153.22619,25,25.657324,55.76,1116.12224,1.1488173007965088,"[2, 3, 3, 3, 0, 2, 1, 0, 3, 1, 1, 4, 0, 1, 1]"
train,maskable_ppo_default_42,0,20,152.735714,25,26.989464,55.04,1085.32312,1.3279588222503662,"[1, 4, 2, 3, 1, 1, 0, 1, 3, 2, 4, 1, 2, 0, 0]"
train,maskable_ppo_default_42,0,21,150.561905,25,28.093858,50.24,1045.35164,1.099747657775879,"[3, 3, 4, 3, 3, 1, 1, 1, 0, 3, 1, 1, 0, 0, 1]"
train,maskable_ppo_default_42,0,22,152.361905,25,29.297831,49.8,1060.9240399999999,1.2000739574432373,"[3, 2, 2, 3, 1, 0, 1, 2, 4, 2, 2, 1, 0, 2, 0]"
train,maskable_ppo_default_42,0,23,144.804762,25,30.580824,59.08,1028.89136,1.279153823852539,"[1, 3, 2, 2, 1, 2, 2, 1, 2, 0, 3, 5, 0, 0, 1]"
train,maskable_ppo_default_42,0,24,175.4,25,31.622357,49.2,1020.43708,1.0376543998718262,"[4, 2, 4, 2, 1, 2, 1, 1, 0, 0, 1, 3, 2, 1, 1]"
train,maskable_ppo_default_42,0,25,133.119048,25,32.895528,59.08,1109.0698,1.269045352935791,"[1, 3, 4, 4, 1, 2, 1, 0, 1, 2, 2, 1, 1, 2, 0]"
train,maskable_ppo_default_42,0,26,147.516667,25,33.911747,45.4,1065.3562,1.011430025100708,"[1, 7, 3, 2, 0, 3, 0, 0, 0, 3, 3, 1, 1, 1, 0]"
train,maskable_ppo_default_42,0,27,160.683333,25,35.44646,35.52,993.2295599999999,1.5303864479064941,"[7, 2, 3, 2, 2, 0, 2, 2, 1, 1, 1, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,28,134.133333,25,36.688969,61.72,1013.4954000000001,1.238675594329834,"[4, 3, 5, 0, 3, 1, 0, 0, 3, 4, 1, 1, 0, 0, 0]"
train,maskable_ppo_default_42,0,29,177.364286,25,37.738229,46.48,1018.4120799999998,1.0453321933746338,"[1, 3, 4, 0, 2, 2, 0, 1, 2, 3, 3, 1, 2, 1, 0]"
train,maskable_ppo_default_42,0,30,163.933333,25,39.048516,44.32,1122.0789200000002,1.3065226078033447,"[0, 5, 2, 4, 1, 0, 0, 1, 4, 3, 2, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,31,157.616667,25,40.082911,45.68,1038.24884,1.0305638313293457,"[1, 3, 3, 4, 0, 1, 2, 0, 2, 3, 2, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,32,137.657143,25,41.297228,47.96,1153.3466,1.2105116844177246,"[7, 3, 1, 2, 0, 3, 1, 0, 1, 2, 2, 0, 0, 2, 1]"
train,maskable_ppo_default_42,0,33,166.966667,25,42.604649,49.2,1023.5853599999999,1.303534984588623,"[1, 4, 1, 2, 1, 2, 0, 0, 5, 4, 1, 1, 2, 0, 1]"
train,maskable_ppo_default_42,0,34,156.064286,25,43.76718,39.96,1062.43428,1.1586003303527832,"[4, 4, 0, 3, 1, 2, 2, 1, 3, 2, 0, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,35,151.285714,25,45.697799,51.64,1082.85688,1.9263956546783447,"[5, 1, 2, 3, 1, 0, 3, 0, 0, 3, 3, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,36,156.335714,25,47.498893,54.92,1047.2989200000002,1.794846534729004,"[3, 4, 3, 0, 1, 3, 1, 1, 2, 2, 1, 0, 1, 3, 0]"
train,maskable_ppo_default_42,0,37,141.880952,25,48.557431,52.32,1006.30116,1.054771900177002,"[3, 3, 4, 1, 0, 1, 0, 2, 2, 2, 3, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,38,128.280952,25,49.800335,55.92,1030.55552,1.2390780448913574,"[2, 1, 3, 0, 1, 3, 3, 0, 1, 5, 1, 1, 1, 2, 1]"
train,maskable_ppo_default_42,0,39,107.221429,25,50.886159,62.44,1101.15664,1.081709384918213,"[2, 3, 2, 3, 1, 0, 0, 1, 2, 5, 1, 1, 1, 3, 0]"
train,maskable_ppo_default_42,0,40,163.242857,25,51.897284,46.6,1042.56124,1.007359504699707,"[3, 3, 0, 1, 1, 1, 3, 0, 2, 3, 0, 2, 3, 3, 0]"
train,maskable_ppo_default_42,0,41,114.07381,25,52.591485,61.84,1027.3405599999999,0.6916632652282715,"[3, 2, 2, 1, 3, 0, 1, 2, 2, 2, 2, 1, 0, 3, 1]"
