phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_default_42,0,0,3.0,25,1.713586,10.44,623.0638000000001,0.15036940574645996,"[3, 5, 2, 3, 2, 0, 0, 1, 1, 4, 1, 1, 1, 0, 1]"
train,maskable_ppo_default_42,0,1,3.0,25,2.063079,9.88,120.51556,0.34020304679870605,"[3, 2, 2, 2, 2, 2, 0, 0, 7, 0, 2, 1, 0, 2, 0]"
train,maskable_ppo_default_42,0,2,13.0,25,2.311471,7.48,1.4629999999999999,0.24421024322509766,"[3, 5, 2, 3, 1, 1, 0, 1, 0, 2, 2, 2, 1, 1, 1]"
train,maskable_ppo_default_42,0,3,12.0,25,2.547488,8.32,114758.71912000001,0.23230671882629395,"[2, 1, 4, 4, 0, 0, 2, 0, 5, 1, 1, 1, 2, 1, 1]"
train,maskable_ppo_default_42,0,4,3.0,25,2.706815,9.8,98259.73028,0.1552445888519287,"[3, 5, 4, 1, 1, 0, 1, 0, 0, 4, 2, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,5,12.0,25,2.927072,8.16,1.40192,0.21634888648986816,"[0, 1, 3, 4, 3, 1, 2, 0, 1, 4, 1, 1, 3, 0, 1]"
train,maskable_ppo_default_42,0,6,6.0,25,3.149955,9.56,2818.56636,0.2190237045288086,"[3, 3, 1, 4, 2, 0, 0, 0, 4, 4, 1, 1, 2, 0, 0]"
train,maskable_ppo_default_42,0,7,5.0,25,3.392614,10.4,5630.429080000001,0.23875141143798828,"[5, 4, 3, 2, 1, 1, 1, 0, 1, 1, 1, 1, 4, 0, 0]"
train,maskable_ppo_default_42,0,8,6.0,25,3.626554,8.72,3.2878000000000003,0.22989988327026367,"[3, 3, 3, 1, 1, 1, 1, 0, 6, 5, 0, 0, 0, 1, 0]"
train,maskable_ppo_default_42,0,9,9.0,25,3.755879,6.84,5.202999999999999,0.12563204765319824,"[6, 2, 4, 2, 3, 0, 0, 0, 2, 0, 1, 0, 4, 1, 0]"
train,maskable_ppo_default_42,0,10,9.0,25,3.972778,8.24,1.64516,0.21281909942626953,"[1, 6, 4, 1, 2, 1, 0, 1, 0, 3, 2, 0, 1, 1, 2]"
train,maskable_ppo_default_42,0,11,14.0,25,4.192174,8.08,107853.75627999999,0.2154693603515625,"[0, 0, 3, 1, 5, 1, 2, 1, 4, 2, 0, 2, 1, 3, 0]"
train,maskable_ppo_default_42,0,12,5.0,25,4.406719,9.0,356825.6167200001,0.2108287811279297,"[5, 2, 2, 1, 3, 0, 2, 0, 0, 3, 5, 2, 0, 0, 0]"
train,maskable_ppo_default_42,0,13,10.0,25,4.546261,7.68,32.85112,0.13580608367919922,"[5, 2, 0, 1, 1, 2, 2, 1, 3, 3, 0, 1, 2, 1, 1]"
train,maskable_ppo_default_42,0,14,4.0,25,4.769124,10.52,67852.43763999999,0.21903204917907715,"[10, 0, 0, 1, 0, 3, 2, 0, 2, 2, 3, 0, 1, 1, 0]"
