phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_multi_lat10_42,0,0,-283.907,25,1.737594,10.32,98.09116000000002,0.1549842357635498,"[5, 4, 3, 0, 0, 2, 0, 1, 5, 1, 0, 2, 1, 0, 1]"
train,maskable_ppo_multi_lat10_42,0,1,-624.917,25,1.85763,7.4,369611.37679999997,0.11428093910217285,"[4, 9, 0, 3, 2, 0, 0, 0, 0, 2, 2, 1, 2, 0, 0]"
train,maskable_ppo_multi_lat10_42,0,2,-487.94,25,1.999744,8.2,4864.5931199999995,0.13939309120178223,"[2, 4, 4, 3, 1, 1, 0, 0, 2, 3, 3, 2, 0, 0, 0]"
train,maskable_ppo_multi_lat10_42,0,3,-501.02,25,2.134157,8.04,389056.86779999995,0.13157272338867188,"[2, 4, 2, 3, 3, 0, 0, 0, 5, 1, 3, 0, 1, 1, 0]"
train,maskable_ppo_multi_lat10_42,0,4,-2303.58,25,2.266402,10.28,163006.71724,0.12944293022155762,"[4, 3, 2, 2, 3, 0, 0, 0, 4, 4, 2, 1, 0, 0, 0]"
train,maskable_ppo_multi_lat10_42,0,5,-743.556,25,2.438014,8.24,119230.39852000002,0.1672191619873047,"[6, 3, 4, 2, 2, 1, 0, 0, 0, 3, 0, 2, 0, 1, 1]"
train,maskable_ppo_multi_lat10_42,0,6,-562.423,25,2.613629,9.4,115.01188,0.17017221450805664,"[1, 4, 1, 4, 1, 4, 0, 0, 1, 2, 2, 1, 2, 2, 0]"
train,maskable_ppo_multi_lat10_42,0,7,-748.159,25,2.750518,9.2,452056.29204000003,0.1341085433959961,"[1, 4, 3, 3, 2, 1, 1, 0, 2, 2, 0, 5, 0, 0, 1]"
train,maskable_ppo_multi_lat10_42,0,8,-749.013,25,2.901907,9.8,2891.0822399999993,0.14654159545898438,"[4, 7, 3, 1, 1, 0, 0, 1, 2, 3, 2, 1, 0, 0, 0]"
train,maskable_ppo_multi_lat10_42,0,9,-1015.095,25,3.059629,8.64,842467.1831999997,0.15291500091552734,"[5, 1, 6, 0, 1, 2, 1, 1, 1, 0, 3, 3, 1, 0, 0]"
