phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,maskable_ppo_default_42,0,0,17.740476,25,1.999263,10.44,623.0638000000001,0.1288750171661377,"[3, 5, 2, 3, 2, 0, 0, 1, 1, 4, 1, 1, 1, 0, 1]"
train,maskable_ppo_default_42,0,1,21.502381,25,2.107463,9.88,120.51556,0.10333919525146484,"[3, 2, 2, 2, 2, 2, 0, 0, 7, 0, 2, 1, 0, 2, 0]"
train,maskable_ppo_default_42,0,2,29.838095,25,2.227248,7.48,1.4629999999999999,0.11636471748352051,"[3, 5, 2, 3, 1, 1, 0, 1, 0, 2, 2, 2, 1, 1, 1]"
train,maskable_ppo_default_42,0,3,27.278571,25,2.334895,8.32,114758.71912000001,0.10448360443115234,"[2, 1, 4, 4, 0, 0, 2, 0, 5, 1, 1, 1, 2, 1, 1]"
train,maskable_ppo_default_42,0,4,19.654762,25,2.451953,9.8,98259.73028,0.11424779891967773,"[3, 5, 4, 1, 1, 0, 1, 0, 0, 4, 2, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,5,27.621429,25,3.130634,8.16,1.40192,0.6757180690765381,"[0, 1, 3, 4, 3, 1, 2, 0, 1, 4, 1, 1, 3, 0, 1]"
train,maskable_ppo_default_42,0,6,21.447619,25,3.254495,9.4,96.71167999999997,0.12096285820007324,"[2, 3, 1, 3, 2, 1, 0, 0, 4, 5, 1, 1, 2, 0, 0]"
train,maskable_ppo_default_42,0,7,24.861905,25,3.363455,8.92,337355.23072000005,0.10617256164550781,"[4, 4, 1, 2, 1, 3, 1, 0, 1, 2, 1, 1, 2, 1, 1]"
train,maskable_ppo_default_42,0,8,21.888095,25,3.464051,9.56,114761.12908,0.09777545928955078,"[1, 3, 2, 1, 2, 2, 1, 0, 6, 3, 0, 2, 0, 1, 1]"
train,maskable_ppo_default_42,0,9,30.211905,25,3.58481,6.52,280.9636,0.11652350425720215,"[7, 2, 2, 4, 1, 0, 0, 1, 2, 2, 1, 1, 2, 0, 0]"
train,maskable_ppo_default_42,0,10,24.22619,25,4.211832,9.24,39690.688440000005,0.6227560043334961,"[0, 4, 4, 2, 2, 3, 0, 0, 2, 1, 2, 2, 1, 2, 0]"
train,maskable_ppo_default_42,0,11,17.042857,25,4.32556,10.72,428704.8059200001,0.11075186729431152,"[1, 0, 7, 3, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,12,28.295238,25,4.442542,8.0,125522.18835999999,0.11409807205200195,"[7, 3, 2, 1, 1, 0, 3, 0, 0, 1, 4, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,13,27.783333,25,4.542753,8.16,192156.7218,0.09743952751159668,"[5, 2, 0, 1, 1, 2, 3, 0, 2, 5, 1, 0, 2, 1, 0]"
train,maskable_ppo_default_42,0,14,25.747619,25,4.652757,9.32,1292.0452,0.10539746284484863,"[9, 0, 0, 1, 0, 3, 2, 0, 2, 2, 4, 0, 0, 2, 0]"
train,maskable_ppo_default_42,0,15,32.935714,25,5.2133,6.84,0.10048,0.5576109886169434,"[4, 3, 0, 2, 2, 1, 0, 2, 2, 3, 2, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,16,21.414286,25,5.331406,10.48,337231.63463999995,0.11529731750488281,"[3, 4, 4, 1, 3, 0, 0, 0, 4, 2, 0, 1, 1, 1, 1]"
train,maskable_ppo_default_42,0,17,21.780952,25,5.441025,10.2,2.83088,0.10650897026062012,"[4, 6, 2, 3, 0, 0, 1, 2, 2, 2, 0, 1, 0, 1, 1]"
train,maskable_ppo_default_42,0,18,20.566667,25,5.561679,9.8,711480.08904,0.1159825325012207,"[4, 4, 1, 1, 1, 0, 3, 0, 1, 4, 5, 1, 0, 0, 0]"
train,maskable_ppo_default_42,0,19,18.002381,25,5.673389,10.32,32275.388520000004,0.10897469520568848,"[4, 2, 1, 3, 1, 2, 1, 0, 1, 3, 5, 1, 0, 0, 1]"
train,maskable_ppo_default_42,0,20,22.385714,25,6.245356,8.8,342603.18528000003,0.5678431987762451,"[3, 1, 1, 4, 0, 1, 1, 0, 5, 4, 2, 3, 0, 0, 0]"
train,maskable_ppo_default_42,0,21,24.214286,25,6.394179,8.56,475894.7304800001,0.14592933654785156,"[4, 3, 3, 2, 3, 0, 1, 0, 1, 2, 2, 3, 0, 1, 0]"
train,maskable_ppo_default_42,0,22,29.452381,25,6.506439,7.76,272850.12344,0.1080625057220459,"[6, 2, 2, 1, 3, 1, 0, 1, 0, 2, 3, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,23,30.602381,25,6.620806,7.96,1508660.8684,0.11057186126708984,"[9, 0, 3, 4, 0, 2, 0, 0, 0, 1, 2, 1, 1, 2, 0]"
train,maskable_ppo_default_42,0,24,22.52619,25,6.746318,9.0,80.50164,0.1227579116821289,"[4, 3, 2, 1, 2, 0, 1, 2, 3, 1, 3, 0, 1, 0, 2]"
train,maskable_ppo_default_42,0,25,23.085714,25,7.308736,8.88,13.51532,0.5591299533843994,"[2, 7, 1, 4, 0, 0, 0, 0, 4, 5, 0, 1, 1, 0, 0]"
train,maskable_ppo_default_42,0,26,24.92381,25,7.410287,9.44,127248.53808,0.09790492057800293,"[2, 1, 0, 2, 2, 1, 2, 3, 3, 1, 2, 0, 3, 3, 0]"
train,maskable_ppo_default_42,0,27,25.842857,25,7.532714,8.96,43542.92424000001,0.11868476867675781,"[3, 3, 3, 2, 1, 1, 1, 0, 3, 4, 2, 2, 0, 0, 0]"
train,maskable_ppo_default_42,0,28,32.352381,25,7.644204,7.24,20.93476,0.10866260528564453,"[3, 1, 5, 2, 1, 0, 1, 2, 0, 7, 1, 0, 0, 1, 1]"
train,maskable_ppo_default_42,0,29,15.854762,25,7.750102,11.48,630290.2845199999,0.1029970645904541,"[1, 5, 2, 5, 2, 0, 0, 0, 1, 3, 2, 3, 1, 0, 0]"
train,maskable_ppo_default_42,0,30,33.945238,25,8.880136,6.72,680098.02484,1.126060962677002,"[4, 1, 2, 1, 0, 1, 2, 2, 2, 2, 4, 1, 1, 2, 0]"
train,maskable_ppo_default_42,0,31,31.716667,25,9.010952,6.56,12.34328,0.1278219223022461,"[8, 3, 0, 2, 2, 0, 1, 0, 0, 5, 3, 0, 0, 1, 0]"
train,maskable_ppo_default_42,0,32,19.211905,25,9.137567,9.96,2713.7258399999996,0.12367486953735352,"[2, 3, 1, 3, 1, 0, 2, 0, 5, 4, 2, 1, 0, 0, 1]"
train,maskable_ppo_default_42,0,33,22.769048,25,9.271326,8.44,34515.66268,0.13043808937072754,"[6, 2, 2, 2, 2, 0, 1, 0, 2, 5, 1, 0, 1, 0, 1]"
train,maskable_ppo_default_42,0,34,29.666667,25,9.424026,6.28,9332.342440000002,0.14903736114501953,"[8, 4, 1, 3, 1, 0, 1, 0, 3, 1, 1, 0, 1, 1, 0]"
train,maskable_ppo_default_42,0,35,29.847619,25,10.609636,8.04,39.91724,1.1827363967895508,"[1, 1, 5, 2, 3, 1, 1, 0, 3, 1, 3, 0, 3, 1, 0]"
train,maskable_ppo_default_42,0,36,28.964286,25,10.851193,8.2,710760.66668,0.2375195026397705,"[6, 1, 2, 3, 1, 0, 1, 1, 3, 2, 1, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,37,29.861905,25,11.007666,7.76,119946.10747999999,0.15313506126403809,"[4, 6, 0, 3, 2, 1, 1, 0, 1, 0, 3, 0, 2, 2, 0]"
train,maskable_ppo_default_42,0,38,27.069048,25,11.20322,8.24,2799.384119999999,0.19100046157836914,"[2, 3, 1, 1, 2, 1, 2, 1, 1, 5, 1, 2, 2, 1, 0]"
train,maskable_ppo_default_42,0,39,20.154762,25,11.353334,9.92,66382.10668000001,0.1458878517150879,"[2, 3, 1, 4, 1, 0, 2, 1, 4, 3, 1, 0, 1, 2, 0]"
train,maskable_ppo_default_42,0,40,27.380952,25,12.547977,8.28,119967.25136000002,1.1908717155456543,"[8, 0, 0, 3, 0, 1, 2, 1, 1, 4, 1, 2, 0, 1, 1]"
train,maskable_ppo_default_42,0,41,25.052381,25,12.842464,8.04,547452.34452,0.290358304977417,"[6, 3, 3, 1, 2, 0, 1, 0, 2, 2, 1, 2, 0, 0, 2]"
train,maskable_ppo_default_42,0,42,26.452381,25,13.025855,9.0,179002.5886,0.17829489707946777,"[3, 0, 5, 1, 4, 0, 1, 1, 2, 1, 1, 1, 3, 2, 0]"
train,maskable_ppo_default_42,0,43,32.366667,25,13.189777,6.76,476845.46148,0.15960192680358887,"[5, 2, 2, 4, 1, 0, 1, 0, 5, 1, 1, 1, 0, 2, 0]"
train,maskable_ppo_default_42,0,44,29.633333,25,13.303424,8.08,384.66572,0.11084508895874023,"[6, 1, 3, 0, 2, 0, 2, 1, 2, 3, 2, 0, 1, 2, 0]"
train,maskable_ppo_default_42,0,45,19.207143,25,13.423917,11.52,2715.167,0.11748075485229492,"[1, 2, 3, 3, 3, 2, 1, 0, 1, 1, 2, 1, 4, 1, 0]"
train,maskable_ppo_default_42,0,46,30.269048,25,14.128149,7.56,596913.6868,0.6997199058532715,"[4, 3, 2, 4, 1, 0, 1, 0, 6, 0, 2, 1, 0, 1, 0]"
train,maskable_ppo_default_42,0,47,26.12381,25,14.269216,8.52,1.6199200000000002,0.1377413272857666,"[4, 3, 0, 3, 2, 0, 3, 0, 3, 0, 3, 0, 1, 2, 1]"
train,maskable_ppo_default_42,0,48,33.042857,25,14.394711,7.36,359535.27252000006,0.12203502655029297,"[9, 1, 1, 3, 3, 0, 1, 0, 2, 1, 0, 0, 0, 4, 0]"
train,maskable_ppo_default_42,0,49,19.071429,25,14.536442,10.16,184962.32396,0.13684391975402832,"[5, 4, 1, 2, 1, 0, 3, 0, 2, 1, 2, 2, 1, 1, 0]"
train,maskable_ppo_default_42,0,50,32.72619,25,14.648454,6.32,157453.58059999996,0.10889554023742676,"[8, 1, 1, 1, 2, 0, 2, 1, 2, 4, 0, 1, 1, 1, 0]"
train,maskable_ppo_default_42,0,51,28.247619,25,15.233732,7.96,119925.54072,0.5807907581329346,"[2, 4, 2, 6, 1, 0, 1, 0, 3, 1, 1, 0, 3, 1, 0]"
train,maskable_ppo_default_42,0,52,27.469048,25,15.335347,8.24,56493.878840000005,0.0988302230834961,"[5, 4, 2, 3, 2, 0, 1, 0, 4, 1, 1, 1, 0, 1, 0]"
