phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_default_42,0,0,-49187.138,25,4.001096,44.56,1021.30936,1.0226502418518066,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,ppo_default_42,0,1,-44701.077,25,5.039295,32.76,978.1718799999998,1.0283000469207764,"[2, 3, 3, 3, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1]"
train,ppo_default_42,0,2,-55985.698,25,6.106497,43.84,1296.60484,1.0630919933319092,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,ppo_default_42,0,3,-47549.823,25,7.172277,40.4,1038.17824,1.0618562698364258,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,ppo_default_42,0,4,-49644.516,25,8.189628,60.04,1051.00608,1.0134634971618652,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,ppo_default_42,0,5,-53631.32,25,9.585911,43.4,1070.4184,1.3922615051269531,"[2, 1, 2, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 2, 3]"
train,ppo_default_42,0,6,-46772.46,25,10.647485,45.68,982.57128,1.057663917541504,"[2, 1, 3, 0, 2, 2, 3, 0, 2, 0, 4, 2, 2, 1, 1]"
train,ppo_default_42,0,7,-55400.117,25,11.653538,27.0,1047.40176,1.0016593933105469,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_default_42,0,8,-51279.271,25,12.72695,47.6,1025.90848,1.0691063404083252,"[1, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
train,ppo_default_42,0,9,-48085.625,25,13.773112,60.68,1066.9324000000001,1.0423681735992432,"[3, 1, 0, 4, 3, 2, 1, 2, 1, 3, 2, 0, 2, 0, 1]"
train,ppo_default_42,0,10,-52073.764,25,15.0186,47.04,1105.41052,1.2404985427856445,"[1, 0, 2, 1, 1, 4, 1, 1, 1, 3, 3, 3, 1, 1, 2]"
