phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_default_42,0,0,67.807143,25,1.77932,44.56,1021.30936,0.6702711582183838,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,ppo_default_42,0,1,83.033333,25,2.60099,32.76,978.1718799999998,0.8111958503723145,"[2, 3, 3, 3, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1]"
train,ppo_default_42,0,2,62.833333,25,3.297464,43.84,1296.60484,0.6936740875244141,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,ppo_default_42,0,3,106.702381,25,3.935768,39.56,1049.59536,0.6354658603668213,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,ppo_default_42,0,4,106.0,25,4.55936,49.48,1058.6781600000002,0.6201992034912109,"[1, 1, 1, 0, 3, 4, 0, 2, 3, 1, 2, 4, 3, 0, 0]"
train,ppo_default_42,0,5,50.685714,25,5.295814,42.64,1039.14084,0.7338094711303711,"[2, 1, 2, 1, 3, 2, 2, 1, 1, 1, 0, 2, 1, 2, 4]"
train,ppo_default_42,0,6,86.795238,25,6.132737,46.56,1018.2103199999999,0.834104061126709,"[1, 2, 3, 0, 2, 2, 3, 0, 2, 0, 4, 3, 2, 1, 0]"
train,ppo_default_42,0,7,67.642857,25,6.920891,27.0,1047.40176,0.7855925559997559,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_default_42,0,8,62.180952,25,7.624538,46.2,1032.4311599999999,0.7010087966918945,"[1, 4, 2, 2, 1, 2, 1, 1, 1, 2, 1, 2, 2, 2, 1]"
train,ppo_default_42,0,9,40.119048,25,8.361362,57.84,1066.9324000000001,0.7342746257781982,"[1, 1, 0, 4, 4, 2, 1, 2, 1, 3, 2, 0, 3, 0, 1]"
train,ppo_default_42,0,10,59.071429,25,9.073207,47.04,1105.41052,0.7092022895812988,"[1, 0, 2, 1, 1, 4, 1, 1, 2, 3, 3, 3, 1, 0, 2]"
