phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_sim_action_aware_42,0,0,64.669048,25,4.073866,44.56,1072.50796,1.4907357692718506,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,ppo_sim_action_aware_42,0,1,95.3,25,5.412053,49.8,986.6833600000001,1.332770824432373,"[2, 3, 3, 3, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1]"
train,ppo_sim_action_aware_42,0,2,108.3,25,7.10689,34.16,1017.53168,1.6896679401397705,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,ppo_sim_action_aware_42,0,3,61.116667,25,8.900117,55.96,1065.57512,1.788273811340332,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,ppo_sim_action_aware_42,0,4,79.366667,25,10.681134,50.44,1086.22916,1.774501085281372,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,ppo_sim_action_aware_42,0,5,43.416667,25,12.542768,48.08,1052.6548,1.8483994007110596,"[2, 1, 2, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 2, 3]"
train,ppo_sim_action_aware_42,0,6,64.947619,25,13.998153,57.16,1029.99092,1.4504122734069824,"[1, 2, 3, 0, 2, 2, 3, 0, 2, 0, 4, 2, 2, 1, 1]"
train,ppo_sim_action_aware_42,0,7,78.469048,25,15.409468,51.76,1047.97616,1.40675687789917,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_sim_action_aware_42,0,8,46.654762,25,17.392729,61.52,1036.6701200000002,1.979503870010376,"[1, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
train,ppo_sim_action_aware_42,0,9,75.033333,25,20.403839,55.72,1054.89148,3.003100872039795,"[4, 1, 0, 4, 4, 2, 1, 2, 1, 3, 1, 0, 1, 0, 1]"
train,ppo_sim_action_aware_42,0,10,85.416667,25,21.885947,52.32,1022.8759600000001,1.4767982959747314,"[1, 0, 2, 1, 1, 4, 1, 1, 1, 3, 3, 3, 1, 1, 2]"
train,ppo_sim_action_aware_42,0,11,53.585714,25,23.551139,49.24,1016.73628,1.6610231399536133,"[2, 2, 2, 2, 2, 1, 3, 0, 0, 2, 1, 0, 2, 5, 1]"
train,ppo_sim_action_aware_42,0,12,105.478571,25,25.25377,49.76,1064.5380400000001,1.6950201988220215,"[3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 0, 1, 0, 1]"
train,ppo_sim_action_aware_42,0,13,56.616667,25,26.916523,55.08,1036.24776,1.6576290130615234,"[1, 2, 3, 2, 1, 2, 2, 2, 0, 2, 0, 1, 4, 2, 1]"
train,ppo_sim_action_aware_42,0,14,101.809524,25,28.458908,50.04,1028.69772,1.5375099182128906,"[2, 2, 1, 1, 0, 4, 1, 1, 3, 1, 2, 2, 1, 1, 3]"
train,ppo_sim_action_aware_42,0,15,49.011905,25,30.240776,52.76,1064.77764,1.7760369777679443,"[3, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 2, 1, 3]"
train,ppo_sim_action_aware_42,0,16,29.05,25,31.604427,45.44,1090.71488,1.3580472469329834,"[1, 1, 0, 0, 1, 1, 3, 3, 1, 2, 2, 3, 1, 3, 3]"
train,ppo_sim_action_aware_42,0,17,78.85,25,33.17196,46.48,1006.6777599999998,1.562535047531128,"[1, 1, 2, 0, 1, 0, 5, 3, 2, 1, 0, 4, 2, 1, 2]"
train,ppo_sim_action_aware_42,0,18,99.964286,25,34.733073,46.28,1006.32568,1.553849220275879,"[1, 4, 3, 2, 3, 1, 1, 2, 0, 1, 0, 1, 2, 2, 2]"
train,ppo_sim_action_aware_42,0,19,63.492857,25,36.114933,40.84,1021.07968,1.3765885829925537,"[1, 4, 1, 4, 1, 0, 3, 1, 0, 2, 3, 1, 0, 2, 2]"
train,ppo_sim_action_aware_42,0,20,24.183333,25,37.481162,48.24,1020.40996,1.3620808124542236,"[0, 0, 1, 2, 2, 4, 2, 3, 1, 2, 1, 3, 1, 2, 1]"
train,ppo_sim_action_aware_42,0,21,99.5,25,38.978986,46.68,1071.2342,1.4926722049713135,"[2, 3, 4, 2, 2, 1, 1, 0, 1, 2, 2, 1, 1, 1, 2]"
train,ppo_sim_action_aware_42,0,22,67.542857,25,40.764896,54.56,1021.9931600000001,1.7822470664978027,"[2, 4, 2, 2, 2, 1, 2, 0, 2, 0, 1, 2, 2, 1, 2]"
train,ppo_sim_action_aware_42,0,23,80.733333,25,42.484433,43.68,989.62572,1.7159972190856934,"[1, 0, 2, 2, 0, 0, 1, 3, 3, 1, 6, 0, 2, 2, 2]"
train,ppo_sim_action_aware_42,0,24,64.095238,25,44.010629,58.92,1094.75248,1.5201058387756348,"[0, 0, 2, 1, 4, 3, 4, 1, 3, 2, 0, 3, 2, 0, 0]"
train,ppo_sim_action_aware_42,0,25,92.87619,25,45.58528,49.56,1009.97,1.5671443939208984,"[0, 0, 2, 4, 2, 4, 3, 0, 0, 1, 2, 1, 3, 2, 1]"
train,ppo_sim_action_aware_42,0,26,70.783333,25,47.615296,50.48,1104.98264,2.0260682106018066,"[1, 1, 0, 1, 1, 2, 0, 2, 3, 1, 10, 2, 0, 0, 1]"
train,ppo_sim_action_aware_42,0,27,68.27381,25,49.355304,59.52,1059.42488,1.7341749668121338,"[1, 0, 3, 3, 2, 2, 0, 2, 2, 5, 0, 1, 1, 1, 2]"
train,ppo_sim_action_aware_42,0,28,88.157143,25,50.866841,43.88,1027.66576,1.5060808658599854,"[1, 1, 2, 3, 0, 0, 1, 0, 1, 3, 1, 3, 3, 3, 3]"
train,ppo_sim_action_aware_42,0,29,96.107143,25,53.398081,39.6,1029.1840000000002,2.5221965312957764,"[3, 1, 2, 3, 1, 0, 3, 2, 0, 2, 4, 0, 0, 3, 1]"
train,ppo_sim_action_aware_42,0,30,80.071429,25,54.841148,48.16,1012.16292,1.438941478729248,"[2, 1, 2, 4, 2, 0, 2, 0, 1, 0, 3, 2, 3, 1, 2]"
train,ppo_sim_action_aware_42,0,31,94.27619,25,56.731608,52.16,1075.68656,1.8804237842559814,"[0, 2, 2, 1, 1, 2, 2, 1, 3, 2, 5, 0, 2, 1, 1]"
train,ppo_sim_action_aware_42,0,32,37.716667,25,58.850313,45.56,1029.44472,2.113325834274292,"[0, 0, 0, 2, 3, 2, 0, 1, 1, 2, 2, 2, 6, 3, 1]"
train,ppo_sim_action_aware_42,0,33,89.340476,25,61.030062,57.44,1029.8934399999998,2.174973964691162,"[2, 1, 2, 3, 3, 2, 2, 0, 1, 3, 1, 3, 1, 1, 0]"
train,ppo_sim_action_aware_42,0,34,78.885714,25,63.401514,46.4,1115.1284,2.366654396057129,"[0, 1, 3, 3, 2, 1, 2, 2, 1, 2, 2, 3, 2, 1, 0]"
train,ppo_sim_action_aware_42,0,35,129.416667,25,66.263786,40.56,1027.4527999999998,2.8564579486846924,"[0, 3, 2, 1, 1, 1, 2, 1, 1, 2, 5, 1, 2, 1, 2]"
train,ppo_sim_action_aware_42,0,36,70.545238,25,67.87604,54.64,1089.0351600000001,1.6066560745239258,"[1, 0, 3, 5, 3, 1, 2, 1, 1, 1, 1, 2, 3, 0, 1]"
train,ppo_sim_action_aware_42,0,37,31.866667,25,69.42654,31.84,1000.3688399999999,1.5469081401824951,"[1, 1, 3, 1, 3, 1, 1, 2, 1, 1, 0, 1, 2, 1, 6]"
train,ppo_sim_action_aware_42,0,38,79.097619,25,70.866593,48.84,996.138,1.4350216388702393,"[0, 2, 2, 2, 1, 4, 1, 2, 1, 3, 0, 1, 2, 3, 1]"
train,ppo_sim_action_aware_42,0,39,105.571429,25,72.518905,43.72,1015.54788,1.6482996940612793,"[2, 3, 3, 0, 4, 0, 1, 0, 2, 3, 2, 1, 2, 2, 0]"
train,ppo_sim_action_aware_42,0,40,102.278571,25,74.020949,58.24,1039.15952,1.498370885848999,"[2, 0, 0, 3, 4, 2, 4, 0, 3, 0, 2, 2, 2, 0, 1]"
train,ppo_sim_action_aware_42,0,41,100.733333,25,75.609709,37.56,1005.7908,1.584383487701416,"[2, 0, 0, 3, 3, 2, 3, 1, 1, 2, 2, 3, 0, 3, 0]"
train,ppo_sim_action_aware_42,0,42,60.559524,25,77.578719,58.28,1046.19344,1.964864730834961,"[1, 2, 0, 1, 2, 0, 5, 1, 2, 4, 2, 1, 0, 4, 0]"
train,ppo_sim_action_aware_42,0,43,55.642857,25,79.310027,55.72,1070.3642399999999,1.7195613384246826,"[1, 1, 0, 3, 1, 2, 3, 1, 0, 2, 4, 2, 1, 1, 3]"
train,ppo_sim_action_aware_42,0,44,66.871429,25,80.893041,51.92,1024.56972,1.579176902770996,"[2, 2, 0, 0, 2, 0, 4, 2, 2, 0, 5, 1, 1, 4, 0]"
train,ppo_sim_action_aware_42,0,45,80.816667,25,82.351885,40.84,997.6602800000001,1.4540395736694336,"[2, 4, 1, 1, 1, 0, 2, 2, 3, 0, 1, 2, 1, 3, 2]"
train,ppo_sim_action_aware_42,0,46,79.185714,25,83.794751,59.8,1044.67604,1.4344708919525146,"[2, 3, 1, 2, 1, 1, 0, 2, 3, 2, 1, 1, 2, 2, 2]"
train,ppo_sim_action_aware_42,0,47,63.807143,25,86.149883,66.32,998.842,2.3511300086975098,"[2, 2, 2, 1, 3, 3, 1, 0, 0, 3, 2, 0, 3, 1, 2]"
train,ppo_sim_action_aware_42,0,48,59.966667,25,87.897782,53.84,996.8852,1.7436432838439941,"[2, 1, 1, 0, 1, 2, 1, 1, 1, 4, 0, 5, 2, 3, 1]"
train,ppo_sim_action_aware_42,0,49,65.733333,25,89.765637,51.56,1007.70964,1.86326265335083,"[1, 3, 1, 5, 1, 1, 0, 3, 1, 0, 1, 2, 2, 1, 3]"
train,ppo_sim_action_aware_42,0,50,56.761905,25,91.614756,49.2,1062.61972,1.844902753829956,"[0, 2, 0, 3, 2, 4, 1, 2, 1, 4, 2, 1, 0, 1, 2]"
