phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_sim_knn_42,0,0,66.083333,25,2.808886,44.56,1046.17,0.22430086135864258,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,ppo_sim_knn_42,0,1,87.616667,25,2.927645,32.76,1029.96524,0.11038994789123535,"[2, 3, 3, 3, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1]"
train,ppo_sim_knn_42,0,2,62.057143,25,3.169972,53.6,991.1117200000001,0.23595571517944336,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,ppo_sim_knn_42,0,3,76.22619,25,3.469315,49.52,1027.67716,0.2908015251159668,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,ppo_sim_knn_42,0,4,81.533333,25,3.710672,50.52,1083.9161199999999,0.23445940017700195,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,ppo_sim_knn_42,0,5,55.116667,25,3.899428,50.28,1047.1680399999998,0.18493938446044922,"[2, 1, 2, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 2, 3]"
train,ppo_sim_knn_42,0,6,60.347619,25,4.866929,49.2,1034.28896,0.9623191356658936,"[1, 2, 3, 0, 2, 2, 3, 0, 2, 0, 4, 2, 2, 1, 1]"
train,ppo_sim_knn_42,0,7,101.164286,25,5.109411,45.12,1026.0374000000002,0.23754358291625977,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_sim_knn_42,0,8,63.35,25,5.457105,47.8,1073.2715600000001,0.3141026496887207,"[1, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
train,ppo_sim_knn_42,0,9,124.35,25,5.607612,42.76,1025.89344,0.14543795585632324,"[4, 1, 0, 4, 4, 2, 1, 2, 1, 3, 1, 0, 1, 0, 1]"
train,ppo_sim_knn_42,0,10,78.366667,25,5.833099,44.6,1083.3318800000002,0.22105193138122559,"[1, 0, 2, 1, 1, 4, 1, 1, 1, 3, 3, 3, 1, 1, 2]"
train,ppo_sim_knn_42,0,11,64.747619,25,6.010237,39.76,1053.2149600000002,0.16877198219299316,"[2, 2, 2, 2, 2, 1, 3, 0, 0, 2, 1, 0, 2, 5, 1]"
train,ppo_sim_knn_42,0,12,124.483333,25,6.21968,50.2,1048.03404,0.2022998332977295,"[3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 0, 1, 0, 1]"
train,ppo_sim_knn_42,0,13,49.616667,25,6.375168,49.4,1054.47188,0.15114641189575195,"[1, 2, 3, 2, 1, 2, 2, 2, 0, 2, 0, 1, 4, 2, 1]"
train,ppo_sim_knn_42,0,14,107.997619,25,6.524169,48.88,1054.20584,0.1450040340423584,"[2, 2, 1, 1, 0, 4, 1, 1, 3, 1, 2, 2, 1, 1, 3]"
train,ppo_sim_knn_42,0,15,66.392857,25,6.647129,38.88,1021.4888800000001,0.11756038665771484,"[3, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 2, 1, 3]"
train,ppo_sim_knn_42,0,16,12.880952,25,6.795243,39.2,996.45648,0.14318490028381348,"[1, 1, 0, 0, 1, 1, 3, 3, 1, 2, 2, 3, 1, 3, 3]"
train,ppo_sim_knn_42,0,17,54.259524,25,6.926552,35.68,1087.25948,0.12642526626586914,"[1, 1, 2, 0, 1, 0, 5, 3, 2, 1, 0, 4, 2, 1, 2]"
train,ppo_sim_knn_42,0,18,65.397619,25,7.11168,53.72,1052.19048,0.18052887916564941,"[1, 4, 3, 2, 3, 1, 1, 2, 0, 1, 0, 1, 2, 2, 2]"
train,ppo_sim_knn_42,0,19,66.3,25,7.275324,44.4,1033.82936,0.15868306159973145,"[1, 4, 1, 4, 1, 0, 3, 1, 0, 2, 3, 1, 0, 2, 2]"
