phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_default_42,0,0,-11.0,25,2.01195,11.48,65948.74096,0.12108016014099121,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,ppo_default_42,0,1,-4.0,25,2.096305,8.28,340307.81703999994,0.07837224006652832,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,ppo_default_42,0,2,-15.0,25,2.237481,8.36,0.32616,0.13868474960327148,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,ppo_default_42,0,3,-8.0,25,2.330225,7.88,0.0544,0.09011173248291016,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,ppo_default_42,0,4,-10.0,25,2.429835,10.52,362610.80332,0.09649968147277832,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,ppo_default_42,0,5,-12.0,25,2.894992,11.16,360158.44688,0.462583065032959,"[1, 3, 1, 2, 4, 1, 2, 2, 1, 0, 2, 3, 0, 3, 0]"
train,ppo_default_42,0,6,-14.0,25,2.983291,10.08,2807.1754000000005,0.0859217643737793,"[1, 3, 1, 3, 1, 0, 4, 2, 2, 0, 3, 0, 2, 1, 2]"
train,ppo_default_42,0,7,-8.0,25,3.107561,9.64,3.6591600000000004,0.12198829650878906,"[1, 2, 2, 1, 2, 3, 1, 0, 4, 4, 0, 1, 0, 1, 3]"
train,ppo_default_42,0,8,-7.0,25,3.200655,7.48,32267.19704,0.09013533592224121,"[1, 1, 1, 1, 3, 0, 1, 2, 2, 2, 3, 1, 3, 2, 2]"
train,ppo_default_42,0,9,-4.0,25,3.294003,11.12,40851.037599999996,0.09062719345092773,"[1, 1, 3, 2, 4, 0, 1, 1, 3, 0, 3, 2, 1, 1, 2]"
train,ppo_default_42,0,10,-12.0,25,3.601856,9.08,175.57568000000003,0.3055238723754883,"[0, 2, 3, 0, 0, 2, 2, 3, 2, 3, 1, 3, 2, 0, 2]"
train,ppo_default_42,0,11,-14.0,25,3.716337,7.24,712251.7334400001,0.11089062690734863,"[1, 0, 3, 1, 3, 0, 2, 5, 0, 1, 2, 2, 2, 2, 1]"
train,ppo_default_42,0,12,-4.0,25,3.815177,8.04,79474.5028,0.09528017044067383,"[0, 2, 4, 2, 1, 2, 0, 2, 0, 2, 1, 1, 2, 3, 3]"
train,ppo_default_42,0,13,-9.0,25,3.914387,11.64,5407.790840000001,0.09621119499206543,"[2, 3, 3, 1, 1, 3, 2, 0, 2, 1, 1, 3, 2, 1, 0]"
train,ppo_default_42,0,14,-11.0,25,4.030564,8.84,254458.74248,0.11355447769165039,"[0, 0, 2, 1, 1, 2, 2, 2, 0, 6, 4, 0, 2, 2, 1]"
train,ppo_default_42,0,15,-10.0,25,4.309611,10.84,1579381.1006,0.2758951187133789,"[2, 3, 1, 2, 1, 1, 1, 3, 1, 4, 1, 3, 0, 0, 2]"
train,ppo_default_42,0,16,1.0,25,4.432782,5.68,66092.5252,0.12062430381774902,"[2, 1, 1, 3, 0, 1, 1, 2, 2, 3, 3, 1, 2, 1, 2]"
train,ppo_default_42,0,17,-8.0,25,4.534042,9.32,357863.3171199999,0.09771966934204102,"[1, 6, 2, 2, 0, 0, 5, 1, 0, 0, 0, 0, 3, 1, 4]"
train,ppo_default_42,0,18,-6.0,25,4.632308,8.96,0.34035999999999994,0.09516382217407227,"[4, 2, 0, 2, 2, 2, 1, 2, 2, 1, 1, 2, 4, 0, 0]"
train,ppo_default_42,0,19,-11.0,25,4.782428,9.0,695894.9841600001,0.14778375625610352,"[1, 0, 1, 1, 3, 2, 4, 2, 2, 2, 1, 1, 3, 0, 2]"
train,ppo_default_42,0,20,-10.0,25,5.08361,7.88,244.97052000000002,0.2985560894012451,"[1, 1, 2, 3, 2, 4, 2, 2, 2, 1, 1, 2, 0, 0, 2]"
train,ppo_default_42,0,21,-7.0,25,5.173117,10.36,605.0366,0.08635520935058594,"[4, 1, 2, 1, 2, 2, 4, 0, 2, 2, 2, 0, 2, 1, 0]"
train,ppo_default_42,0,22,-3.0,25,5.264992,8.2,720559.2192,0.08928871154785156,"[2, 1, 1, 5, 0, 0, 1, 4, 2, 3, 1, 2, 2, 1, 0]"
train,ppo_default_42,0,23,-3.0,25,5.386346,10.2,1031620.49884,0.11894750595092773,"[4, 2, 2, 2, 3, 2, 0, 1, 3, 0, 0, 1, 1, 3, 1]"
train,ppo_default_42,0,24,-13.0,25,5.510477,10.28,358530.2437199999,0.1215202808380127,"[0, 3, 2, 6, 0, 2, 2, 1, 0, 2, 1, 4, 1, 1, 0]"
train,ppo_default_42,0,25,-6.0,25,5.794046,9.84,118947.28312,0.2810549736022949,"[2, 2, 2, 4, 1, 1, 1, 1, 1, 0, 0, 3, 1, 3, 3]"
