phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_knn_42,0,0,-11.0,25,1.688207,11.48,234648.83156000002,0.05372357368469238,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,ppo_knn_42,0,1,-2.0,25,1.740107,7.48,359844.64516,0.046713829040527344,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,ppo_knn_42,0,2,-12.0,25,1.798273,8.8,1.5909600000000004,0.05471205711364746,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,ppo_knn_42,0,3,0.0,25,1.857063,6.72,121.80920000000002,0.052522897720336914,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,ppo_knn_42,0,4,-2.0,25,1.918288,9.64,790.2948,0.05757761001586914,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,ppo_knn_42,0,5,-11.0,25,1.977174,10.0,357203.3782000001,0.0533757209777832,"[1, 3, 1, 3, 4, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0]"
train,ppo_knn_42,0,6,-12.0,25,2.031546,10.32,2039.4882400000001,0.05054759979248047,"[1, 3, 1, 3, 1, 0, 4, 2, 2, 0, 3, 0, 2, 1, 2]"
train,ppo_knn_42,0,7,-10.0,25,2.077772,9.08,47588.94228,0.042905330657958984,"[1, 2, 4, 1, 2, 3, 1, 0, 3, 4, 0, 1, 0, 1, 2]"
train,ppo_knn_42,0,8,-10.0,25,2.127674,8.72,359845.19248,0.04667830467224121,"[1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2]"
train,ppo_knn_42,0,9,-7.0,25,2.18136,8.4,112413.56684000003,0.04987525939941406,"[1, 1, 3, 2, 3, 0, 1, 1, 3, 0, 4, 1, 2, 1, 2]"
train,ppo_knn_42,0,10,-6.0,25,2.23252,8.08,359547.42088,0.047960758209228516,"[0, 2, 3, 0, 0, 2, 2, 3, 1, 4, 1, 3, 2, 1, 1]"
train,ppo_knn_42,0,11,-10.0,25,2.283497,8.68,379.97428,0.04706549644470215,"[1, 0, 3, 1, 3, 0, 2, 5, 0, 2, 1, 2, 2, 2, 1]"
train,ppo_knn_42,0,12,-11.0,25,2.334506,9.52,2318.32724,0.04766225814819336,"[1, 1, 4, 3, 1, 2, 0, 2, 0, 2, 1, 1, 2, 2, 3]"
train,ppo_knn_42,0,13,-6.0,25,2.383898,10.8,356336.3774,0.04598689079284668,"[2, 3, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 0]"
train,ppo_knn_42,0,14,-11.0,25,2.433389,9.0,322178.89375999995,0.04620695114135742,"[0, 0, 1, 1, 1, 2, 2, 3, 0, 6, 4, 0, 2, 2, 1]"
train,ppo_knn_42,0,15,-8.0,25,2.494186,10.92,67848.69312,0.05250263214111328,"[1, 4, 1, 1, 2, 1, 1, 3, 1, 4, 0, 3, 0, 1, 2]"
train,ppo_knn_42,0,16,-8.0,25,2.541635,6.16,145.48876,0.04431271553039551,"[2, 1, 1, 1, 0, 2, 1, 2, 1, 2, 3, 3, 2, 2, 2]"
train,ppo_knn_42,0,17,-13.0,25,2.59618,11.48,363789.52668000007,0.05159163475036621,"[1, 5, 2, 3, 0, 0, 4, 1, 0, 1, 1, 0, 3, 0, 4]"
train,ppo_knn_42,0,18,-9.0,25,2.644519,9.32,118939.57108000001,0.04525923728942871,"[3, 3, 0, 2, 1, 2, 1, 2, 2, 1, 0, 2, 4, 0, 2]"
train,ppo_knn_42,0,19,-10.0,25,2.696005,8.92,120393.59104,0.04853057861328125,"[1, 1, 1, 1, 2, 1, 5, 2, 2, 1, 2, 1, 2, 0, 3]"
train,ppo_knn_42,0,20,-14.0,25,2.745969,12.2,0.20388000000000006,0.0463566780090332,"[0, 0, 2, 2, 3, 3, 2, 3, 2, 1, 1, 2, 0, 2, 2]"
train,ppo_knn_42,0,21,-7.0,25,2.802222,10.96,868797.39988,0.05290079116821289,"[3, 2, 2, 1, 3, 1, 4, 0, 1, 2, 2, 0, 2, 1, 1]"
train,ppo_knn_42,0,22,-9.0,25,2.855504,9.44,87.51155999999999,0.049134016036987305,"[1, 1, 2, 5, 0, 1, 1, 4, 3, 3, 1, 0, 2, 1, 0]"
train,ppo_knn_42,0,23,-12.0,25,2.912332,11.48,708517.2956799999,0.05349612236022949,"[4, 2, 2, 1, 3, 3, 0, 1, 2, 0, 1, 1, 1, 3, 1]"
train,ppo_knn_42,0,24,-10.0,25,2.961758,6.96,2.038,0.04458117485046387,"[0, 2, 2, 5, 0, 2, 1, 1, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_knn_42,0,25,-5.0,25,3.023387,9.88,132998.38112,0.05709028244018555,"[2, 2, 3, 3, 0, 1, 2, 2, 1, 0, 0, 3, 1, 2, 3]"
train,ppo_knn_42,0,26,-14.0,25,3.08139,11.16,69135.50632,0.05017447471618652,"[1, 0, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 3, 0]"
train,ppo_knn_42,0,27,-9.0,25,3.138343,7.92,0.09467999999999999,0.052997589111328125,"[1, 0, 2, 2, 6, 1, 0, 1, 3, 0, 1, 2, 2, 3, 1]"
train,ppo_knn_42,0,28,-7.0,25,3.19401,9.28,67867.79728,0.05306434631347656,"[1, 3, 1, 1, 2, 1, 0, 1, 4, 4, 1, 1, 2, 2, 1]"
train,ppo_knn_42,0,29,-11.0,25,3.245695,7.96,58.26312,0.04706096649169922,"[2, 0, 2, 0, 2, 1, 2, 2, 1, 4, 4, 0, 3, 2, 0]"
train,ppo_knn_42,0,30,-10.0,25,3.304934,10.88,5415.003960000001,0.055277109146118164,"[1, 3, 1, 1, 3, 2, 2, 1, 0, 1, 2, 1, 2, 1, 4]"
train,ppo_knn_42,0,31,-8.0,25,3.357478,9.44,1.3847999999999998,0.04967021942138672,"[1, 0, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 4, 2, 0]"
train,ppo_knn_42,0,32,-11.0,25,3.410749,8.36,71367.74032,0.050133705139160156,"[3, 3, 2, 0, 0, 1, 0, 1, 4, 0, 2, 2, 0, 4, 3]"
train,ppo_knn_42,0,33,-14.0,25,3.459666,9.4,7.302960000000001,0.04575157165527344,"[1, 1, 0, 0, 3, 1, 4, 3, 3, 0, 0, 2, 3, 2, 2]"
train,ppo_knn_42,0,34,-8.0,25,3.519016,8.56,3805.515119999999,0.05476188659667969,"[3, 0, 1, 2, 0, 2, 1, 4, 3, 0, 1, 3, 2, 2, 1]"
train,ppo_knn_42,0,35,1.0,25,3.570887,6.96,506253.72835999995,0.047908782958984375,"[1, 2, 0, 0, 1, 4, 1, 1, 3, 0, 6, 0, 3, 3, 0]"
train,ppo_knn_42,0,36,-7.0,25,3.62503,9.96,65958.92228,0.05048203468322754,"[1, 2, 2, 1, 2, 1, 2, 0, 2, 1, 0, 3, 2, 3, 3]"
train,ppo_knn_42,0,37,-6.0,25,3.680286,8.04,19.478279999999998,0.051415205001831055,"[2, 2, 0, 2, 0, 1, 0, 5, 3, 1, 1, 2, 2, 3, 1]"
train,ppo_knn_42,0,38,-12.0,25,3.735338,9.68,472627.2182,0.05182933807373047,"[2, 2, 0, 4, 2, 2, 1, 3, 0, 0, 0, 3, 1, 4, 1]"
train,ppo_knn_42,0,39,-5.0,25,3.787905,8.16,215923.53792,0.04867100715637207,"[1, 0, 2, 1, 5, 0, 0, 2, 1, 1, 2, 1, 3, 2, 4]"
train,ppo_knn_42,0,40,-7.0,25,3.841397,8.44,553072.8453999999,0.05020642280578613,"[1, 2, 2, 0, 4, 2, 4, 2, 4, 1, 1, 1, 0, 1, 0]"
train,ppo_knn_42,0,41,-12.0,25,3.891501,8.72,29918.87348,0.046471357345581055,"[4, 0, 1, 1, 2, 2, 1, 1, 2, 0, 2, 4, 2, 2, 1]"
train,ppo_knn_42,0,42,-8.0,25,3.939159,9.76,6764.012559999999,0.04457497596740723,"[2, 1, 3, 1, 2, 2, 3, 0, 4, 1, 2, 1, 1, 2, 0]"
train,ppo_knn_42,0,43,-9.0,25,3.993685,10.68,337018.00232,0.05111384391784668,"[1, 1, 1, 1, 4, 0, 2, 0, 1, 3, 0, 2, 3, 3, 3]"
train,ppo_knn_42,0,44,-13.0,25,4.054759,10.4,0.30788,0.056987762451171875,"[2, 1, 2, 1, 2, 2, 2, 4, 1, 0, 2, 1, 1, 2, 2]"
train,ppo_knn_42,0,45,-10.0,25,4.104395,9.72,1154.596,0.04710984230041504,"[1, 1, 2, 2, 1, 0, 1, 1, 3, 3, 0, 1, 2, 1, 6]"
train,ppo_knn_42,0,46,-3.0,25,4.14822,9.32,383.11132,0.04116034507751465,"[3, 3, 1, 2, 0, 5, 1, 1, 1, 1, 0, 2, 3, 1, 1]"
train,ppo_knn_42,0,47,-5.0,25,4.192078,6.44,38.38908,0.0406496524810791,"[2, 1, 3, 0, 0, 0, 1, 3, 3, 1, 2, 5, 1, 2, 1]"
train,ppo_knn_42,0,48,-8.0,25,4.245739,8.72,351518.27511999995,0.050744056701660156,"[1, 0, 1, 0, 2, 2, 3, 3, 4, 1, 1, 3, 0, 2, 2]"
train,ppo_knn_42,0,49,-12.0,25,4.312093,10.44,169448.21244,0.0617983341217041,"[0, 3, 3, 1, 0, 4, 1, 3, 2, 2, 0, 3, 2, 1, 0]"
train,ppo_knn_42,0,50,-15.0,25,4.37724,9.84,71368.89592,0.06064581871032715,"[2, 1, 1, 2, 0, 3, 1, 2, 1, 3, 2, 1, 3, 1, 2]"
train,ppo_knn_42,0,51,-7.0,25,4.432914,9.88,353800.8058,0.051513671875,"[1, 2, 1, 2, 1, 1, 2, 3, 2, 1, 2, 2, 4, 0, 1]"
train,ppo_knn_42,0,52,1.0,25,4.483614,10.16,675445.89452,0.047272682189941406,"[2, 0, 1, 0, 2, 4, 1, 3, 1, 1, 1, 2, 3, 2, 2]"
train,ppo_knn_42,0,53,-5.0,25,4.526305,9.08,1666.02604,0.03987550735473633,"[2, 1, 2, 2, 2, 2, 0, 2, 2, 0, 3, 2, 0, 2, 3]"
train,ppo_knn_42,0,54,-15.0,25,4.580426,8.88,152818.74183999997,0.05074572563171387,"[2, 2, 0, 1, 3, 3, 2, 0, 2, 0, 1, 2, 3, 1, 3]"
train,ppo_knn_42,0,55,-11.0,25,4.632121,10.48,2732.3128800000004,0.048154354095458984,"[2, 2, 1, 3, 0, 2, 4, 1, 1, 0, 1, 2, 1, 2, 3]"
train,ppo_knn_42,0,56,-10.0,25,4.692065,7.16,142746.98876,0.05609703063964844,"[1, 1, 2, 1, 4, 0, 3, 1, 0, 2, 2, 3, 0, 3, 2]"
train,ppo_knn_42,0,57,-14.0,25,4.736171,10.56,96.65303999999996,0.041491031646728516,"[0, 1, 0, 1, 4, 4, 4, 3, 0, 1, 1, 1, 2, 3, 0]"
train,ppo_knn_42,0,58,-7.0,25,4.784248,10.8,750.9961599999999,0.04540514945983887,"[1, 2, 2, 2, 2, 0, 3, 2, 2, 5, 1, 1, 1, 0, 1]"
train,ppo_knn_42,0,59,-14.0,25,4.849834,11.4,1287.82156,0.06182432174682617,"[1, 1, 1, 1, 2, 3, 3, 5, 0, 2, 1, 3, 1, 1, 0]"
train,ppo_knn_42,0,60,-3.0,25,4.903075,8.16,285923.32168,0.048973798751831055,"[1, 3, 3, 1, 3, 0, 1, 2, 1, 1, 1, 0, 1, 4, 3]"
