phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_sim_action_aware_42,0,0,-11.0,25,1.788922,11.48,65948.74096,0.14000439643859863,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,ppo_sim_action_aware_42,0,1,-4.0,25,1.89744,8.28,340307.81703999994,0.1047663688659668,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,ppo_sim_action_aware_42,0,2,-15.0,25,2.072082,8.36,0.32616,0.16944599151611328,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,ppo_sim_action_aware_42,0,3,-8.0,25,2.185133,7.88,0.0544,0.11023306846618652,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,ppo_sim_action_aware_42,0,4,-10.0,25,2.301002,10.52,362610.80332,0.11309242248535156,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,ppo_sim_action_aware_42,0,5,-14.0,25,2.450111,11.52,719691.84352,0.14541888236999512,"[1, 3, 1, 3, 4, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0]"
train,ppo_sim_action_aware_42,0,6,-10.0,25,2.61418,9.32,2.0825599999999995,0.15888643264770508,"[1, 3, 1, 3, 1, 0, 4, 2, 2, 0, 3, 0, 2, 1, 2]"
train,ppo_sim_action_aware_42,0,7,-9.0,25,2.784477,9.52,3.57524,0.16741538047790527,"[1, 2, 4, 1, 2, 3, 1, 0, 3, 4, 0, 1, 0, 1, 2]"
train,ppo_sim_action_aware_42,0,8,-7.0,25,2.927225,7.88,364611.8836400001,0.1385786533355713,"[1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2]"
train,ppo_sim_action_aware_42,0,9,-8.0,25,3.089257,10.12,1.3353199999999998,0.15884089469909668,"[1, 1, 3, 2, 3, 0, 1, 1, 3, 0, 4, 1, 2, 1, 2]"
train,ppo_sim_action_aware_42,0,10,-6.0,25,3.24962,8.08,1188003.4611199999,0.1577298641204834,"[0, 2, 3, 0, 0, 2, 2, 3, 1, 4, 1, 3, 2, 1, 1]"
train,ppo_sim_action_aware_42,0,11,-9.0,25,3.369667,9.04,337631.46248,0.11522746086120605,"[1, 0, 3, 1, 3, 0, 2, 5, 0, 2, 1, 2, 2, 2, 1]"
train,ppo_sim_action_aware_42,0,12,-7.0,25,3.482128,8.48,1666182.91912,0.10901904106140137,"[1, 1, 4, 3, 1, 2, 0, 2, 0, 2, 1, 1, 2, 2, 3]"
train,ppo_sim_action_aware_42,0,13,-4.0,25,3.605649,10.8,6029.005160000001,0.12066268920898438,"[2, 3, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 0]"
