phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_sim_default_42,0,0,-11.0,25,1.823657,11.48,65948.97460000002,0.15114831924438477,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,ppo_sim_default_42,0,1,-7.0,25,1.946635,8.36,674609.64304,0.11554336547851562,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,ppo_sim_default_42,0,2,-16.0,25,2.076848,8.36,0.45696,0.12634897232055664,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,ppo_sim_default_42,0,3,-14.0,25,2.196625,9.08,0.61644,0.11336255073547363,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,ppo_sim_default_42,0,4,-4.0,25,2.311195,9.64,25.77196,0.11084842681884766,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,ppo_sim_default_42,0,5,-15.0,25,2.466293,10.8,56523.26744000001,0.1493244171142578,"[1, 3, 1, 3, 4, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0]"
train,ppo_sim_default_42,0,6,-12.0,25,2.650503,10.44,357224.03171999997,0.17978906631469727,"[1, 3, 1, 3, 1, 0, 4, 2, 2, 0, 3, 0, 2, 1, 2]"
train,ppo_sim_default_42,0,7,-8.0,25,2.781439,9.12,0.3696000000000001,0.12743830680847168,"[1, 2, 4, 1, 2, 3, 1, 0, 3, 4, 0, 1, 0, 1, 2]"
train,ppo_sim_default_42,0,8,-11.0,25,2.898592,8.4,3070.25988,0.1124575138092041,"[1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2]"
train,ppo_sim_default_42,0,9,-4.0,25,3.011763,7.6,8333.716160000002,0.10941958427429199,"[1, 1, 3, 2, 3, 0, 1, 1, 3, 0, 4, 1, 2, 1, 2]"
train,ppo_sim_default_42,0,10,-7.0,25,3.134565,6.88,0.20640000000000003,0.11902713775634766,"[0, 2, 4, 0, 0, 1, 2, 3, 1, 4, 1, 3, 2, 1, 1]"
train,ppo_sim_default_42,0,11,-11.0,25,3.248474,9.0,2222653.63992,0.11038899421691895,"[1, 0, 3, 1, 3, 0, 2, 5, 0, 2, 1, 2, 2, 2, 1]"
train,ppo_sim_default_42,0,12,-7.0,25,3.353548,8.28,183774.43720000001,0.10085320472717285,"[1, 1, 4, 3, 1, 2, 0, 2, 0, 2, 1, 1, 2, 2, 3]"
train,ppo_sim_default_42,0,13,-6.0,25,3.465439,10.8,2.52228,0.10750746726989746,"[2, 3, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 0]"
train,ppo_sim_default_42,0,14,-11.0,25,3.591096,8.4,479861.67604000005,0.12021422386169434,"[0, 0, 1, 1, 1, 2, 2, 3, 0, 6, 4, 0, 2, 2, 1]"
train,ppo_sim_default_42,0,15,-8.0,25,3.71259,9.48,61973.840760000014,0.11563491821289062,"[1, 4, 1, 1, 2, 1, 1, 3, 1, 4, 0, 3, 0, 1, 2]"
train,ppo_sim_default_42,0,16,-10.0,25,3.800421,7.28,359804.73548000003,0.0847022533416748,"[2, 1, 1, 1, 0, 2, 1, 2, 1, 2, 3, 3, 2, 2, 2]"
train,ppo_sim_default_42,0,17,-13.0,25,3.899137,11.48,0.08588,0.09592652320861816,"[1, 5, 2, 3, 0, 0, 4, 1, 0, 1, 1, 0, 3, 0, 4]"
train,ppo_sim_default_42,0,18,-5.0,25,3.983135,10.04,402587.99236000003,0.08150148391723633,"[3, 3, 0, 3, 1, 2, 1, 2, 2, 1, 0, 2, 4, 0, 1]"
train,ppo_sim_default_42,0,19,-15.0,25,4.066789,9.64,1520.07416,0.08122682571411133,"[1, 1, 1, 1, 2, 1, 5, 2, 2, 1, 2, 1, 2, 0, 3]"
train,ppo_sim_default_42,0,20,-14.0,25,4.153393,11.88,696414.887,0.08292531967163086,"[0, 0, 2, 2, 3, 3, 2, 3, 2, 1, 1, 2, 0, 2, 2]"
train,ppo_sim_default_42,0,21,-5.0,25,4.230255,9.72,3000.9155600000004,0.07419061660766602,"[3, 2, 2, 1, 3, 1, 4, 0, 1, 2, 2, 0, 2, 1, 1]"
train,ppo_sim_default_42,0,22,-7.0,25,4.318358,10.24,359702.8484,0.08542680740356445,"[1, 1, 2, 5, 0, 1, 1, 4, 3, 3, 1, 0, 2, 1, 0]"
train,ppo_sim_default_42,0,23,-7.0,25,4.401469,10.0,421.0221199999999,0.08061671257019043,"[4, 2, 2, 1, 3, 3, 0, 1, 2, 0, 1, 1, 1, 3, 1]"
train,ppo_sim_default_42,0,24,-9.0,25,4.484661,8.08,2136821.84128,0.08062219619750977,"[0, 2, 2, 5, 0, 2, 1, 1, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_sim_default_42,0,25,-6.0,25,4.561345,9.8,730933.1720400001,0.07424163818359375,"[2, 2, 3, 3, 0, 1, 2, 2, 1, 0, 0, 3, 1, 2, 3]"
train,ppo_sim_default_42,0,26,-15.0,25,4.636606,10.2,0.57584,0.0727837085723877,"[1, 0, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 3, 0]"
train,ppo_sim_default_42,0,27,-8.0,25,4.710697,9.28,122.30944000000004,0.07173395156860352,"[1, 0, 2, 2, 6, 1, 0, 1, 3, 0, 1, 2, 2, 3, 1]"
train,ppo_sim_default_42,0,28,-5.0,25,4.783049,7.76,0.0526,0.06980371475219727,"[1, 3, 1, 1, 2, 1, 0, 1, 4, 4, 1, 1, 2, 2, 1]"
train,ppo_sim_default_42,0,29,0.0,25,4.858681,7.32,122.18820000000001,0.07332801818847656,"[2, 0, 2, 0, 2, 1, 2, 2, 1, 4, 4, 0, 3, 2, 0]"
train,ppo_sim_default_42,0,30,-10.0,25,4.937142,10.88,65946.72015999998,0.07609438896179199,"[1, 3, 1, 1, 3, 2, 2, 1, 0, 1, 2, 1, 2, 1, 4]"
train,ppo_sim_default_42,0,31,-8.0,25,5.01237,8.0,77.82580000000002,0.07257604598999023,"[1, 0, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 4, 2, 0]"
train,ppo_sim_default_42,0,32,-11.0,25,5.092822,8.36,71377.46604,0.07792949676513672,"[3, 3, 2, 0, 0, 1, 0, 1, 4, 0, 2, 2, 0, 4, 3]"
train,ppo_sim_default_42,0,33,-14.0,25,5.164276,10.32,1.3023600000000002,0.06899094581604004,"[1, 1, 0, 1, 3, 1, 4, 3, 2, 0, 0, 2, 3, 2, 2]"
train,ppo_sim_default_42,0,34,-13.0,25,5.246673,8.12,32236.95156,0.08002138137817383,"[3, 0, 1, 2, 0, 2, 1, 4, 3, 0, 1, 3, 2, 2, 1]"
train,ppo_sim_default_42,0,35,-2.0,25,5.319743,8.16,23.956999999999997,0.07048654556274414,"[1, 2, 0, 0, 1, 4, 1, 1, 3, 0, 6, 0, 3, 3, 0]"
train,ppo_sim_default_42,0,36,-8.0,25,5.401131,9.96,112412.82103999998,0.07779145240783691,"[1, 2, 2, 1, 2, 1, 2, 0, 2, 1, 0, 3, 2, 3, 3]"
train,ppo_sim_default_42,0,37,-10.0,25,5.475483,8.64,291.20568000000003,0.07165384292602539,"[2, 2, 0, 2, 0, 1, 0, 5, 3, 1, 1, 2, 2, 3, 1]"
train,ppo_sim_default_42,0,38,-12.0,25,5.550755,9.68,832323.98504,0.07218337059020996,"[2, 2, 0, 4, 2, 2, 1, 3, 0, 0, 0, 3, 1, 4, 1]"
train,ppo_sim_default_42,0,39,-9.0,25,5.636909,6.68,3.2050000000000005,0.08351683616638184,"[1, 0, 2, 1, 5, 0, 0, 2, 1, 1, 2, 1, 3, 2, 4]"
train,ppo_sim_default_42,0,40,-9.0,25,5.715998,8.92,340768.00696,0.07659530639648438,"[1, 2, 2, 0, 4, 2, 4, 2, 4, 1, 1, 1, 0, 1, 0]"
train,ppo_sim_default_42,0,41,-11.0,25,5.79366,6.72,0.0916,0.07426309585571289,"[4, 0, 1, 1, 2, 2, 1, 1, 2, 0, 2, 4, 2, 2, 1]"
train,ppo_sim_default_42,0,42,-5.0,25,5.868211,9.24,359705.0017599999,0.07187843322753906,"[2, 1, 3, 1, 2, 2, 3, 0, 4, 1, 2, 1, 1, 2, 0]"
train,ppo_sim_default_42,0,43,-8.0,25,5.945266,8.56,2308.70704,0.0738382339477539,"[1, 1, 1, 1, 4, 0, 2, 0, 1, 3, 0, 2, 3, 3, 3]"
train,ppo_sim_default_42,0,44,-16.0,25,6.014649,10.88,169588.32208,0.06668567657470703,"[2, 1, 2, 1, 2, 2, 2, 4, 1, 0, 2, 1, 1, 2, 2]"
train,ppo_sim_default_42,0,45,-6.0,25,6.104279,7.96,457673.7569200001,0.08626222610473633,"[1, 1, 2, 2, 1, 0, 1, 1, 3, 3, 0, 1, 2, 1, 6]"
train,ppo_sim_default_42,0,46,-13.0,25,6.178639,9.6,131893.94564,0.07161760330200195,"[3, 3, 1, 2, 0, 5, 1, 1, 1, 1, 0, 2, 3, 1, 1]"
train,ppo_sim_default_42,0,47,-10.0,25,6.259262,6.8,359839.6219599999,0.07764911651611328,"[2, 1, 3, 0, 0, 0, 1, 3, 3, 1, 2, 5, 1, 2, 1]"
train,ppo_sim_default_42,0,48,-8.0,25,6.340415,8.72,337275.05607999995,0.07855367660522461,"[1, 0, 1, 0, 2, 2, 3, 3, 4, 1, 1, 3, 0, 2, 2]"
train,ppo_sim_default_42,0,49,-13.0,25,6.422051,9.32,360124.03576000006,0.07883048057556152,"[0, 3, 3, 1, 0, 4, 1, 3, 2, 2, 0, 3, 2, 1, 0]"
train,ppo_sim_default_42,0,50,-15.0,25,6.496921,9.84,10.520999999999999,0.07238888740539551,"[2, 1, 1, 2, 0, 3, 1, 2, 1, 3, 2, 1, 3, 1, 2]"
train,ppo_sim_default_42,0,51,-5.0,25,6.57379,7.44,123346.79084,0.07446908950805664,"[1, 2, 1, 2, 1, 1, 2, 3, 2, 1, 2, 2, 4, 0, 1]"
train,ppo_sim_default_42,0,52,-10.0,25,6.670554,9.56,168269.9906,0.09410381317138672,"[2, 0, 1, 0, 2, 4, 1, 3, 1, 1, 1, 2, 3, 2, 2]"
