phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_default_42,0,0,-2750.504,25,2.685294,9.4,119900.89124000001,0.17247700691223145,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,ppo_default_42,0,1,-3901.45,25,2.804543,10.72,359682.50500000006,0.10970544815063477,"[1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 2, 0, 1, 4]"
train,ppo_default_42,0,2,-3527.491,25,2.963892,9.68,498.59836,0.15546488761901855,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,ppo_default_42,0,3,-3108.718,25,3.197599,10.32,14.377159999999998,0.22937369346618652,"[2, 2, 2, 0, 2, 4, 3, 0, 1, 2, 1, 1, 3, 0, 2]"
train,ppo_default_42,0,4,-3560.295,25,3.357407,9.36,65978.99068,0.15616631507873535,"[1, 3, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 5, 3]"
train,ppo_default_42,0,5,-3014.537,25,3.764457,9.2,544920.6777599999,0.40406155586242676,"[4, 2, 4, 1, 1, 1, 2, 2, 2, 0, 3, 0, 1, 1, 1]"
train,ppo_default_42,0,6,-2505.196,25,3.869117,7.76,70974.09203999999,0.10176205635070801,"[1, 0, 2, 3, 2, 0, 4, 0, 3, 1, 3, 0, 1, 3, 2]"
train,ppo_default_42,0,7,-3258.441,25,4.013005,8.72,2684.20376,0.1413424015045166,"[4, 2, 2, 1, 1, 2, 1, 1, 1, 2, 1, 2, 1, 1, 3]"
train,ppo_default_42,0,8,-2005.041,25,4.11043,8.04,0.20600000000000002,0.0941011905670166,"[1, 3, 4, 3, 3, 0, 0, 0, 3, 2, 0, 4, 1, 1, 0]"
train,ppo_default_42,0,9,-3770.709,25,4.228434,10.08,2.51356,0.11533570289611816,"[3, 1, 0, 1, 3, 3, 4, 2, 1, 1, 3, 2, 0, 1, 0]"
train,ppo_default_42,0,10,-3430.631,25,4.480933,6.92,362922.9406000001,0.24988174438476562,"[2, 3, 3, 0, 2, 0, 0, 1, 0, 3, 2, 0, 1, 5, 3]"
