phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_default_42,0,0,7.17381,25,1.306453,9.4,119900.89124000001,0.13475298881530762,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,ppo_default_42,0,1,-7.328571,25,1.412795,10.72,359682.50500000006,0.10228490829467773,"[1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 2, 0, 1, 4]"
train,ppo_default_42,0,2,8.595238,25,1.767153,8.12,191.0204,0.3508744239807129,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,ppo_default_42,0,3,1.219048,25,1.890042,12.32,0.60812,0.11974835395812988,"[2, 2, 2, 0, 2, 4, 3, 0, 1, 2, 1, 1, 3, 0, 2]"
train,ppo_default_42,0,4,1.969048,25,2.043718,8.0,40.22732,0.1491687297821045,"[1, 3, 0, 2, 0, 1, 3, 1, 0, 2, 2, 2, 0, 5, 3]"
train,ppo_default_42,0,5,7.657143,25,2.288352,10.84,3515.3373600000004,0.2408761978149414,"[4, 2, 4, 2, 1, 1, 1, 2, 3, 0, 3, 0, 1, 0, 1]"
train,ppo_default_42,0,6,-3.504762,25,2.395265,9.0,169397.68632000004,0.10398411750793457,"[1, 0, 2, 3, 2, 0, 3, 0, 3, 1, 3, 0, 1, 3, 3]"
train,ppo_default_42,0,7,-0.42381,25,2.700473,8.88,32236.734160000004,0.3009614944458008,"[4, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 0, 3]"
train,ppo_default_42,0,8,11.742857,25,2.815399,8.48,1078254.45188,0.1121373176574707,"[1, 4, 4, 2, 3, 0, 0, 0, 4, 2, 0, 3, 0, 2, 0]"
train,ppo_default_42,0,9,-1.385714,25,2.92404,12.12,171247.53167999993,0.10582828521728516,"[3, 2, 0, 1, 2, 3, 5, 1, 2, 0, 4, 2, 0, 0, 0]"
train,ppo_default_42,0,10,0.378571,25,3.207917,8.0,4.114320000000001,0.2797732353210449,"[2, 3, 3, 0, 2, 0, 0, 1, 0, 4, 3, 0, 1, 4, 2]"
train,ppo_default_42,0,11,-5.65,25,3.326699,8.76,3441.2957200000005,0.11580181121826172,"[0, 3, 1, 4, 0, 5, 0, 2, 1, 1, 0, 1, 3, 3, 1]"
train,ppo_default_42,0,12,3.759524,25,3.568782,7.92,1.8632399999999998,0.23899149894714355,"[1, 4, 2, 1, 2, 1, 1, 1, 1, 4, 1, 3, 3, 0, 0]"
train,ppo_default_42,0,13,3.192857,25,3.68169,8.76,21.470600000000005,0.10870790481567383,"[2, 2, 1, 2, 2, 2, 1, 5, 0, 1, 0, 3, 0, 3, 1]"
train,ppo_default_42,0,14,-2.07381,25,3.804505,8.44,6154.961399999999,0.11957550048828125,"[1, 0, 1, 1, 0, 1, 5, 3, 1, 2, 1, 3, 2, 2, 2]"
train,ppo_default_42,0,15,-4.883333,25,4.083215,7.68,339245.04115999996,0.27463674545288086,"[1, 1, 0, 0, 1, 1, 1, 6, 3, 1, 2, 2, 2, 2, 2]"
train,ppo_default_42,0,16,2.871429,25,4.19804,8.56,1071.71092,0.11186051368713379,"[1, 1, 3, 0, 1, 3, 0, 5, 2, 2, 2, 2, 1, 0, 2]"
train,ppo_default_42,0,17,1.22619,25,4.42634,8.76,8403.52168,0.2256460189819336,"[2, 1, 1, 1, 3, 3, 1, 0, 2, 2, 2, 1, 0, 3, 3]"
train,ppo_default_42,0,18,-5.352381,25,4.641327,10.96,119879.09851999999,0.20344066619873047,"[0, 2, 1, 1, 4, 4, 1, 4, 2, 2, 0, 4, 0, 0, 0]"
train,ppo_default_42,0,19,-2.75,25,4.786248,7.84,5.560480000000001,0.14139413833618164,"[1, 2, 1, 2, 2, 2, 3, 2, 4, 0, 2, 0, 0, 3, 1]"
train,ppo_default_42,0,20,4.95,25,5.08288,8.12,71719.40416,0.29381251335144043,"[3, 4, 1, 1, 0, 2, 3, 1, 0, 3, 1, 1, 0, 3, 2]"
train,ppo_default_42,0,21,-3.657143,25,5.188559,7.84,39694.049600000006,0.10144734382629395,"[0, 2, 3, 0, 2, 1, 2, 0, 0, 4, 1, 3, 3, 1, 3]"
train,ppo_default_42,0,22,12.854762,25,5.28188,8.28,66016.13680000001,0.09048819541931152,"[4, 0, 3, 3, 1, 3, 0, 2, 2, 2, 1, 1, 2, 1, 0]"
train,ppo_default_42,0,23,-0.835714,25,5.561173,9.92,529110.02464,0.2749757766723633,"[1, 1, 0, 1, 6, 0, 4, 1, 1, 2, 3, 1, 1, 1, 2]"
train,ppo_default_42,0,24,0.402381,25,5.688257,8.4,4.209,0.12386345863342285,"[1, 1, 0, 4, 1, 4, 1, 4, 2, 3, 1, 1, 1, 0, 1]"
train,ppo_default_42,0,25,6.235714,25,5.957082,8.6,180676.02044000002,0.2638082504272461,"[5, 2, 4, 1, 5, 0, 0, 0, 1, 1, 3, 1, 2, 0, 0]"
train,ppo_default_42,0,26,-2.07381,25,6.066286,10.64,1286.24344,0.1049506664276123,"[1, 5, 3, 2, 2, 1, 1, 2, 0, 1, 0, 2, 2, 2, 1]"
train,ppo_default_42,0,27,3.809524,25,6.184616,5.8,835487.5683200001,0.11410307884216309,"[3, 2, 2, 1, 0, 0, 1, 2, 1, 2, 3, 2, 3, 1, 2]"
train,ppo_default_42,0,28,-0.304762,25,6.430535,9.76,1438788.97768,0.2431018352508545,"[1, 2, 2, 4, 0, 0, 5, 2, 1, 3, 0, 1, 1, 3, 0]"
train,ppo_default_42,0,29,14.9,25,6.554825,6.56,4930.76948,0.12143945693969727,"[1, 5, 1, 1, 3, 0, 1, 0, 3, 2, 2, 0, 2, 3, 1]"
train,ppo_default_42,0,30,7.319048,25,6.814724,5.88,65.18728,0.2569546699523926,"[1, 2, 3, 2, 0, 0, 1, 1, 2, 4, 3, 2, 0, 0, 4]"
train,ppo_default_42,0,31,1.842857,25,6.969912,7.64,33883.203,0.15251541137695312,"[2, 2, 1, 2, 1, 0, 0, 1, 4, 2, 3, 0, 2, 0, 5]"
train,ppo_default_42,0,32,9.228571,25,7.089,7.84,2.6866799999999995,0.11461949348449707,"[3, 1, 2, 0, 1, 2, 0, 4, 2, 3, 1, 2, 1, 1, 2]"
train,ppo_default_42,0,33,12.159524,25,7.370014,7.56,154029.23108,0.27711915969848633,"[1, 5, 1, 1, 4, 1, 0, 0, 3, 1, 1, 3, 1, 1, 2]"
train,ppo_default_42,0,34,10.616667,25,7.490999,7.56,719410.3896400001,0.11768865585327148,"[2, 3, 2, 2, 3, 2, 2, 0, 0, 1, 2, 0, 3, 3, 0]"
train,ppo_default_42,0,35,16.559524,25,7.758548,6.96,3.809,0.26470017433166504,"[3, 4, 2, 1, 0, 2, 2, 1, 1, 3, 2, 0, 3, 0, 1]"
train,ppo_default_42,0,36,2.359524,25,7.904188,6.92,40.85388,0.14235186576843262,"[2, 2, 1, 2, 3, 2, 0, 4, 1, 1, 1, 0, 2, 3, 1]"
train,ppo_default_42,0,37,4.542857,25,8.017108,8.56,119901.96724000001,0.10949087142944336,"[2, 1, 1, 2, 1, 2, 0, 3, 3, 1, 2, 0, 3, 3, 1]"
train,ppo_default_42,0,38,7.909524,25,8.287515,8.8,1252.36608,0.26714158058166504,"[3, 3, 2, 0, 3, 1, 1, 1, 2, 0, 2, 1, 2, 2, 2]"
train,ppo_default_42,0,39,3.566667,25,8.382371,9.12,352341.70535999996,0.09200596809387207,"[2, 5, 1, 0, 1, 1, 2, 1, 2, 3, 0, 1, 3, 1, 2]"
train,ppo_default_42,0,40,18.37619,25,8.647467,6.76,10.00652,0.26235079765319824,"[5, 3, 0, 2, 4, 2, 0, 0, 1, 1, 3, 0, 0, 1, 3]"
train,ppo_default_42,0,41,15.309524,25,8.773199,5.08,44.078320000000005,0.12147116661071777,"[5, 2, 3, 0, 1, 1, 1, 1, 1, 0, 3, 2, 1, 1, 3]"
train,ppo_default_42,0,42,8.635714,25,8.886049,7.96,840608.9261199998,0.10856437683105469,"[2, 3, 2, 2, 1, 0, 2, 2, 1, 2, 6, 1, 0, 1, 0]"
train,ppo_default_42,0,43,5.397619,25,9.16326,8.92,188551.09072,0.27434587478637695,"[1, 1, 3, 1, 1, 1, 2, 2, 1, 0, 1, 2, 2, 3, 4]"
train,ppo_default_42,0,44,8.342857,25,9.294732,6.52,225259.13735999996,0.12832188606262207,"[2, 3, 4, 0, 1, 1, 3, 1, 2, 1, 3, 1, 1, 1, 1]"
train,ppo_default_42,0,45,5.083333,25,9.495625,6.52,20.017,0.18775582313537598,"[4, 1, 2, 1, 2, 1, 2, 0, 2, 0, 1, 2, 1, 2, 4]"
train,ppo_default_42,0,46,15.545238,25,9.754672,6.52,1.9312799999999999,0.25610971450805664,"[4, 3, 1, 3, 0, 0, 2, 1, 1, 0, 4, 1, 0, 2, 3]"
train,ppo_default_42,0,47,23.516667,25,9.902873,5.68,168708.82367999997,0.14527058601379395,"[7, 2, 1, 3, 2, 0, 0, 1, 1, 1, 4, 0, 2, 0, 1]"
train,ppo_default_42,0,48,21.792857,25,10.233675,7.24,572414.15456,0.327085018157959,"[4, 3, 0, 4, 2, 1, 2, 0, 0, 3, 1, 1, 1, 2, 1]"
train,ppo_default_42,0,49,16.809524,25,10.371124,7.48,70537.21995999999,0.13417482376098633,"[3, 6, 0, 2, 0, 2, 2, 2, 1, 3, 3, 1, 0, 0, 0]"
train,ppo_default_42,0,50,27.366667,25,10.49455,5.12,13.62588,0.11873316764831543,"[3, 2, 2, 2, 2, 3, 0, 0, 1, 2, 6, 0, 0, 2, 0]"
train,ppo_default_42,0,51,18.666667,25,10.779323,5.48,61.44236,0.281965970993042,"[4, 3, 2, 2, 1, 1, 0, 0, 1, 1, 7, 1, 0, 2, 0]"
train,ppo_default_42,0,52,18.483333,25,10.918423,6.0,64504.88848,0.13620352745056152,"[7, 3, 3, 1, 0, 2, 1, 0, 3, 1, 3, 1, 0, 0, 0]"
train,ppo_default_42,0,53,22.333333,25,11.150802,4.04,28.155679999999997,0.22948098182678223,"[9, 3, 0, 0, 0, 1, 0, 3, 2, 0, 6, 0, 1, 0, 0]"
train,ppo_default_42,0,54,26.983333,25,11.253464,5.6,45.49616,0.0995643138885498,"[4, 5, 2, 3, 3, 0, 1, 0, 1, 0, 5, 0, 0, 1, 0]"
train,ppo_default_42,0,55,29.2,25,11.362894,4.92,11.837919999999999,0.10667610168457031,"[7, 6, 1, 0, 1, 1, 1, 0, 1, 0, 5, 0, 0, 2, 0]"
train,ppo_default_42,0,56,4.685714,25,11.605786,8.24,360067.66588,0.24007558822631836,"[2, 1, 3, 0, 1, 3, 2, 1, 1, 0, 3, 2, 3, 1, 2]"
train,ppo_default_42,0,57,27.983333,25,11.74788,6.28,719406.1334799998,0.13763928413391113,"[4, 8, 1, 1, 1, 1, 1, 0, 1, 2, 4, 0, 1, 0, 0]"
train,ppo_default_42,0,58,32.4,25,12.050229,4.84,88.38763999999999,0.29709839820861816,"[4, 5, 0, 2, 3, 1, 0, 0, 0, 0, 10, 0, 0, 0, 0]"
train,ppo_default_42,0,59,22.15,25,12.160675,7.24,355363.40832000005,0.10709810256958008,"[7, 2, 3, 2, 0, 0, 1, 0, 0, 2, 6, 1, 1, 0, 0]"
train,ppo_default_42,0,60,28.916667,25,12.261399,4.4,13.21716,0.09766697883605957,"[4, 8, 1, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 2, 1]"
train,ppo_default_42,0,61,33.042857,25,12.516055,5.6,32268.519280000004,0.2502424716949463,"[5, 6, 2, 2, 1, 1, 0, 0, 1, 1, 4, 2, 0, 0, 0]"
train,ppo_default_42,0,62,20.25,25,12.653293,6.0,168282.34003999998,0.13414216041564941,"[3, 2, 0, 3, 1, 1, 2, 1, 0, 0, 10, 1, 0, 0, 1]"
train,ppo_default_42,0,63,34.952381,25,12.748155,4.88,1.67688,0.09017634391784668,"[7, 5, 0, 1, 0, 0, 2, 0, 3, 0, 7, 0, 0, 0, 0]"
train,ppo_default_42,0,64,30.166667,25,13.000409,5.04,5.47832,0.10677266120910645,"[12, 6, 0, 0, 0, 0, 0, 1, 1, 0, 3, 1, 0, 0, 1]"
train,ppo_default_42,0,65,22.666667,25,13.123708,6.32,1064.0895600000001,0.12030935287475586,"[3, 5, 1, 2, 0, 0, 0, 2, 5, 3, 3, 0, 0, 0, 1]"
train,ppo_default_42,0,66,34.7,25,13.361271,4.4,31.9252,0.23456311225891113,"[7, 3, 0, 1, 2, 0, 2, 1, 0, 0, 8, 0, 0, 0, 1]"
train,ppo_default_42,0,67,36.17619,25,13.47212,3.96,25.46556,0.1066131591796875,"[18, 1, 0, 0, 0, 0, 2, 0, 0, 1, 2, 0, 1, 0, 0]"
train,ppo_default_42,0,68,32.67619,25,13.588053,5.72,695359.0098,0.11313390731811523,"[11, 2, 1, 0, 1, 1, 1, 0, 1, 0, 6, 0, 0, 1, 0]"
train,ppo_default_42,0,69,11.369048,25,13.843501,7.04,2818800.7338800007,0.2520713806152344,"[7, 1, 0, 1, 1, 1, 1, 1, 1, 2, 4, 4, 1, 0, 0]"
train,ppo_default_42,0,70,21.033333,25,13.967054,5.84,2685.67396,0.1204533576965332,"[7, 4, 0, 0, 0, 1, 1, 0, 0, 1, 5, 1, 2, 1, 2]"
train,ppo_default_42,0,71,46.583333,25,14.197342,3.4,13.830279999999998,0.2275998592376709,"[14, 4, 2, 0, 1, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0]"
