phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,ppo_sim_learned_lgbm_42,0,0,-0.583333,25,4.612687,11.48,5272.56092,2.2729082107543945,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,ppo_sim_learned_lgbm_42,0,1,17.302381,25,6.759726,7.48,3579.91968,2.1388192176818848,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,ppo_sim_learned_lgbm_42,0,2,-3.333333,25,8.849073,8.8,3367.3215599999994,2.0833330154418945,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,ppo_sim_learned_lgbm_42,0,3,3.242857,25,10.622822,7.52,2054653.22412,1.7670607566833496,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,ppo_sim_learned_lgbm_42,0,4,5.233333,25,13.237607,9.4,120767.30124,2.6090710163116455,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,ppo_sim_learned_lgbm_42,0,5,-2.738095,25,15.242894,11.52,4755.89616,2.0008575916290283,"[1, 3, 1, 3, 4, 1, 2, 2, 1, 0, 1, 3, 0, 3, 0]"
train,ppo_sim_learned_lgbm_42,0,6,-1.266667,25,17.216773,10.44,4024.2081600000006,1.9682903289794922,"[1, 3, 1, 3, 1, 0, 4, 2, 2, 0, 3, 0, 2, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,7,0.633333,25,19.102832,8.52,5876.67092,1.8799355030059814,"[1, 2, 4, 1, 2, 3, 1, 0, 3, 4, 0, 1, 0, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,8,3.452381,25,21.070632,7.44,4080.2628000000004,1.962733507156372,"[1, 1, 2, 1, 3, 2, 1, 1, 1, 2, 3, 1, 2, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,9,12.25,25,22.892312,8.68,8937.333999999999,1.8170757293701172,"[1, 1, 3, 2, 3, 0, 1, 1, 3, 0, 4, 1, 2, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,10,0.933333,25,24.596857,7.88,4037.47648,1.6989860534667969,"[0, 2, 4, 0, 0, 1, 2, 3, 1, 4, 1, 3, 2, 1, 1]"
train,ppo_sim_learned_lgbm_42,0,11,0.97619,25,26.31383,8.68,3308.31748,1.7083897590637207,"[1, 0, 3, 1, 3, 0, 2, 5, 0, 2, 1, 2, 2, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,12,0.416667,25,28.266071,8.28,4273.46248,1.9478332996368408,"[1, 1, 4, 3, 1, 2, 0, 2, 0, 2, 1, 1, 2, 2, 3]"
train,ppo_sim_learned_lgbm_42,0,13,6.085714,25,30.040703,10.8,6755.9753200000005,1.7689235210418701,"[2, 3, 2, 1, 2, 3, 2, 0, 2, 1, 1, 3, 2, 1, 0]"
train,ppo_sim_learned_lgbm_42,0,14,-2.316667,25,32.196064,9.16,7085.827000000001,2.1519317626953125,"[0, 0, 1, 1, 1, 2, 2, 3, 0, 6, 4, 0, 2, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,15,3.590476,25,34.072187,10.72,6503.78076,1.8700265884399414,"[1, 4, 1, 1, 2, 1, 1, 3, 1, 4, 0, 3, 0, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,16,16.759524,25,35.933417,5.04,4157.59592,1.856881856918335,"[2, 1, 1, 1, 0, 2, 1, 2, 1, 2, 3, 3, 2, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,17,2.083333,25,38.133027,9.52,4784.54796,2.1937713623046875,"[1, 5, 2, 3, 0, 0, 4, 1, 0, 1, 1, 0, 3, 0, 4]"
train,ppo_sim_learned_lgbm_42,0,18,5.116667,25,40.335721,8.88,4616.6911199999995,2.1957828998565674,"[3, 3, 0, 2, 1, 2, 1, 2, 2, 1, 0, 2, 4, 0, 2]"
train,ppo_sim_learned_lgbm_42,0,19,-8.2,25,42.493171,9.08,13751.073160000002,2.1524877548217773,"[1, 1, 1, 1, 2, 1, 5, 2, 2, 1, 2, 1, 2, 0, 3]"
train,ppo_sim_learned_lgbm_42,0,20,0.119048,25,44.826338,9.0,7837.382640000001,2.325845956802368,"[0, 0, 2, 2, 3, 3, 2, 3, 2, 1, 1, 2, 0, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,21,3.171429,25,47.789244,11.08,43891.279239999996,2.9586684703826904,"[3, 2, 2, 1, 3, 1, 4, 0, 1, 2, 2, 0, 2, 1, 1]"
train,ppo_sim_learned_lgbm_42,0,22,0.490476,25,49.967932,10.16,5955.7324,2.1728837490081787,"[1, 1, 2, 5, 0, 1, 1, 4, 3, 3, 1, 0, 2, 1, 0]"
train,ppo_sim_learned_lgbm_42,0,23,-1.954762,25,52.249776,11.48,2528.97636,2.2733893394470215,"[4, 2, 2, 1, 3, 3, 0, 1, 2, 0, 1, 1, 1, 3, 1]"
train,ppo_sim_learned_lgbm_42,0,24,7.72619,25,54.431695,8.08,4769.41232,2.1783993244171143,"[0, 2, 2, 5, 0, 2, 1, 1, 0, 4, 1, 3, 1, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,25,8.0,25,56.276596,7.32,8028.2372,1.8401048183441162,"[2, 2, 2, 3, 0, 1, 2, 2, 1, 0, 0, 3, 1, 3, 3]"
train,ppo_sim_learned_lgbm_42,0,26,-3.916667,25,58.055927,9.16,78222.87744,1.7733943462371826,"[1, 0, 1, 2, 2, 2, 2, 3, 1, 1, 4, 1, 2, 3, 0]"
train,ppo_sim_learned_lgbm_42,0,27,-4.05,25,59.753236,9.68,4940.3359199999995,1.6928491592407227,"[1, 0, 2, 2, 6, 1, 0, 1, 3, 0, 1, 2, 2, 3, 1]"
train,ppo_sim_learned_lgbm_42,0,28,11.166667,25,61.640724,7.4,5416.834319999999,1.8835768699645996,"[1, 3, 1, 0, 2, 1, 0, 1, 4, 4, 1, 1, 3, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,29,3.592857,25,63.586674,7.6,185566.10863999996,1.9362459182739258,"[2, 0, 2, 0, 2, 1, 2, 2, 1, 4, 4, 0, 3, 2, 0]"
train,ppo_sim_learned_lgbm_42,0,30,-0.664286,25,65.485295,10.8,5328.2568,1.8931734561920166,"[1, 3, 1, 1, 3, 2, 2, 1, 0, 1, 2, 1, 2, 1, 4]"
train,ppo_sim_learned_lgbm_42,0,31,1.380952,25,67.520265,8.0,7862.370360000001,2.028688669204712,"[1, 0, 3, 1, 2, 1, 1, 2, 2, 2, 2, 2, 4, 2, 0]"
train,ppo_sim_learned_lgbm_42,0,32,4.5,25,69.651548,5.88,6920.12196,2.127668857574463,"[3, 3, 2, 0, 0, 1, 0, 1, 4, 0, 2, 2, 0, 4, 3]"
train,ppo_sim_learned_lgbm_42,0,33,-5.740476,25,71.563437,10.12,2941.4813599999998,1.9085566997528076,"[1, 1, 0, 0, 3, 1, 4, 3, 3, 0, 0, 2, 3, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,34,6.0,25,73.493924,8.04,3244.1550000000007,1.9270291328430176,"[3, 0, 1, 2, 0, 2, 1, 4, 3, 0, 1, 3, 2, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,35,13.77619,25,75.398025,8.12,9650.900440000001,1.8981964588165283,"[1, 2, 0, 0, 1, 4, 1, 1, 3, 0, 6, 0, 3, 3, 0]"
train,ppo_sim_learned_lgbm_42,0,36,5.666667,25,77.192891,9.96,6087.3016800000005,1.7861742973327637,"[1, 2, 2, 1, 2, 1, 2, 0, 2, 1, 0, 3, 2, 3, 3]"
train,ppo_sim_learned_lgbm_42,0,37,-0.007143,25,79.785478,8.04,2549.22952,2.58792781829834,"[2, 2, 0, 2, 0, 1, 0, 5, 3, 1, 1, 2, 2, 3, 1]"
train,ppo_sim_learned_lgbm_42,0,38,11.642857,25,81.783347,8.96,7421.19688,1.9936401844024658,"[2, 2, 0, 4, 2, 2, 1, 3, 0, 0, 0, 3, 1, 4, 1]"
train,ppo_sim_learned_lgbm_42,0,39,-7.016667,25,83.738488,7.68,1783.177,1.949622392654419,"[1, 0, 2, 1, 5, 0, 0, 2, 1, 1, 2, 1, 3, 2, 4]"
train,ppo_sim_learned_lgbm_42,0,40,5.333333,25,85.625732,8.92,8121.936119999999,1.8839027881622314,"[1, 2, 2, 0, 4, 2, 4, 2, 4, 1, 1, 1, 0, 1, 0]"
train,ppo_sim_learned_lgbm_42,0,41,-4.633333,25,87.50254,8.72,3996.50504,1.8664567470550537,"[4, 0, 1, 1, 2, 2, 1, 1, 2, 0, 2, 4, 2, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,42,3.242857,25,89.252182,9.36,4255.08664,1.744354486465454,"[2, 1, 3, 1, 2, 2, 3, 0, 4, 1, 2, 1, 1, 2, 0]"
train,ppo_sim_learned_lgbm_42,0,43,1.916667,25,91.022851,7.52,6316.3736,1.7669272422790527,"[1, 1, 1, 1, 4, 0, 2, 0, 1, 3, 0, 2, 3, 3, 3]"
train,ppo_sim_learned_lgbm_42,0,44,-0.314286,25,92.957723,9.4,6399.484960000001,1.9266948699951172,"[2, 1, 2, 1, 2, 2, 2, 4, 1, 0, 2, 1, 1, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,45,-0.216667,25,94.730472,7.88,5448.417479999999,1.7679498195648193,"[1, 1, 2, 2, 1, 0, 1, 1, 3, 3, 0, 1, 2, 1, 6]"
train,ppo_sim_learned_lgbm_42,0,46,8.261905,25,96.564467,9.88,5556.120279999999,1.8292784690856934,"[3, 3, 1, 2, 0, 5, 1, 1, 1, 1, 0, 2, 3, 1, 1]"
train,ppo_sim_learned_lgbm_42,0,47,8.195238,25,98.993483,7.32,2965.9740400000005,2.42277193069458,"[2, 1, 3, 0, 0, 0, 1, 3, 3, 1, 2, 5, 1, 2, 1]"
train,ppo_sim_learned_lgbm_42,0,48,6.783333,25,100.909814,8.72,4613.430400000001,1.912719488143921,"[1, 0, 1, 0, 2, 2, 3, 3, 4, 1, 1, 3, 0, 2, 2]"
train,ppo_sim_learned_lgbm_42,0,49,0.05,25,103.101481,9.52,4301.44348,2.1781444549560547,"[0, 3, 3, 1, 0, 4, 1, 3, 2, 2, 0, 3, 2, 1, 0]"
train,ppo_sim_learned_lgbm_42,0,50,-6.966667,25,105.071128,9.84,5573.926639999999,1.9655497074127197,"[2, 1, 1, 2, 0, 3, 1, 2, 1, 3, 2, 1, 3, 1, 2]"
train,ppo_sim_learned_lgbm_42,0,51,9.233333,25,106.700387,7.44,7369.53608,1.6247313022613525,"[1, 2, 1, 2, 1, 1, 2, 3, 2, 1, 2, 2, 4, 0, 1]"
