phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,-5.0,25,2.413481,49.72,1010.71136,0.644981861114502,"[4, 0, 1, 4, 0, 3, 2, 1, 0, 3, 1, 0, 2, 2, 2]"
train,recurrent_ppo_default_42,0,1,29.0,25,3.121497,27.2,1204.52264,0.6997506618499756,"[3, 2, 3, 2, 0, 0, 1, 0, 1, 5, 3, 2, 0, 0, 3]"
train,recurrent_ppo_default_42,0,2,7.0,25,5.642585,41.6,1059.62456,2.516714572906494,"[0, 1, 4, 2, 5, 3, 0, 1, 1, 3, 0, 1, 0, 2, 2]"
train,recurrent_ppo_default_42,0,3,26.0,25,6.426896,41.72,1024.2756,0.7792572975158691,"[2, 2, 1, 3, 1, 1, 1, 2, 1, 1, 2, 0, 1, 2, 5]"
train,recurrent_ppo_default_42,0,4,31.0,25,7.163413,46.2,1020.4054799999999,0.7322852611541748,"[1, 1, 2, 2, 0, 1, 0, 1, 3, 2, 1, 4, 2, 0, 5]"
train,recurrent_ppo_default_42,0,5,7.0,25,9.071489,56.2,1056.7748,1.9038472175598145,"[0, 1, 2, 2, 2, 2, 0, 4, 1, 5, 1, 2, 0, 0, 3]"
train,recurrent_ppo_default_42,0,6,16.0,25,9.813525,42.92,1063.89408,0.7378561496734619,"[2, 1, 0, 1, 4, 2, 2, 1, 3, 2, 2, 2, 1, 1, 1]"
train,recurrent_ppo_default_42,0,7,2.0,25,11.776874,59.84,1086.29064,1.958991527557373,"[1, 1, 3, 1, 1, 1, 0, 3, 3, 2, 4, 1, 1, 1, 2]"
train,recurrent_ppo_default_42,0,8,27.0,25,12.47764,41.88,1137.8921599999999,0.6962616443634033,"[3, 2, 2, 1, 2, 2, 2, 2, 0, 4, 0, 1, 2, 1, 1]"
train,recurrent_ppo_default_42,0,9,-10.0,25,13.204101,56.52,1059.8955600000002,0.7224037647247314,"[4, 2, 2, 3, 1, 2, 1, 1, 0, 1, 1, 1, 2, 1, 3]"
train,recurrent_ppo_default_42,0,10,-5.0,25,14.672529,50.76,1166.37508,1.4636955261230469,"[5, 1, 5, 2, 3, 0, 1, 1, 1, 0, 1, 1, 1, 1, 2]"
train,recurrent_ppo_default_42,0,11,28.0,25,15.545605,40.44,1006.5674799999999,0.8682663440704346,"[3, 6, 0, 2, 2, 1, 0, 0, 2, 3, 1, 2, 0, 2, 1]"
train,recurrent_ppo_default_42,0,12,42.0,25,18.296431,29.92,967.8866399999999,2.746455669403076,"[4, 2, 1, 0, 0, 4, 2, 0, 5, 1, 0, 3, 0, 3, 0]"
train,recurrent_ppo_default_42,0,13,15.0,25,19.131379,45.52,1027.5931600000001,0.8271157741546631,"[5, 2, 1, 1, 1, 1, 1, 1, 2, 3, 1, 2, 3, 1, 0]"
train,recurrent_ppo_default_42,0,14,1.0,25,19.818743,54.96,993.02572,0.6823489665985107,"[4, 4, 0, 1, 2, 5, 0, 1, 4, 2, 1, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,15,15.0,25,21.900729,50.8,1102.8594,2.0772275924682617,"[3, 3, 0, 0, 6, 3, 1, 0, 3, 1, 1, 1, 0, 1, 2]"
train,recurrent_ppo_default_42,0,16,76.0,25,22.636544,33.24,978.6355599999999,0.7313063144683838,"[7, 4, 2, 0, 3, 1, 1, 0, 3, 0, 2, 1, 0, 1, 0]"
train,recurrent_ppo_default_42,0,17,29.0,25,24.895953,48.92,1032.38504,2.2551567554473877,"[2, 1, 3, 0, 2, 3, 0, 3, 2, 1, 1, 1, 2, 1, 3]"
train,recurrent_ppo_default_42,0,18,8.0,25,26.010679,54.72,1054.2522,1.1097817420959473,"[3, 1, 4, 3, 1, 0, 2, 2, 2, 1, 0, 1, 1, 2, 2]"
train,recurrent_ppo_default_42,0,19,2.0,25,27.077502,50.48,990.76504,1.0606436729431152,"[5, 2, 1, 2, 3, 1, 0, 0, 4, 0, 3, 3, 0, 1, 0]"
train,recurrent_ppo_default_42,0,20,-3.0,25,29.905692,67.96,1051.41128,2.8211510181427,"[6, 1, 2, 3, 2, 2, 0, 0, 4, 3, 0, 0, 0, 1, 1]"
train,recurrent_ppo_default_42,0,21,-7.0,25,30.797128,63.84,1041.5286,0.885084867477417,"[2, 6, 2, 2, 0, 2, 1, 1, 2, 2, 1, 1, 3, 0, 0]"
train,recurrent_ppo_default_42,0,22,44.0,25,31.489995,46.92,1050.4119600000001,0.6873924732208252,"[5, 2, 1, 2, 1, 0, 1, 0, 4, 0, 4, 5, 0, 0, 0]"
train,recurrent_ppo_default_42,0,23,16.0,25,33.565156,37.48,1078.81052,2.0691139698028564,"[1, 3, 3, 4, 0, 2, 1, 0, 0, 3, 4, 2, 1, 0, 1]"
train,recurrent_ppo_default_42,0,24,18.0,25,34.28989,58.4,1042.47084,0.7205085754394531,"[6, 5, 3, 0, 2, 3, 0, 0, 4, 0, 1, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,25,41.0,25,36.526929,29.72,980.37588,2.2327589988708496,"[3, 3, 1, 0, 4, 1, 0, 0, 4, 2, 3, 2, 1, 0, 1]"
train,recurrent_ppo_default_42,0,26,28.0,25,37.228358,47.48,1077.43232,0.6970527172088623,"[1, 2, 3, 2, 2, 1, 0, 0, 6, 3, 1, 3, 1, 0, 0]"
train,recurrent_ppo_default_42,0,27,9.0,25,37.910633,49.84,1004.8718799999999,0.677985429763794,"[5, 4, 2, 0, 2, 1, 0, 1, 4, 1, 2, 1, 0, 1, 1]"
train,recurrent_ppo_default_42,0,28,48.0,25,39.783328,37.72,1053.1568399999999,1.8683857917785645,"[8, 6, 1, 0, 0, 1, 0, 0, 3, 1, 4, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,29,38.0,25,40.485221,47.12,1115.21724,0.6976332664489746,"[4, 5, 2, 0, 2, 3, 0, 0, 4, 3, 0, 0, 0, 0, 2]"
train,recurrent_ppo_default_42,0,30,6.0,25,42.214057,54.92,1005.3022799999999,1.7244858741760254,"[1, 3, 1, 2, 2, 5, 2, 0, 2, 2, 1, 2, 2, 0, 0]"
train,recurrent_ppo_default_42,0,31,-1.0,25,42.859866,46.16,968.40588,0.6417360305786133,"[9, 8, 1, 0, 1, 2, 0, 0, 3, 0, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,32,23.0,25,43.575243,43.84,987.3711600000001,0.7102866172790527,"[5, 7, 2, 0, 0, 0, 0, 0, 7, 1, 2, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,33,5.0,25,45.200513,49.72,1006.27012,1.620105266571045,"[6, 7, 1, 0, 0, 0, 0, 0, 4, 0, 2, 3, 2, 0, 0]"
train,recurrent_ppo_default_42,0,34,22.0,25,45.901881,58.96,1058.87136,0.6953673362731934,"[11, 7, 3, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,35,4.0,25,47.611588,50.76,1034.65864,1.7054245471954346,"[8, 4, 1, 1, 1, 0, 0, 0, 6, 0, 2, 1, 0, 1, 0]"
train,recurrent_ppo_default_42,0,36,39.0,25,48.565265,50.56,1228.78184,0.9491372108459473,"[4, 4, 5, 0, 1, 1, 0, 0, 4, 4, 0, 2, 0, 0, 0]"
train,recurrent_ppo_default_42,0,37,7.0,25,49.320843,50.84,1071.60936,0.7510426044464111,"[5, 7, 2, 1, 1, 1, 0, 0, 4, 2, 0, 1, 0, 1, 0]"
train,recurrent_ppo_default_42,0,38,27.0,25,51.331943,51.2,1065.7627200000002,2.0067596435546875,"[7, 6, 6, 0, 0, 0, 0, 0, 4, 1, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,39,5.0,25,52.075487,50.88,1101.1381999999999,0.7383174896240234,"[14, 1, 3, 0, 0, 0, 0, 1, 4, 2, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,40,5.0,25,53.818084,47.32,1005.83336,1.7384717464447021,"[8, 1, 4, 0, 0, 0, 0, 1, 6, 5, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,41,25.0,25,54.624479,34.6,1020.1025599999999,0.8015363216400146,"[6, 3, 3, 0, 0, 0, 0, 0, 5, 6, 0, 1, 1, 0, 0]"
train,recurrent_ppo_default_42,0,42,71.0,25,55.526854,29.2,981.7638800000001,0.8960921764373779,"[3, 8, 2, 0, 2, 0, 0, 0, 7, 1, 1, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,43,42.0,25,57.847412,47.24,1109.99272,2.3101561069488525,"[8, 2, 2, 0, 0, 0, 0, 0, 10, 3, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,44,4.0,25,58.613845,52.16,1005.6253199999999,0.7614977359771729,"[5, 5, 1, 0, 0, 1, 0, 0, 7, 5, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,45,3.0,25,59.516562,47.08,999.8408000000001,0.8974287509918213,"[10, 4, 3, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,46,2.0,25,61.474548,33.36,1019.3767600000001,1.952500581741333,"[5, 2, 2, 0, 1, 1, 0, 0, 8, 4, 1, 0, 0, 1, 0]"
train,recurrent_ppo_default_42,0,47,14.0,25,62.252682,57.76,1047.5136,0.7738580703735352,"[6, 2, 3, 0, 0, 1, 0, 0, 9, 3, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,48,23.0,25,64.225532,55.64,1088.09448,1.9686110019683838,"[3, 4, 4, 0, 2, 1, 0, 0, 7, 2, 0, 1, 0, 1, 0]"
train,recurrent_ppo_default_42,0,49,3.0,25,64.98946,46.84,1021.21136,0.7594406604766846,"[10, 5, 3, 0, 0, 0, 0, 0, 3, 2, 2, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,50,28.0,25,65.690826,46.04,1062.7784399999998,0.6970829963684082,"[6, 9, 0, 0, 0, 0, 0, 0, 7, 3, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,51,14.0,25,67.950467,57.0,1070.416,2.2550127506256104,"[3, 5, 2, 0, 1, 1, 0, 0, 8, 5, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,52,0.0,25,69.070367,69.4,1035.4663199999998,1.1152565479278564,"[3, 2, 7, 0, 0, 0, 1, 0, 6, 3, 0, 1, 0, 1, 1]"
train,recurrent_ppo_default_42,0,53,45.0,25,71.071648,45.52,1009.59824,1.9967098236083984,"[5, 2, 1, 0, 0, 0, 0, 0, 3, 11, 1, 1, 0, 0, 1]"
train,recurrent_ppo_default_42,0,54,20.0,25,71.887319,46.08,1045.97856,0.8113665580749512,"[9, 2, 1, 1, 0, 0, 0, 0, 7, 4, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,55,26.0,25,72.749783,44.88,1035.51992,0.8580322265625,"[2, 3, 2, 1, 0, 1, 0, 0, 10, 5, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,56,9.0,25,74.589874,51.56,1048.258,1.8358654975891113,"[6, 2, 6, 0, 0, 0, 0, 0, 7, 3, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,57,15.0,25,75.332711,64.52,1031.3496,0.7385990619659424,"[2, 9, 2, 1, 0, 1, 0, 0, 6, 2, 0, 1, 0, 0, 1]"
train,recurrent_ppo_default_42,0,58,15.0,25,76.949922,51.96,1027.61796,1.6128077507019043,"[4, 3, 4, 0, 0, 1, 0, 0, 11, 2, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,59,21.0,25,77.053106,59.16,1005.4474,0.09879636764526367,"[8, 9, 2, 0, 1, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,60,16.0,25,77.948687,39.92,1038.4071599999997,0.8914353847503662,"[2, 1, 1, 0, 1, 0, 1, 0, 11, 6, 1, 0, 0, 0, 1]"
train,recurrent_ppo_default_42,0,61,6.0,25,79.891464,51.32,1067.7423999999999,1.9378902912139893,"[7, 7, 4, 0, 0, 1, 0, 0, 5, 0, 0, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,62,16.0,25,80.586312,53.96,999.79664,0.6906228065490723,"[7, 7, 2, 0, 1, 2, 0, 0, 4, 2, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,63,33.0,25,81.295569,64.08,1043.21868,0.7050087451934814,"[7, 8, 3, 0, 0, 0, 0, 0, 1, 3, 3, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,64,19.0,25,82.942824,54.04,1027.4684399999999,0.7147552967071533,"[8, 8, 3, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,65,13.0,25,83.612242,59.92,1183.8888000000002,0.6652092933654785,"[2, 0, 5, 3, 5, 1, 1, 1, 2, 0, 0, 1, 1, 1, 2]"
train,recurrent_ppo_default_42,0,66,13.0,25,85.487273,49.28,989.3997600000001,1.8702290058135986,"[4, 13, 1, 0, 0, 2, 0, 0, 4, 0, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,67,19.0,25,86.191864,42.64,1089.2585600000002,0.7005112171173096,"[11, 7, 1, 0, 1, 2, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,68,3.0,25,86.857329,49.28,1009.7096,0.6609654426574707,"[9, 5, 2, 0, 2, 2, 0, 0, 3, 0, 2, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,69,81.0,25,88.719937,48.88,1227.51532,1.8584775924682617,"[3, 14, 2, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,70,9.0,25,89.443034,41.88,1037.60508,0.7188785076141357,"[4, 10, 1, 0, 2, 1, 0, 0, 6, 0, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,71,47.0,25,91.098347,49.04,1044.73272,1.6511688232421875,"[3, 6, 0, 0, 2, 1, 0, 0, 8, 3, 1, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,72,26.0,25,91.774692,52.68,1029.84552,0.6721854209899902,"[5, 8, 1, 0, 0, 5, 0, 0, 6, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,73,48.0,25,92.473695,34.24,1004.0284000000001,0.6946983337402344,"[5, 9, 1, 0, 0, 1, 0, 1, 6, 0, 1, 1, 0, 0, 0]"
train,recurrent_ppo_default_42,0,74,20.0,25,94.366558,53.8,1053.16212,1.888617753982544,"[4, 6, 2, 0, 1, 1, 0, 0, 4, 2, 3, 2, 0, 0, 0]"
train,recurrent_ppo_default_42,0,75,27.0,25,95.068712,49.92,1027.5681599999998,0.6979596614837646,"[5, 10, 0, 0, 0, 2, 1, 0, 7, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,76,-7.0,25,96.739086,56.52,1043.1564,1.6662652492523193,"[9, 10, 2, 1, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,77,14.0,25,97.586559,50.56,1142.4754400000002,0.8343319892883301,"[13, 4, 1, 0, 0, 1, 0, 1, 5, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,78,13.0,25,98.274482,56.64,1058.02544,0.6824371814727783,"[10, 6, 1, 2, 1, 1, 0, 0, 2, 1, 0, 0, 0, 0, 1]"
train,recurrent_ppo_default_42,0,79,45.0,25,100.540518,36.44,1029.38148,2.2614638805389404,"[9, 7, 2, 0, 2, 1, 1, 0, 3, 0, 0, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,80,30.0,25,101.898064,49.92,993.43708,1.3404252529144287,"[4, 5, 0, 0, 0, 1, 0, 0, 13, 1, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,81,0.0,25,103.822327,61.36,992.57072,1.9200701713562012,"[6, 7, 0, 1, 0, 1, 0, 0, 6, 3, 0, 0, 0, 1, 0]"
train,recurrent_ppo_default_42,0,82,24.0,25,104.855699,41.44,1044.67236,1.0262737274169922,"[6, 8, 0, 0, 2, 1, 0, 0, 7, 0, 0, 0, 1, 0, 0]"
train,recurrent_ppo_default_42,0,83,30.0,25,105.627219,47.48,1006.2846400000001,0.76509690284729,"[8, 2, 2, 0, 2, 1, 0, 1, 5, 1, 1, 1, 0, 0, 1]"
train,recurrent_ppo_default_42,0,84,12.0,25,107.538143,46.56,1027.86784,1.905916690826416,"[6, 5, 1, 0, 1, 0, 0, 0, 10, 1, 1, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,85,15.0,25,108.340643,53.48,1035.9198800000001,0.7981035709381104,"[2, 2, 1, 0, 1, 1, 0, 0, 9, 5, 0, 1, 1, 1, 1]"
train,recurrent_ppo_default_42,0,86,46.0,25,108.585052,48.56,1033.03136,0.23833584785461426,"[2, 6, 2, 1, 0, 1, 0, 0, 12, 1, 0, 0, 0, 0, 0]"
