phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,-51308.434,25,3.365203,54.72,1037.79596,0.6627969741821289,"[2, 1, 1, 3, 3, 2, 1, 1, 2, 1, 1, 1, 0, 1, 5]"
train,recurrent_ppo_default_42,0,1,-61072.517,25,4.452755,30.2,1020.78692,1.0763726234436035,"[1, 2, 1, 2, 1, 2, 1, 3, 1, 1, 3, 1, 2, 2, 2]"
train,recurrent_ppo_default_42,0,2,-49398.168,25,5.324069,56.32,1028.7299200000002,0.8674781322479248,"[4, 1, 3, 2, 1, 2, 2, 1, 1, 3, 0, 1, 1, 1, 2]"
train,recurrent_ppo_default_42,0,3,-55503.112,25,6.255719,38.04,1041.75268,0.9280712604522705,"[0, 3, 0, 1, 0, 0, 1, 1, 3, 4, 1, 3, 3, 3, 2]"
train,recurrent_ppo_default_42,0,4,-49498.027,25,6.890396,52.92,1275.14492,0.6310832500457764,"[2, 2, 1, 2, 1, 0, 1, 0, 5, 3, 2, 1, 0, 4, 1]"
train,recurrent_ppo_default_42,0,5,-49679.442,25,7.836953,38.12,1193.53976,0.9429490566253662,"[0, 1, 1, 5, 2, 2, 3, 1, 1, 2, 0, 1, 1, 2, 3]"
train,recurrent_ppo_default_42,0,6,-48990.143,25,8.776177,44.36,1150.2861999999998,0.93572998046875,"[2, 0, 2, 4, 1, 4, 1, 0, 3, 1, 0, 2, 3, 2, 0]"
train,recurrent_ppo_default_42,0,7,-44996.752,25,9.741939,46.32,992.51572,0.9622542858123779,"[1, 1, 0, 2, 1, 1, 2, 4, 2, 3, 1, 2, 1, 3, 1]"
train,recurrent_ppo_default_42,0,8,-53506.418,25,10.70547,56.28,1040.30784,0.9598729610443115,"[2, 1, 2, 3, 3, 2, 2, 1, 1, 0, 1, 3, 2, 1, 1]"
train,recurrent_ppo_default_42,0,9,-52397.756,25,11.329984,49.52,1136.22008,0.6209909915924072,"[2, 1, 1, 4, 1, 1, 3, 1, 3, 0, 2, 0, 1, 3, 2]"
train,recurrent_ppo_default_42,0,10,-45337.623,25,12.293998,50.76,1003.6036800000002,0.960484504699707,"[3, 0, 1, 0, 2, 1, 2, 0, 0, 3, 3, 1, 7, 0, 2]"
train,recurrent_ppo_default_42,0,11,-47464.272,25,13.304997,40.92,1036.12736,1.007277011871338,"[3, 2, 0, 0, 2, 1, 4, 2, 4, 1, 2, 0, 0, 2, 2]"
train,recurrent_ppo_default_42,0,12,-51682.62,25,14.281162,57.72,1053.84944,0.9726040363311768,"[2, 3, 0, 0, 1, 3, 2, 4, 2, 0, 0, 1, 3, 1, 3]"
train,recurrent_ppo_default_42,0,13,-51212.981,25,14.917814,46.12,1016.318,0.6325838565826416,"[1, 1, 0, 1, 0, 1, 1, 3, 0, 2, 3, 1, 9, 2, 0]"
train,recurrent_ppo_default_42,0,14,-45232.069,25,15.889573,41.88,1012.7229600000002,0.9683847427368164,"[4, 0, 1, 0, 3, 3, 1, 1, 0, 3, 3, 4, 0, 1, 1]"
train,recurrent_ppo_default_42,0,15,-47379.43,25,16.859725,37.16,1022.3473600000001,0.9665586948394775,"[3, 1, 1, 1, 3, 3, 1, 0, 1, 0, 1, 4, 1, 2, 3]"
train,recurrent_ppo_default_42,0,16,-45006.251,25,17.795338,47.72,1002.1428,0.9321856498718262,"[3, 0, 1, 2, 2, 4, 1, 0, 4, 2, 0, 1, 4, 1, 0]"
train,recurrent_ppo_default_42,0,17,-48867.642,25,18.813272,45.08,1112.41276,1.0139906406402588,"[2, 1, 2, 0, 3, 3, 2, 0, 2, 1, 1, 0, 3, 2, 3]"
train,recurrent_ppo_default_42,0,18,-44544.799,25,19.476671,30.28,968.6051600000001,0.6590704917907715,"[3, 1, 0, 0, 3, 1, 1, 1, 2, 1, 3, 2, 5, 0, 2]"
train,recurrent_ppo_default_42,0,19,-59277.782,25,20.50527,50.8,1040.2102,1.0246403217315674,"[0, 1, 0, 0, 1, 2, 3, 2, 0, 1, 1, 2, 2, 3, 7]"
train,recurrent_ppo_default_42,0,20,-49443.463,25,21.401447,49.52,1034.2737200000001,0.8925981521606445,"[0, 2, 2, 1, 2, 3, 3, 2, 1, 0, 1, 3, 1, 3, 1]"
train,recurrent_ppo_default_42,0,21,-53490.336,25,22.313788,49.48,1053.45,0.9087510108947754,"[1, 1, 0, 1, 3, 3, 2, 1, 3, 2, 0, 2, 1, 3, 2]"
train,recurrent_ppo_default_42,0,22,-49833.049,25,22.941701,40.8,1035.75176,0.6242432594299316,"[1, 2, 0, 3, 3, 1, 0, 1, 2, 1, 1, 3, 4, 1, 2]"
train,recurrent_ppo_default_42,0,23,-55426.302,25,24.025485,50.88,1035.95784,1.0802419185638428,"[0, 1, 2, 0, 3, 5, 2, 1, 2, 1, 1, 1, 1, 2, 3]"
train,recurrent_ppo_default_42,0,24,-51456.303,25,25.007372,49.32,1039.8866799999998,0.9779970645904541,"[1, 1, 1, 1, 4, 1, 3, 1, 2, 2, 1, 1, 2, 1, 3]"
train,recurrent_ppo_default_42,0,25,-49548.333,25,25.952333,44.48,1042.72476,0.9414267539978027,"[3, 1, 0, 2, 1, 1, 2, 4, 1, 3, 1, 3, 0, 1, 2]"
train,recurrent_ppo_default_42,0,26,-47062.017,25,26.909784,50.0,1121.78556,0.9538917541503906,"[2, 2, 2, 2, 2, 0, 4, 0, 1, 0, 2, 3, 2, 1, 2]"
train,recurrent_ppo_default_42,0,27,-55348.801,25,27.590633,46.88,1035.45924,0.6771125793457031,"[0, 0, 2, 0, 0, 3, 4, 2, 4, 0, 3, 1, 2, 2, 2]"
train,recurrent_ppo_default_42,0,28,-48923.815,25,28.570527,32.28,996.1921599999998,0.9762890338897705,"[2, 1, 2, 0, 1, 3, 2, 2, 3, 2, 0, 2, 2, 3, 0]"
train,recurrent_ppo_default_42,0,29,-47049.403,25,29.581931,49.36,1135.54764,1.0078842639923096,"[4, 0, 1, 2, 0, 1, 2, 1, 5, 1, 3, 4, 1, 0, 0]"
train,recurrent_ppo_default_42,0,30,-45292.927,25,30.524799,47.6,1029.06148,0.9392485618591309,"[1, 2, 2, 2, 0, 3, 0, 2, 3, 1, 0, 1, 5, 2, 1]"
train,recurrent_ppo_default_42,0,31,-41631.461,25,31.174103,53.52,1125.4646400000001,0.645700216293335,"[2, 2, 2, 2, 0, 0, 2, 0, 4, 2, 2, 0, 5, 1, 1]"
train,recurrent_ppo_default_42,0,32,-54337.066,25,32.145951,58.84,1106.92284,0.6362118721008301,"[0, 2, 2, 3, 2, 2, 1, 0, 3, 1, 3, 0, 2, 2, 2]"
train,recurrent_ppo_default_42,0,33,-51668.456,25,33.145165,49.36,1052.3669200000002,0.9957773685455322,"[3, 2, 2, 3, 1, 1, 1, 1, 0, 2, 2, 2, 2, 0, 3]"
train,recurrent_ppo_default_42,0,34,-49619.259,25,34.089026,46.92,1191.97964,0.940072774887085,"[3, 0, 2, 2, 2, 1, 2, 3, 1, 0, 1, 2, 2, 0, 4]"
train,recurrent_ppo_default_42,0,35,-45676.735,25,35.061494,49.16,1041.18288,0.9687180519104004,"[1, 4, 3, 1, 1, 0, 1, 2, 1, 1, 0, 4, 0, 5, 1]"
train,recurrent_ppo_default_42,0,36,-43887.311,25,35.801166,55.04,1052.7032800000002,0.7360312938690186,"[0, 1, 2, 3, 2, 5, 1, 1, 0, 3, 1, 0, 1, 2, 3]"
train,recurrent_ppo_default_42,0,37,-55216.521,25,36.757285,49.84,1022.5355199999999,0.9525392055511475,"[1, 1, 1, 2, 0, 3, 2, 3, 1, 2, 0, 5, 3, 1, 0]"
train,recurrent_ppo_default_42,0,38,-55756.238,25,37.744943,48.04,1053.74192,0.9839789867401123,"[2, 3, 3, 2, 1, 0, 1, 2, 1, 3, 1, 3, 2, 0, 1]"
train,recurrent_ppo_default_42,0,39,-48880.143,25,38.688927,47.84,1114.1444,0.9403836727142334,"[2, 4, 1, 1, 3, 0, 0, 0, 4, 0, 2, 3, 3, 2, 0]"
train,recurrent_ppo_default_42,0,40,-54842.881,25,39.656535,47.84,982.788,0.9636974334716797,"[3, 1, 0, 0, 2, 1, 0, 4, 1, 3, 0, 4, 4, 1, 1]"
train,recurrent_ppo_default_42,0,41,-39599.093,25,40.268407,52.48,1034.18064,0.6082429885864258,"[8, 1, 1, 1, 4, 1, 2, 0, 3, 1, 1, 0, 1, 0, 1]"
train,recurrent_ppo_default_42,0,42,-45691.304,25,41.274529,56.16,1041.15696,1.002716064453125,"[6, 1, 2, 1, 1, 0, 3, 1, 1, 3, 1, 3, 0, 1, 1]"
train,recurrent_ppo_default_42,0,43,-43621.978,25,42.219636,56.84,1041.292,0.941605806350708,"[4, 1, 1, 0, 2, 2, 3, 1, 2, 4, 2, 0, 0, 2, 1]"
train,recurrent_ppo_default_42,0,44,-54038.297,25,43.139142,54.68,1076.5536000000002,0.916046142578125,"[3, 0, 3, 2, 2, 0, 1, 3, 2, 2, 3, 1, 2, 0, 1]"
train,recurrent_ppo_default_42,0,45,-49608.354,25,43.763762,51.68,1049.35576,0.6208035945892334,"[1, 0, 1, 0, 2, 4, 1, 2, 1, 6, 1, 1, 3, 2, 0]"
train,recurrent_ppo_default_42,0,46,-45292.826,25,44.746419,52.76,1261.4952000000003,0.9789934158325195,"[2, 4, 1, 0, 4, 2, 2, 0, 3, 0, 3, 3, 0, 1, 0]"
train,recurrent_ppo_default_42,0,47,-54925.639,25,45.805923,50.4,991.5116399999999,1.0559237003326416,"[2, 1, 2, 1, 1, 0, 2, 2, 1, 2, 2, 2, 3, 3, 1]"
train,recurrent_ppo_default_42,0,48,-51198.11,25,46.759926,52.32,1184.8311199999998,0.9500210285186768,"[3, 4, 1, 1, 1, 2, 2, 0, 1, 2, 0, 3, 1, 2, 2]"
train,recurrent_ppo_default_42,0,49,-40146.169,25,47.819378,59.08,1059.4141200000001,1.055689811706543,"[6, 0, 2, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1]"
train,recurrent_ppo_default_42,0,50,-48404.204,25,48.461315,52.56,1089.4246,0.6382191181182861,"[2, 1, 2, 3, 1, 2, 3, 1, 2, 1, 2, 2, 1, 0, 2]"
train,recurrent_ppo_default_42,0,51,-48021.862,25,49.411324,54.88,1081.05988,0.9463498592376709,"[3, 0, 2, 3, 1, 0, 1, 2, 1, 1, 1, 5, 1, 2, 2]"
train,recurrent_ppo_default_42,0,52,-46834.344,25,50.357306,50.68,983.19896,0.9423465728759766,"[2, 3, 3, 1, 0, 0, 3, 2, 3, 0, 3, 1, 1, 2, 1]"
