phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,71.666667,25,2.917068,47.48,1014.4048000000001,1.0720782279968262,"[3, 1, 2, 2, 1, 3, 0, 2, 1, 3, 1, 1, 3, 1, 1]"
train,recurrent_ppo_default_42,0,1,87.133333,25,3.992676,30.96,981.87556,1.0649290084838867,"[1, 3, 2, 1, 1, 0, 1, 4, 2, 2, 1, 3, 1, 2, 1]"
train,recurrent_ppo_default_42,0,2,60.466667,25,5.505879,54.08,1045.95152,1.508204698562622,"[1, 2, 5, 1, 1, 1, 1, 0, 0, 2, 5, 1, 1, 3, 1]"
train,recurrent_ppo_default_42,0,3,102.697619,25,6.57973,48.96,1025.68216,1.068892002105713,"[2, 2, 1, 3, 1, 2, 0, 3, 4, 1, 1, 0, 3, 1, 1]"
train,recurrent_ppo_default_42,0,4,109.333333,25,7.641635,37.24,1066.75504,1.057185411453247,"[3, 1, 3, 1, 5, 0, 0, 2, 0, 0, 1, 5, 2, 2, 0]"
train,recurrent_ppo_default_42,0,5,91.016667,25,8.962192,46.4,1057.52744,1.3156623840332031,"[2, 2, 1, 4, 2, 1, 2, 2, 3, 0, 1, 1, 2, 2, 0]"
train,recurrent_ppo_default_42,0,6,78.15,25,10.076944,42.44,1150.08444,1.1093025207519531,"[3, 2, 1, 1, 1, 3, 1, 3, 1, 1, 4, 1, 0, 1, 2]"
train,recurrent_ppo_default_42,0,7,64.730952,25,11.520252,38.56,1045.65528,1.4382498264312744,"[1, 2, 0, 3, 1, 1, 3, 2, 2, 2, 1, 1, 5, 0, 1]"
train,recurrent_ppo_default_42,0,8,52.066667,25,12.644006,44.16,980.8395199999999,1.1188504695892334,"[1, 1, 2, 0, 1, 3, 0, 3, 1, 2, 2, 3, 1, 3, 2]"
train,recurrent_ppo_default_42,0,9,81.883333,25,13.722616,48.64,1086.32404,1.0734198093414307,"[0, 0, 1, 1, 3, 1, 1, 2, 1, 3, 2, 2, 2, 2, 4]"
train,recurrent_ppo_default_42,0,10,47.152381,25,15.185395,54.68,1008.0753199999999,1.458008050918579,"[2, 0, 2, 0, 5, 2, 3, 1, 0, 4, 0, 0, 1, 1, 4]"
train,recurrent_ppo_default_42,0,11,67.885714,25,16.216461,49.84,1046.40828,1.0264174938201904,"[2, 2, 3, 1, 1, 2, 1, 1, 1, 1, 1, 3, 2, 2, 2]"
train,recurrent_ppo_default_42,0,12,110.266667,25,17.51448,41.36,1116.4188,1.2932591438293457,"[2, 3, 1, 1, 3, 1, 1, 2, 3, 2, 2, 1, 3, 0, 0]"
train,recurrent_ppo_default_42,0,13,70.92619,25,18.625026,51.16,994.69692,1.1058168411254883,"[0, 2, 1, 4, 2, 2, 0, 3, 0, 3, 1, 4, 1, 2, 0]"
train,recurrent_ppo_default_42,0,14,75.254762,25,19.709056,57.64,1110.3139600000002,1.079249382019043,"[4, 2, 2, 1, 2, 0, 2, 1, 2, 1, 2, 1, 2, 3, 0]"
