phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,-4.0,25,1.553754,9.16,696888.47284,0.12306761741638184,"[3, 1, 0, 4, 2, 2, 1, 1, 2, 1, 4, 3, 0, 1, 0]"
train,recurrent_ppo_default_42,0,1,-5.0,25,1.660389,9.6,353237.70796,0.10028743743896484,"[1, 3, 1, 1, 6, 1, 1, 3, 1, 1, 2, 2, 2, 0, 0]"
train,recurrent_ppo_default_42,0,2,-4.0,25,1.764165,8.88,1059638.7996799997,0.10015630722045898,"[2, 0, 1, 2, 2, 1, 4, 2, 1, 1, 1, 0, 3, 1, 4]"
train,recurrent_ppo_default_42,0,3,-1.0,25,1.879997,7.44,359980.84624,0.11230039596557617,"[1, 1, 1, 1, 2, 1, 1, 0, 1, 3, 3, 1, 4, 4, 1]"
train,recurrent_ppo_default_42,0,4,-1.0,25,2.016818,6.92,71.38672000000001,0.13330602645874023,"[3, 2, 0, 1, 4, 1, 1, 1, 2, 2, 0, 5, 1, 0, 2]"
train,recurrent_ppo_default_42,0,5,-12.0,25,3.143477,9.12,8315.03188,1.1226911544799805,"[0, 0, 2, 1, 4, 1, 2, 2, 1, 3, 0, 3, 1, 1, 4]"
train,recurrent_ppo_default_42,0,6,-14.0,25,3.279001,8.36,131893.4264,0.1313939094543457,"[1, 1, 2, 1, 4, 3, 1, 4, 1, 1, 1, 1, 1, 2, 1]"
train,recurrent_ppo_default_42,0,7,-8.0,25,3.430526,8.36,6.0298,0.14586853981018066,"[2, 0, 0, 2, 1, 2, 3, 2, 2, 2, 0, 3, 3, 2, 1]"
train,recurrent_ppo_default_42,0,8,-6.0,25,3.580675,8.28,33902.22059999999,0.14548969268798828,"[2, 2, 1, 2, 3, 1, 2, 2, 1, 1, 0, 4, 2, 0, 2]"
train,recurrent_ppo_default_42,0,9,-6.0,25,3.705917,5.36,355286.92275999987,0.12126564979553223,"[1, 3, 0, 3, 1, 0, 0, 2, 1, 3, 1, 5, 1, 3, 1]"
train,recurrent_ppo_default_42,0,10,-7.0,25,4.500082,7.16,9.874519999999999,0.7902112007141113,"[2, 1, 2, 3, 0, 3, 0, 1, 2, 3, 1, 1, 2, 3, 1]"
train,recurrent_ppo_default_42,0,11,-14.0,25,4.657873,9.84,131893.68856000004,0.1536855697631836,"[2, 1, 0, 4, 2, 2, 0, 2, 3, 1, 1, 1, 0, 1, 5]"
train,recurrent_ppo_default_42,0,12,-4.0,25,4.799091,10.56,359655.1113200001,0.1363391876220703,"[2, 3, 4, 2, 0, 1, 3, 1, 3, 2, 1, 0, 0, 2, 1]"
train,recurrent_ppo_default_42,0,13,-2.0,25,4.968781,7.4,366632.6270800001,0.16595888137817383,"[1, 2, 1, 1, 1, 1, 1, 3, 3, 4, 3, 1, 1, 1, 1]"
train,recurrent_ppo_default_42,0,14,-4.0,25,5.086634,10.48,78.91388,0.11374115943908691,"[2, 2, 1, 1, 2, 2, 4, 1, 3, 0, 1, 1, 3, 2, 0]"
train,recurrent_ppo_default_42,0,15,-8.0,25,5.877836,7.68,362815.2146,0.787365198135376,"[1, 0, 3, 1, 1, 1, 1, 2, 3, 2, 3, 2, 2, 0, 3]"
train,recurrent_ppo_default_42,0,16,-9.0,25,5.992316,10.56,0.58112,0.1107792854309082,"[1, 5, 2, 1, 2, 5, 2, 1, 0, 1, 2, 1, 1, 0, 1]"
train,recurrent_ppo_default_42,0,17,-12.0,25,6.096388,9.96,352457.84231999994,0.10042142868041992,"[1, 1, 2, 2, 1, 2, 1, 2, 1, 2, 1, 3, 3, 2, 1]"
