phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,-2757.432,25,2.428238,7.28,120.88632,0.1070864200592041,"[1, 1, 1, 5, 1, 1, 2, 2, 3, 2, 3, 0, 1, 0, 2]"
train,recurrent_ppo_default_42,0,1,-2750.292,25,2.544856,7.2,0.023440000000000003,0.10814380645751953,"[3, 0, 0, 4, 0, 1, 2, 3, 2, 3, 0, 2, 2, 3, 0]"
train,recurrent_ppo_default_42,0,2,-4087.989,25,3.157638,6.48,171112.79223999998,0.6091639995574951,"[0, 0, 1, 3, 2, 1, 4, 0, 2, 3, 0, 3, 3, 0, 3]"
train,recurrent_ppo_default_42,0,3,-3291.505,25,3.25136,8.88,9.3202,0.09011054039001465,"[0, 2, 2, 1, 1, 2, 2, 2, 1, 1, 1, 4, 1, 3, 2]"
train,recurrent_ppo_default_42,0,4,-3722.474,25,3.349759,8.04,139250.023,0.09500575065612793,"[0, 2, 1, 1, 1, 1, 1, 3, 2, 1, 1, 3, 4, 3, 1]"
train,recurrent_ppo_default_42,0,5,-3004.211,25,3.76565,9.64,376150.93015999993,0.41256213188171387,"[1, 0, 2, 2, 2, 3, 1, 1, 1, 2, 1, 1, 1, 3, 4]"
train,recurrent_ppo_default_42,0,6,-3136.613,25,3.882693,8.24,8.53,0.1137549877166748,"[0, 0, 3, 1, 0, 1, 4, 2, 0, 1, 2, 3, 3, 2, 3]"
train,recurrent_ppo_default_42,0,7,-2563.287,25,4.290252,10.44,1287.60456,0.4041714668273926,"[1, 2, 2, 2, 3, 3, 1, 0, 0, 1, 1, 3, 1, 3, 2]"
train,recurrent_ppo_default_42,0,8,-3366.473,25,4.398005,8.44,24.387520000000006,0.1044309139251709,"[2, 2, 2, 4, 2, 1, 0, 1, 3, 0, 2, 2, 1, 1, 2]"
train,recurrent_ppo_default_42,0,9,-2531.811,25,4.525426,10.4,1017.4128,0.12364792823791504,"[3, 1, 1, 1, 2, 2, 2, 1, 2, 1, 2, 2, 2, 3, 0]"
train,recurrent_ppo_default_42,0,10,-3506.233,25,4.977083,7.28,159727.85564000002,0.44801950454711914,"[1, 3, 1, 1, 0, 0, 4, 1, 2, 2, 4, 2, 0, 3, 1]"
train,recurrent_ppo_default_42,0,11,-2296.59,25,5.094097,7.4,1.9056400000000002,0.11331319808959961,"[1, 1, 1, 2, 0, 3, 3, 2, 1, 4, 2, 1, 0, 2, 2]"
train,recurrent_ppo_default_42,0,12,-4139.425,25,5.489246,9.08,114975.27496,0.39168882369995117,"[0, 1, 2, 2, 3, 1, 0, 3, 2, 2, 0, 3, 2, 2, 2]"
train,recurrent_ppo_default_42,0,13,-3045.134,25,5.610208,9.84,1.8292,0.11752152442932129,"[1, 2, 3, 0, 2, 3, 3, 0, 1, 1, 2, 1, 2, 2, 2]"
train,recurrent_ppo_default_42,0,14,-2527.951,25,5.724278,8.6,97.62424000000001,0.11079096794128418,"[3, 3, 0, 1, 2, 1, 3, 2, 3, 3, 0, 0, 1, 0, 3]"
train,recurrent_ppo_default_42,0,15,-2757.674,25,6.165133,8.88,4767.67468,0.4374356269836426,"[6, 2, 1, 0, 2, 0, 5, 3, 1, 1, 0, 2, 0, 0, 2]"
train,recurrent_ppo_default_42,0,16,-3251.138,25,6.276899,8.68,0.1746,0.10843276977539062,"[0, 0, 2, 5, 0, 1, 2, 1, 1, 2, 3, 2, 3, 1, 2]"
train,recurrent_ppo_default_42,0,17,-2503.994,25,6.693926,8.4,56497.37848,0.41323351860046387,"[2, 0, 2, 1, 1, 1, 2, 0, 4, 3, 1, 2, 1, 2, 3]"
train,recurrent_ppo_default_42,0,18,-3393.243,25,6.790777,9.2,428189.64895999996,0.09342718124389648,"[1, 1, 1, 3, 1, 1, 5, 0, 1, 2, 2, 1, 2, 3, 1]"
train,recurrent_ppo_default_42,0,19,-2773.867,25,6.915577,8.2,16.11064,0.12138891220092773,"[4, 0, 1, 3, 2, 2, 1, 0, 2, 2, 3, 2, 1, 1, 1]"
train,recurrent_ppo_default_42,0,20,-3500.455,25,7.358496,7.6,281286.13644000003,0.43955159187316895,"[0, 2, 3, 1, 0, 3, 0, 1, 0, 1, 2, 3, 2, 3, 4]"
train,recurrent_ppo_default_42,0,21,-2751.462,25,7.455158,11.28,359718.45412000007,0.0934138298034668,"[3, 2, 2, 3, 0, 0, 2, 3, 2, 0, 3, 2, 1, 1, 1]"
train,recurrent_ppo_default_42,0,22,-4250.975,25,7.552367,10.12,435019.58660000004,0.09386420249938965,"[2, 5, 4, 0, 4, 1, 1, 1, 3, 0, 0, 1, 2, 1, 0]"
train,recurrent_ppo_default_42,0,23,-3517.099,25,7.960152,9.72,722097.48096,0.40444469451904297,"[1, 3, 1, 3, 1, 0, 3, 2, 2, 1, 1, 3, 2, 1, 1]"
train,recurrent_ppo_default_42,0,24,-2750.584,25,8.105028,9.72,0.032080000000000004,0.14144539833068848,"[2, 3, 0, 1, 2, 2, 3, 2, 2, 2, 1, 5, 0, 0, 0]"
train,recurrent_ppo_default_42,0,25,-4062.147,25,8.512762,11.08,1073519.09672,0.40437936782836914,"[2, 0, 4, 2, 1, 2, 3, 1, 2, 1, 1, 0, 2, 2, 2]"
train,recurrent_ppo_default_42,0,26,-3335.42,25,8.611688,6.24,121303.89615999999,0.0956413745880127,"[4, 2, 0, 2, 1, 1, 2, 1, 2, 1, 0, 6, 1, 1, 1]"
train,recurrent_ppo_default_42,0,27,-2887.016,25,8.710148,10.16,594859.88148,0.09512901306152344,"[2, 4, 1, 1, 5, 3, 1, 0, 0, 1, 3, 2, 1, 1, 0]"
train,recurrent_ppo_default_42,0,28,-2763.678,25,9.138013,8.52,0.56596,0.4245340824127197,"[1, 1, 3, 0, 1, 3, 0, 2, 1, 5, 6, 1, 1, 0, 0]"
train,recurrent_ppo_default_42,0,29,-2504.589,25,9.244281,12.32,356820.5991199999,0.10285425186157227,"[2, 2, 3, 0, 4, 1, 2, 3, 1, 5, 2, 0, 0, 0, 0]"
train,recurrent_ppo_default_42,0,30,-3325.865,25,9.64558,9.08,316.08276,0.3977174758911133,"[2, 3, 2, 1, 1, 2, 5, 1, 1, 2, 1, 0, 1, 1, 2]"
train,recurrent_ppo_default_42,0,31,-2283.89,25,9.748006,10.88,45593.92168000001,0.0990447998046875,"[1, 1, 5, 1, 2, 1, 1, 1, 2, 1, 2, 5, 0, 1, 1]"
train,recurrent_ppo_default_42,0,32,-4005.176,25,9.859028,8.6,360222.53488,0.10706424713134766,"[0, 1, 1, 1, 2, 5, 1, 2, 1, 1, 3, 0, 2, 3, 2]"
train,recurrent_ppo_default_42,0,33,-4249.97,25,10.301871,11.48,10.03044,0.4392263889312744,"[1, 1, 3, 1, 4, 2, 4, 1, 0, 2, 1, 0, 1, 3, 1]"
train,recurrent_ppo_default_42,0,34,-3971.467,25,10.427492,7.88,28.647999999999996,0.1223289966583252,"[0, 2, 2, 1, 2, 2, 0, 2, 3, 1, 3, 2, 1, 2, 2]"
train,recurrent_ppo_default_42,0,35,-1755.859,25,10.832622,7.2,0.25728,0.4014909267425537,"[3, 3, 1, 4, 1, 2, 0, 1, 2, 0, 1, 0, 3, 4, 0]"
train,recurrent_ppo_default_42,0,36,-2826.361,25,10.945709,9.24,76162.51208,0.10953760147094727,"[1, 1, 2, 1, 3, 3, 0, 1, 4, 0, 1, 0, 1, 3, 4]"
train,recurrent_ppo_default_42,0,37,-2895.511,25,11.04706,10.72,151.21592,0.0979909896850586,"[3, 4, 2, 2, 1, 0, 1, 2, 1, 1, 1, 2, 1, 2, 2]"
train,recurrent_ppo_default_42,0,38,-3500.823,25,11.468128,9.44,5502.231999999998,0.4174323081970215,"[0, 2, 2, 2, 1, 0, 4, 3, 1, 3, 1, 1, 0, 4, 1]"
train,recurrent_ppo_default_42,0,39,-3570.931,25,11.586346,7.32,119903.72584000003,0.11470818519592285,"[1, 1, 2, 3, 0, 1, 2, 1, 3, 1, 2, 1, 3, 2, 2]"
train,recurrent_ppo_default_42,0,40,-2778.656,25,12.00742,8.68,13.39748,0.4176044464111328,"[2, 1, 0, 2, 3, 2, 1, 3, 0, 2, 2, 1, 2, 3, 1]"
train,recurrent_ppo_default_42,0,41,-2750.424,25,12.119591,9.08,240905.25604,0.10880279541015625,"[1, 1, 1, 0, 2, 2, 2, 2, 2, 2, 0, 4, 1, 4, 1]"
train,recurrent_ppo_default_42,0,42,-2183.456,25,12.235321,9.44,19.224799999999995,0.11241793632507324,"[2, 2, 4, 2, 0, 2, 0, 1, 0, 2, 2, 3, 2, 0, 3]"
train,recurrent_ppo_default_42,0,43,-3263.695,25,12.677999,7.04,176512.05427999998,0.43879055976867676,"[1, 3, 2, 4, 1, 0, 2, 1, 1, 3, 1, 1, 3, 2, 0]"
train,recurrent_ppo_default_42,0,44,-3500.995,25,12.799181,10.0,1889.8152400000001,0.11772489547729492,"[0, 2, 1, 2, 2, 3, 1, 1, 2, 2, 2, 2, 2, 2, 1]"
train,recurrent_ppo_default_42,0,45,-3304.504,25,12.896554,9.32,359880.36527999997,0.09396934509277344,"[2, 1, 2, 4, 2, 1, 0, 2, 0, 3, 0, 1, 4, 2, 1]"
train,recurrent_ppo_default_42,0,46,-2508.887,25,13.311294,6.92,120013.99448,0.41088271141052246,"[2, 2, 6, 1, 1, 0, 0, 2, 1, 0, 5, 2, 2, 0, 1]"
train,recurrent_ppo_default_42,0,47,-3250.136,25,13.403345,8.92,0.11276,0.08873295783996582,"[1, 1, 0, 1, 1, 4, 1, 0, 0, 1, 1, 5, 5, 0, 4]"
train,recurrent_ppo_default_42,0,48,-3251.066,25,13.826451,9.84,0.26599999999999996,0.41970157623291016,"[4, 0, 1, 2, 2, 0, 1, 2, 1, 2, 1, 1, 1, 2, 5]"
train,recurrent_ppo_default_42,0,49,-3500.626,25,13.943484,9.64,359702.52608,0.11362862586975098,"[3, 0, 2, 2, 2, 1, 3, 1, 0, 1, 3, 1, 1, 3, 2]"
train,recurrent_ppo_default_42,0,50,-2755.671,25,14.040922,11.72,5407.343000000001,0.09412598609924316,"[2, 1, 2, 0, 4, 2, 1, 3, 3, 0, 1, 1, 2, 0, 3]"
train,recurrent_ppo_default_42,0,51,-3510.254,25,14.468003,9.36,42889.70568000001,0.42354822158813477,"[1, 2, 3, 1, 1, 4, 1, 1, 1, 2, 2, 1, 1, 2, 2]"
train,recurrent_ppo_default_42,0,52,-2951.361,25,14.580184,7.16,239817.33508,0.10782480239868164,"[1, 0, 2, 0, 1, 2, 1, 0, 2, 2, 3, 6, 1, 1, 3]"
train,recurrent_ppo_default_42,0,53,-4194.474,25,14.998375,9.28,231916.67472000004,0.41467761993408203,"[1, 1, 1, 1, 1, 3, 2, 2, 4, 2, 2, 1, 2, 0, 2]"
train,recurrent_ppo_default_42,0,54,-2596.781,25,15.12148,9.84,46.01824,0.11964225769042969,"[2, 1, 3, 2, 3, 2, 1, 1, 3, 3, 0, 3, 1, 0, 0]"
train,recurrent_ppo_default_42,0,55,-3266.655,25,15.229004,9.28,599703.23988,0.10416769981384277,"[1, 2, 3, 0, 4, 1, 2, 1, 0, 2, 2, 2, 3, 2, 0]"
train,recurrent_ppo_default_42,0,56,-2309.434,25,15.675023,8.56,4.951639999999999,0.4424021244049072,"[3, 1, 1, 1, 1, 2, 1, 3, 4, 3, 0, 0, 1, 1, 3]"
train,recurrent_ppo_default_42,0,57,-2941.743,25,15.781909,6.8,337246.50784000003,0.10270214080810547,"[2, 1, 2, 1, 2, 3, 1, 2, 2, 1, 3, 3, 1, 0, 1]"
train,recurrent_ppo_default_42,0,58,-3252.136,25,16.273218,8.0,0.19679999999999997,0.4876549243927002,"[1, 1, 3, 3, 0, 3, 2, 3, 0, 0, 0, 1, 3, 3, 2]"
train,recurrent_ppo_default_42,0,59,-3501.658,25,16.471,10.12,96.37511999999998,0.1943979263305664,"[2, 2, 2, 3, 3, 2, 2, 0, 1, 1, 0, 5, 0, 2, 0]"
train,recurrent_ppo_default_42,0,60,-3501.535,25,16.580759,9.0,86679.68804000001,0.10615921020507812,"[2, 2, 1, 1, 2, 3, 1, 1, 1, 5, 1, 0, 0, 1, 4]"
train,recurrent_ppo_default_42,0,61,-2174.269,25,17.053457,7.72,12.901720000000001,0.4690718650817871,"[2, 0, 1, 1, 3, 4, 0, 2, 1, 2, 1, 3, 1, 2, 2]"
train,recurrent_ppo_default_42,0,62,-2330.72,25,17.173089,10.52,41959.45196,0.11614489555358887,"[3, 1, 3, 3, 1, 1, 1, 1, 2, 5, 1, 0, 0, 1, 2]"
train,recurrent_ppo_default_42,0,63,-3253.805,25,17.28361,8.8,0.57188,0.10719847679138184,"[2, 2, 1, 1, 3, 3, 0, 2, 2, 0, 3, 3, 0, 2, 1]"
train,recurrent_ppo_default_42,0,64,-3543.751,25,17.709721,8.92,2.2322,0.10294127464294434,"[1, 2, 0, 4, 3, 3, 1, 2, 2, 2, 1, 1, 2, 1, 0]"
train,recurrent_ppo_default_42,0,65,-2764.553,25,17.831783,9.4,0.58896,0.11871600151062012,"[1, 4, 1, 1, 1, 3, 3, 3, 1, 1, 2, 1, 0, 0, 3]"
train,recurrent_ppo_default_42,0,66,-2752.884,25,18.261773,10.56,118945.19679999999,0.42636823654174805,"[2, 0, 2, 3, 6, 2, 2, 2, 0, 1, 1, 0, 2, 1, 1]"
train,recurrent_ppo_default_42,0,67,-4000.167,25,18.356849,9.52,121643.75192,0.09166216850280762,"[1, 1, 2, 2, 3, 2, 1, 1, 1, 0, 0, 2, 4, 1, 4]"
train,recurrent_ppo_default_42,0,68,-2794.111,25,18.483545,8.0,115131.14752000003,0.12329435348510742,"[4, 2, 2, 3, 2, 2, 0, 0, 0, 2, 1, 3, 1, 0, 3]"
train,recurrent_ppo_default_42,0,69,-3008.728,25,18.924502,8.88,69134.07908,0.4374990463256836,"[1, 2, 1, 2, 0, 3, 2, 3, 1, 0, 5, 0, 2, 2, 1]"
train,recurrent_ppo_default_42,0,70,-1805.298,25,19.041667,8.56,2.48244,0.11375713348388672,"[5, 1, 3, 0, 2, 1, 1, 0, 0, 4, 1, 3, 1, 1, 2]"
train,recurrent_ppo_default_42,0,71,-3009.524,25,19.453944,9.12,353493.06760000007,0.4089956283569336,"[3, 1, 4, 3, 0, 2, 1, 1, 1, 0, 1, 3, 1, 4, 0]"
train,recurrent_ppo_default_42,0,72,-1818.469,25,19.581916,6.44,123.31528,0.12372064590454102,"[2, 4, 1, 2, 0, 1, 2, 0, 0, 4, 2, 3, 2, 1, 1]"
train,recurrent_ppo_default_42,0,73,-2752.151,25,19.699347,7.28,360224.2278800001,0.11350035667419434,"[1, 3, 2, 1, 0, 3, 0, 1, 2, 4, 2, 0, 3, 2, 1]"
train,recurrent_ppo_default_42,0,74,-3188.599,25,20.124072,9.52,533150.83308,0.42139673233032227,"[3, 1, 2, 1, 3, 1, 1, 0, 3, 1, 2, 3, 2, 2, 0]"
train,recurrent_ppo_default_42,0,75,-2503.622,25,20.226265,10.76,0.14900000000000002,0.09869599342346191,"[1, 1, 3, 1, 3, 1, 0, 3, 5, 2, 3, 2, 0, 0, 0]"
train,recurrent_ppo_default_42,0,76,-3809.958,25,20.621108,10.56,1164312.43632,0.3914346694946289,"[1, 4, 4, 0, 4, 1, 0, 2, 2, 1, 1, 0, 3, 1, 1]"
train,recurrent_ppo_default_42,0,77,-3751.592,25,20.733373,10.84,119871.07271999998,0.10851073265075684,"[1, 0, 3, 3, 0, 4, 5, 2, 1, 3, 1, 0, 0, 1, 1]"
train,recurrent_ppo_default_42,0,78,-2764.295,25,20.829006,8.6,112410.98348000001,0.09227323532104492,"[1, 1, 2, 3, 2, 3, 0, 2, 2, 2, 1, 1, 2, 2, 1]"
train,recurrent_ppo_default_42,0,79,-2073.365,25,21.25105,7.52,4.566,0.4186723232269287,"[1, 0, 2, 4, 1, 0, 2, 1, 1, 4, 3, 1, 3, 0, 2]"
train,recurrent_ppo_default_42,0,80,-2576.149,25,21.350463,8.92,115292.49831999998,0.09573197364807129,"[1, 1, 2, 4, 3, 0, 2, 1, 1, 4, 3, 0, 1, 1, 1]"
train,recurrent_ppo_default_42,0,81,-3249.785,25,21.767945,8.48,49.96288,0.41359567642211914,"[1, 2, 1, 4, 1, 1, 1, 1, 1, 2, 3, 3, 1, 1, 2]"
train,recurrent_ppo_default_42,0,82,-2754.166,25,21.88497,9.36,76.1406,0.11356663703918457,"[4, 2, 1, 3, 2, 2, 0, 2, 1, 2, 1, 3, 2, 0, 0]"
train,recurrent_ppo_default_42,0,83,-3303.758,25,22.012903,9.44,240647.76335999998,0.12405681610107422,"[2, 2, 1, 3, 3, 0, 1, 0, 1, 5, 3, 1, 2, 1, 0]"
train,recurrent_ppo_default_42,0,84,-4003.313,25,22.472541,7.92,717021.8099599999,0.45514702796936035,"[0, 1, 1, 0, 2, 2, 3, 2, 2, 4, 2, 1, 4, 0, 1]"
