phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,recurrent_ppo_default_42,0,0,2.916667,25,2.394582,6.36,359846.07548,0.14086341857910156,"[2, 0, 1, 2, 2, 0, 1, 3, 1, 3, 1, 1, 4, 1, 3]"
train,recurrent_ppo_default_42,0,1,-2.55,25,2.519342,6.8,282326.54780000006,0.11675810813903809,"[3, 1, 2, 2, 1, 0, 1, 0, 3, 1, 1, 2, 1, 3, 4]"
train,recurrent_ppo_default_42,0,2,-5.945238,25,4.091974,9.72,0.34976000000000007,1.5681040287017822,"[1, 2, 2, 0, 6, 2, 2, 1, 4, 0, 0, 1, 0, 1, 3]"
train,recurrent_ppo_default_42,0,3,-6.104762,25,4.224706,9.0,3.8445599999999995,0.12816834449768066,"[2, 1, 1, 0, 2, 3, 4, 1, 0, 1, 3, 3, 1, 2, 1]"
train,recurrent_ppo_default_42,0,4,1.164286,25,4.366526,10.28,335937.58587999997,0.13760042190551758,"[0, 4, 2, 4, 2, 1, 2, 0, 4, 2, 0, 2, 0, 1, 1]"
train,recurrent_ppo_default_42,0,5,-3.05,25,5.789154,7.08,0.53744,1.4181158542633057,"[0, 2, 3, 1, 1, 1, 1, 2, 1, 2, 5, 2, 0, 4, 0]"
train,recurrent_ppo_default_42,0,6,-0.054762,25,5.97331,11.48,237903.07152,0.17628741264343262,"[2, 2, 1, 2, 3, 3, 2, 3, 1, 1, 3, 1, 0, 0, 1]"
train,recurrent_ppo_default_42,0,7,11.15,25,5.70871,8.0,67777.24532,-0.2689335346221924,"[4, 3, 3, 0, 1, 2, 1, 0, 2, 0, 1, 0, 4, 3, 1]"
train,recurrent_ppo_default_42,0,8,24.15,25,5.838183,5.92,764782.4251599999,0.12440919876098633,"[1, 7, 1, 1, 1, 1, 0, 3, 4, 1, 0, 5, 0, 0, 0]"
train,recurrent_ppo_default_42,0,9,3.128571,25,5.949871,9.12,20.22828,0.10776782035827637,"[3, 1, 4, 1, 0, 2, 2, 2, 0, 2, 4, 2, 0, 2, 0]"
train,recurrent_ppo_default_42,0,10,-2.464286,25,7.210936,8.36,362348.20123999997,1.2571308612823486,"[3, 0, 1, 1, 0, 1, 2, 1, 1, 1, 5, 2, 0, 5, 2]"
train,recurrent_ppo_default_42,0,11,0.95,25,7.327235,6.28,30.51748,0.11123204231262207,"[4, 1, 0, 0, 1, 0, 0, 3, 5, 1, 2, 2, 1, 4, 1]"
train,recurrent_ppo_default_42,0,12,17.645238,25,8.442563,6.8,25.41992,1.1111493110656738,"[1, 4, 2, 0, 2, 0, 3, 1, 2, 0, 4, 2, 0, 1, 3]"
train,recurrent_ppo_default_42,0,13,0.166667,25,8.597203,7.16,65999.527,0.1506962776184082,"[4, 1, 1, 0, 1, 1, 4, 1, 2, 0, 8, 0, 0, 1, 1]"
train,recurrent_ppo_default_42,0,14,14.092857,25,8.746729,6.4,38.77268000000001,0.14566731452941895,"[5, 1, 2, 1, 1, 0, 0, 1, 1, 2, 6, 2, 0, 2, 1]"
train,recurrent_ppo_default_42,0,15,-4.030952,25,10.062955,8.72,675785.8028000001,1.312227725982666,"[3, 1, 1, 0, 0, 1, 2, 5, 0, 2, 4, 2, 0, 4, 0]"
train,recurrent_ppo_default_42,0,16,10.719048,25,10.187695,10.56,361068.16651999997,0.11989235877990723,"[1, 9, 0, 0, 0, 2, 0, 1, 3, 0, 3, 3, 1, 1, 1]"
train,recurrent_ppo_default_42,0,17,6.114286,25,11.480481,9.12,358045.67824000004,1.288602352142334,"[3, 8, 0, 0, 2, 2, 1, 1, 0, 0, 4, 3, 0, 0, 1]"
train,recurrent_ppo_default_42,0,18,-1.280952,25,11.646566,10.52,1.3917199999999996,0.16101479530334473,"[0, 10, 1, 0, 1, 1, 0, 1, 2, 0, 1, 5, 1, 1, 1]"
train,recurrent_ppo_default_42,0,19,1.283333,25,11.809116,9.6,696039.15332,0.1570301055908203,"[5, 1, 0, 0, 3, 4, 1, 0, 1, 1, 2, 2, 0, 3, 2]"
train,recurrent_ppo_default_42,0,20,9.211905,25,13.333253,7.2,479721.8242399999,1.5171658992767334,"[4, 7, 1, 0, 1, 1, 1, 0, 1, 0, 3, 1, 0, 3, 2]"
train,recurrent_ppo_default_42,0,21,3.128571,25,13.455832,8.44,5661.02776,0.11850976943969727,"[0, 10, 0, 0, 2, 1, 0, 1, 3, 0, 1, 4, 0, 0, 3]"
train,recurrent_ppo_default_42,0,22,17.566667,25,13.58655,6.2,120013.67964000002,0.1258397102355957,"[0, 14, 0, 0, 0, 0, 0, 0, 2, 0, 0, 6, 1, 0, 2]"
train,recurrent_ppo_default_42,0,23,17.857143,25,15.651159,9.52,1085248.1423599997,2.0603339672088623,"[3, 7, 5, 0, 1, 1, 1, 0, 2, 1, 1, 0, 2, 1, 0]"
train,recurrent_ppo_default_42,0,24,-1.383333,25,15.8215,8.2,67868.52204,0.16559481620788574,"[1, 3, 2, 0, 0, 1, 4, 1, 3, 1, 2, 4, 0, 2, 1]"
train,recurrent_ppo_default_42,0,25,3.059524,25,17.145626,7.92,237.08368,1.317883014678955,"[5, 1, 1, 0, 0, 1, 1, 0, 3, 0, 9, 2, 1, 1, 0]"
train,recurrent_ppo_default_42,0,26,-0.819048,25,17.283563,10.12,186029.07648000002,0.13376951217651367,"[4, 1, 0, 1, 1, 1, 2, 1, 3, 1, 4, 1, 1, 2, 2]"
train,recurrent_ppo_default_42,0,27,12.511905,25,17.409724,8.4,354379.00743999996,0.12141633033752441,"[1, 9, 2, 1, 0, 1, 0, 0, 0, 1, 5, 2, 1, 1, 1]"
train,recurrent_ppo_default_42,0,28,16.159524,25,18.736901,6.4,17.402679999999997,1.3224742412567139,"[0, 5, 3, 2, 0, 0, 1, 0, 2, 2, 5, 4, 1, 0, 0]"
train,recurrent_ppo_default_42,0,29,16.592857,25,18.867869,7.88,4.54528,0.12696099281311035,"[3, 6, 1, 0, 1, 0, 2, 0, 2, 0, 3, 6, 0, 1, 0]"
