phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,6.0,25,2.26227,44.56,1021.30936,0.9133105278015137,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,trpo_default_42,0,1,17.0,25,3.158978,30.84,978.1718799999998,0.8910462856292725,"[2, 3, 2, 3, 1, 2, 0, 2, 2, 1, 2, 2, 1, 1, 1]"
train,trpo_default_42,0,2,15.0,25,4.065204,43.84,1296.60484,0.9029462337493896,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,trpo_default_42,0,3,12.0,25,4.970845,40.4,1038.17824,0.9026119709014893,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,trpo_default_42,0,4,19.0,25,5.88078,60.04,1051.00608,0.9052383899688721,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,trpo_default_42,0,5,3.0,25,6.753641,43.4,1070.4184,0.8696818351745605,"[2, 1, 2, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 2, 3]"
train,trpo_default_42,0,6,10.0,25,7.679981,46.56,1018.2103199999999,0.9232504367828369,"[1, 2, 3, 0, 2, 2, 3, 0, 2, 0, 4, 2, 2, 1, 1]"
train,trpo_default_42,0,7,9.0,25,8.485243,27.0,1047.40176,0.8025863170623779,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,trpo_default_42,0,8,3.0,25,9.33106,47.6,1025.90848,0.8430349826812744,"[1, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
train,trpo_default_42,0,9,2.0,25,10.29571,59.44,1066.9324000000001,0.9612631797790527,"[4, 1, 0, 4, 4, 2, 1, 2, 1, 3, 1, 0, 1, 0, 1]"
train,trpo_default_42,0,10,13.0,25,11.383355,47.04,1105.41052,1.0840051174163818,"[1, 0, 2, 1, 1, 4, 1, 1, 1, 3, 3, 3, 1, 1, 2]"
train,trpo_default_42,0,11,-5.0,25,12.52893,35.56,1044.2509599999998,1.142890214920044,"[2, 2, 2, 2, 2, 1, 3, 0, 0, 2, 1, 0, 2, 5, 1]"
train,trpo_default_42,0,12,28.0,25,13.440572,51.0,1169.32096,0.9083333015441895,"[3, 1, 2, 2, 2, 3, 2, 1, 3, 2, 2, 0, 1, 0, 1]"
train,trpo_default_42,0,13,-8.0,25,14.414308,61.64,1048.93484,0.9704663753509521,"[1, 2, 3, 2, 1, 2, 2, 2, 0, 2, 0, 1, 4, 2, 1]"
train,trpo_default_42,0,14,23.0,25,15.318151,47.48,1087.0662399999999,0.8996071815490723,"[2, 2, 1, 1, 0, 4, 1, 1, 3, 1, 2, 2, 1, 1, 3]"
train,trpo_default_42,0,15,-1.0,25,16.185513,54.6,1040.1896800000002,0.8645083904266357,"[3, 1, 2, 2, 2, 1, 1, 2, 0, 1, 2, 2, 2, 1, 3]"
train,trpo_default_42,0,16,-3.0,25,17.109085,41.92,1037.2932799999999,0.9207267761230469,"[1, 1, 0, 0, 1, 1, 3, 3, 1, 2, 2, 3, 1, 3, 3]"
train,trpo_default_42,0,17,6.0,25,18.003697,46.52,1037.27004,0.8908095359802246,"[1, 1, 2, 0, 1, 0, 5, 3, 2, 1, 0, 4, 2, 1, 2]"
