phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,-49187.138,25,2.075701,44.56,1021.30936,0.84267258644104,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,trpo_default_42,0,1,-44701.077,25,3.057169,32.76,978.1718799999998,0.977208137512207,"[2, 3, 3, 3, 1, 2, 0, 2, 1, 1, 2, 2, 1, 1, 1]"
train,trpo_default_42,0,2,-55985.698,25,3.863851,43.84,1296.60484,0.8035719394683838,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,trpo_default_42,0,3,-47549.823,25,4.780458,40.4,1038.17824,0.9131786823272705,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,trpo_default_42,0,4,-49644.516,25,5.709429,60.04,1051.00608,0.925508975982666,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,trpo_default_42,0,5,-53631.32,25,6.676599,43.4,1070.4184,0.9644067287445068,"[2, 1, 2, 1, 3, 2, 2, 2, 1, 1, 0, 2, 1, 2, 3]"
train,trpo_default_42,0,6,-47143.7,25,7.544091,46.56,1018.2103199999999,0.8646190166473389,"[1, 2, 3, 0, 2, 2, 3, 0, 2, 0, 4, 2, 2, 1, 1]"
train,trpo_default_42,0,7,-55400.117,25,8.311214,27.0,1047.40176,0.7629592418670654,"[2, 2, 1, 1, 2, 1, 1, 3, 0, 4, 1, 3, 1, 1, 2]"
train,trpo_default_42,0,8,-51279.271,25,9.289467,47.6,1025.90848,0.9753766059875488,"[1, 4, 2, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1]"
train,trpo_default_42,0,9,-51924.743,25,10.207681,58.8,1066.9324000000001,0.9137825965881348,"[3, 1, 0, 4, 3, 2, 1, 2, 1, 3, 2, 0, 2, 0, 1]"
train,trpo_default_42,0,10,-54772.886,25,11.269701,43.04,978.5237599999999,1.058098316192627,"[3, 1, 1, 0, 1, 1, 0, 2, 1, 3, 1, 4, 2, 3, 2]"
train,trpo_default_42,0,11,-48734.241,25,12.192423,39.36,979.4484000000001,0.9199361801147461,"[2, 1, 1, 1, 3, 3, 0, 1, 0, 5, 3, 2, 1, 0, 2]"
train,trpo_default_42,0,12,-55503.281,25,13.130744,52.44,1051.8062,0.9355449676513672,"[3, 0, 1, 1, 4, 1, 3, 2, 1, 2, 2, 0, 2, 1, 2]"
train,trpo_default_42,0,13,-47110.721,25,13.964922,46.48,1005.54816,0.831153392791748,"[1, 1, 0, 2, 3, 2, 3, 1, 1, 3, 1, 1, 1, 3, 2]"
train,trpo_default_42,0,14,-47164.969,25,14.847058,56.84,1045.24188,0.8777251243591309,"[2, 1, 0, 3, 4, 1, 1, 1, 3, 2, 3, 0, 1, 0, 3]"
train,trpo_default_42,0,15,-49945.267,25,15.823893,48.84,1056.77672,0.9724047183990479,"[3, 2, 0, 0, 2, 1, 3, 3, 1, 2, 0, 2, 3, 2, 1]"
train,trpo_default_42,0,16,-49667.222,25,16.641309,39.08,1049.86424,0.8145291805267334,"[1, 3, 1, 1, 3, 1, 2, 2, 1, 2, 0, 4, 0, 2, 2]"
train,trpo_default_42,0,17,-49825.206,25,17.578485,34.56,1062.5128800000002,0.9344789981842041,"[2, 4, 2, 1, 0, 3, 0, 2, 0, 1, 3, 0, 1, 6, 0]"
train,trpo_default_42,0,18,-45519.854,25,18.536186,56.2,1029.6914,0.9541177749633789,"[3, 1, 1, 0, 1, 1, 1, 4, 3, 4, 2, 0, 0, 1, 3]"
train,trpo_default_42,0,19,-45269.543,25,19.356035,58.76,1019.65604,0.8169736862182617,"[5, 1, 4, 0, 0, 1, 3, 1, 3, 2, 0, 1, 1, 3, 0]"
train,trpo_default_42,0,20,-53329.168,25,20.293236,42.44,1034.53736,0.9344093799591064,"[4, 1, 1, 0, 0, 0, 1, 1, 3, 3, 5, 1, 1, 4, 0]"
train,trpo_default_42,0,21,-46916.169,25,21.199524,29.52,994.5141199999999,0.9033284187316895,"[0, 1, 0, 2, 1, 2, 1, 3, 4, 3, 1, 2, 2, 2, 1]"
train,trpo_default_42,0,22,-41169.882,25,22.084977,48.56,1107.6573600000002,0.8823473453521729,"[1, 2, 1, 2, 1, 3, 0, 0, 4, 2, 3, 1, 3, 2, 0]"
train,trpo_default_42,0,23,-43551.579,25,23.100552,39.76,1035.80508,1.012326717376709,"[0, 3, 2, 3, 1, 0, 0, 3, 2, 3, 3, 1, 1, 1, 2]"
train,trpo_default_42,0,24,-44032.631,25,24.012526,43.52,1076.1585200000002,0.9079775810241699,"[4, 2, 1, 1, 0, 2, 1, 1, 5, 1, 2, 0, 3, 2, 0]"
train,trpo_default_42,0,25,-59380.155,25,24.879436,49.84,1043.5729199999998,0.8640804290771484,"[1, 0, 1, 3, 3, 2, 1, 1, 3, 0, 1, 1, 2, 4, 2]"
train,trpo_default_42,0,26,-47621.388,25,25.750168,36.72,1032.19164,0.867887020111084,"[5, 2, 1, 2, 0, 1, 3, 2, 1, 1, 3, 1, 0, 0, 3]"
train,trpo_default_42,0,27,-50750.728,25,26.672017,43.0,1298.4009999999998,0.9184713363647461,"[2, 2, 3, 1, 2, 0, 1, 1, 1, 0, 5, 2, 3, 1, 1]"
train,trpo_default_42,0,28,-55063.229,25,27.58428,54.12,1212.88464,0.9093446731567383,"[1, 1, 4, 4, 1, 2, 0, 1, 0, 3, 1, 0, 2, 2, 3]"
train,trpo_default_42,0,29,-51044.37,25,28.471708,38.72,1002.1420800000001,0.884366512298584,"[1, 2, 3, 1, 1, 0, 1, 0, 2, 2, 4, 1, 4, 2, 1]"
train,trpo_default_42,0,30,-42672.501,25,29.491533,39.52,994.5924799999999,1.0168797969818115,"[4, 2, 1, 1, 2, 3, 1, 4, 1, 0, 0, 1, 3, 1, 1]"
train,trpo_default_42,0,31,-49267.108,25,30.286686,57.52,1020.2081199999999,0.7922427654266357,"[1, 4, 1, 1, 1, 3, 2, 1, 1, 1, 1, 0, 3, 1, 4]"
train,trpo_default_42,0,32,-41709.042,25,31.169058,50.2,1040.48476,0.8794851303100586,"[0, 6, 0, 0, 1, 4, 4, 2, 1, 2, 1, 0, 0, 1, 3]"
train,trpo_default_42,0,33,-47336.025,25,32.101955,54.04,1025.9589999999998,0.9299190044403076,"[2, 2, 2, 1, 3, 1, 1, 1, 4, 2, 2, 2, 0, 1, 1]"
train,trpo_default_42,0,34,-46919.851,25,32.937492,46.76,1107.2046799999998,0.8326010704040527,"[1, 2, 4, 1, 1, 3, 0, 1, 1, 3, 1, 1, 0, 1, 5]"
train,trpo_default_42,0,35,-56798.874,25,33.701581,34.72,980.20964,0.7611098289489746,"[1, 1, 0, 0, 1, 2, 1, 7, 2, 0, 1, 3, 2, 3, 1]"
train,trpo_default_42,0,36,-49988.601,25,34.625106,49.92,1075.75884,0.9201114177703857,"[2, 1, 1, 1, 2, 3, 2, 3, 0, 3, 0, 2, 1, 3, 1]"
train,trpo_default_42,0,37,-44229.183,25,35.540796,51.0,1114.53172,0.9109499454498291,"[2, 2, 3, 2, 1, 1, 1, 3, 1, 3, 1, 1, 1, 2, 1]"
train,trpo_default_42,0,38,-48163.973,25,36.457152,42.72,1077.07588,0.9135489463806152,"[1, 2, 1, 1, 2, 0, 1, 2, 0, 2, 1, 2, 2, 3, 5]"
train,trpo_default_42,0,39,-51976.375,25,37.397851,46.48,1127.26236,0.9377048015594482,"[3, 0, 2, 2, 4, 2, 0, 2, 0, 1, 2, 3, 3, 0, 1]"
train,trpo_default_42,0,40,-51267.954,25,38.480539,42.24,1022.30636,1.07950758934021,"[1, 3, 0, 3, 3, 4, 1, 1, 0, 0, 1, 2, 4, 2, 0]"
train,trpo_default_42,0,41,-48985.547,25,39.482112,53.0,1003.66576,0.9968616962432861,"[2, 2, 0, 2, 4, 1, 2, 1, 2, 3, 1, 2, 1, 1, 1]"
train,trpo_default_42,0,42,-53394.9,25,40.376667,56.56,1034.7156000000002,0.891453742980957,"[5, 1, 2, 3, 2, 1, 2, 1, 1, 0, 1, 2, 2, 1, 1]"
train,trpo_default_42,0,43,-39433.746,25,41.211253,55.8,1018.1212,0.8316435813903809,"[2, 5, 1, 2, 2, 1, 0, 4, 0, 2, 2, 2, 1, 0, 1]"
train,trpo_default_42,0,44,-51331.273,25,42.06981,50.36,1165.16968,0.8556358814239502,"[0, 1, 0, 1, 3, 2, 3, 3, 0, 3, 2, 1, 4, 1, 1]"
train,trpo_default_42,0,45,-52121.166,25,43.045498,51.12,1090.49968,0.9729328155517578,"[1, 1, 4, 1, 2, 3, 1, 3, 2, 2, 1, 1, 1, 1, 1]"
train,trpo_default_42,0,46,-49012.74,25,43.835801,34.32,997.3968399999999,0.7866644859313965,"[0, 3, 1, 0, 2, 2, 2, 2, 1, 0, 2, 2, 2, 0, 6]"
train,trpo_default_42,0,47,-45588.81,25,44.678804,51.24,1041.88568,0.8399574756622314,"[5, 2, 3, 0, 3, 4, 0, 0, 1, 2, 1, 2, 0, 1, 1]"
train,trpo_default_42,0,48,-51402.976,25,45.782753,54.96,1036.2630399999998,1.099574327468872,"[5, 0, 2, 1, 3, 2, 1, 3, 2, 0, 0, 1, 0, 4, 1]"
train,trpo_default_42,0,49,-53445.441,25,46.661635,59.6,1037.2285600000002,0.8759565353393555,"[2, 2, 1, 4, 6, 2, 3, 0, 0, 1, 0, 1, 2, 1, 0]"
train,trpo_default_42,0,50,-49327.34,25,47.547469,43.28,1024.36992,0.882965087890625,"[2, 2, 2, 2, 0, 3, 0, 1, 4, 0, 0, 3, 1, 4, 1]"
train,trpo_default_42,0,51,-52858.913,25,48.853202,47.68,984.85776,1.3023872375488281,"[2, 0, 1, 2, 4, 1, 4, 2, 0, 0, 1, 2, 1, 2, 3]"
train,trpo_default_42,0,52,-43554.704,25,49.762731,48.12,1015.1454800000001,0.9063284397125244,"[3, 3, 0, 3, 1, 0, 0, 4, 2, 3, 1, 2, 0, 1, 2]"
train,trpo_default_42,0,53,-45614.263,25,50.68421,58.84,1044.133,0.9185121059417725,"[3, 1, 3, 1, 2, 1, 1, 4, 2, 1, 2, 1, 1, 1, 1]"
train,trpo_default_42,0,54,-55011.115,25,51.603824,62.2,1005.0106,0.9157440662384033,"[1, 1, 1, 4, 2, 1, 6, 2, 1, 1, 3, 0, 1, 0, 1]"
train,trpo_default_42,0,55,-50724.852,25,52.546069,56.68,978.79048,0.9393868446350098,"[4, 1, 4, 3, 1, 1, 1, 0, 1, 1, 0, 0, 3, 3, 2]"
train,trpo_default_42,0,56,-51260.052,25,53.509569,54.48,1020.2690399999999,0.9604179859161377,"[2, 3, 2, 1, 1, 2, 1, 0, 3, 0, 4, 3, 1, 2, 0]"
