phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,67.807143,25,1.87189,44.56,1021.30936,0.7418279647827148,"[1, 1, 2, 1, 3, 1, 2, 2, 1, 1, 2, 2, 4, 0, 2]"
train,trpo_default_42,0,1,79.533333,25,2.699387,30.84,978.1718799999998,0.8220500946044922,"[2, 3, 2, 3, 1, 2, 0, 2, 2, 1, 2, 2, 1, 1, 1]"
train,trpo_default_42,0,2,62.833333,25,3.376933,43.84,1296.60484,0.6739912033081055,"[0, 0, 4, 0, 0, 2, 1, 3, 4, 3, 2, 3, 0, 2, 1]"
train,trpo_default_42,0,3,96.211905,25,4.074501,40.4,1038.17824,0.6949155330657959,"[1, 2, 0, 2, 1, 0, 4, 1, 4, 1, 4, 2, 0, 2, 1]"
train,trpo_default_42,0,4,67.8,25,4.804634,60.04,1051.00608,0.7275054454803467,"[1, 1, 1, 0, 3, 5, 0, 2, 3, 1, 2, 3, 3, 0, 0]"
train,trpo_default_42,0,5,92.783333,25,5.65525,40.84,1039.2531199999999,0.8463189601898193,"[3, 7, 2, 3, 1, 2, 0, 1, 1, 2, 0, 1, 2, 0, 0]"
train,trpo_default_42,0,6,93.116667,25,6.311437,48.8,1008.63772,0.6536095142364502,"[1, 2, 2, 1, 2, 2, 3, 1, 2, 1, 1, 4, 2, 1, 0]"
train,trpo_default_42,0,7,60.645238,25,7.012045,50.96,1048.3697200000001,0.6976258754730225,"[1, 1, 2, 3, 3, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1]"
train,trpo_default_42,0,8,68.557143,25,7.711825,49.92,1073.52612,0.6971950531005859,"[2, 1, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2, 1, 1, 2]"
train,trpo_default_42,0,9,95.533333,25,8.469343,41.44,1003.9060399999997,0.7549381256103516,"[3, 4, 0, 1, 3, 0, 3, 2, 1, 0, 3, 0, 2, 1, 2]"
train,trpo_default_42,0,10,45.783333,25,9.225169,33.44,1097.93664,0.7532618045806885,"[0, 1, 2, 0, 3, 0, 2, 0, 1, 3, 2, 0, 3, 2, 6]"
