phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,-11.0,25,2.507524,11.48,65948.74096,0.1393723487854004,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,trpo_default_42,0,1,-4.0,25,2.626381,8.28,340307.81703999994,0.11021924018859863,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,trpo_default_42,0,2,-15.0,25,2.822646,8.36,0.32616,0.19335222244262695,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,trpo_default_42,0,3,-8.0,25,2.926276,7.88,0.0544,0.09956908226013184,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,trpo_default_42,0,4,-10.0,25,3.062029,10.52,362610.80332,0.13306474685668945,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,trpo_default_42,0,5,-7.0,25,3.569254,8.0,56466.2638,0.5038025379180908,"[2, 2, 0, 2, 6, 1, 1, 2, 1, 2, 0, 4, 0, 1, 1]"
train,trpo_default_42,0,6,-2.0,25,3.701349,8.52,356844.20988,0.1292867660522461,"[2, 4, 2, 1, 1, 4, 2, 0, 1, 1, 1, 1, 2, 2, 1]"
train,trpo_default_42,0,7,-11.0,25,3.854292,10.28,2250.85128,0.1488046646118164,"[0, 1, 2, 1, 4, 3, 2, 1, 0, 2, 3, 0, 2, 1, 3]"
train,trpo_default_42,0,8,-12.0,25,4.013923,6.4,359874.9688,0.15657591819763184,"[0, 0, 2, 0, 1, 1, 1, 1, 3, 1, 3, 1, 1, 6, 4]"
train,trpo_default_42,0,9,-7.0,25,4.183394,7.4,397207.0086800001,0.16437005996704102,"[3, 2, 2, 1, 0, 1, 3, 0, 1, 4, 3, 3, 1, 1, 0]"
train,trpo_default_42,0,10,-8.0,25,4.592464,10.52,354259.86672,0.40459108352661133,"[3, 3, 0, 3, 1, 1, 1, 3, 1, 1, 1, 2, 0, 4, 1]"
train,trpo_default_42,0,11,-5.0,25,4.834444,9.68,2.3952000000000004,0.23924040794372559,"[3, 2, 1, 3, 2, 1, 1, 3, 0, 1, 2, 3, 2, 0, 1]"
train,trpo_default_42,0,12,0.0,25,5.034017,10.12,2802.36668,0.19606637954711914,"[0, 3, 3, 1, 0, 0, 2, 3, 2, 3, 2, 0, 3, 0, 3]"
train,trpo_default_42,0,13,-4.0,25,5.199307,7.96,0.4722,0.1613914966583252,"[3, 1, 1, 1, 2, 0, 3, 4, 4, 1, 1, 1, 2, 1, 0]"
train,trpo_default_42,0,14,-17.0,25,5.390939,7.04,33243.26004000001,0.18715786933898926,"[0, 0, 0, 0, 1, 2, 1, 1, 4, 2, 0, 2, 6, 3, 3]"
train,trpo_default_42,0,15,-10.0,25,5.808573,10.36,356834.03932,0.41420555114746094,"[0, 2, 4, 1, 3, 3, 1, 1, 1, 3, 1, 1, 1, 2, 1]"
train,trpo_default_42,0,16,-7.0,25,5.944809,10.04,364942.4948,0.13211917877197266,"[4, 0, 3, 4, 3, 1, 0, 1, 0, 1, 0, 3, 1, 1, 3]"
train,trpo_default_42,0,17,-7.0,25,6.057534,6.44,64482.52960000001,0.10918951034545898,"[1, 2, 1, 0, 1, 2, 1, 2, 3, 1, 2, 2, 1, 2, 4]"
train,trpo_default_42,0,18,-5.0,25,6.173124,9.8,3081.28408,0.11303901672363281,"[4, 1, 2, 0, 0, 5, 0, 1, 3, 4, 0, 1, 1, 3, 0]"
train,trpo_default_42,0,19,-11.0,25,6.318335,8.08,133.35848,0.14111971855163574,"[2, 1, 2, 2, 1, 3, 1, 1, 0, 2, 5, 3, 1, 0, 1]"
train,trpo_default_42,0,20,-8.0,25,7.054488,8.16,294.58351999999996,0.7322297096252441,"[0, 0, 2, 0, 0, 1, 2, 3, 3, 6, 1, 2, 1, 0, 4]"
train,trpo_default_42,0,21,-8.0,25,7.174229,8.96,360166.644,0.11606287956237793,"[3, 2, 3, 0, 2, 0, 1, 2, 2, 1, 1, 1, 3, 3, 1]"
train,trpo_default_42,0,22,-11.0,25,7.324997,12.16,195.68791999999996,0.147752046585083,"[1, 2, 2, 2, 3, 3, 0, 3, 2, 4, 2, 0, 0, 1, 0]"
train,trpo_default_42,0,23,-14.0,25,7.523977,10.52,1.9046800000000002,0.19521141052246094,"[2, 0, 3, 5, 1, 3, 0, 1, 3, 2, 0, 2, 2, 1, 0]"
train,trpo_default_42,0,24,-8.0,25,7.723767,10.08,265905.10192,0.19609284400939941,"[2, 1, 3, 2, 1, 2, 2, 2, 2, 2, 1, 2, 0, 0, 3]"
train,trpo_default_42,0,25,-5.0,25,8.539818,8.84,120032.99452,0.8109056949615479,"[4, 0, 2, 3, 0, 3, 2, 1, 1, 1, 3, 0, 2, 2, 1]"
train,trpo_default_42,0,26,-3.0,25,8.661965,7.32,838730.8677599999,0.11926031112670898,"[2, 1, 1, 2, 1, 2, 2, 4, 0, 3, 2, 2, 2, 0, 1]"
train,trpo_default_42,0,27,-2.0,25,8.793382,7.52,336539.97684,0.12708353996276855,"[2, 0, 3, 2, 1, 2, 3, 0, 3, 1, 2, 1, 1, 2, 2]"
train,trpo_default_42,0,28,-1.0,25,8.894806,6.6,359846.68088,0.09840559959411621,"[3, 3, 2, 0, 0, 2, 0, 2, 2, 5, 1, 3, 0, 2, 0]"
train,trpo_default_42,0,29,-4.0,25,9.047139,9.56,7.773840000000002,0.1496410369873047,"[1, 3, 2, 1, 1, 1, 3, 2, 2, 0, 3, 1, 1, 3, 1]"
train,trpo_default_42,0,30,-16.0,25,9.502352,8.24,361.4166,0.4509260654449463,"[1, 1, 1, 1, 2, 0, 3, 1, 0, 1, 0, 4, 2, 5, 3]"
train,trpo_default_42,0,31,-6.0,25,9.655034,7.92,622.7636800000001,0.14834141731262207,"[4, 1, 1, 1, 2, 1, 1, 0, 3, 4, 0, 2, 3, 0, 2]"
train,trpo_default_42,0,32,-9.0,25,9.752419,7.96,239801.81828,0.09458804130554199,"[3, 2, 2, 0, 1, 3, 1, 1, 1, 1, 3, 1, 0, 2, 4]"
train,trpo_default_42,0,33,-2.0,25,9.85504,8.04,427014.91604000004,0.10001301765441895,"[1, 0, 3, 1, 1, 2, 1, 4, 4, 3, 1, 1, 1, 2, 0]"
