phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,-2750.504,25,1.344573,9.4,119900.89124000001,0.12375330924987793,"[3, 0, 4, 3, 1, 3, 1, 0, 0, 1, 2, 4, 1, 1, 1]"
train,trpo_default_42,0,1,-3901.45,25,1.444914,10.72,359682.50500000006,0.09305667877197266,"[1, 1, 1, 1, 1, 3, 3, 2, 1, 1, 3, 2, 0, 1, 4]"
train,trpo_default_42,0,2,-3527.491,25,1.554119,9.68,498.59836,0.10640573501586914,"[2, 3, 0, 0, 1, 3, 2, 1, 2, 2, 2, 0, 2, 2, 3]"
train,trpo_default_42,0,3,-3108.718,25,1.664293,10.32,14.377159999999998,0.10724258422851562,"[2, 2, 2, 0, 2, 4, 3, 0, 1, 2, 1, 1, 3, 0, 2]"
train,trpo_default_42,0,4,-3560.295,25,1.854458,9.36,65978.99068,0.18418455123901367,"[1, 3, 1, 1, 0, 1, 3, 1, 0, 2, 2, 2, 0, 5, 3]"
train,trpo_default_42,0,5,-3005.184,25,1.97656,8.96,1066496.43064,0.11749744415283203,"[4, 2, 3, 2, 1, 1, 1, 2, 2, 1, 3, 1, 1, 0, 1]"
train,trpo_default_42,0,6,-3751.095,25,2.076569,8.72,186261.38576,0.09706735610961914,"[1, 0, 2, 3, 2, 0, 3, 0, 3, 1, 3, 0, 1, 3, 3]"
train,trpo_default_42,0,7,-3754.251,25,2.188537,9.88,901.40928,0.10874128341674805,"[4, 2, 2, 1, 1, 4, 1, 1, 1, 1, 1, 2, 1, 0, 3]"
train,trpo_default_42,0,8,-2011.244,25,2.283667,9.08,360167.0430000001,0.09249138832092285,"[1, 3, 5, 3, 3, 0, 0, 0, 4, 2, 0, 3, 0, 1, 0]"
train,trpo_default_42,0,9,-3500.212,25,2.387045,14.04,0.016040000000000002,0.10032272338867188,"[3, 2, 0, 1, 2, 3, 5, 2, 2, 0, 3, 2, 0, 0, 0]"
train,trpo_default_42,0,10,-2888.582,25,2.52675,8.56,5.5590399999999995,0.13550472259521484,"[2, 3, 3, 0, 2, 0, 0, 1, 0, 3, 3, 0, 1, 5, 2]"
train,trpo_default_42,0,11,-3809.408,25,2.628935,8.44,335737.76016,0.09940648078918457,"[0, 3, 1, 4, 0, 4, 0, 2, 1, 1, 0, 2, 3, 3, 1]"
train,trpo_default_42,0,12,-3390.892,25,2.747468,7.52,72986.32267999998,0.11297845840454102,"[1, 4, 2, 1, 2, 2, 1, 1, 1, 4, 0, 3, 3, 0, 0]"
train,trpo_default_42,0,13,-3505.002,25,2.850284,9.92,1.20224,0.1000058650970459,"[1, 2, 1, 2, 2, 2, 1, 4, 0, 1, 2, 3, 0, 3, 1]"
train,trpo_default_42,0,14,-4501.419,25,2.944028,7.68,5426.36852,0.09074068069458008,"[1, 0, 1, 1, 0, 1, 4, 3, 1, 2, 1, 3, 2, 3, 2]"
train,trpo_default_42,0,15,-3076.729,25,3.039527,8.36,372306.66488,0.09280133247375488,"[0, 1, 0, 1, 1, 1, 1, 6, 3, 1, 2, 2, 1, 3, 2]"
train,trpo_default_42,0,16,-3250.98,25,3.171774,10.6,39690.4974,0.12927532196044922,"[1, 0, 4, 1, 1, 3, 0, 4, 2, 2, 1, 2, 1, 2, 1]"
train,trpo_default_42,0,17,-3035.214,25,3.286148,7.32,2.49564,0.11138248443603516,"[2, 1, 1, 1, 3, 1, 1, 0, 5, 1, 2, 1, 0, 3, 3]"
train,trpo_default_42,0,18,-2758.061,25,3.388767,11.76,8.349160000000001,0.09974503517150879,"[0, 2, 1, 1, 5, 4, 1, 3, 2, 2, 0, 4, 0, 0, 0]"
train,trpo_default_42,0,19,-4000.586,25,3.52902,10.24,1906.8283199999998,0.1377565860748291,"[0, 2, 1, 2, 2, 2, 3, 2, 4, 1, 2, 0, 0, 3, 1]"
train,trpo_default_42,0,20,-3326.867,25,3.950811,7.8,47578.9004,0.41881680488586426,"[0, 3, 2, 1, 2, 1, 1, 0, 5, 3, 1, 1, 2, 1, 2]"
train,trpo_default_42,0,21,-3503.974,25,4.080159,8.24,120024.10579999998,0.126051664352417,"[2, 2, 3, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, 3]"
train,trpo_default_42,0,22,-4294.223,25,4.207511,8.48,5603.444919999998,0.12291622161865234,"[0, 1, 3, 0, 1, 1, 1, 2, 1, 0, 1, 3, 4, 3, 4]"
train,trpo_default_42,0,23,-3000.21,25,4.31092,11.48,72171.38392,0.09870290756225586,"[0, 2, 2, 2, 1, 4, 1, 2, 1, 4, 1, 1, 1, 1, 2]"
train,trpo_default_42,0,24,-4000.539,25,4.447864,6.96,622.7186800000001,0.1339092254638672,"[4, 0, 3, 2, 2, 1, 2, 1, 0, 2, 3, 0, 1, 4, 0]"
train,trpo_default_42,0,25,-3259.674,25,4.562191,8.96,611318.8982399999,0.11110734939575195,"[1, 2, 2, 2, 3, 0, 1, 2, 0, 1, 3, 4, 1, 1, 2]"
train,trpo_default_42,0,26,-3057.809,25,4.659755,7.76,149.02504,0.09496331214904785,"[2, 1, 1, 1, 2, 1, 2, 1, 4, 2, 1, 3, 2, 2, 0]"
train,trpo_default_42,0,27,-2280.039,25,4.756721,10.52,359875.87228,0.09435462951660156,"[2, 2, 3, 2, 4, 0, 1, 3, 1, 1, 2, 2, 0, 1, 1]"
train,trpo_default_42,0,28,-2506.661,25,4.851169,12.0,120742.16284,0.09161257743835449,"[0, 2, 4, 2, 1, 2, 4, 1, 2, 2, 2, 2, 0, 0, 1]"
train,trpo_default_42,0,29,-3041.537,25,4.959369,7.76,65950.87852000001,0.10550379753112793,"[4, 1, 1, 1, 2, 3, 0, 1, 3, 1, 3, 1, 1, 1, 2]"
train,trpo_default_42,0,30,-2906.386,25,5.059235,7.28,39.05344,0.09699559211730957,"[4, 1, 2, 1, 1, 1, 2, 2, 4, 0, 2, 1, 1, 1, 2]"
train,trpo_default_42,0,31,-3076.478,25,5.205311,10.08,360169.69879999995,0.14154934883117676,"[2, 0, 2, 1, 4, 0, 4, 1, 2, 2, 1, 1, 3, 2, 0]"
train,trpo_default_42,0,32,-3500.543,25,5.30419,8.0,241036.86839999995,0.09613704681396484,"[0, 3, 0, 0, 1, 1, 2, 4, 1, 2, 2, 2, 1, 4, 2]"
train,trpo_default_42,0,33,-3011.309,25,5.403472,9.16,21.551,0.09611344337463379,"[0, 1, 3, 2, 3, 3, 0, 1, 1, 1, 1, 1, 2, 3, 3]"
train,trpo_default_42,0,34,-3504.802,25,5.508003,7.92,6130.475160000001,0.10164046287536621,"[1, 1, 1, 1, 0, 2, 5, 3, 1, 5, 3, 0, 1, 1, 0]"
train,trpo_default_42,0,35,-3140.419,25,5.61729,8.52,360232.17192,0.10634040832519531,"[2, 1, 1, 1, 2, 2, 2, 1, 3, 1, 2, 2, 2, 0, 3]"
train,trpo_default_42,0,36,-2501.668,25,5.714797,10.0,32267.48624,0.09453248977661133,"[1, 3, 4, 2, 4, 0, 2, 0, 2, 0, 3, 2, 1, 1, 0]"
train,trpo_default_42,0,37,-3510.431,25,5.837657,6.92,138498.64416,0.12016677856445312,"[2, 1, 1, 0, 1, 0, 2, 0, 2, 3, 3, 2, 3, 2, 3]"
train,trpo_default_42,0,38,-3001.901,25,5.949864,9.64,0.13471999999999998,0.10923361778259277,"[2, 0, 2, 2, 2, 1, 2, 2, 3, 1, 1, 1, 3, 1, 2]"
train,trpo_default_42,0,39,-3033.212,25,6.06137,8.08,68469.63979999999,0.10804414749145508,"[3, 0, 2, 2, 2, 0, 3, 2, 0, 0, 0, 5, 2, 2, 2]"
train,trpo_default_42,0,40,-3120.501,25,6.476338,5.96,340071.6932400001,0.4123353958129883,"[2, 2, 3, 1, 1, 2, 0, 1, 1, 1, 0, 4, 2, 4, 1]"
train,trpo_default_42,0,41,-3133.4,25,6.601802,6.56,12.93024,0.12281537055969238,"[0, 1, 3, 2, 1, 3, 1, 2, 2, 0, 3, 1, 3, 0, 3]"
train,trpo_default_42,0,42,-2823.387,25,6.714043,8.36,65949.83056,0.10945892333984375,"[1, 0, 1, 2, 1, 2, 3, 2, 4, 2, 2, 0, 2, 1, 2]"
train,trpo_default_42,0,43,-3484.773,25,6.814898,9.36,427393.4035999999,0.0979304313659668,"[1, 2, 1, 1, 2, 2, 2, 1, 1, 0, 2, 3, 1, 5, 1]"
train,trpo_default_42,0,44,-3003.44,25,6.917321,8.64,329734.02744000003,0.09932541847229004,"[1, 0, 2, 2, 5, 0, 3, 1, 2, 3, 1, 1, 0, 0, 4]"
train,trpo_default_42,0,45,-2742.767,25,7.017976,7.88,23.47268,0.09752345085144043,"[3, 5, 1, 2, 0, 2, 0, 1, 2, 4, 2, 1, 1, 1, 0]"
train,trpo_default_42,0,46,-4013.615,25,7.128702,11.48,692547.10664,0.10753726959228516,"[2, 2, 1, 2, 0, 3, 4, 3, 0, 1, 2, 0, 0, 1, 4]"
train,trpo_default_42,0,47,-3775.166,25,7.252044,11.12,1286.0862,0.12067604064941406,"[1, 1, 3, 2, 1, 2, 2, 2, 1, 3, 1, 1, 1, 2, 2]"
train,trpo_default_42,0,48,-3606.386,25,7.370542,10.96,4.31756,0.11414813995361328,"[3, 2, 1, 1, 1, 3, 2, 1, 2, 2, 0, 1, 1, 2, 3]"
train,trpo_default_42,0,49,-3309.746,25,7.488543,7.6,120033.16900000002,0.11526727676391602,"[1, 4, 2, 0, 2, 2, 0, 1, 1, 2, 3, 3, 2, 2, 0]"
train,trpo_default_42,0,50,-3002.934,25,7.609292,8.4,66043.22408000001,0.11774611473083496,"[1, 1, 2, 1, 3, 2, 3, 0, 4, 0, 4, 0, 0, 4, 0]"
train,trpo_default_42,0,51,-3750.349,25,7.713599,9.48,0.032119999999999996,0.10039401054382324,"[0, 3, 2, 2, 2, 3, 1, 1, 1, 2, 2, 2, 1, 2, 1]"
train,trpo_default_42,0,52,-4750.054,25,7.848467,7.48,115210.07656000002,0.13149738311767578,"[0, 0, 3, 1, 2, 2, 1, 0, 4, 0, 0, 0, 4, 3, 5]"
train,trpo_default_42,0,53,-3577.142,25,7.951412,10.96,3.2470400000000006,0.09960389137268066,"[2, 2, 4, 1, 4, 2, 1, 3, 1, 0, 1, 0, 2, 1, 1]"
train,trpo_default_42,0,54,-4001.392,25,8.072261,7.52,168270.06952,0.1175546646118164,"[2, 2, 2, 1, 2, 0, 0, 2, 2, 3, 1, 3, 1, 2, 2]"
train,trpo_default_42,0,55,-2524.015,25,8.191461,7.12,16617.94488,0.11620831489562988,"[2, 1, 4, 3, 0, 0, 0, 3, 2, 2, 3, 2, 0, 2, 1]"
train,trpo_default_42,0,56,-3500.627,25,8.303056,8.88,421.93676,0.10703325271606445,"[3, 1, 0, 1, 1, 2, 1, 1, 2, 4, 1, 1, 2, 2, 3]"
train,trpo_default_42,0,57,-3001.114,25,8.417228,8.4,2.42504,0.111541748046875,"[5, 2, 0, 2, 1, 1, 3, 0, 1, 0, 1, 1, 1, 5, 2]"
train,trpo_default_42,0,58,-3001.182,25,8.524808,7.12,1025153.7444399999,0.10480070114135742,"[4, 2, 2, 2, 0, 4, 1, 1, 1, 1, 3, 3, 1, 0, 0]"
train,trpo_default_42,0,59,-3013.326,25,8.624934,7.72,2799.9808000000003,0.097259521484375,"[4, 1, 4, 2, 3, 1, 1, 1, 3, 0, 3, 0, 0, 1, 1]"
train,trpo_default_42,0,60,-2500.432,25,8.720849,7.88,460088.17568,0.09316349029541016,"[1, 3, 3, 0, 2, 3, 2, 0, 3, 1, 2, 2, 0, 3, 0]"
train,trpo_default_42,0,61,-2502.175,25,9.081822,8.56,1.5198800000000003,0.35831260681152344,"[2, 2, 0, 3, 2, 0, 4, 0, 0, 3, 2, 3, 1, 2, 1]"
train,trpo_default_42,0,62,-3640.572,25,9.185405,9.12,1080382.9945200002,0.1002194881439209,"[1, 1, 1, 1, 2, 1, 5, 0, 1, 2, 2, 4, 4, 0, 0]"
train,trpo_default_42,0,63,-4307.532,25,9.27385,9.68,883177.7249600003,0.08577919006347656,"[1, 2, 1, 2, 2, 1, 5, 1, 2, 1, 3, 0, 2, 1, 1]"
train,trpo_default_42,0,64,-2509.237,25,9.391867,8.76,0.37796,0.11516880989074707,"[0, 4, 0, 2, 1, 4, 2, 0, 2, 2, 2, 1, 2, 1, 2]"
train,trpo_default_42,0,65,-2502.966,25,9.512625,5.92,2921.2876,0.11640191078186035,"[5, 1, 3, 0, 1, 1, 3, 2, 2, 0, 1, 2, 0, 1, 3]"
train,trpo_default_42,0,66,-2436.261,25,9.651505,7.4,66088.79572000001,0.13469696044921875,"[3, 3, 1, 0, 2, 4, 1, 2, 1, 0, 3, 1, 2, 1, 1]"
train,trpo_default_42,0,67,-2750.28,25,9.812726,10.96,0.017480000000000002,0.15633916854858398,"[1, 2, 4, 2, 1, 1, 1, 3, 2, 2, 2, 1, 1, 1, 1]"
train,trpo_default_42,0,68,-3132.327,25,9.973488,9.64,33940.446919999995,0.1567234992980957,"[2, 2, 1, 1, 2, 2, 1, 5, 2, 1, 2, 0, 1, 3, 0]"
train,trpo_default_42,0,69,-3500.312,25,10.089194,8.92,64234.928,0.11270475387573242,"[2, 1, 1, 0, 3, 2, 1, 0, 3, 2, 1, 0, 4, 3, 2]"
train,trpo_default_42,0,70,-3000.655,25,10.202688,10.48,43020.894360000006,0.10959744453430176,"[2, 3, 1, 2, 2, 1, 3, 3, 0, 2, 0, 2, 4, 0, 0]"
train,trpo_default_42,0,71,-3001.805,25,10.320252,7.12,359711.36908,0.11443781852722168,"[2, 1, 1, 3, 3, 0, 1, 2, 1, 1, 1, 5, 2, 1, 1]"
train,trpo_default_42,0,72,-2501.595,25,10.448405,8.24,359995.25808000006,0.12410998344421387,"[2, 1, 3, 3, 1, 1, 0, 5, 3, 1, 1, 0, 3, 1, 0]"
