phase,run_id,env_rank,episode_idx,reward,length,wall_time,avg_pods,avg_latency,execution_time,action_stats
train,trpo_default_42,0,0,-4.157143,25,1.891773,11.48,65948.74096,0.16370248794555664,"[2, 1, 1, 3, 1, 3, 1, 4, 0, 2, 3, 0, 2, 1, 1]"
train,trpo_default_42,0,1,11.57381,25,2.036217,8.28,340307.81703999994,0.13940811157226562,"[1, 4, 2, 1, 4, 1, 1, 1, 3, 2, 2, 1, 1, 0, 1]"
train,trpo_default_42,0,2,-5.35,25,2.312923,8.36,0.32616,0.26981663703918457,"[6, 1, 0, 1, 1, 1, 3, 2, 1, 2, 0, 3, 0, 3, 1]"
train,trpo_default_42,0,3,0.202381,25,2.5269,7.88,0.0544,0.20986175537109375,"[1, 1, 1, 1, 1, 1, 2, 0, 2, 4, 4, 0, 2, 2, 3]"
train,trpo_default_42,0,4,-0.857143,25,2.708546,10.52,362610.80332,0.17736339569091797,"[1, 4, 1, 4, 1, 1, 0, 2, 4, 0, 0, 1, 2, 3, 1]"
train,trpo_default_42,0,5,4.466667,25,3.329611,8.24,0.08216,0.6148154735565186,"[3, 3, 0, 2, 4, 1, 1, 2, 1, 2, 0, 4, 0, 1, 1]"
train,trpo_default_42,0,6,1.180952,25,3.485983,11.6,119900.84972000001,0.15096449851989746,"[2, 4, 2, 2, 1, 4, 2, 0, 0, 1, 1, 1, 2, 2, 1]"
train,trpo_default_42,0,7,2.328571,25,3.637827,10.04,119831.62992000002,0.14852237701416016,"[0, 1, 2, 1, 4, 3, 2, 1, 0, 2, 3, 0, 2, 1, 3]"
train,trpo_default_42,0,8,-1.290476,25,3.81846,6.4,0.29424,0.17574381828308105,"[0, 0, 2, 0, 1, 1, 1, 1, 2, 1, 3, 1, 2, 6, 4]"
train,trpo_default_42,0,9,10.302381,25,3.986705,8.28,360374.7440400001,0.16452550888061523,"[3, 2, 2, 1, 0, 1, 3, 0, 1, 4, 3, 3, 1, 1, 0]"
train,trpo_default_42,0,10,1.364286,25,4.49576,10.36,2843.4425199999996,0.503450870513916,"[2, 3, 0, 2, 1, 1, 1, 3, 1, 2, 1, 3, 0, 4, 1]"
train,trpo_default_42,0,11,0.245238,25,4.717366,9.52,0.25788000000000005,0.21729469299316406,"[4, 2, 1, 3, 2, 1, 1, 3, 0, 1, 0, 3, 2, 0, 2]"
train,trpo_default_42,0,12,-0.488095,25,4.846928,9.76,3061.5089199999993,0.12523221969604492,"[1, 2, 4, 1, 0, 0, 2, 3, 1, 3, 1, 1, 3, 0, 3]"
train,trpo_default_42,0,13,4.297619,25,4.986769,10.48,121763.63328,0.13565468788146973,"[3, 1, 1, 1, 3, 0, 3, 4, 4, 1, 1, 1, 2, 0, 0]"
train,trpo_default_42,0,14,-10.966667,25,5.181953,7.04,32239.945960000005,0.19200968742370605,"[0, 0, 0, 0, 1, 2, 1, 0, 3, 3, 0, 3, 5, 3, 4]"
train,trpo_default_42,0,15,-2.457143,25,5.816988,12.28,5.86184,0.6314568519592285,"[0, 2, 4, 2, 2, 3, 1, 1, 1, 4, 1, 1, 0, 2, 1]"
train,trpo_default_42,0,16,7.05,25,5.976762,8.84,490.6071999999999,0.15539312362670898,"[4, 0, 2, 3, 3, 3, 0, 1, 0, 1, 0, 2, 2, 1, 3]"
train,trpo_default_42,0,17,-1.016667,25,6.190781,7.24,96713.27876,0.20990538597106934,"[1, 1, 1, 0, 2, 2, 1, 2, 3, 1, 2, 2, 1, 2, 4]"
train,trpo_default_42,0,18,-4.3,25,6.370996,10.76,212335.16356,0.176727294921875,"[4, 1, 2, 0, 0, 3, 1, 1, 3, 4, 0, 1, 1, 4, 0]"
train,trpo_default_42,0,19,8.378571,25,6.531223,8.36,138.00228,0.15662574768066406,"[2, 1, 2, 3, 0, 3, 1, 1, 1, 2, 4, 3, 1, 0, 1]"
train,trpo_default_42,0,20,-7.957143,25,7.025318,6.08,0.05508,0.4895148277282715,"[0, 0, 2, 0, 0, 1, 2, 3, 3, 7, 1, 2, 1, 0, 3]"
train,trpo_default_42,0,21,0.95,25,7.143541,8.96,241099.40876,0.11476325988769531,"[2, 2, 3, 0, 2, 0, 1, 3, 2, 1, 1, 1, 3, 3, 1]"
train,trpo_default_42,0,22,3.135714,25,7.291573,10.72,425823.2459999999,0.14517641067504883,"[2, 2, 3, 2, 2, 3, 0, 2, 2, 4, 2, 0, 0, 1, 0]"
train,trpo_default_42,0,23,-0.338095,25,7.454783,10.88,237879.13844,0.15917754173278809,"[2, 0, 3, 5, 1, 4, 0, 1, 3, 2, 0, 1, 2, 1, 0]"
train,trpo_default_42,0,24,-5.25,25,7.619577,9.04,2720.3264799999997,0.15966296195983887,"[2, 1, 4, 1, 1, 2, 1, 2, 2, 2, 2, 2, 0, 0, 3]"
train,trpo_default_42,0,25,-0.530952,25,8.310056,10.2,185849.67012,0.6876199245452881,"[3, 0, 2, 2, 0, 4, 1, 1, 3, 2, 3, 0, 2, 1, 1]"
train,trpo_default_42,0,26,7.080952,25,8.451097,7.6,359708.67672,0.1367967128753662,"[2, 2, 1, 2, 1, 2, 1, 4, 0, 2, 2, 3, 2, 0, 1]"
train,trpo_default_42,0,27,-1.545238,25,8.6327,10.28,770.5347999999999,0.17768168449401855,"[3, 0, 3, 2, 1, 2, 3, 0, 3, 1, 2, 2, 0, 1, 2]"
train,trpo_default_42,0,28,8.583333,25,8.83319,6.96,2.3798,0.1966235637664795,"[3, 3, 2, 0, 0, 3, 0, 1, 2, 4, 1, 3, 0, 2, 1]"
train,trpo_default_42,0,29,-1.752381,25,9.041494,10.76,67857.82852000001,0.2007443904876709,"[1, 2, 2, 1, 1, 2, 3, 2, 2, 0, 2, 2, 1, 3, 1]"
train,trpo_default_42,0,30,-2.611905,25,9.545703,7.84,359710.08152,0.4997847080230713,"[1, 1, 1, 1, 1, 0, 3, 2, 0, 2, 1, 3, 2, 5, 2]"
train,trpo_default_42,0,31,6.538095,25,9.710139,8.8,1248.81312,0.1606297492980957,"[4, 1, 1, 1, 3, 1, 1, 0, 3, 2, 0, 3, 3, 0, 2]"
train,trpo_default_42,0,32,-1.1,25,9.884358,9.0,192787.40388000003,0.17095661163330078,"[3, 2, 3, 0, 1, 2, 1, 1, 1, 1, 3, 1, 0, 2, 4]"
train,trpo_default_42,0,33,3.25,25,10.05481,8.32,2825.8056000000006,0.16647982597351074,"[1, 0, 2, 1, 1, 2, 1, 4, 4, 3, 1, 1, 1, 2, 1]"
train,trpo_default_42,0,34,11.333333,25,10.229367,8.28,239121.91964,0.1710374355316162,"[2, 2, 0, 4, 1, 1, 2, 1, 1, 3, 2, 2, 3, 0, 1]"
