episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1029.4496,8.0,2.04
2,50.0,1043.7262,-3.0,1.22
3,35.4,1018.9884,11.0,1.13
4,36.64,1019.1664,29.0,1.32
5,51.56,1037.3185,10.0,1.35
6,61.36,1039.5584,2.0,1.26
7,46.92,996.4093,11.0,1.37
8,46.52,1018.2782,7.0,1.32
9,30.52,1066.7275,25.0,1.21
10,54.44,1027.1816,-7.0,1.28
11,51.92,1073.0438,9.0,1.26
12,22.36,1019.671,29.0,1.2
13,51.56,1011.8967,10.0,1.21
14,39.88,1032.1462,3.0,1.32
15,55.96,993.3714,25.0,1.17
16,54.92,1050.7601,-2.0,1.16
17,52.88,1049.8362,23.0,1.29
18,52.6,1058.4273,8.0,1.47
19,41.32,1064.9017,29.0,1.26
20,43.68,1015.9672,6.0,1.45
21,52.84,1030.451,26.0,1.59
22,42.48,1005.4839,31.0,1.1
23,47.84,1035.2738,27.0,1.42
24,38.36,1004.1017,24.0,1.28
25,34.32,1012.7848,69.0,1.18
26,54.2,1059.4951,-1.0,1.4
27,56.16,1050.4676,17.0,1.35
28,50.0,1058.1645,4.0,1.23
29,37.48,1007.2768,38.0,0.96
30,56.76,1036.5218,30.0,1.29
31,50.72,1037.7383,13.0,1.39
32,52.44,1026.2147,52.0,1.42
33,50.24,1010.3224,4.0,1.35
34,53.0,1047.1622,-1.0,1.16
35,58.64,1042.0761,24.0,1.29
36,50.52,1020.2136,18.0,1.12
37,48.2,1051.7599,30.0,1.2
38,46.44,1017.0062,24.0,1.0
39,50.16,1045.9602,17.0,1.22
40,53.4,1061.2141,34.0,1.29
41,45.92,1033.3949,10.0,1.21
42,47.44,1002.1104,30.0,1.13
43,31.84,1061.7038,34.0,1.33
44,60.08,1019.197,0.0,1.32
45,47.24,1006.0439,20.0,1.19
46,57.8,994.0784,-5.0,1.1
47,36.68,1030.7326,19.0,1.25
48,56.08,1077.2258,51.0,1.1
49,61.08,1011.5768,26.0,1.29
50,54.72,1085.4709,28.0,1.29
51,47.48,1071.2935,-14.0,1.54
52,54.0,1088.9244,9.0,1.23
53,54.44,1033.3672,22.0,1.2
54,62.2,1029.1514,13.0,1.62
55,52.84,991.6852,22.0,1.29
56,55.32,995.1682,4.0,1.54
57,66.96,1029.0569,4.0,1.18
58,59.0,1024.4488,40.0,1.2
59,53.88,1057.1275,18.0,1.13
60,52.88,1039.8156,31.0,1.42
61,70.44,996.5242,25.0,1.42
62,54.04,992.84,14.0,1.36
63,45.24,1031.9733,62.0,1.32
64,51.76,1020.624,43.0,1.43
65,54.44,1055.6822,53.0,1.35
66,57.72,1027.7004,25.0,1.22
67,67.8,1010.7978,-34.0,1.46
68,43.76,990.9878,36.0,1.99
69,63.2,1068.9216,6.0,2.24
70,65.2,1059.3739,-1.0,1.57
71,46.72,1069.0841,13.0,1.61
72,47.68,1031.5722,22.0,1.64
73,46.24,1019.1059,17.0,1.68
74,46.12,1100.6847,18.0,1.56
75,55.24,1045.1682,6.0,1.49
76,52.4,1012.2889,8.0,1.68
77,48.44,997.0966,7.0,1.84
78,53.04,1051.853,60.0,1.49
79,58.16,1038.5902,7.0,1.41
80,50.6,1042.3234,2.0,1.28
81,63.4,1005.3252,11.0,1.42
82,50.44,1029.7422,3.0,1.3
83,59.44,1010.4812,45.0,1.19
84,55.44,1038.2584,28.0,1.46
85,59.4,1142.2177,34.0,1.41
86,53.52,1066.6223,14.0,1.12
87,50.0,1026.0936,21.0,1.53
88,49.72,997.4632,40.0,1.48
89,53.28,1023.8664,37.0,1.33
90,47.76,1056.4984,56.0,1.12
91,49.36,1037.0756,28.0,1.27
92,40.64,1037.1793,28.0,1.16
93,60.36,1031.8896,6.0,1.28
94,45.72,1013.3192,20.0,1.19
95,42.56,1031.9653,6.0,1.33
96,53.2,1093.8108,5.0,1.27
97,52.72,1050.3006,7.0,1.41
98,52.64,1109.9901,-5.0,1.25
99,51.76,1041.4586,20.0,1.19
100,54.48,1012.4671,-4.0,1.28
101,33.56,1003.3658,42.0,1.2
102,49.12,1017.8272,30.0,1.32
103,59.56,1029.4267,9.0,1.55
104,52.12,1030.2004,18.0,1.3
105,37.56,1007.8423,16.0,1.39
106,50.68,1004.6724,-2.0,1.32
107,57.44,1029.889,14.0,1.5
108,44.8,1047.2554,13.0,1.29
109,49.04,1051.9793,32.0,1.3
110,26.96,994.7265,27.0,1.9
111,47.32,1038.2612,30.0,1.8
112,51.24,1000.8518,-13.0,1.96
113,38.88,1026.2701,22.0,1.8
114,50.92,1028.3915,17.0,2.22
115,54.92,1017.2256,43.0,1.7
116,50.24,1005.6281,34.0,1.25
117,50.88,1055.4926,42.0,1.28
118,45.92,1012.3072,13.0,1.26
119,59.0,1030.4969,18.0,1.15
120,41.4,1025.4785,40.0,1.55
121,35.96,1005.2127,66.0,1.19
122,66.92,981.5226,-12.0,1.14
123,56.92,1034.1012,37.0,1.16
124,46.72,1028.1233,19.0,1.15
125,68.32,1014.1716,2.0,1.18
126,48.28,1037.9637,-2.0,1.3
127,55.72,992.378,26.0,1.29
128,61.08,998.2193,25.0,1.36
129,51.6,1106.357,26.0,1.06
130,42.24,1042.8102,21.0,1.31
131,60.16,1070.0721,1.0,1.6
132,43.16,1028.6152,-6.0,1.4
133,49.44,1066.795,9.0,1.7
134,51.76,1022.4218,40.0,1.65
135,27.92,1003.2882,11.0,1.38
136,59.0,1217.8003,39.0,1.54
137,64.0,1010.846,16.0,1.47
138,50.44,1010.2824,14.0,1.41
139,50.28,1032.1394,-13.0,1.67
140,56.68,1040.3996,59.0,1.42
141,69.08,1036.0616,6.0,1.53
142,45.2,1015.602,38.0,1.39
143,46.64,1001.3542,28.0,1.6
144,48.48,1010.5184,40.0,1.53
145,55.4,998.4083,15.0,1.51
146,56.6,1035.0564,39.0,1.59
147,45.92,1003.5974,38.0,1.73
148,51.12,1013.2985,49.0,1.46
149,49.44,1004.89,14.0,1.56
150,58.96,1054.8822,14.0,1.31
151,45.88,996.3149,32.0,1.54
152,37.56,1020.6595,17.0,1.53
153,55.6,1000.9616,43.0,1.43
154,61.8,1040.694,7.0,1.56
155,45.16,1040.7368,-14.0,1.55
156,61.32,1038.6939,2.0,1.82
157,49.2,1052.0739,26.0,2.27
158,68.6,1092.6159,4.0,1.35
159,52.8,1028.9448,38.0,1.38
160,28.0,998.5576,58.0,1.34
161,52.92,1041.3879,28.0,1.59
162,36.56,1050.6737,56.0,1.52
163,43.36,1030.495,33.0,1.35
164,61.24,1036.2075,11.0,1.42
165,51.6,1023.7926,55.0,1.63
166,58.44,997.9141,9.0,2.2
167,56.28,1033.3277,16.0,1.87
168,56.76,1016.4591,1.0,1.35
169,42.36,1029.7533,45.0,1.28
170,63.04,1020.1184,-7.0,1.34
171,51.52,1005.2524,9.0,1.51
172,53.52,992.6909,1.0,1.47
173,66.96,1057.5267,4.0,1.44
174,53.4,1011.1941,15.0,1.45
175,50.32,1067.8354,7.0,1.25
176,55.2,1020.09,21.0,1.41
177,58.64,1024.7062,-22.0,1.4
178,48.56,1037.2688,4.0,1.36
179,44.92,1010.3592,9.0,1.33
180,41.68,1007.5096,33.0,1.63
181,47.48,1051.144,9.0,1.72
182,29.2,1006.3361,64.0,1.92
183,56.36,995.1007,4.0,1.91
184,50.24,1002.4954,30.0,1.53
185,36.92,999.2926,51.0,1.8
186,61.68,1004.6874,50.0,1.59
187,53.8,1008.9025,7.0,1.59
188,59.96,1072.2645,21.0,1.45
189,50.2,1022.8184,6.0,1.5
190,53.92,1042.3967,15.0,1.54
191,42.84,994.7983,21.0,1.54
192,53.52,1022.6362,37.0,1.51
193,62.48,1042.1174,7.0,1.51
194,57.8,1056.8132,33.0,1.66
195,47.72,1014.9311,14.0,2.02
196,65.4,1060.9552,41.0,1.58
197,36.84,983.3892,38.0,1.29
198,35.6,1035.9679,58.0,1.16
199,39.8,1073.0825,-1.0,1.23
200,55.8,1040.435,3.0,1.2
201,42.72,998.1282,27.0,1.21
202,66.72,1024.8074,-8.0,1.14
203,50.12,994.7985,43.0,1.16
204,68.24,1080.7643,-6.0,1.14
205,54.68,1020.4194,10.0,1.3
206,52.44,1027.2458,11.0,1.2
207,64.04,1093.9673,16.0,1.06
208,54.88,1001.9795,37.0,1.07
209,62.32,1025.5702,2.0,1.13
210,49.12,1024.3196,2.0,1.12
211,46.16,1051.8387,28.0,1.1
212,52.64,1024.857,0.0,1.18
213,51.4,1042.5033,4.0,1.21
214,62.28,1034.3061,1.0,1.1
215,49.04,1001.1643,-4.0,1.15
216,53.72,1047.3086,6.0,1.01
217,62.2,1015.5085,0.0,1.23
218,54.44,1069.3417,4.0,1.21
219,37.52,1000.4546,53.0,1.23
220,56.56,1035.4866,14.0,1.3
221,53.12,1019.1508,44.0,1.29
222,60.2,1039.7444,23.0,1.1
223,64.64,1023.9031,44.0,1.17
224,53.0,1028.5316,21.0,1.18
225,57.64,1012.7679,4.0,1.18
226,47.2,1034.559,29.0,1.22
227,52.76,1072.4828,6.0,1.21
228,56.84,1021.7478,13.0,1.12
229,54.6,1095.9591,49.0,1.26
230,56.56,1015.4827,13.0,1.26
231,56.12,1079.0279,20.0,1.33
232,47.52,1054.1148,35.0,1.22
233,62.96,1013.1224,14.0,1.11
234,26.64,999.18,13.0,1.24
235,52.28,1027.406,14.0,1.19
236,55.2,1056.7661,1.0,1.03
237,51.04,1068.6871,4.0,1.22
238,43.96,978.4844,46.0,1.21
239,56.8,1180.6898,-4.0,1.32
240,57.52,1120.4431,19.0,1.4
241,64.52,1011.5111,11.0,1.26
242,57.84,1016.0778,10.0,1.31
243,58.04,1035.4287,28.0,1.21
244,57.4,1027.1463,46.0,1.52
245,30.44,998.487,57.0,1.14
246,48.2,1043.1369,10.0,1.1
247,47.44,1030.12,39.0,1.23
248,49.36,1020.1974,31.0,1.05
249,56.72,1006.6847,23.0,1.13
250,53.36,1017.7442,5.0,1.59
251,71.64,1003.2575,10.0,1.32
252,38.4,1015.798,20.0,1.26
253,63.44,979.6588,21.0,1.53
254,49.08,1056.9364,41.0,1.35
255,52.4,997.5453,48.0,1.5
256,53.2,1019.0743,18.0,1.59
257,60.12,988.501,-2.0,1.35
258,61.4,1072.4713,10.0,1.36
259,56.2,1040.8362,22.0,1.54
260,30.28,1004.4857,82.0,1.58
261,61.36,1108.286,16.0,1.51
262,52.28,1049.9018,33.0,1.6
263,53.32,1066.0844,8.0,1.59
264,68.52,1014.4459,4.0,1.47
265,40.92,1008.2344,49.0,1.8
266,62.6,1045.1704,19.0,1.85
267,58.56,996.4107,55.0,2.02
268,54.08,1072.7076,2.0,1.64
269,60.8,1014.2506,5.0,1.79
270,44.24,1195.4547,35.0,1.74
271,66.28,1093.0288,12.0,1.63
272,53.76,1032.8912,21.0,1.82
273,54.96,1011.9084,19.0,1.41
274,28.12,1006.5449,-20.0,1.83
275,61.12,999.2311,31.0,1.55
276,66.32,1012.8468,4.0,1.71
277,34.44,995.5925,52.0,1.62
