episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1027.6024,-55538.59,1.87
2,50.48,1032.9154,-55566.45,1.92
3,33.16,1015.8938,-53183.72,1.12
4,40.08,1006.4332,-45122.56,1.3
5,55.88,1078.9801,-52237.96,1.33
6,64.4,994.2869,-40869.24,1.31
7,45.52,1030.5614,-45727.1,1.23
8,47.24,1011.7417,-49018.14,1.48
9,35.28,1045.7966,-49409.4,1.71
10,55.16,1018.6858,-51345.79,1.39
11,42.72,1022.1231,-47051.73,1.31
12,31.08,1009.7522,-51153.84,1.25
13,51.84,1003.5754,-37057.11,1.32
14,40.76,1035.5722,-49229.47,1.34
15,54.44,1007.7528,-46984.47,1.4
16,58.6,1026.8734,-49472.53,1.61
17,52.76,1036.868,-41371.84,1.41
18,54.36,1095.1045,-42773.61,1.32
19,41.08,1052.1155,-51582.74,1.4
20,44.36,997.0448,-49080.94,1.38
21,50.04,1032.8175,-41554.25,1.46
22,44.84,1007.0471,-49346.88,1.47
23,58.72,1015.0974,-43158.82,1.49
24,39.24,1023.854,-37489.22,1.47
25,33.88,1010.928,-49195.45,1.3
26,60.44,1048.5998,-51565.51,1.15
27,52.72,998.5679,-42752.18,1.31
28,60.16,1062.284,-42316.17,1.83
29,38.44,1078.1284,-47723.47,1.68
30,51.92,1014.4842,-43441.73,1.69
31,52.12,1068.0856,-44430.38,1.39
32,50.88,1013.5941,-47151.94,1.23
33,48.0,1025.9005,-43381.11,1.21
34,46.2,1052.1539,-41888.64,1.34
35,47.12,1030.2026,-49218.12,1.16
36,42.88,1090.3105,-43410.28,1.38
37,44.4,1054.4044,-47740.06,1.34
38,43.4,1010.6839,-31321.53,1.54
39,44.76,1039.4559,-45545.02,1.25
40,53.36,1006.3897,-41119.9,1.62
41,46.52,1025.6878,-39358.18,1.39
42,42.36,997.6497,-43027.38,1.35
43,27.52,1049.2686,-51774.09,1.34
44,44.92,1033.3679,-33442.7,1.48
45,41.2,1031.07,-45283.45,1.3
46,51.2,1006.5229,-41146.47,1.38
47,34.4,1029.5435,-49364.26,1.36
48,47.68,1044.8408,-37870.08,1.56
49,57.0,997.7348,-38906.96,1.37
50,49.0,1033.5293,-41469.56,1.8
51,43.76,1009.9811,-42957.32,1.49
52,41.08,1046.7581,-34188.88,1.56
53,45.6,1012.5581,-45056.99,1.31
54,57.2,1012.3993,-44938.65,1.48
55,45.96,991.6222,-38792.08,1.76
56,46.68,1022.8773,-41355.81,1.74
57,49.52,1027.4183,-35626.49,1.5
58,47.0,999.8954,-40993.08,1.46
59,47.92,1081.9096,-32779.82,1.61
60,37.52,1078.7736,-44754.3,1.6
61,60.44,995.7157,-36966.75,1.61
62,48.36,1019.0612,-39406.01,1.48
63,41.36,1034.8086,-41723.23,1.65
64,42.24,984.3196,-52955.53,1.71
65,44.92,1004.3486,-36937.2,1.7
66,46.64,1055.1006,-42174.53,1.67
67,53.8,1023.4204,-37370.24,1.56
68,38.6,992.0565,-42711.08,1.48
69,54.88,1057.5256,-42131.96,1.55
70,55.52,1002.1107,-34943.69,1.41
71,44.48,1047.3267,-35988.99,1.41
72,40.24,1039.3347,-45385.02,1.43
73,35.64,997.1888,-32954.11,1.64
74,38.88,1052.229,-38346.65,1.51
75,48.0,1035.6493,-37934.3,1.52
76,37.96,1002.6777,-45093.6,1.61
77,34.16,993.7201,-40909.63,1.5
78,43.4,1000.3386,-52954.78,1.64
79,45.12,1020.5334,-47330.0,1.5
80,51.04,1041.0673,-42092.29,1.48
81,55.24,1051.8498,-38245.16,1.49
82,42.64,1022.7846,-39497.64,1.57
83,50.44,1062.193,-46061.35,1.68
84,46.88,1037.6589,-49523.71,1.56
85,45.12,1121.6549,-31996.44,1.53
86,47.8,1051.8894,-51174.51,1.53
87,39.44,1017.3121,-43433.31,1.71
88,35.52,1019.3238,-39370.13,1.77
89,51.0,1044.9288,-32026.99,1.5
90,43.16,1052.4008,-49612.22,1.41
91,40.24,1029.122,-35672.96,1.56
92,34.76,968.5432,-50664.45,1.49
93,50.76,1016.777,-39344.68,1.54
94,38.6,1011.5313,-45234.95,1.52
95,37.24,1082.4946,-51756.92,1.55
96,41.84,1082.3327,-47820.49,1.51
97,42.24,990.7738,-40922.78,1.57
98,44.88,1056.8774,-37890.48,1.67
99,42.88,1039.1282,-39640.2,1.92
100,49.96,1007.9475,-43188.55,1.52
101,28.96,1047.2522,-54947.1,1.55
102,32.52,1016.1194,-35202.53,1.92
103,46.08,1040.6882,-37902.71,1.68
104,47.52,1105.3187,-35258.31,1.62
105,30.32,1010.1457,-45253.84,1.45
106,40.2,1009.2811,-29200.14,2.05
107,52.52,1055.308,-46179.21,1.58
108,31.64,1030.2124,-45534.14,1.57
109,37.72,1047.2757,-37805.12,1.62
110,23.76,979.365,-54783.35,1.59
111,42.4,1086.2118,-50183.41,1.4
112,42.0,1024.3856,-47643.01,1.4
113,34.12,1053.2392,-53521.57,1.44
114,40.6,1017.1961,-41267.56,1.63
115,41.68,1034.4433,-47424.28,1.56
116,43.8,1046.9931,-43840.05,1.48
117,44.96,1030.0262,-35334.04,1.67
118,36.68,1008.456,-46953.82,1.62
119,47.92,1036.5754,-47271.25,1.51
120,33.36,1013.3595,-47124.51,1.59
121,28.12,1011.5118,-47121.51,1.46
122,57.32,1024.615,-29636.95,1.55
123,47.16,1023.9924,-37442.21,1.67
124,38.2,1061.8946,-48141.4,1.64
125,54.24,1036.8114,-33955.04,1.69
126,43.44,1016.7517,-41249.9,1.57
127,37.92,1019.0376,-35484.2,1.75
128,55.28,1090.1319,-32728.49,1.45
129,52.4,1035.8305,-39714.79,1.33
130,32.72,1008.1218,-53081.69,1.47
131,54.12,1040.4455,-28034.22,1.61
132,38.52,985.9383,-40898.68,1.43
133,46.96,1054.7516,-38372.96,1.49
134,42.0,1010.2535,-37207.99,1.47
135,34.84,976.4533,-48768.26,1.44
136,58.0,1208.7257,-37159.99,1.64
137,57.72,1025.661,-33613.62,1.44
138,44.88,1051.0123,-43641.79,1.54
139,51.56,1042.5226,-41832.57,1.53
140,49.76,1025.7527,-37288.22,1.65
141,58.96,1031.8463,-35722.6,1.41
142,48.04,1021.1574,-41485.28,1.53
143,38.16,1010.5354,-31308.18,1.42
144,47.0,1007.2436,-37082.45,1.59
145,46.48,1030.03,-37752.42,1.5
146,50.12,1066.1874,-40146.37,1.51
147,39.6,1017.6374,-37467.47,1.47
148,45.56,1034.6798,-41813.5,1.37
149,43.68,990.4572,-32764.51,1.51
150,56.4,1043.0711,-33781.4,2.76
151,36.4,998.2777,-38982.72,1.9
152,38.96,1067.6594,-36010.22,1.99
153,55.76,1080.0467,-42300.0,1.85
154,58.76,1106.0078,-39031.89,2.1
155,37.44,1027.3762,-43310.38,1.79
156,59.08,1054.3384,-41772.49,1.85
157,44.84,1043.2065,-37811.3,1.92
158,57.72,1024.0786,-43329.85,2.45
159,54.6,982.4105,-42726.32,2.23
160,29.12,1002.1911,-37031.87,2.96
161,45.16,1138.7791,-41490.79,2.84
162,37.76,1038.0641,-39428.33,2.88
163,41.76,1033.969,-33722.36,3.38
