episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.4124,-8.0,1.14
2,8.16,1079579.6997,-10.0,0.23
3,7.76,1.4575,-5.0,0.24
4,6.96,1.4802,-5.0,0.34
5,8.48,241836.9546,-11.0,0.26
6,9.08,360430.5247,-6.0,0.21
7,8.88,3.4521,-3.0,0.27
8,8.48,750.3301,-10.0,0.29
9,6.36,65946.7722,-9.0,0.24
10,11.04,361.4177,-16.0,0.22
11,7.12,768298.3385,-9.0,0.18
12,10.76,33739.1609,-10.0,0.19
13,6.24,56487.0592,1.0,0.23
14,7.24,356861.9601,-1.0,0.21
15,8.28,160.7394,-12.0,0.18
16,9.12,172111.309,-14.0,0.19
17,9.12,42.1872,-7.0,0.2
18,11.76,905.8677,-12.0,0.22
19,8.92,0.6566,-13.0,0.19
20,6.32,16618.6449,-6.0,0.24
21,8.72,714158.518,-8.0,0.3
22,8.32,120040.6071,-13.0,0.28
23,7.92,187075.3725,-11.0,0.29
24,7.8,489118.1561,-9.0,0.22
25,7.0,765887.6075,-9.0,0.23
26,9.64,120665.6354,-10.0,0.21
27,9.2,3323.4686,-12.0,0.23
28,8.0,65952.4946,-3.0,0.2
29,6.68,14.7161,-3.0,0.21
30,5.8,1036962.0248,-10.0,0.22
31,8.56,71364.0106,-3.0,0.22
32,6.04,120079.9086,-10.0,0.23
33,6.16,4.9052,2.0,0.23
34,6.52,479752.6001,-3.0,0.21
35,7.48,19.7305,-16.0,0.2
36,6.04,122.7888,-5.0,0.23
37,9.28,229457.5161,-12.0,0.24
38,8.28,4857.2879,-5.0,0.23
39,9.36,361203.2775,-5.0,0.2
40,7.92,2.758,-7.0,0.2
41,5.16,120019.1158,1.0,0.22
42,6.32,1158.1293,-7.0,0.23
43,5.12,150.351,-1.0,0.21
44,11.2,8.9969,-4.0,0.23
45,6.44,2799.3198,-8.0,0.23
46,8.28,64595.8657,-9.0,0.2
47,8.12,714279.5643,-4.0,0.21
48,7.04,29.9155,-3.0,0.2
49,8.68,118961.4522,-11.0,0.2
50,5.56,362387.4578,-10.0,0.2
51,4.6,145.7327,-8.0,0.22
52,9.6,76.099,-4.0,0.23
53,6.2,442254.0557,11.0,0.21
54,6.68,1.535,-1.0,0.2
55,7.16,359697.912,-10.0,0.22
56,7.76,359843.0343,-10.0,0.21
57,5.76,456561.9758,8.0,0.23
58,7.36,119948.3703,-3.0,0.22
59,8.6,2.7128,-6.0,0.2
60,6.2,895.8267,-5.0,0.24
61,8.84,335754.3475,-6.0,0.32
62,7.6,428016.6872,-2.0,0.3
63,5.84,29.857,-4.0,0.3
64,5.72,0.7242,-5.0,0.3
65,6.68,291.6199,-7.0,0.23
66,6.24,9.176,-4.0,0.25
67,5.4,359880.8838,0.0,0.24
68,5.72,55.3414,5.0,0.22
69,4.96,1472083.8956,1.0,0.21
70,7.36,67891.9043,2.0,0.21
71,4.08,145.4205,9.0,0.22
72,3.24,18.7852,-5.0,0.32
73,4.2,26.389,6.0,0.36
74,4.52,18.3553,8.0,0.33
75,4.04,1.8959,6.0,0.22
76,5.56,86.8863,-2.0,0.24
77,4.24,27.5837,-2.0,0.29
78,4.12,479614.173,3.0,0.24
79,4.64,26.3834,12.0,0.31
80,8.4,0.5639,-4.0,0.25
81,3.84,17.5874,7.0,0.22
82,6.12,359846.1316,-8.0,0.2
83,4.28,35.1537,12.0,0.22
84,8.92,0.1747,-4.0,0.2
85,5.2,21.0822,-2.0,0.21
86,4.88,1.8876,17.0,0.21
87,4.6,19.338,12.0,0.26
88,6.56,14.4246,-2.0,0.24
89,3.8,12.4101,5.0,0.24
90,4.92,43.9454,13.0,0.24
91,5.56,169344.7844,12.0,0.26
92,5.0,14.2596,6.0,0.2
93,4.96,359744.6142,5.0,0.21
94,6.88,117.3698,-2.0,0.21
95,5.96,12.3034,14.0,0.2
96,6.16,42.9968,5.0,0.21
97,8.04,0.529,-4.0,0.22
98,5.28,67851.6923,4.0,0.25
99,4.72,67859.2011,-2.0,0.22
100,5.96,65995.9977,3.0,0.28
101,4.96,0.9874,4.0,0.24
102,9.24,65949.5153,5.0,0.22
103,3.8,27.5647,6.0,0.2
104,6.56,719662.7443,3.0,0.26
105,4.4,135710.3668,4.0,0.23
106,4.92,8.9791,19.0,0.32
107,4.4,0.6071,16.0,0.29
108,6.48,0.6306,8.0,0.26
109,5.6,67902.6889,1.0,0.26
110,5.92,339244.1559,8.0,0.23
111,4.36,8.8612,17.0,0.32
112,4.68,84.2069,5.0,0.3
113,3.08,26.3744,-2.0,0.27
114,8.16,391984.4971,1.0,0.27
115,7.0,458217.9862,13.0,0.25
116,7.04,359748.445,4.0,0.25
117,7.36,10.0872,2.0,0.24
118,5.92,85.1034,0.0,0.26
119,4.0,1.8002,5.0,0.28
120,6.28,169.292,2.0,0.23
121,6.4,356820.884,4.0,0.36
122,4.36,8.994,16.0,0.28
123,4.32,168323.5654,12.0,0.29
124,4.48,67911.6114,2.0,0.31
125,3.88,1058.8022,5.0,0.32
126,5.92,0.8962,1.0,0.27
127,3.8,168296.3567,11.0,0.32
128,7.4,365736.5385,0.0,0.26
129,6.32,2922.5991,-3.0,0.29
130,9.12,0.4939,-2.0,0.36
131,6.36,433896.9032,5.0,0.31
132,4.68,17.5823,15.0,0.21
133,4.52,11.9708,16.0,0.22
134,6.32,0.5966,4.0,0.24
135,8.48,1281.2776,-3.0,0.23
136,7.12,1.1934,-7.0,0.2
137,9.04,119963.3456,-5.0,0.2
138,5.68,9.3924,2.0,0.23
139,9.08,23873.2864,0.0,0.19
140,11.24,24.8044,-2.0,0.25
141,5.48,30.366,14.0,0.23
142,5.32,26.3692,22.0,0.26
143,6.36,3.1004,22.0,0.24
144,6.6,542789.2782,2.0,0.23
145,9.24,32236.778,-5.0,0.19
146,11.04,360834.7572,3.0,0.24
147,8.72,44.719,0.0,0.22
148,5.52,787257.9501,3.0,0.2
149,8.96,0.399,0.0,0.22
150,4.88,359722.6394,10.0,0.2
151,4.68,155.594,14.0,0.24
152,5.12,8.8027,29.0,0.2
