episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.413,-3501.98,0.87
2,8.4,352735.9204,-4004.66,0.21
3,7.92,72731.2722,-3589.85,0.26
4,6.92,547453.0712,-3025.39,0.23
5,7.92,56465.378,-3250.88,0.2
6,8.2,6.1735,-2627.44,0.2
7,9.92,0.6413,-3512.48,0.22
8,8.68,751.2366,-2504.9,0.19
9,7.6,362521.7266,-3006.15,0.21
10,11.8,121304.4,-3892.26,0.19
11,9.2,38.4978,-3001.4,0.21
12,8.76,355281.138,-1534.77,0.75
13,7.6,296399.0867,-3751.94,0.24
14,5.2,355280.7308,-2524.08,0.2
15,11.56,2138244.3652,-3893.47,0.23
16,9.88,8.1078,-3197.58,0.2
17,9.96,8354.0076,-3580.34,0.22
18,11.56,120951.9316,-3501.33,0.24
19,8.64,360167.0078,-4750.12,0.21
20,8.28,310.471,-3510.33,0.23
21,11.56,361451.6804,-3250.35,0.23
22,8.84,120134.4006,-3507.0,0.2
23,7.8,750053.4434,-3779.97,0.19
24,8.32,1285.4551,-2008.82,0.3
25,8.2,1.8028,-2544.94,0.43
26,11.52,475801.9167,-3751.63,0.41
27,11.44,5140.2622,-3251.15,0.32
28,10.48,9709.4668,-2750.38,0.24
29,10.96,454795.624,-3250.65,0.28
30,8.16,340067.8232,-3268.43,0.29
31,13.2,756527.8908,-3009.6,0.27
32,7.24,0.4927,-3012.1,0.25
33,9.4,170114.9041,-3750.74,0.29
34,7.32,1100.456,-4004.46,0.4
35,8.96,45.9021,-4688.5,0.32
36,8.04,396299.0442,-2754.24,0.32
37,9.44,0.0679,-3251.45,0.26
38,8.04,357965.6433,-2046.88,0.24
39,9.08,43207.8974,-2791.9,0.31
40,9.68,751554.0436,-2537.08,0.36
41,8.12,4.5542,-1569.69,0.29
42,7.6,1.3596,-2533.43,0.37
43,8.28,120016.7605,-2500.36,0.4
44,9.2,123417.3958,-3010.28,0.38
45,7.56,32237.2548,-3253.32,0.41
46,9.24,34940.3174,-3002.7,0.36
47,7.72,2944.9301,-3504.59,0.29
48,7.48,362354.3412,-2251.06,0.32
49,9.92,745487.0996,-2817.16,0.23
50,9.32,336048.0432,-3141.31,0.25
51,8.04,7.5278,-3288.52,0.33
52,8.64,2.6739,-2758.74,0.27
53,10.6,121764.9264,-3520.17,0.33
54,8.24,5618.5498,-3000.96,0.32
55,9.04,359522.2284,-2501.98,0.36
56,8.72,918.2674,-2263.8,0.29
57,11.52,0.4264,-3010.42,0.26
58,7.52,21.611,-2028.38,0.24
59,8.68,5.0047,-1562.55,0.24
60,9.48,0.2563,-2006.15,0.3
61,8.92,32247.8557,-3001.28,0.26
62,10.8,363073.282,-3002.18,0.23
63,8.92,350881.9705,-2279.87,0.27
64,5.48,71364.3082,-2508.05,0.25
65,7.08,2.4813,-3311.68,0.22
66,5.48,71364.0563,-2251.67,0.24
67,5.84,428020.0675,-3003.17,0.25
68,9.16,1.6954,-2541.62,0.29
69,8.36,236.3692,-2757.19,0.24
70,9.6,472119.5103,-2050.79,0.2
71,6.04,33881.7475,-2314.05,0.21
72,7.08,20.2279,-1856.18,0.34
73,9.36,71364.1754,-2250.52,0.35
74,6.84,118952.1358,-3003.04,0.4
75,10.16,25.1242,-3025.28,0.38
76,9.8,32861.0107,-2280.45,0.42
77,11.72,11.1204,-1889.32,0.33
78,5.96,240028.4304,-2528.9,0.29
79,6.28,18.9666,-1754.42,0.3
80,7.12,0.0138,-3500.22,0.23
81,7.84,32246.8596,-2033.81,0.22
82,5.16,21.2339,-2501.66,0.2
83,4.88,67858.2485,-1914.37,0.21
84,6.64,698963.1684,-2021.68,0.24
85,9.36,424.9664,-1350.38,0.22
86,7.2,3.8496,-2318.65,0.19
87,4.68,1009619.9332,-4001.0,0.24
88,9.92,0.0595,-2251.43,0.23
89,6.56,42.6836,-2543.98,0.23
90,4.76,389.7962,-2999.49,0.26
91,5.68,359898.3086,-2086.94,0.24
92,9.08,10.854,-3519.71,0.24
93,5.2,8.7984,-1719.92,0.23
94,6.04,67889.9373,-1868.12,0.24
95,7.16,58.5026,-2501.52,0.29
96,8.56,340404.5592,-1393.94,0.29
97,9.04,422.1556,-1030.15,0.33
98,4.68,52.8354,-2190.6,0.31
99,10.28,5.7546,-1895.48,0.32
100,4.92,3.5628,-2338.92,0.25
101,4.56,17.6891,-942.06,0.26
102,5.04,4795.5502,-1970.43,0.26
103,4.24,356863.892,-2410.07,0.32
104,7.2,1869947.151,-2303.83,0.31
105,4.76,719405.0827,-1503.23,0.29
106,6.4,68271.7553,-1053.78,0.34
107,8.4,0.0695,-3250.88,0.23
108,6.32,273949.8276,-2568.03,0.2
109,4.56,0.1767,-2251.51,0.27
110,5.08,50.2612,-3253.75,0.2
111,5.8,2.5919,-1564.59,0.21
112,8.2,58.1313,-2705.8,0.31
113,5.44,440983.346,-4479.45,0.24
114,6.2,359874.6906,-750.79,0.36
115,8.2,2078.6148,-3004.2,0.29
116,9.24,339350.7648,-1779.98,0.31
117,5.24,74.0253,-3764.7,0.27
118,4.76,41.7934,-3298.47,0.82
119,4.96,11.2873,-2233.43,0.28
120,4.2,168317.4052,-3189.35,0.2
121,4.52,152.8524,-2534.82,0.21
