episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1015.1246,10.0,1.22
2,50.0,1038.4845,-3.0,0.97
3,34.0,1012.6676,26.0,1.07
4,38.04,1020.0156,17.0,1.13
5,52.72,1058.5338,9.0,1.1
6,54.16,987.526,0.0,1.16
7,47.72,1014.0346,7.0,1.11
8,50.2,1051.7218,-9.0,1.73
9,37.04,1067.101,10.0,1.56
10,54.08,1058.5776,-11.0,1.17
11,49.68,1035.342,4.0,1.15
12,31.24,1015.9106,21.0,1.28
13,53.56,1045.7567,-6.0,1.07
14,42.0,1022.8248,10.0,1.32
15,49.56,1023.2438,27.0,1.22
16,62.28,1064.9023,3.0,1.25
17,51.32,1029.35,25.0,1.21
18,54.12,1041.1842,-8.0,1.47
19,41.04,1047.2171,12.0,1.03
20,45.96,1020.6321,1.0,1.39
21,45.4,1070.1765,4.0,2.4
22,34.56,1021.2604,3.0,1.72
23,51.8,1035.5812,1.0,1.46
24,39.32,1004.8392,24.0,1.78
25,39.08,1044.3317,32.0,1.36
26,60.16,1031.4321,-8.0,1.18
27,60.2,1027.014,8.0,1.23
28,51.88,1070.5703,-8.0,1.22
29,43.96,1031.6609,16.0,1.14
30,53.28,1037.3784,7.0,1.09
31,54.12,1038.9058,10.0,1.42
32,46.36,1029.8414,38.0,1.35
33,55.64,1002.9206,0.0,1.18
34,51.0,1062.5576,9.0,1.19
35,47.64,1026.5349,-1.0,1.19
36,46.04,1119.5152,18.0,1.17
37,47.44,1072.2628,2.0,0.99
38,43.2,999.5232,-1.0,1.33
39,49.04,1029.462,10.0,1.15
40,50.4,1036.729,-2.0,1.13
41,51.84,1029.991,1.0,1.1
42,46.76,1009.4794,8.0,1.07
43,29.84,1011.8571,11.0,1.15
44,56.28,1055.0123,1.0,1.18
45,39.52,993.5858,27.0,1.15
46,59.88,1022.7708,-5.0,1.0
47,37.0,1071.1514,24.0,1.12
48,50.84,1003.3631,32.0,1.07
49,57.64,1017.434,21.0,1.14
50,51.8,1020.5684,29.0,1.22
51,47.36,1009.9257,5.0,1.25
52,50.64,1048.9158,-2.0,1.09
53,48.92,1055.4684,24.0,1.62
54,54.6,1026.0576,7.0,1.19
55,46.4,1015.6181,21.0,1.24
56,49.76,1028.8646,-4.0,1.23
57,55.92,1029.6714,2.0,1.19
58,53.6,1028.9806,9.0,1.23
59,52.96,1096.3343,20.0,1.12
60,50.88,1104.5581,26.0,1.23
61,64.68,1031.166,10.0,1.06
62,51.92,1034.4729,1.0,1.09
63,46.4,1030.3114,20.0,1.06
64,52.36,1033.0084,24.0,1.08
65,42.64,996.8276,19.0,1.15
66,53.36,1077.8559,16.0,1.05
67,55.08,1020.9849,8.0,1.12
68,44.12,1024.3998,41.0,1.14
69,57.84,1047.0483,8.0,1.15
70,59.92,1012.0906,1.0,1.25
71,42.0,1024.5057,-12.0,1.13
72,40.76,1048.8148,23.0,1.21
73,41.36,1049.0751,19.0,1.32
74,45.44,1045.8363,18.0,1.23
75,52.68,1020.9878,2.0,1.05
76,51.0,1090.1702,5.0,1.34
77,42.88,1248.7952,29.0,1.35
78,52.16,1013.7608,2.0,1.61
79,56.24,1014.836,-6.0,1.85
80,54.04,1054.1701,10.0,1.08
81,55.76,1060.0092,10.0,1.18
82,49.84,1034.8763,9.0,1.23
83,60.48,1014.3969,23.0,1.26
84,36.0,1004.7721,18.0,1.52
85,55.24,1160.216,34.0,1.09
86,50.12,1068.664,13.0,1.07
87,44.56,1040.2919,11.0,1.15
88,48.28,1026.7261,10.0,1.2
89,52.48,1107.3418,35.0,1.28
90,43.76,1055.3447,12.0,1.45
91,39.24,1026.0365,33.0,1.53
92,40.52,1010.6758,-1.0,1.77
93,48.76,1046.0665,44.0,1.47
94,44.12,998.456,6.0,1.64
95,44.64,1057.5006,-8.0,1.4
96,52.16,1017.989,9.0,1.55
97,48.08,1061.2061,-2.0,1.38
98,50.28,1003.0458,0.0,1.35
99,45.76,1028.105,18.0,1.51
100,47.88,981.1087,-5.0,1.76
101,30.16,1012.4087,24.0,1.68
102,37.6,1012.4388,15.0,1.27
103,60.2,1068.9086,16.0,1.14
104,47.44,1123.605,7.0,1.24
105,39.0,1029.2621,23.0,1.22
106,44.36,1050.8728,1.0,1.18
107,49.4,1044.3448,4.0,1.3
108,44.36,1063.0024,14.0,1.64
109,47.8,1104.3691,14.0,1.38
110,24.32,997.6251,4.0,1.57
111,46.08,1017.1178,28.0,1.79
112,46.0,1026.9651,-1.0,2.64
113,31.88,1037.6932,-1.0,1.73
114,40.24,1016.9918,11.0,1.43
115,44.96,1053.7102,24.0,1.27
116,45.84,989.0365,32.0,1.12
117,46.8,1031.663,17.0,1.24
118,36.2,984.0652,2.0,1.39
119,47.68,988.5132,2.0,1.31
120,37.32,1026.8604,32.0,1.29
121,33.76,997.1108,35.0,1.49
122,56.8,1003.1275,3.0,1.45
123,49.52,1010.5004,26.0,2.06
124,42.88,1048.1899,21.0,1.53
125,60.0,1050.2539,19.0,1.8
126,44.6,1041.6123,14.0,1.84
127,40.72,1026.6547,46.0,2.0
128,57.4,1026.0872,22.0,1.76
129,48.72,1063.5961,45.0,1.56
130,44.84,1033.0528,15.0,1.9
131,58.28,1039.1888,13.0,2.26
132,34.88,976.8309,5.0,1.73
133,51.64,1060.9153,5.0,2.05
134,47.4,1012.0443,26.0,1.96
135,25.24,1018.933,12.0,1.85
136,58.64,1020.2401,4.0,1.68
137,59.04,1044.8753,13.0,1.64
138,46.36,1008.9913,9.0,1.74
139,53.16,1032.5758,8.0,1.73
140,52.16,1054.0974,27.0,2.73
141,59.36,1034.1412,5.0,2.23
142,43.8,1027.4765,36.0,1.89
143,43.88,1034.1892,54.0,2.27
144,50.16,1021.527,30.0,2.64
145,43.28,1032.1518,16.0,2.2
146,57.4,1065.8281,13.0,3.13
147,38.64,999.9609,45.0,2.62
148,39.6,1001.1849,53.0,2.13
149,49.16,1051.1937,15.0,2.4
150,47.0,1027.1972,43.0,2.41
151,39.32,1029.0563,22.0,1.47
152,37.28,1079.7725,41.0,1.34
153,45.96,1034.2432,-2.0,1.5
154,52.88,1024.7748,11.0,1.19
155,37.84,1072.4767,8.0,1.74
156,55.08,1061.4406,-5.0,1.15
157,49.08,1037.1558,26.0,1.19
158,52.16,1024.1882,20.0,1.16
159,55.16,1009.1452,31.0,1.23
160,30.76,1012.3312,50.0,1.45
161,43.96,1060.24,55.0,1.27
162,40.24,1054.5006,2.0,1.18
163,53.16,1025.2567,51.0,1.19
164,59.52,1155.4659,2.0,0.99
165,51.8,1018.0922,18.0,1.01
166,53.92,1047.9417,7.0,1.17
167,53.72,999.0822,-7.0,1.05
168,59.24,1016.0554,1.0,1.23
169,46.84,1032.0392,10.0,1.33
170,55.32,1056.5578,37.0,1.66
171,44.96,1011.0846,12.0,1.43
172,54.84,980.6911,-6.0,1.46
173,65.32,1072.2779,1.0,2.04
174,45.52,1102.6277,17.0,1.25
175,56.52,1074.3966,10.0,1.49
176,47.52,1068.1895,-3.0,1.45
177,50.72,1009.6118,11.0,1.35
178,55.48,1044.5288,19.0,2.28
179,42.76,1043.9558,35.0,1.58
180,40.76,1009.3224,16.0,1.69
181,46.44,1029.4658,4.0,1.56
182,25.64,974.9929,53.0,1.49
183,50.16,1050.5299,40.0,1.43
184,44.0,1058.0973,28.0,1.42
185,38.44,1005.2314,15.0,1.13
186,57.88,1032.1323,22.0,1.12
187,54.0,1026.5388,4.0,1.12
188,53.04,1046.6645,26.0,1.22
189,48.52,1049.143,31.0,1.24
190,50.84,1033.632,24.0,1.19
191,33.0,1065.6096,23.0,1.18
192,44.8,1028.257,25.0,1.19
193,53.4,1041.4457,21.0,1.14
194,53.32,1020.0494,35.0,1.75
195,39.76,1016.1372,26.0,1.56
196,60.68,1051.4382,30.0,1.36
197,30.24,999.5896,48.0,1.31
198,30.2,1007.4292,38.0,1.46
199,41.88,1047.8498,4.0,1.52
200,53.64,1047.3116,15.0,1.32
201,39.16,1034.0402,43.0,1.43
202,50.28,1057.1895,45.0,1.42
203,46.0,1074.2401,50.0,1.18
204,53.12,1123.9738,12.0,1.07
205,48.2,1025.7145,14.0,1.19
206,55.28,1069.5709,13.0,1.21
207,51.4,1052.6417,21.0,1.3
208,53.56,1039.1799,23.0,1.19
209,55.16,1038.9429,6.0,1.17
210,47.68,1022.1795,30.0,1.09
211,43.32,1101.0118,35.0,1.42
212,42.0,1037.545,5.0,1.24
213,43.76,1003.744,13.0,1.14
214,56.12,1006.2685,19.0,1.06
215,38.2,1032.7144,12.0,1.17
216,47.04,1021.0378,20.0,1.06
217,54.76,1025.5316,0.0,1.12
218,54.8,1026.4832,-1.0,1.18
219,37.16,1008.5698,28.0,1.24
220,48.6,1027.5348,26.0,1.21
221,42.04,1039.7111,38.0,1.26
222,51.0,1030.0555,22.0,1.36
223,59.96,1017.7583,22.0,1.39
224,45.28,1024.6523,34.0,1.59
225,57.2,1026.1642,10.0,1.97
226,40.96,1013.9533,64.0,1.33
227,48.36,1049.0084,23.0,1.48
228,48.16,1041.7227,8.0,1.15
229,43.12,1127.542,42.0,1.29
230,49.2,1022.8027,30.0,1.28
231,58.0,1029.7501,6.0,1.22
232,45.4,1044.4004,26.0,1.45
233,57.72,1056.6469,12.0,1.42
234,25.16,1006.3446,11.0,1.15
235,40.16,1053.98,40.0,1.29
236,54.8,1021.5796,32.0,1.2
237,43.56,984.0391,27.0,1.16
238,49.96,1030.6733,49.0,1.11
239,47.32,1262.574,9.0,1.17
240,49.56,1223.6081,16.0,1.23
241,57.28,1037.1399,4.0,1.18
242,51.72,1013.2793,5.0,1.3
243,50.48,1030.4843,21.0,1.11
244,47.4,1021.0702,2.0,1.23
245,26.52,1030.0185,45.0,1.15
246,42.88,1090.2752,38.0,1.34
247,38.92,1053.1101,31.0,1.36
248,47.04,1070.3676,70.0,1.17
249,44.96,1048.3676,23.0,1.14
250,43.12,1034.9689,20.0,1.68
251,57.52,1056.3334,15.0,1.18
252,36.36,1035.0928,34.0,1.29
253,51.56,1041.7954,22.0,1.27
254,43.8,1035.3389,13.0,1.1
255,45.88,1048.9851,31.0,1.22
256,43.56,1014.111,6.0,1.39
257,54.44,1071.793,22.0,1.21
258,50.08,1045.2921,7.0,1.1
259,49.64,1008.4075,10.0,1.23
260,25.4,1011.2094,43.0,1.25
261,57.24,1081.5676,21.0,1.21
262,49.08,1038.142,28.0,1.34
263,50.28,1083.1125,4.0,1.17
264,59.2,1019.2936,7.0,1.19
265,35.48,1017.6556,40.0,1.2
266,55.88,1037.386,13.0,1.3
267,45.44,1061.3618,56.0,1.43
268,45.84,1047.1757,22.0,1.21
269,53.0,1029.527,-1.0,1.13
270,46.56,1151.6108,30.0,1.2
271,62.56,1097.1359,10.0,1.29
272,51.56,1042.3252,32.0,1.07
273,46.88,1048.24,29.0,1.18
274,29.0,1025.7529,19.0,1.38
275,49.32,1010.7944,19.0,1.83
276,56.2,1053.7415,21.0,1.4
277,26.36,1013.8914,70.0,1.22
278,42.72,1005.203,26.0,1.29
279,46.0,1035.3505,12.0,1.37
280,50.16,989.3701,59.0,1.15
281,58.4,1034.7235,-8.0,1.26
282,49.88,1019.1337,34.0,1.38
283,43.96,1022.7778,41.0,1.18
284,54.36,1018.0333,38.0,1.14
285,43.2,1017.8861,38.0,1.07
286,46.4,1080.3402,15.0,1.27
287,47.52,1049.6511,31.0,1.15
288,46.4,1010.3759,11.0,1.28
289,39.36,1027.4108,42.0,1.11
290,50.12,1026.717,23.0,1.15
291,53.0,1014.2292,10.0,1.23
292,47.12,1093.9411,10.0,1.25
293,41.68,1073.947,6.0,1.51
294,43.56,1080.0536,19.0,1.12
295,47.84,1091.0886,10.0,1.19
296,35.12,1058.2878,11.0,1.44
297,48.64,1001.4756,24.0,1.19
298,46.8,1028.9045,17.0,1.24
299,23.96,1022.6569,51.0,1.49
300,48.72,1040.4652,21.0,1.78
301,27.32,997.4766,51.0,1.16
302,39.04,1078.9648,18.0,1.07
303,38.88,1000.4708,22.0,1.17
304,56.8,1016.7375,-3.0,1.05
305,28.88,997.4561,30.0,1.21
306,45.84,1067.4065,30.0,1.29
307,50.32,1066.3192,32.0,1.21
308,59.48,1036.3695,9.0,1.26
309,63.28,1094.0562,30.0,1.26
310,46.56,1030.7235,42.0,1.7
311,49.16,991.7687,-5.0,1.16
312,37.2,1022.8052,-2.0,1.26
313,49.56,1030.5191,16.0,1.27
314,46.72,1004.5564,36.0,1.22
315,55.88,1032.3256,4.0,1.4
316,45.36,1058.2246,7.0,1.08
317,57.96,1020.0698,11.0,1.23
318,54.56,1009.4078,8.0,1.16
319,55.36,1078.1845,3.0,1.09
320,60.64,989.5621,5.0,1.16
321,27.76,994.6293,40.0,1.4
322,51.52,1090.6274,-4.0,1.15
323,35.24,1028.4445,35.0,1.15
324,36.16,1010.5823,23.0,1.09
325,50.2,1070.1313,29.0,1.79
326,46.36,1043.3203,28.0,1.19
327,55.28,1019.1824,22.0,1.13
328,37.44,995.8268,5.0,1.39
329,44.0,1048.8334,40.0,1.34
330,52.32,1022.413,27.0,1.34
331,47.6,1038.4,8.0,1.11
332,47.64,1020.1369,-1.0,1.13
333,40.8,1049.1391,48.0,1.12
334,44.56,1069.4214,33.0,1.29
335,48.68,985.8059,20.0,1.32
336,37.04,1015.35,15.0,1.63
337,51.24,1042.3566,18.0,1.22
338,42.8,1024.6617,6.0,1.52
339,45.36,1036.0604,36.0,1.36
340,43.56,1003.0635,13.0,1.24
341,47.68,1005.744,20.0,1.2
342,63.36,1046.2424,29.0,1.27
343,44.68,1021.8994,29.0,1.32
344,22.64,1024.9996,53.0,1.11
345,42.6,1016.8614,13.0,1.18
346,50.8,1047.5129,44.0,1.43
347,40.8,1052.3472,21.0,1.2
348,39.2,1004.6634,33.0,1.16
349,25.84,980.1911,18.0,1.71
350,49.96,1033.6899,26.0,1.1
351,32.0,1022.836,15.0,1.38
352,44.12,1045.8388,54.0,1.29
353,40.2,1024.0791,28.0,1.24
354,54.08,1063.8741,8.0,1.21
355,42.6,1070.9194,23.0,1.25
356,45.84,1004.2438,28.0,1.46
357,33.84,1043.6259,21.0,1.18
358,47.84,1037.774,-1.0,1.29
359,39.08,1008.551,45.0,1.2
360,35.64,1056.3554,20.0,1.35
361,34.12,993.3138,35.0,1.1
362,39.72,1056.8768,30.0,1.22
363,48.96,1030.1321,37.0,1.19
364,49.48,1061.2129,39.0,1.11
365,58.4,1039.7977,30.0,1.16
366,37.16,998.4986,15.0,1.25
367,31.88,1003.7135,42.0,1.23
368,51.44,1047.8405,4.0,1.18
369,42.16,1034.0011,0.0,1.17
370,42.92,999.6146,6.0,1.69
371,35.8,999.0944,30.0,1.37
372,46.0,1024.4706,39.0,1.8
373,36.0,1015.1111,29.0,2.19
374,54.32,1056.139,44.0,2.24
375,47.64,1033.3528,20.0,1.64
376,45.92,1036.075,17.0,2.32
377,41.08,1007.272,16.0,2.07
378,45.6,1035.3566,11.0,2.11
379,50.68,1045.2223,12.0,2.17
380,38.8,1001.9484,33.0,1.53
381,54.48,1003.5931,25.0,1.8
382,41.76,1013.7842,20.0,1.95
383,43.96,1016.9252,31.0,1.54
384,37.12,1031.6671,56.0,1.65
385,42.52,1042.0568,31.0,1.83
386,42.4,1034.2902,39.0,1.85
387,39.24,1019.4063,20.0,1.95
388,49.44,1010.8642,7.0,1.71
389,33.76,1037.3399,26.0,2.42
390,35.2,1027.4532,41.0,1.47
391,52.0,1024.5231,11.0,1.55
392,45.88,1113.4758,34.0,1.72
393,36.64,1021.2828,25.0,1.69
394,41.2,1032.4582,40.0,1.72
395,42.44,1109.2935,43.0,2.17
396,48.08,1116.3754,17.0,1.65
397,47.88,1000.1852,14.0,2.07
398,42.76,1028.677,34.0,1.66
399,44.32,1085.922,6.0,2.02
400,50.96,1007.1256,18.0,1.65
401,41.2,1034.656,-1.0,2.06
402,32.36,1005.162,30.0,1.89
403,45.2,998.3566,25.0,1.79
404,46.4,1040.3695,45.0,1.71
405,50.8,1121.0772,21.0,1.93
406,49.0,1004.8952,3.0,2.2
407,53.44,1012.1203,28.0,1.9
408,41.32,1031.1515,25.0,1.77
409,33.56,1061.3423,37.0,1.62
410,57.4,991.6326,4.0,1.97
411,56.76,1008.2234,33.0,1.64
412,56.04,1019.574,15.0,1.69
413,46.44,1128.1179,22.0,1.85
414,38.52,1004.3401,37.0,1.86
415,44.04,1034.7335,28.0,2.39
416,47.12,1074.6491,37.0,1.93
417,58.52,1033.431,3.0,1.59
418,36.32,1009.4856,42.0,1.38
419,49.52,1028.8996,20.0,1.96
420,38.32,1021.6389,37.0,2.18
421,55.8,1019.4923,21.0,1.87
422,58.36,1034.2182,2.0,1.62
423,53.96,1056.8104,8.0,3.32
424,43.6,1047.0233,16.0,2.5
425,24.08,1018.3189,39.0,2.93
426,51.4,1002.1786,6.0,1.92
427,45.44,1043.3177,39.0,1.7
428,31.92,1013.7899,30.0,1.66
429,38.88,1067.8175,18.0,1.87
430,50.92,1128.7761,-5.0,2.25
431,42.76,1006.9662,28.0,2.34
432,40.48,979.0088,23.0,2.34
433,33.8,1011.7055,68.0,2.31
434,42.4,1002.495,36.0,1.64
435,46.28,1151.2531,31.0,1.68
436,46.52,1028.7319,29.0,1.92
437,39.0,1032.1799,32.0,2.23
438,40.8,1009.2172,42.0,2.47
439,46.64,1044.0321,23.0,2.04
440,31.04,1042.8349,31.0,1.55
441,46.16,1010.5326,36.0,2.81
442,36.92,1018.3703,44.0,1.71
443,41.96,1081.0943,16.0,1.98
444,50.6,1033.1804,29.0,1.59
445,41.92,1066.6129,41.0,1.64
446,44.8,1035.038,30.0,1.82
447,57.24,1055.2475,28.0,1.17
448,37.6,1033.6194,36.0,1.23
449,43.36,1021.6569,34.0,1.15
450,27.84,1006.9034,7.0,1.2
451,55.32,1073.6058,23.0,1.44
452,43.76,998.3066,32.0,1.17
453,49.24,1020.1864,21.0,1.2
454,55.4,1040.5485,19.0,1.3
455,57.56,1129.4363,13.0,1.19
456,45.44,1019.767,16.0,1.26
457,49.96,1027.5871,11.0,1.47
458,51.8,1187.1958,9.0,1.84
459,38.32,1034.3779,51.0,1.21
460,58.16,1017.0088,28.0,1.31
461,56.48,1006.511,25.0,1.29
462,49.08,1074.6038,15.0,1.39
463,46.64,1038.2113,51.0,1.57
464,34.76,1011.6407,21.0,1.4
465,43.52,1068.2923,12.0,1.23
466,38.52,1004.8655,32.0,1.25
467,48.36,1012.0432,18.0,1.53
468,39.92,1010.3797,36.0,1.18
469,42.36,1072.9858,11.0,1.31
470,46.72,1012.3132,17.0,1.24
471,43.32,1037.6631,21.0,1.24
472,52.88,1026.0208,21.0,1.12
473,49.96,1031.4046,45.0,1.17
474,31.24,1025.2482,32.0,1.18
475,54.92,1039.41,12.0,1.26
476,38.32,1054.666,36.0,1.19
477,45.08,1027.7202,41.0,1.16
478,30.64,1026.5239,37.0,1.21
479,48.04,1016.4308,41.0,1.36
480,49.76,1007.0575,28.0,1.18
481,28.68,1025.3917,14.0,1.43
482,48.64,1031.1119,23.0,1.98
483,33.76,1007.6095,27.0,1.93
484,36.52,1045.598,39.0,2.18
485,57.2,1081.2415,14.0,1.55
486,45.56,1009.6534,20.0,1.45
487,54.52,1024.4829,21.0,1.48
488,37.28,1059.687,19.0,1.8
489,60.0,1055.9372,12.0,1.84
490,43.84,1031.0169,38.0,1.69
491,32.92,990.5205,38.0,1.53
492,55.24,1034.4838,35.0,1.99
493,42.12,1016.1512,46.0,1.71
494,35.8,1032.2962,21.0,1.78
495,54.56,1011.8056,25.0,1.93
496,48.24,1062.5472,29.0,2.11
497,52.92,1029.8074,17.0,1.48
498,41.88,1008.1828,24.0,1.61
499,50.6,1057.2788,8.0,1.61
500,49.56,993.81,43.0,2.24
501,40.08,1011.9451,34.0,1.46
502,51.2,996.0772,31.0,1.44
503,33.72,1013.6055,50.0,1.57
504,41.8,1041.1348,41.0,1.35
505,48.12,1005.6569,25.0,1.52
506,48.2,1141.6095,31.0,1.64
507,48.4,1107.8439,39.0,1.82
508,43.32,993.3265,18.0,1.97
509,45.32,1049.6924,36.0,1.89
510,45.32,1048.0267,17.0,1.92
511,45.76,1035.6999,21.0,1.63
512,38.04,1013.018,-3.0,1.73
513,41.72,1037.0461,55.0,1.83
514,52.64,1080.6153,12.0,1.48
515,52.0,1036.0353,16.0,1.51
516,48.6,1047.8959,16.0,1.56
517,46.44,1053.5297,27.0,1.68
518,51.72,1042.6811,22.0,1.49
519,51.84,1030.0607,45.0,1.97
