episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1015.1246,-55612.41,1.07
2,50.0,1038.4845,-59543.89,1.01
3,34.0,1012.6676,-49123.08,1.12
4,38.04,1020.0156,-51162.77,1.12
5,52.72,1058.5338,-51454.19,1.13
6,54.16,987.526,-48829.01,1.27
7,47.72,1014.0346,-51133.59,1.34
8,50.2,1051.7218,-53582.5,1.32
9,37.04,1067.101,-51742.59,1.15
10,54.08,1058.5776,-55442.67,1.14
11,49.68,1035.342,-53114.93,1.15
12,31.24,1015.9106,-47408.06,1.25
13,53.56,1045.7567,-53377.16,1.15
14,42.0,1022.8248,-55448.65,1.2
15,49.56,1023.2438,-43351.19,1.19
16,62.28,1064.9023,-47966.77,1.28
17,51.32,1029.35,-43324.79,1.16
18,54.12,1041.1842,-51921.01,1.01
19,41.04,1047.2171,-49767.02,1.14
20,45.96,1020.6321,-55268.14,1.18
21,45.4,1070.1765,-53975.77,1.09
22,34.8,994.1007,-56884.71,1.15
23,56.72,1032.6791,-49294.72,1.35
24,39.04,1014.7577,-45173.9,1.45
25,35.8,1063.1314,-51816.45,1.21
26,60.36,1075.3183,-57917.7,1.03
27,60.2,1007.255,-41119.52,1.23
28,53.4,1051.2555,-53288.62,1.17
29,50.36,1006.0627,-43117.15,1.38
30,52.6,1052.2021,-53645.43,1.17
31,56.32,1054.2689,-41803.89,1.16
32,48.64,1019.015,-49545.93,1.17
33,53.44,1024.7124,-47432.5,1.05
34,51.48,1026.1533,-45394.03,1.14
35,47.64,1037.6906,-53456.38,1.15
36,45.44,1094.1319,-42933.76,1.18
37,47.4,1089.0421,-57685.43,1.03
38,48.8,1023.5887,-55488.5,1.21
39,49.04,1060.0605,-51686.4,1.21
40,49.2,1023.8548,-53257.24,1.18
41,51.84,1017.4412,-47139.7,1.29
42,45.4,1005.2391,-45173.86,1.25
43,29.64,1010.5185,-47216.97,1.27
44,58.52,1062.9118,-44363.59,1.2
45,44.32,996.5025,-49027.29,1.12
46,59.08,1047.7985,-55310.08,1.16
47,35.96,1031.6148,-49270.32,1.13
48,50.84,1002.5387,-48980.35,1.38
49,57.68,1031.6732,-47416.49,1.26
50,54.2,1037.8357,-47578.29,1.25
51,45.44,1004.3169,-53220.29,1.29
52,50.64,1036.4565,-51423.02,1.11
53,50.2,1038.8076,-55360.22,1.07
54,53.12,1017.287,-49352.65,1.51
55,46.4,999.0788,-44949.19,1.11
56,46.56,1023.8957,-47263.92,1.33
57,59.76,1021.4001,-55372.14,1.41
58,50.84,1044.2269,-39428.91,1.34
59,53.64,1084.2052,-46022.61,1.3
60,53.92,1059.2086,-47670.4,1.19
61,65.52,992.8763,-46995.42,1.09
62,50.36,1020.1316,-51459.4,1.22
63,47.32,1080.7129,-55805.98,1.08
64,47.76,1047.7267,-49787.22,1.25
