episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.413,-8.0,0.19
2,9.24,56.4519,-13.0,0.23
3,6.56,76.3063,-1.0,0.2
4,7.12,547452.9163,-5.0,0.25
5,8.36,0.045,-10.0,0.2
6,8.0,15.9006,-9.0,0.2
7,9.8,179.7975,-10.0,0.18
8,10.08,279.6959,-11.0,0.18
9,9.72,352768.1174,-9.0,0.21
10,8.48,39.2427,-11.0,0.26
11,6.28,504814.7001,2.0,0.25
12,7.64,0.2388,-6.0,0.33
13,7.64,56498.5336,0.0,0.31
14,5.28,710579.8238,-3.0,0.3
15,8.56,1.0239,-12.0,0.23
16,9.72,56477.125,-14.0,0.24
17,8.36,0.4891,-6.0,0.19
18,12.0,149.4505,-12.0,0.17
19,9.0,360172.5495,-12.0,0.21
20,7.48,359863.5733,-10.0,0.24
21,7.88,460201.0398,-8.0,0.21
22,8.36,5.0623,-9.0,0.2
23,6.48,67848.8808,-13.0,0.19
24,9.56,833676.4272,-8.0,0.16
25,6.72,67849.1958,-10.0,0.22
26,10.4,495548.9842,-16.0,0.24
27,11.24,118939.6062,-4.0,0.23
28,9.56,360167.5599,-5.0,0.25
29,8.72,359710.3073,-9.0,0.28
30,9.68,0.0889,-9.0,0.25
31,10.6,238260.8614,-6.0,0.26
32,8.76,121.2382,-11.0,0.2
33,9.16,354261.0981,1.0,0.23
34,8.56,9.6014,-10.0,0.21
35,9.28,39.1618,-13.0,0.81
36,9.56,118940.2986,-12.0,0.21
37,7.88,359859.6972,-8.0,0.2
38,8.56,881996.0158,-2.0,0.19
39,9.76,77.189,-7.0,0.23
40,10.0,362675.0608,-6.0,0.19
41,6.76,5.3888,-2.0,0.29
42,5.96,168279.6358,6.0,0.19
43,5.96,67760.7562,2.0,0.17
44,9.92,0.4652,-12.0,0.19
45,6.84,0.1735,-6.0,0.28
46,8.56,32236.9074,-7.0,0.21
47,6.2,1158.4626,-7.0,0.22
48,5.76,166.8782,-5.0,0.24
49,7.72,74162.9468,-5.0,0.2
50,8.2,1.1141,-4.0,0.22
51,7.04,359735.2758,-8.0,0.17
52,8.96,276543.0321,-10.0,0.18
53,9.16,123077.6184,-10.0,0.27
54,9.72,76.8589,-5.0,0.2
55,8.76,600240.1107,-9.0,0.32
56,10.12,354258.4042,-8.0,0.26
57,9.44,119085.2752,-12.0,0.2
58,7.72,623.4304,-2.0,0.26
59,8.16,719750.9004,-6.0,0.19
60,9.28,48512.134,-10.0,0.2
61,9.92,5.5338,-6.0,0.2
62,9.6,169523.5205,-6.0,0.21
63,6.0,165.1162,-3.0,0.24
64,6.72,0.0285,-11.0,0.17
65,6.16,1.2343,-11.0,0.2
66,8.24,359696.816,-8.0,0.19
67,5.28,122.4685,-3.0,0.18
68,8.32,132920.2911,-9.0,0.19
69,8.12,0.4854,-5.0,0.19
70,9.04,0.1764,-3.0,0.21
71,7.04,1200683.9648,-8.0,0.21
72,9.44,366307.9159,-13.0,0.36
73,6.72,23804.3815,-1.0,0.25
74,7.12,202209.4765,-7.0,0.19
75,9.2,2799.4252,-8.0,0.21
76,9.88,460089.8024,-11.0,0.16
77,7.36,339388.8286,-9.0,0.18
78,6.92,2.2438,0.0,0.19
79,7.44,714992.8222,-4.0,0.19
80,6.4,1.1706,-1.0,0.25
81,6.88,1140.6687,-4.0,0.17
82,8.52,19.6087,-6.0,0.17
83,8.16,239105.8824,-5.0,0.19
84,6.96,2.5746,-9.0,0.17
85,5.76,407095.7909,-6.0,0.22
86,8.4,2.3278,-12.0,0.2
87,7.52,362.6316,-13.0,0.17
88,5.56,359721.9528,-5.0,0.16
89,7.2,400286.3654,-5.0,0.22
90,8.36,56562.1252,-3.0,0.23
91,6.76,34969.9977,-4.0,0.21
92,7.8,100870.7158,-10.0,0.25
93,6.28,52.9763,0.0,0.21
94,6.76,0.0714,-14.0,0.18
95,8.28,1500.4674,-3.0,0.17
96,8.32,833647.7946,-10.0,0.17
97,9.24,476804.3417,-4.0,0.18
98,8.8,26.1877,-8.0,0.16
99,6.84,699765.927,-3.0,0.25
100,7.24,27.6749,-4.0,0.17
101,5.96,89.609,-8.0,0.15
102,7.56,2012.3168,-4.0,0.16
103,7.84,336566.7614,-12.0,0.24
104,6.6,359844.8518,-6.0,0.18
105,6.8,240027.99,0.0,0.17
106,9.8,0.1057,-10.0,0.25
107,5.08,37.0243,-6.0,0.24
108,5.76,67850.9823,-8.0,0.25
109,7.12,120435.234,-5.0,0.22
110,5.08,34170.1719,-2.0,0.28
111,7.88,185848.5953,-6.0,0.42
112,5.12,336542.0201,-5.0,0.33
113,6.04,359903.54,-12.0,0.23
114,6.2,253366.2866,-12.0,0.21
115,6.2,359703.8991,-9.0,0.23
116,8.92,0.0379,-1.0,0.22
117,7.12,8315.9772,-4.0,0.22
118,6.84,1207.3098,-8.0,0.22
119,7.48,427702.3632,-8.0,0.2
120,4.76,152.0324,-2.0,0.23
121,7.76,567.3301,-2.0,0.21
122,6.76,881797.8705,-9.0,0.21
123,8.12,4898.6624,-9.0,0.24
124,6.6,43.4049,3.0,0.21
125,8.72,4865.139,-5.0,0.22
126,6.08,29.5184,-12.0,0.21
127,7.96,47.2511,0.0,0.27
128,8.24,7.7664,-2.0,0.23
129,7.64,342771.23,-9.0,0.22
130,6.48,33.5124,-10.0,0.22
131,7.64,72.6609,-3.0,0.27
132,5.72,153911.413,-3.0,0.25
133,8.24,2.6989,-2.0,0.27
134,5.16,33915.6172,1.0,0.22
135,6.32,33891.1069,-3.0,0.24
136,7.2,399434.0396,3.0,0.23
137,5.56,273938.3408,-3.0,0.24
138,5.52,724191.7628,-10.0,0.23
139,6.56,56484.5712,0.0,0.17
140,7.52,7472.7802,-7.0,0.22
141,5.08,65.029,-6.0,0.19
142,7.88,9.2513,-3.0,0.19
143,6.08,357210.3781,-2.0,0.33
144,9.8,145.7044,-3.0,0.33
145,7.32,7.4947,-8.0,0.38
146,7.52,787426.018,-3.0,0.33
147,6.68,13.8725,4.0,0.37
148,6.8,2.812,-3.0,0.33
149,8.48,237879.4728,1.0,0.86
150,5.52,0.6809,13.0,0.31
151,6.0,38.5318,-1.0,0.25
152,7.92,32315.2808,-8.0,0.18
153,8.56,26.1368,2.0,0.24
154,7.44,359782.9752,-7.0,0.25
155,5.64,38.666,-9.0,0.24
156,7.92,272967.335,-6.0,0.21
157,8.88,18.8635,-2.0,0.17
158,5.52,345922.1321,-6.0,0.16
159,7.6,69.4587,-8.0,0.2
160,5.4,120015.0013,-3.0,0.19
161,5.2,21.6185,4.0,0.15
162,7.8,32.4268,5.0,0.21
163,7.04,0.1255,-1.0,0.22
164,9.56,61414.2494,-3.0,0.17
165,8.48,48.1798,-6.0,0.17
166,9.72,45.9802,-10.0,0.16
167,7.0,2897.2948,-2.0,0.2
168,7.0,119903.2541,-7.0,0.18
169,7.72,479615.2566,-8.0,0.16
170,8.92,73.7882,-5.0,0.17
171,6.12,19.3795,-6.0,0.17
172,7.8,431201.3225,-4.0,0.23
173,6.32,679313.0152,-9.0,0.21
174,8.32,649323.1151,2.0,0.2
175,8.52,2614.6314,1.0,0.28
176,6.04,359844.8216,4.0,0.18
177,6.28,193593.3627,1.0,0.19
178,7.6,239803.3647,-4.0,0.18
179,5.8,6.6693,0.0,0.26
180,5.32,719834.4556,-7.0,0.18
181,6.24,109.5827,-4.0,0.15
182,7.72,243017.5945,0.0,0.16
183,5.16,35.3206,6.0,0.19
184,7.0,326.8709,-6.0,0.19
185,6.36,356820.5576,4.0,0.23
186,6.72,3.3392,2.0,0.19
187,7.08,36568.9517,5.0,0.16
188,7.6,2820.7325,-1.0,0.21
189,8.16,384572.8464,3.0,0.17
190,5.12,120.6649,2.0,0.24
191,6.64,168270.602,1.0,0.25
192,6.32,49.5676,-6.0,0.18
193,4.88,2.4183,-1.0,0.21
194,7.16,305.7153,0.0,0.25
