episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.413,-3501.98,0.16
2,9.24,56.4519,-2757.28,0.16
3,6.56,76.3063,-3005.4,0.21
4,7.12,547452.9163,-3271.99,0.21
5,8.36,0.045,-2750.25,0.2
6,8.0,15.9006,-3469.83,0.17
7,9.8,179.7975,-3388.51,0.68
8,10.08,279.6959,-4005.51,0.17
9,9.72,352768.1174,-2875.54,0.16
10,8.48,39.2427,-4084.54,0.16
11,6.28,504814.7001,-2613.79,0.19
12,7.64,0.2388,-3000.2,0.21
13,7.64,56498.5336,-2565.64,0.15
14,5.28,710579.8238,-3014.31,0.16
15,8.56,1.0239,-2520.09,0.14
16,9.72,56477.125,-4000.17,0.17
17,8.36,0.4891,-2001.16,0.23
18,12.0,149.4505,-3023.9,0.15
19,9.0,360172.5495,-4369.21,0.17
20,7.48,359863.5733,-4250.3,0.28
21,8.64,346895.8204,-2815.68,0.25
22,8.32,391939.906,-4508.59,0.19
23,6.72,67848.994,-3750.27,0.23
24,7.96,0.272,-2501.59,0.17
25,9.76,121811.791,-2819.98,0.24
26,11.28,288534.0339,-3195.71,0.2
27,10.32,5.4862,-2878.0,0.23
28,10.64,169446.6048,-3023.8,0.31
29,10.72,34860.2053,-4000.6,0.18
30,9.08,67852.9284,-2000.85,0.27
31,12.04,713922.8199,-3009.18,0.29
32,9.16,7.6762,-4186.52,0.28
33,8.92,1420956.1838,-2944.94,0.34
34,8.56,553236.9712,-4693.0,0.44
35,9.52,0.0644,-4751.05,0.37
36,9.36,796902.5643,-4008.66,0.22
37,9.08,508347.051,-3761.92,0.27
38,8.4,10.3693,-2758.88,0.33
39,10.0,1073543.3712,-3750.54,0.24
40,9.76,760272.8833,-3250.5,0.2
41,7.4,21.2378,-3338.01,0.22
42,6.44,5.3416,-1839.96,0.35
43,8.24,530063.4632,-3507.43,0.2
44,9.96,157667.0079,-4005.46,0.26
45,9.72,33887.6265,-2828.14,0.29
46,10.0,193440.7635,-3529.69,0.3
47,8.04,126.615,-3126.35,0.4
48,7.04,362340.2516,-3430.53,0.3
49,11.92,421.0198,-2751.4,0.39
50,9.8,722584.0841,-3253.94,0.31
51,7.68,3.9844,-4033.99,0.29
52,8.0,381.2464,-2777.76,0.48
53,8.32,1120.028,-3503.96,0.57
54,11.52,3.418,-2335.37,0.4
55,9.32,304503.1692,-3504.91,0.42
56,10.96,468189.5176,-4255.75,0.34
57,9.76,113450.3142,-2757.6,0.3
58,8.0,594843.4081,-4000.44,0.19
59,5.48,8308.6389,-3000.37,0.2
60,11.28,4.3072,-3790.89,0.23
61,9.76,19.4228,-3002.65,0.19
62,10.88,5720.258,-2529.35,0.2
63,10.4,1.7671,-3750.16,0.23
64,7.88,2.1482,-3269.83,0.18
65,7.96,1079107.4923,-4250.73,0.16
66,8.04,4.7418,-2618.42,0.17
67,6.64,168270.0912,-2751.52,0.21
68,10.64,358125.147,-2982.38,0.27
69,10.44,2256.1978,-2888.4,0.17
70,12.16,1055976.9817,-3500.51,0.29
71,7.96,175968.1685,-2007.75,0.24
72,9.88,119907.3267,-3401.36,0.17
73,7.2,3326.9744,-3768.69,0.17
74,8.08,2013.5877,-2532.97,0.17
75,10.68,2159070.0336,-3355.72,0.2
76,10.12,1.228,-3752.37,0.17
77,10.72,357047.1262,-3533.58,0.17
78,8.28,17.5889,-2557.91,0.18
79,10.04,719394.2501,-2274.25,0.16
80,8.56,2.2782,-2040.99,0.18
81,6.88,0.6226,-2501.91,0.24
