episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1015.1246,10.0,1.22
2,50.0,1038.4845,-3.0,1.0
3,34.0,1012.6676,26.0,1.4
4,38.04,1020.0156,17.0,1.18
5,52.72,1058.5338,9.0,1.12
6,54.16,995.0925,-3.0,3.07
7,47.72,1003.6452,7.0,1.21
8,50.2,1058.1626,-9.0,1.48
9,37.04,1032.6035,12.0,1.27
10,54.08,1044.2589,-12.0,1.2
11,49.68,1055.6668,5.0,2.11
12,31.24,1027.3611,23.0,1.2
13,52.6,1022.3293,-4.0,1.16
14,42.0,1015.6998,7.0,1.37
15,51.48,1012.7193,25.0,1.24
16,62.28,1033.912,5.0,2.27
17,51.32,1009.8367,17.0,1.16
18,54.12,1043.8285,-8.0,1.08
19,41.04,1028.0347,12.0,1.3
20,44.28,1025.8463,-5.0,1.26
21,45.4,1029.691,0.0,2.1
22,34.56,1005.5741,-2.0,1.28
23,51.8,1049.3458,3.0,1.4
24,39.32,1041.789,22.0,1.35
25,42.6,1027.8737,25.0,1.31
26,60.16,1057.9091,-9.0,1.93
27,60.2,1032.3231,7.0,1.3
28,53.32,1061.6841,-10.0,1.19
29,48.76,1005.6025,12.0,1.26
30,50.96,1054.5948,9.0,1.18
31,54.88,1046.052,11.0,2.15
32,45.16,1027.7116,32.0,1.18
33,53.44,1023.4022,-1.0,1.11
34,52.68,1030.8279,1.0,1.27
35,45.0,1039.1846,-5.0,1.24
36,43.28,1032.5771,3.0,2.23
37,50.08,1106.8283,11.0,1.09
38,45.52,1019.2669,-4.0,1.23
39,47.4,1045.7044,23.0,1.27
40,51.88,1010.8413,-1.0,1.38
41,50.2,1008.9951,0.0,2.16
42,41.12,1002.5381,11.0,1.25
43,30.2,1005.281,9.0,1.25
44,59.44,1069.0617,4.0,1.34
45,41.64,1019.3184,18.0,1.37
46,61.08,1013.0673,-8.0,1.12
47,35.36,1033.0127,26.0,2.18
48,52.76,1007.5856,19.0,1.26
49,57.64,1033.0574,8.0,1.25
50,52.08,1012.8259,32.0,1.28
51,46.16,1047.9527,6.0,1.29
52,51.44,1054.9045,0.0,2.01
53,46.52,1042.7469,10.0,1.39
54,53.8,1033.8383,0.0,1.5
