episode,avg_pods,avg_latency,reward,execution_time
1,35.12,1015.1246,-55612.41,1.19
2,50.0,1038.4845,-59543.89,1.14
3,34.0,1012.6676,-49123.08,1.29
4,38.04,1020.0156,-51162.77,1.18
5,52.72,1058.5338,-51454.19,1.18
6,54.16,986.8764,-48812.77,7.74
7,47.72,1014.0346,-51133.59,1.31
8,50.2,1051.7218,-53582.5,1.59
9,37.04,1067.101,-51742.59,1.29
10,54.08,1058.5776,-55442.67,1.25
11,49.68,1037.0555,-53114.93,2.15
12,31.24,1015.9106,-47408.06,1.22
13,53.56,1045.7567,-53377.16,0.6
14,42.0,1022.8248,-55448.65,1.31
15,49.56,1023.2438,-43351.19,1.25
16,62.28,1055.422,-47975.66,2.16
17,51.32,1029.35,-43324.79,1.27
18,54.12,1041.1842,-51921.01,1.24
19,41.04,1047.2171,-49767.02,1.19
20,45.96,1020.6321,-55268.14,1.41
21,45.4,1049.8919,-53659.29,2.12
22,34.8,992.8087,-56879.72,1.26
23,56.72,1025.6988,-49469.12,1.51
24,39.04,995.055,-44926.24,1.37
25,39.8,1061.9586,-49687.63,1.25
26,60.36,1088.7265,-57685.73,1.92
27,60.2,1028.6306,-41591.93,1.4
28,53.08,1039.8843,-50950.19,1.29
29,50.36,1002.5618,-42991.7,1.34
30,52.6,1046.3624,-53984.41,1.25
31,56.32,1021.5176,-41520.68,2.11
32,48.64,1007.1583,-49072.22,1.24
33,53.44,1049.7055,-47783.69,1.08
34,51.48,1035.1732,-45301.67,1.3
35,47.64,1035.4294,-53467.34,0.61
36,45.44,1081.791,-42618.15,2.06
37,47.4,1078.3868,-57431.65,1.1
38,48.8,1006.8738,-55109.96,1.23
39,49.04,1034.185,-51604.48,1.29
40,49.2,1002.632,-53030.97,1.17
41,51.84,1002.6257,-46939.93,2.29
42,45.4,1008.4027,-45260.65,1.19
43,29.64,1010.0758,-47077.53,1.25
44,58.52,1048.4333,-43980.11,1.26
45,44.32,1015.0814,-49384.24,1.18
46,59.08,1019.3811,-55339.91,1.15
47,35.96,1028.77,-49420.25,2.02
48,53.0,1022.5408,-51210.29,1.13
49,57.68,1020.1626,-47480.22,1.26
50,54.2,1034.0502,-47473.59,1.36
51,45.44,1033.3922,-53544.53,1.38
52,50.64,1032.4069,-51171.58,1.89
53,50.2,1049.2109,-55409.97,1.12
54,53.12,1013.2975,-49125.64,1.55
55,46.4,1005.2884,-45098.3,1.22
56,46.56,1015.4406,-46936.65,1.36
57,59.76,1022.2728,-55390.01,1.46
58,50.84,1051.6847,-39877.68,1.17
59,53.64,1081.7018,-44407.27,1.24
60,53.92,1067.8625,-47632.03,1.34
61,65.52,1038.2906,-47609.31,1.13
62,50.36,1023.0424,-51441.18,2.3
63,47.32,1054.6968,-56104.07,1.12
64,47.76,1050.5665,-49713.07,1.29
65,43.96,1039.6175,-51543.99,1.38
66,51.56,1121.3678,-52232.48,1.22
67,59.08,1012.3571,-47152.87,2.16
68,42.12,1013.1937,-43315.76,1.3
69,57.6,1052.222,-53871.98,1.37
70,60.88,1010.6887,-52954.07,1.45
71,40.6,1073.8592,-45770.88,1.26
72,43.0,1078.9308,-50616.12,2.25
73,44.92,1004.1359,-48870.59,1.14
74,43.04,1037.53,-51362.15,1.34
75,52.76,1020.6591,-51439.56,1.19
76,53.12,1036.6938,-49273.13,1.4
77,40.24,1185.7178,-53101.22,2.07
78,56.68,1007.2824,-45199.93,1.31
79,56.56,1032.9666,-47744.98,1.14
80,57.8,1062.4296,-42278.36,0.59
81,56.44,1072.0315,-42590.29,1.32
82,48.16,1037.8621,-51867.71,2.41
83,62.88,1016.8468,-39309.39,1.36
84,41.8,1019.5274,-45065.05,1.28
85,54.48,1037.6969,-43607.72,1.31
86,50.76,1034.2846,-55326.78,1.21
87,47.08,1046.9153,-43928.85,1.32
88,47.84,1021.9339,-49142.03,1.25
89,51.72,1044.0925,-41604.53,1.29
90,46.76,1087.6168,-52154.36,1.22
91,42.96,1058.8155,-51723.26,1.32
92,45.0,1025.5608,-47464.97,1.27
93,51.0,1064.5449,-40518.11,2.23
94,43.2,1013.0948,-51150.26,1.28
