episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.413,-8.0,0.19
2,9.24,56.4519,-13.0,0.2
3,6.56,76.3063,-1.0,0.28
4,7.12,547452.9163,-5.0,0.31
5,8.36,0.045,-10.0,0.22
6,8.24,5.0587,-7.0,2.06
7,9.56,168.4857,-9.0,0.26
8,10.76,12.4696,-10.0,0.3
9,9.44,0.0355,-9.0,0.27
10,11.24,716701.7335,-12.0,0.28
11,7.0,673099.8676,-3.0,1.4
12,10.76,33739.1602,-10.0,0.28
13,6.88,56493.471,-5.0,0.47
14,8.44,2786.1266,-10.0,0.4
15,12.6,5.9256,-14.0,0.41
16,10.84,473197.6872,-11.0,1.46
17,8.76,33904.2702,-9.0,0.3
18,11.44,74.5282,-17.0,0.28
19,7.96,1.5087,-11.0,0.22
20,6.76,4.5645,-9.0,0.22
21,8.56,819003.6186,-1.0,1.18
22,7.8,335731.6689,-8.0,0.24
23,6.6,67849.0251,-12.0,0.22
24,7.52,40.1718,-3.0,0.23
25,6.72,67849.2698,-9.0,0.24
26,12.56,252.5331,-12.0,1.16
27,10.12,622.7776,-6.0,0.28
28,10.76,359392.7943,-8.0,0.24
29,8.32,21.4196,-8.0,0.24
30,9.48,2.4902,-2.0,0.26
31,10.8,96.5156,-10.0,1.13
32,8.84,3.5654,-15.0,0.31
33,9.0,120013.6992,-5.0,0.22
34,7.92,0.7688,-5.0,0.23
35,9.16,2703.7816,-19.0,0.22
36,10.56,118947.8515,-13.0,1.01
37,8.48,722387.8119,-8.0,0.27
38,7.4,236129.4163,7.0,0.27
39,8.88,1.4915,-6.0,0.3
40,9.36,1040399.1261,-9.0,0.23
41,5.72,5.9171,-2.0,1.19
42,8.28,2683.8556,-3.0,0.25
43,7.28,153919.7109,-5.0,0.29
44,9.08,505370.4186,-10.0,0.23
45,8.88,362502.0617,-12.0,0.23
46,9.12,1.4726,-5.0,0.22
47,10.04,671604.1043,-14.0,1.12
48,7.08,839367.9888,-6.0,0.23
49,11.12,421.2339,-9.0,0.19
50,8.32,119111.2113,-7.0,0.19
51,9.72,201519.3757,-8.0,0.22
52,8.68,361044.3092,-5.0,1.1
53,10.64,0.3146,-10.0,0.25
54,6.96,336540.0136,-8.0,0.25
55,9.76,199128.6876,-10.0,0.27
