episode,avg_pods,avg_latency,reward,execution_time
1,9.04,1.413,-3501.98,0.27
2,9.24,56.4519,-2757.28,0.29
3,6.56,76.3063,-3005.4,0.31
4,7.12,547452.9163,-3271.99,0.26
5,8.36,0.045,-2750.25,0.27
6,8.0,15.9006,-3469.83,3.2
7,9.8,179.7975,-3388.51,0.31
8,10.08,279.6959,-4005.51,0.8
9,9.72,352768.1174,-2875.54,0.25
10,8.48,39.2427,-4084.54,0.25
11,6.28,504814.7001,-2613.79,1.63
12,7.64,0.2388,-3000.2,0.3
13,7.64,56498.5336,-2565.64,0.29
14,5.28,710579.8238,-3014.31,0.28
15,8.56,1.0239,-2520.09,0.28
16,9.72,56477.125,-4000.17,1.48
17,8.36,0.4891,-2001.16,0.25
18,12.0,149.4505,-3023.9,0.22
19,9.0,360172.5495,-4369.21,0.29
20,7.48,359863.5733,-4250.3,0.23
21,8.64,346895.8204,-2815.68,1.24
22,8.32,391939.906,-4508.59,0.35
23,6.72,67848.994,-3750.27,0.44
24,7.96,0.272,-2501.59,0.32
25,9.76,121811.791,-2819.98,0.29
26,11.28,288534.0339,-3195.71,1.11
27,10.32,5.4862,-2878.0,0.37
28,8.84,335945.9182,-2830.91,0.29
29,8.32,361476.6478,-3917.1,0.28
30,9.44,425646.4234,-3345.04,0.29
31,11.84,355543.5628,-2759.28,1.26
32,9.28,76.9405,-4257.23,0.22
33,9.32,45592.8672,-2750.66,0.24
34,8.96,229457.8447,-3009.83,0.54
35,9.24,65946.8694,-4752.01,0.41
36,9.08,196087.3409,-4008.77,1.42
37,7.76,15.3604,-3445.52,0.26
38,9.76,120015.7778,-2553.44,0.22
39,12.24,901.5826,-3505.64,0.29
40,9.8,719504.5255,-3474.23,0.29
41,7.64,356191.2402,-2491.93,1.54
42,7.72,894012.1761,-3602.42,0.27
43,8.0,235344.7805,-2805.25,0.3
44,10.16,149738.3508,-3754.43,0.48
45,9.68,12.9312,-2682.57,0.48
46,9.6,98642.6925,-3501.12,0.31
47,8.12,43.2728,-3059.82,1.63
48,5.8,65946.7864,-3002.0,0.25
49,10.4,420592.7203,-3315.07,0.37
50,10.2,2.7318,-3030.56,0.36
51,8.24,755696.0952,-3750.69,0.34
52,8.32,383.7282,-2592.65,1.54
53,6.8,64474.8381,-3031.59,0.32
54,10.84,4986.495,-3004.9,0.26
55,10.08,354258.448,-2756.78,0.37
56,9.92,26529.8375,-3255.66,0.3
57,9.84,67850.3756,-2791.48,1.26
58,10.24,143794.6514,-2693.8,0.23
59,5.48,239914.6962,-3502.58,0.27
60,12.16,2.6166,-3255.66,0.29
61,9.68,19.3978,-3002.79,0.28
62,10.24,708518.6306,-2560.19,1.2
63,8.88,179642.2409,-3750.53,0.3
64,7.88,2.1482,-3269.83,0.34
65,8.36,1079107.4552,-4250.28,0.34
66,6.96,0.0634,-3000.73,0.36
67,7.44,7.3137,-2681.53,2.18
68,11.4,718962.478,-3420.08,0.23
69,9.28,426655.3479,-3000.84,0.24
70,11.48,12.9198,-2814.69,0.36
71,6.64,2.2885,-3056.5,0.3
72,9.76,0.4526,-3250.43,1.38
73,8.0,0.0327,-2750.27,0.21
74,7.8,336733.09,-3751.67,0.24
75,9.84,121880.615,-2501.5,0.31
76,10.04,123038.4398,-4273.74,0.29
77,10.84,89.0493,-3121.23,1.38
78,8.4,3.1468,-2254.45,0.26
79,8.52,64613.1734,-3000.56,0.23
80,7.12,13.58,-3339.29,0.24
81,8.76,185961.5154,-2751.18,0.27
82,7.92,250426.2128,-3001.91,1.2
83,9.04,0.1946,-2252.97,0.27
84,10.76,119082.0529,-4001.59,0.25
85,7.24,475304.009,-2680.73,0.3
86,9.0,1917422.7842,-3500.78,0.27
87,9.52,0.2468,-3755.19,0.24
88,7.28,720168.3293,-2268.75,0.24
89,7.0,775858.7299,-1755.18,0.3
90,8.0,790533.2391,-3750.09,0.37
91,10.52,2.3373,-3529.28,0.6
92,10.16,0.4228,-3750.18,0.23
93,5.8,3.4441,-1836.02,1.37
94,4.68,0.1518,-3253.2,0.24
95,10.88,5.6504,-2541.46,0.24
96,10.28,67887.0634,-3253.65,0.49
97,12.04,2576.684,-4517.37,0.31
98,11.64,421.0287,-3250.18,1.47
99,10.36,1289.1695,-2089.05,0.32
100,6.6,1427308.6375,-3719.73,0.36
101,10.12,998302.5632,-4138.34,0.33
102,6.44,56484.6231,-3500.51,0.27
103,9.92,9196.2979,-3750.28,1.53
104,9.6,158.6958,-2500.33,0.27
105,10.28,122108.3313,-3251.23,0.24
106,10.2,705357.1646,-3389.03,0.27
107,7.88,5406.9656,-3250.29,0.27
108,8.12,4893.8099,-2765.44,1.2
109,10.04,585075.9269,-3013.1,0.28
110,8.08,2799.6946,-3756.06,0.24
111,10.08,7.5701,-2250.68,0.24
112,6.4,1.4248,-3285.48,0.22
113,5.88,131901.1128,-3689.89,1.19
114,7.12,719695.7668,-2810.79,0.24
115,7.36,9.6086,-4255.18,0.22
116,9.32,360312.8391,-2750.27,0.24
117,9.2,566.1188,-3147.2,0.26
118,6.96,67852.2648,-3026.36,1.28
119,8.28,13.0876,-3761.95,0.24
120,8.4,67854.2252,-3389.13,0.3
121,8.84,67488.3929,-2752.52,0.26
122,8.92,18.7078,-3533.54,0.31
123,7.4,341591.0156,-3500.22,1.58
124,7.04,320001.4942,-4250.23,0.3
125,8.2,359853.426,-3727.68,0.23
126,7.16,360166.6146,-3000.45,0.21
127,7.4,713643.8197,-3346.31,0.34
128,8.2,421261.6879,-2751.71,0.26
129,11.16,3.5377,-3336.55,0.22
130,7.8,129610.9333,-3018.03,0.28
131,10.44,112410.4445,-2251.68,0.29
132,8.04,155.586,-3380.43,0.95
133,9.68,3.8576,-3344.82,0.27
134,7.92,360888.2906,-3251.36,1.46
135,8.08,431.3839,-3054.73,0.19
136,11.04,0.0336,-2750.17,0.28
137,5.52,67895.9406,-3298.63,0.38
138,6.28,359719.0063,-4251.94,0.29
139,12.52,3434.1088,-3002.28,1.26
140,8.88,7.6544,-2193.16,0.21
141,7.96,16696.48,-3826.6,0.23
142,10.88,714348.507,-4000.37,0.4
143,10.08,169453.7729,-4295.28,0.29
144,8.28,355440.6232,-3589.34,1.3
145,8.64,112933.4255,-2792.78,0.27
146,9.2,235171.0812,-2692.75,0.44
147,7.96,169404.2812,-2692.25,0.33
148,11.12,2803.5302,-2520.49,0.25
149,9.48,1248981.1706,-3830.32,1.39
150,8.84,1679.7751,-3750.88,0.36
151,8.16,348378.8108,-2753.37,0.3
152,7.28,471964.4966,-2809.29,0.25
153,8.28,863219.0407,-3750.29,0.2
154,9.2,2591.0322,-3354.8,1.43
155,7.44,149.1873,-3574.07,0.24
156,8.88,2737.551,-3541.76,0.25
157,11.2,65984.9502,-3500.23,0.29
158,7.28,1071662.3042,-3810.35,0.33
159,9.2,105426.482,-3260.33,1.15
160,7.92,529285.674,-4505.0,0.3
161,6.76,1238730.1564,-3009.95,0.42
162,11.52,911.7041,-4205.02,0.31
163,8.04,475764.381,-3294.06,0.33
164,11.2,2683.8396,-4000.13,1.7
165,7.24,93.395,-2761.66,0.4
166,10.52,1172.7984,-4102.71,0.29
167,7.4,2.4885,-3310.62,0.25
168,9.36,10.1053,-4001.05,0.3
169,10.88,2.4975,-3811.75,1.7
170,9.72,672078.6011,-3041.67,0.27
171,7.76,0.2104,-2753.07,0.31
172,10.64,362265.7093,-2825.8,0.28
173,8.96,363432.3603,-3006.3,0.24
174,7.44,23818.6968,-2438.04,0.32
175,8.16,0.1534,-2003.62,1.55
176,10.24,240.9446,-3250.19,0.37
177,7.52,216.4735,-3604.13,0.33
178,10.92,22.6475,-2151.67,0.3
179,9.68,352336.9112,-2763.83,0.4
180,7.04,923234.592,-3750.5,1.49
181,10.48,622.975,-2506.93,0.25
182,7.44,384827.4464,-3508.69,0.29
183,11.4,1286.7246,-3250.81,0.29
184,7.32,361.7569,-5004.17,0.33
185,5.36,0.2549,-3750.23,1.73
186,9.72,337231.3305,-1502.48,0.44
187,9.72,7.8488,-2446.91,0.58
188,8.28,0.6179,-2500.81,0.38
189,10.4,1765546.5286,-3916.77,0.33
190,8.8,169344.5839,-4250.24,2.16
191,7.76,119016.4998,-3750.35,0.33
192,9.92,131599.0564,-3254.26,0.44
193,7.72,456569.0062,-3681.86,0.33
194,7.84,263772.8771,-3252.16,0.27
195,9.56,67856.3382,-3075.64,1.94
196,7.84,2730.2952,-3182.57,0.49
197,7.28,0.0271,-2250.55,0.74
198,9.72,3077.3283,-3448.86,0.5
199,9.28,528926.8468,-3114.51,0.35
200,8.6,131960.6922,-4000.83,1.55
201,8.72,342896.6578,-3000.38,0.34
202,5.8,133795.3918,-3500.66,0.63
203,10.92,98700.4631,-4017.45,0.87
204,8.48,844713.2944,-3763.93,0.63
205,9.24,1079279.5816,-3758.54,2.13
206,9.96,522738.2554,-2006.07,0.54
207,8.8,359699.1491,-4001.34,0.31
208,7.24,3.227,-3254.11,0.34
209,5.88,12.7879,-3528.72,0.57
210,7.28,1145055.0199,-3271.96,1.6
211,10.08,361297.1343,-3501.7,0.32
212,5.44,1.908,-2032.08,0.23
213,7.72,421227.0331,-3014.24,0.25
214,7.2,114771.1782,-3578.84,0.23
215,6.76,5.9856,-3356.23,0.27
216,8.2,119900.9795,-2252.03,0.23
217,8.84,576598.8704,-3510.27,0.22
218,9.76,1553.2693,-3603.2,0.21
219,7.24,121.0503,-3513.49,0.2
220,9.92,192.6106,-3750.19,0.25
221,7.24,242.5043,-2779.68,1.32
222,7.6,0.5298,-3501.51,0.32
223,10.28,643758.3784,-3752.41,0.31
224,9.28,400595.8049,-3161.57,0.46
225,8.64,146300.1991,-2761.3,0.37
226,9.12,114728.8325,-3002.09,1.37
227,11.76,66569.5456,-3503.52,0.24
228,9.2,39693.5512,-1577.81,0.24
229,9.6,238978.2117,-2287.46,0.28
230,10.32,65946.771,-3000.38,0.31
231,8.6,352336.9752,-3509.37,1.25
232,6.64,104.1705,-3264.65,0.27
233,7.28,9.0922,-3007.25,0.29
234,7.44,0.0247,-2500.5,0.3
235,7.96,66045.885,-3357.68,0.31
236,6.56,1079487.4029,-3255.04,1.41
237,8.64,242824.1647,-3444.56,0.21
238,11.96,8.2225,-3257.18,0.25
239,9.92,18.0125,-2506.98,0.31
240,8.04,374062.8181,-2750.97,0.3
241,9.8,241.0441,-3752.65,1.27
242,6.6,227438.8162,-2750.47,0.89
243,8.56,3.5264,-3044.31,0.24
244,7.88,715155.0041,-2755.22,0.25
245,6.64,39982.5669,-3531.32,0.34
246,9.76,339366.2211,-3011.7,1.34
247,7.76,118959.5654,-3513.91,0.28
248,8.64,125612.5179,-3260.12,0.3
