date,recommendationservice_num_pods,recommendationservice_desired_replicas,recommendationservice_cpu_usage,recommendationservice_mem_usage,recommendationservice_traffic_in,recommendationservice_traffic_out,recommendationservice_latency,productcatalogservice_num_pods,productcatalogservice_desired_replicas,productcatalogservice_cpu_usage,productcatalogservice_mem_usage,productcatalogservice_traffic_in,productcatalogservice_traffic_out,productcatalogservice_latency,cartservice_num_pods,cartservice_desired_replicas,cartservice_cpu_usage,cartservice_mem_usage,cartservice_traffic_in,cartservice_traffic_out,cartservice_latency,adservice_num_pods,adservice_desired_replicas,adservice_cpu_usage,adservice_mem_usage,adservice_traffic_in,adservice_traffic_out,adservice_latency,paymentservice_num_pods,paymentservice_desired_replicas,paymentservice_cpu_usage,paymentservice_mem_usage,paymentservice_traffic_in,paymentservice_traffic_out,paymentservice_latency,shippingservice_num_pods,shippingservice_desired_replicas,shippingservice_cpu_usage,shippingservice_mem_usage,shippingservice_traffic_in,shippingservice_traffic_out,shippingservice_latency,currencyservice_num_pods,currencyservice_desired_replicas,currencyservice_cpu_usage,currencyservice_mem_usage,currencyservice_traffic_in,currencyservice_traffic_out,currencyservice_latency,redis-cart_num_pods,redis-cart_desired_replicas,redis-cart_cpu_usage,redis-cart_mem_usage,redis-cart_traffic_in,redis-cart_traffic_out,redis-cart_latency,checkoutservice_num_pods,checkoutservice_desired_replicas,checkoutservice_cpu_usage,checkoutservice_mem_usage,checkoutservice_traffic_in,checkoutservice_traffic_out,checkoutservice_latency,frontend_num_pods,frontend_desired_replicas,frontend_cpu_usage,frontend_mem_usage,frontend_traffic_in,frontend_traffic_out,frontend_latency,emailservice_num_pods,emailservice_desired_replicas,emailservice_cpu_usage,emailservice_mem_usage,emailservice_traffic_in,emailservice_traffic_out,emailservice_latency
2022-09-13 10:31:01,1,4,305,0.9,46,15,1379.578,1,3,268,0.0,37,80,1379.578,1,2,230,0.9,10,11,1379.578,1,2,81,22.9,7,8,1379.578,1,1,51,1.0,3,2,1379.578,5,1,60,0.3,6,4,1379.578,1,4,321,0.8,22,21,1379.578,1,1,11,0.3,7,3,1379.578,1,3,160,0.4,21,22,1379.578,1,4,366,0.0,90,320,1379.578,1,1,29,0.0,1,1,1379.578
2022-09-13 10:31:03,1,4,305,0.9,46,15,1379.578,1,3,268,0.0,37,80,1379.578,1,2,230,0.9,10,11,1379.578,1,2,81,22.9,7,8,1379.578,1,1,51,1.0,3,2,1379.578,5,1,60,0.3,6,4,1379.578,1,4,321,0.8,22,21,1379.578,1,1,11,0.3,7,3,1379.578,1,3,160,0.4,21,22,1379.578,1,5,394,0.0,108,421,1379.578,1,1,29,0.0,1,1,1379.578
2022-09-13 10:31:08,1,4,305,0.9,46,15,1379.578,1,3,291,0.0,40,93,1379.578,1,3,317,0.6,15,17,1379.578,1,2,81,22.9,7,8,1379.578,1,1,51,1.0,3,2,1379.578,5,1,69,0.0,6,4,1379.578,1,4,321,0.8,22,21,1379.578,1,1,11,0.3,7,3,1379.578,1,3,160,0.4,21,22,1379.578,1,5,394,0.0,108,421,1379.578,1,1,29,0.0,1,1,1379.578
2022-09-13 10:31:10,1,4,305,0.9,46,15,1383.035,1,3,291,0.0,40,93,1383.035,1,3,317,0.6,15,17,1383.035,1,2,81,22.9,7,8,1383.035,1,1,51,1.0,3,2,1383.035,5,1,69,0.0,6,4,1383.035,1,4,321,0.8,22,21,1383.035,1,1,11,0.3,7,3,1383.035,1,3,160,0.4,21,22,1383.035,1,5,394,0.0,108,421,1383.035,1,1,29,0.0,1,1,1383.035
2022-09-13 10:31:12,1,4,305,0.9,46,15,1383.035,1,3,291,0.0,40,93,1383.035,1,3,317,0.6,15,17,1383.035,1,2,81,22.9,7,8,1383.035,1,1,51,1.0,3,2,1383.035,5,1,69,0.0,6,4,1383.035,1,4,321,0.8,22,21,1383.035,1,1,11,0.3,7,3,1383.035,1,3,185,0.0,26,27,1383.035,1,5,394,0.0,108,421,1383.035,1,1,29,0.0,1,1,1383.035
2022-09-13 10:31:15,1,4,305,0.9,46,15,1383.035,1,3,291,0.0,40,93,1383.035,1,3,317,0.6,15,17,1383.035,1,2,81,22.9,7,8,1383.035,1,1,51,1.0,3,2,1383.035,5,1,69,0.0,6,4,1383.035,1,4,321,0.8,22,21,1383.035,7,1,11,0.3,7,3,1383.035,1,3,185,0.0,26,27,1383.035,1,5,394,0.0,108,421,1383.035,1,1,29,0.0,1,1,1383.035
2022-09-13 10:31:18,1,4,305,0.9,46,15,1383.035,1,3,291,0.0,40,93,1383.035,1,3,317,0.6,15,17,1383.035,1,2,81,22.9,7,8,1383.035,1,1,51,1.0,3,2,1383.035,5,1,69,0.0,6,4,1383.035,1,4,321,0.8,22,21,1383.035,7,1,11,0.3,7,3,1383.035,1,3,185,0.0,26,27,1383.035,1,5,394,0.0,108,421,1383.035,1,1,27,0.0,1,1,1383.035
2022-09-13 10:31:22,1,4,305,0.9,46,15,1381.696,1,3,291,0.0,40,93,1381.696,1,3,317,0.6,15,17,1381.696,1,2,81,22.9,7,8,1381.696,1,1,51,1.0,3,2,1381.696,5,1,69,0.0,6,4,1381.696,1,4,321,0.8,22,21,1381.696,7,1,11,0.3,7,3,1381.696,1,3,185,0.0,26,27,1381.696,1,5,394,0.0,108,421,1381.696,6,1,27,0.0,1,1,1381.696
2022-09-13 10:31:26,1,4,305,0.9,46,15,1381.696,1,3,291,0.0,40,93,1381.696,5,3,317,0.6,15,17,1381.696,1,2,81,22.9,7,8,1381.696,1,1,51,1.0,3,2,1381.696,5,1,69,0.0,6,4,1381.696,1,4,321,0.8,22,21,1381.696,7,1,11,0.3,7,3,1381.696,1,3,185,0.0,26,27,1381.696,1,5,394,0.0,108,421,1381.696,6,1,27,0.0,1,1,1381.696
2022-09-13 10:31:30,1,4,305,0.9,46,15,1381.498,1,3,291,0.0,40,93,1381.498,5,3,317,0.6,15,17,1381.498,1,2,81,22.9,7,8,1381.498,1,1,51,0.0,3,2,1381.498,2,1,69,0.0,6,4,1381.498,1,4,321,0.8,22,21,1381.498,7,1,12,0.4,7,3,1381.498,1,3,185,0.0,26,27,1381.498,1,5,394,0.0,108,421,1381.498,6,1,27,0.0,1,1,1381.498
